passenger_count,tip_amount,total_amount
1.0,1.2,10.0
1.0,0.0,67.05
2.0,0.0,37.05
1.0,0.0,17.8
1.0,9.82,50.37
2.0,0.0,5.8
2.0,4.08,20.38
1.0,5.37,41.17
1.0,2.95,14.75
1.0,3.0,17.8
1.0,8.36,50.16
2.0,0.0,8.3
3.0,0.0,10.8
1.0,1.96,11.76
1.0,3.06,18.36
5.0,4.0,31.85
5.0,6.2,40.0
1.0,1.7,13.0
3.0,0.0,-5.05
3.0,0.0,5.05
3.0,0.0,63.1
1.0,2.85,17.15
0.0,1.75,10.55
1.0,3.75,22.55
1.0,12.6,54.7
2.0,1.4,10.7
3.0,1.65,9.95
1.0,12.44,68.99
1.0,1.6,14.4
1.0,0.0,12.3
2.0,1.0,11.3
2.0,3.26,19.56
1.0,3.06,18.36
1.0,1.76,10.56
1.0,2.06,12.36
1.0,3.16,18.96
1.0,5.26,31.56
2.0,2.36,14.16
2.0,0.0,12.8
2.0,0.0,15.8
1.0,1.0,9.8
1.0,2.5,18.3
1.0,2.66,15.96
1.0,2.66,15.96
1.0,1.66,9.96
1.0,3.96,23.76
2.0,7.0,70.1
1.0,8.27,50.87
1.0,0.0,13.8
1.0,1.85,11.15
1.0,0.0,6.8
1.0,0.0,12.3
1.0,2.85,17.15
5.0,0.0,16.8
2.0,2.75,16.55
1.0,4.45,22.25
0.0,0.0,22.8
0.0,0.0,11.3
1.0,1.65,9.95
1.0,3.25,19.55
1.0,3.35,20.15
1.0,2.46,14.76
1.0,0.0,15.3
1.0,7.56,45.36
1.0,2.46,14.76
1.0,9.3,55.9
1.0,0.0,49.05
1.0,2.26,14.81
6.0,3.24,14.04
6.0,2.26,13.56
1.0,2.76,16.56
1.0,0.0,13.3
1.0,0.0,24.8
1.0,2.0,10.8
1.0,3.76,22.56
1.0,0.0,12.8
1.0,2.08,10.38
1.0,3.8,29.1
1.0,1.45,7.25
3.0,3.16,18.96
1.0,2.0,9.8
1.0,2.46,14.76
1.0,0.0,15.3
1.0,2.46,14.76
0.0,3.15,18.95
0.0,2.0,22.3
1.0,7.11,42.66
1.0,3.0,17.3
6.0,6.26,37.56
1.0,3.16,18.96
1.0,4.46,26.76
1.0,0.0,13.3
1.0,0.0,10.8
1.0,2.0,14.8
0.0,2.15,12.95
1.0,0.0,15.8
1.0,0.0,6.3
1.0,3.2,16.0
1.0,3.39,14.69
1.0,0.0,12.8
2.0,2.1,14.4
2.0,3.46,20.76
4.0,1.0,52.55
1.0,4.74,20.54
1.0,5.2,26.0
1.0,4.16,24.96
1.0,3.5,26.3
1.0,1.7,11.0
1.0,3.35,20.15
1.0,0.0,-14.8
1.0,0.0,14.8
1.0,0.0,8.3
1.0,3.0,20.3
1.0,2.79,12.09
1.0,1.0,10.3
2.0,3.99,17.29
1.0,0.0,8.8
1.0,0.0,10.8
1.0,2.14,16.44
2.0,2.76,16.56
2.0,4.06,24.36
3.0,0.0,8.8
1.0,2.26,13.56
1.0,2.2,14.5
1.0,3.04,23.34
1.0,3.35,20.15
3.0,0.0,67.55
6.0,1.24,9.54
1.0,4.44,19.24
1.0,7.29,31.59
1.0,9.87,60.47
1.0,4.55,27.35
1.0,6.26,37.56
2.0,2.46,14.76
1.0,1.5,9.8
1.0,0.0,12.8
1.0,0.0,8.8
1.0,4.0,32.3
2.0,0.0,5.55
1.0,0.0,12.8
1.0,0.0,9.3
1.0,2.56,15.36
3.0,4.26,25.56
1.0,2.0,20.8
1.0,2.96,17.76
1.0,3.58,17.88
1.0,1.96,11.76
1.0,0.0,13.8
1.0,3.16,18.96
1.0,3.96,23.76
1.0,0.0,13.3
1.0,4.75,28.55
1.0,4.05,24.35
1.0,1.0,10.8
1.0,3.76,22.56
1.0,6.71,40.26
1.0,0.0,14.3
1.0,2.26,13.56
1.0,3.16,18.96
1.0,5.06,30.36
1.0,2.26,13.56
3.0,4.56,27.36
2.0,4.44,19.24
1.0,0.0,23.8
1.0,3.26,19.56
1.0,1.18,10.98
1.0,2.46,14.76
1.0,2.95,17.75
1.0,2.66,15.96
1.0,12.62,75.72
1.0,0.0,4.8
1.0,1.47,11.27
1.0,1.0,17.3
