passenger_count,tip_amount,total_amount
1.0,1.0,9.8
1.0,12.62,75.72
1.0,2.76,16.56
1.0,5.0,26.8
1.0,0.0,11.3
1.0,0.02,8.82
1.0,0.0,18.3
1.0,2.8,14.1
1.0,2.0,12.8
3.0,3.35,20.15
2.0,5.0,33.55
2.0,0.0,10.3
1.0,0.0,19.8
2.0,0.0,12.3
1.0,2.66,15.96
1.0,0.0,14.8
1.0,1.76,10.56
1.0,2.16,12.96
1.0,1.82,9.12
1.0,0.0,14.3
1.0,4.26,25.56
1.0,2.0,10.8
2.0,0.0,8.3
1.0,1.7,11.0
1.0,0.0,15.3
1.0,4.76,28.56
1.0,0.0,11.3
2.0,3.06,18.36
2.0,2.36,14.16
1.0,0.0,11.3
1.0,3.55,21.35
1.0,5.65,33.95
1.0,2.25,13.55
1.0,3.08,11.88
1.0,1.46,8.76
1.0,10.09,50.44
1.0,8.0,71.1
2.0,0.0,7.8
1.0,2.19,9.49
1.0,2.0,15.3
1.0,0.0,10.3
2.0,3.16,18.96
1.0,1.0,4.3
1.0,2.96,17.76
1.0,2.0,12.3
4.0,2.46,14.76
0.0,0.0,24.3
1.0,0.0,-39.8
1.0,0.0,39.8
1.0,12.98,77.89
1.0,12.35,74.2
2.0,0.0,43.8
1.0,2.0,15.3
1.0,2.76,16.56
1.0,2.06,12.36
1.0,2.36,14.16
1.0,0.0,51.55
1.0,10.0,73.1
1.0,8.62,51.72
1.0,1.66,9.96
1.0,8.32,49.92
1.0,1.25,9.55
1.0,-0.82,-4.12
1.0,0.82,4.12
1.0,1.86,11.16
1.0,0.0,18.8
1.0,3.26,19.56
2.0,3.46,20.76
0.0,0.0,8.3
1.0,1.55,9.35
1.0,1.96,11.76
1.0,3.58,17.88
1.0,3.96,23.76
2.0,1.86,11.16
2.0,5.34,23.14
2.0,0.0,7.3
2.0,4.06,24.36
1.0,8.7,52.3
1.0,3.06,18.36
1.0,2.56,15.36
1.0,1.0,9.8
1.0,0.02,8.82
1.0,0.0,15.3
6.0,0.0,9.3
1.0,0.0,19.3
1.0,0.0,13.3
1.0,1.43,15.73
0.0,0.0,21.55
1.0,12.6,75.7
1.0,2.46,14.76
2.0,1.66,9.96
1.0,2.36,14.16
2.0,5.56,33.36
1.0,5.08,25.38
2.0,1.0,9.3
0.0,2.0,14.3
0.0,0.0,9.8
0.0,1.7,11.0
1.0,2.55,15.35
1.0,3.36,20.16
1.0,0.0,11.8
1.0,0.0,29.0
1.0,3.06,18.36
1.0,3.06,18.36
1.0,0.0,7.3
1.0,2.36,14.16
1.0,0.0,10.3
1.0,5.45,32.8
1.0,1.0,7.3
1.0,3.01,18.06
1.0,2.55,15.35
1.0,5.46,32.76
1.0,4.36,26.16
1.0,14.02,84.12
1.0,0.0,27.8
1.0,1.0,12.3
1.0,0.0,39.55
1.0,0.0,36.6
1.0,0.0,49.85
3.0,2.5,24.3
1.0,2.45,12.25
1.0,0.0,11.8
1.0,0.0,12.3
1.0,0.0,13.8
1.0,1.53,16.83
1.0,2.66,15.96
1.0,0.0,22.8
2.0,8.77,53.87
1.0,3.96,23.76
1.0,15.81,94.86
1.0,2.37,18.17
1.0,4.06,24.36
1.0,0.7,8.5
1.0,5.0,19.3
1.0,0.0,16.3
1.0,0.0,22.8
1.0,7.12,42.72
1.0,1.47,11.27
2.0,3.96,23.76
1.0,2.0,41.6
1.0,2.26,13.56
1.0,2.79,12.09
1.0,3.2,16.0
1.0,2.0,13.3
1.0,3.26,19.56
1.0,3.46,20.76
1.0,3.58,17.88
1.0,0.0,24.8
1.0,4.36,26.16
1.0,2.45,14.75
0.0,0.0,7.8
1.0,4.29,18.59
1.0,2.66,15.96
1.0,0.0,34.6
5.0,12.62,75.72
1.0,1.0,9.3
1.0,0.0,16.3
1.0,0.0,21.3
1.0,0.0,12.3
1.0,7.47,46.07
1.0,5.06,31.61
1.0,3.16,18.96
1.0,2.46,14.76
1.0,2.36,14.16
2.0,2.26,13.56
1.0,2.0,10.8
5.0,3.7,18.5
1.0,0.0,7.3
1.0,0.0,8.8
1.0,3.2,16.0
1.0,0.0,13.8
1.0,2.36,14.16
2.0,0.0,18.8
2.0,1.82,9.12
1.0,0.0,41.1
1.0,7.29,31.59
1.0,3.25,19.55
1.0,2.25,17.05
1.0,2.55,15.35
1.0,1.17,8.97
1.0,4.82,24.12
1.0,2.56,15.36
1.0,2.96,17.76
6.0,8.62,51.72
1.0,8.36,51.41
1.0,6.22,37.32
1.0,2.36,14.16
1.0,3.24,14.04
1.0,2.96,17.76
1.0,2.96,17.76
1.0,0.0,23.8
1.0,3.08,15.38
1.0,7.67,46.02
1.0,2.2,11.0
1.0,2.58,12.88
1.0,2.46,14.76
1.0,0.0,8.8
1.0,2.0,15.8
1.0,0.0,10.8
1.0,0.0,6.3
1.0,2.52,19.32
2.0,1.95,11.75
1.0,0.0,12.8
1.0,5.06,31.61
1.0,2.05,10.35
1.0,0.0,13.8
1.0,5.0,40.85
2.0,2.56,15.36
2.0,1.5,22.3
1.0,10.0,56.6
1.0,2.86,17.16
1.0,3.0,25.8
1.0,5.08,40.43
2.0,0.0,11.3
2.0,2.36,14.16
1.0,2.35,14.15
1.0,0.0,8.8
1.0,18.55,80.4
2.0,43.45,260.75
1.0,0.0,10.8
1.0,2.76,16.56
1.0,0.0,12.3
1.0,0.0,22.8
1.0,0.0,10.8
2.0,4.0,11.8
1.0,3.8,16.6
1.0,2.0,15.8
1.0,1.11,37.91
1.0,2.66,15.96
1.0,0.0,17.0
1.0,12.6,75.7
2.0,4.55,19.85
1.0,0.0,11.3
1.0,1.65,9.95
1.0,0.0,23.8
1.0,0.0,12.8
1.0,1.0,6.8
1.0,0.0,8.8
1.0,1.7,8.5
1.0,0.0,8.3
1.0,2.85,17.15
3.0,3.96,23.76
3.0,4.16,24.96
1.0,1.96,11.76
1.0,2.0,13.3
1.0,3.39,14.69
1.0,1.0,10.8
1.0,1.0,12.3
1.0,4.36,26.16
1.0,1.0,14.8
1.0,1.0,15.3
1.0,3.0,20.8
1.0,3.65,21.95
6.0,3.66,21.96
1.0,1.54,11.84
2.0,2.66,15.96
1.0,1.0,10.3
2.0,0.0,26.3
1.0,2.52,19.32
1.0,4.89,21.19
1.0,0.0,23.0
1.0,7.97,47.82
1.0,3.16,18.96
