passenger_count,tip_amount,total_amount
"",0.0,17.3
"",5.99,32.82
"",3.46,20.76
"",2.0,14.07
"",3.0,17.47
"",3.3,18.19
"",3.28,23.0
"",2.56,15.36
"",2.67,14.72
"",2.86,17.16
"",1.0,34.98
"",2.91,16.05
"",4.58,25.22
"",4.06,22.34
"",2.0,20.13
"",1.66,9.96
"",2.3,17.6
"",3.3,18.17
"",4.86,26.63
"",8.43,46.14
"",11.61,64.21
"",1.0,26.07
"",6.56,35.93
"",3.21,17.7
"",5.7,24.07
"",1.55,15.52
"",3.43,18.91
"",0.0,9.89
"",3.5,34.85
"",3.03,18.2
"",2.45,24.5
"",0.0,26.44
"",3.03,16.7
"",10.79,59.03
"",4.17,22.97
"",2.6,17.6
"",5.98,45.83
"",9.18,43.08
"",4.83,26.58
"",0.0,55.05
"",0.88,9.68
"",4.36,26.16
"",3.09,17.04
"",4.0,17.41
"",2.0,20.21
"",3.07,16.9
"",2.81,15.49
"",0.0,13.26
"",2.82,15.53
"",3.38,18.62
"",9.41,51.47
"",3.0,19.21
"",2.5,29.5
"",5.55,30.51
"",3.54,19.52
"",1.56,9.36
"",4.07,22.4
"",1.82,18.27
"",3.04,30.24
"",0.93,10.23
"",0.0,89.3
"",2.33,25.63
"",1.62,12.42
"",4.61,25.38
"",4.19,23.08
"",1.28,14.08
"",2.67,14.72
"",2.94,16.19
"",7.51,41.11
"",14.57,80.74
"",12.69,71.1
"",0.0,14.32
"",2.0,37.12
"",3.78,20.84
"",1.48,14.9
"",9.39,52.09
"",4.16,22.91
"",2.67,14.72
"",12.0,66.32
"",1.74,17.44
"",2.26,13.56
"",4.69,25.82
"",7.58,34.33
"",4.95,27.22
"",4.74,33.04
"",10.77,63.61
"",7.4,40.68
"",3.0,24.14
"",1.42,14.27
"",2.0,23.48
"",2.22,17.02
"",2.44,18.74
"",2.58,18.07
"",2.33,12.85
"",2.2,13.26
"",5.28,29.06
"",2.94,16.21
"",1.77,13.57
"",1.85,14.15
"",5.55,30.54
"",4.98,27.4
"",13.58,46.22
"",11.24,62.18
"",2.0,16.87
"",2.1,14.75
"",4.3,30.01
"",2.0,24.72
"",1.7,13.0
"",3.11,21.82
"",9.34,53.31
"",10.27,56.2
"",0.95,18.11
"",5.69,31.31
"",2.12,11.72
"",2.0,14.1
"",0.0,25.88
"",3.5,19.28
"",4.3,23.68
"",6.6,66.35
"",3.25,17.89
"",2.0,14.07
"",2.06,12.36
"",2.09,20.89
"",4.38,24.11
"",4.55,34.85
"",0.0,17.11
"",5.0,18.92
"",8.23,45.24
"",5.68,43.53
"",6.59,30.3
"",6.31,34.7
"",0.93,10.23
"",3.68,25.78
"",6.45,51.45
"",4.4,24.24
"",2.45,20.88
"",2.52,15.23
"",2.0,28.07
"",9.57,45.21
"",1.48,16.28
"",3.38,18.6
"",3.76,20.68
"",5.54,30.47
"",1.03,11.33
"",0.0,26.39
"",1.0,21.52
"",6.45,35.33
"",2.78,18.58
"",1.63,16.38
"",0.0,20.36
"",5.42,29.69
"",1.62,12.42
"",3.95,30.25
"",1.76,10.56
"",2.67,14.72
"",1.0,17.05
"",2.15,16.45
"",1.93,19.31
"",3.57,27.37
"",3.37,23.59
"",4.43,24.39
"",3.66,20.17
"",3.47,19.1
"",3.73,20.55
"",2.0,14.49
"",2.0,14.07
"",3.18,22.3
"",5.0,18.86
"",3.0,16.55
"",2.47,17.34
"",12.38,61.42
"",2.86,20.05
"",2.0,22.44
"",3.46,19.06
"",5.41,29.65
"",9.56,45.16
"",3.45,19.02
"",4.04,16.16
"",2.71,14.93
"",3.36,20.16
"",0.0,26.57
"",5.1,28.05
"",4.67,25.61
"",4.3,30.22
"",6.56,39.36
"",4.32,23.78
"",1.67,16.8
"",1.18,12.98
"",2.37,18.17
"",5.62,30.94
"",5.0,73.65
"",3.16,34.76
"",0.0,12.26
"",4.99,34.78
"",4.16,24.96
"",1.58,30.12
"",2.22,17.02
"",3.83,15.39
"",4.78,26.3
"",4.93,27.11
"",2.45,18.75
"",2.03,22.33
"",2.36,23.6
"",3.48,19.18
"",3.49,19.24
"",0.0,16.05
"",3.66,20.09
"",0.0,28.71
"",2.16,12.96
"",1.32,10.12
"",15.55,86.09
"",0.0,14.65
"",3.69,20.33
"",3.5,19.27
"",3.3,27.3
"",0.86,16.4
"",3.77,20.75
"",2.93,20.55
"",0.0,23.53
"",4.22,23.23
"",2.0,18.39
"",1.77,13.57
"",2.0,22.47
"",7.04,32.39
"",2.72,19.11
"",4.0,35.25
"",5.37,29.54
"",1.32,25.04
"",3.44,18.96
"",3.7,18.5
"",1.77,17.72
"",4.29,23.62
"",4.87,26.8
"",2.01,20.02
"",1.6,13.67
"",2.74,24.56
"",6.04,33.06
"",2.67,14.72
"",4.74,26.11
"",2.0,19.25
"",2.0,26.08
"",0.0,14.72
"",4.27,20.51
"",1.0,22.18
"",2.67,14.72
"",7.75,47.16
"",2.67,14.72
"",2.0,23.16
"",1.25,23.77
"",2.45,12.25
"",0.0,16.63
"",2.76,16.56
"",5.32,29.26
"",8.47,46.56
"",2.8,19.62
"",6.59,36.24
"",5.72,31.44
"",2.86,15.78
"",5.64,31.01
"",2.45,18.75
"",1.62,12.42
"",2.24,22.41
"",2.78,15.34
"",5.34,29.39
"",4.18,23.01
"",3.69,20.32
"",2.0,19.35
"",0.0,10.82
"",2.58,14.23
"",1.84,14.14
"",4.16,24.96
"",3.64,20.05
"",3.15,17.33
"",14.44,80.02
"",5.96,32.76
"",6.54,35.82
"",3.61,19.9
"",5.76,34.56
"",5.41,37.88
"",0.0,12.3
"",3.26,22.82
"",4.99,27.46
"",3.94,21.68
"",4.32,23.78
"",3.88,21.3
"",3.89,21.43
"",3.14,17.3
"",1.7,17.04
"",3.29,18.11
"",14.7,81.44
"",5.93,32.61
"",4.41,24.29
"",1.85,14.15
"",2.0,16.4
"",7.39,40.62
"",3.91,21.55
"",4.87,49.16
"",3.97,21.86
"",3.96,23.76
"",3.35,25.65
"",4.39,24.14
"",3.52,19.39
"",13.66,104.71
"",4.25,23.4
"",6.64,36.33
"",8.25,65.25
"",0.0,12.1
"",5.03,20.14
"",2.36,14.16
"",2.41,16.89
"",3.12,23.92
"",4.48,26.87
"",6.0,33.02
"",0.0,26.74
"",4.86,34.01
"",5.61,30.88
"",1.25,9.55
"",4.98,27.41
"",6.07,30.37
"",8.32,45.54
"",2.22,17.02
"",3.31,18.22
"",4.52,24.79
"",3.86,21.22
"",4.62,35.42
"",2.0,14.6
"",9.23,72.78
"",1.25,9.55
"",1.0,14.61
"",0.0,15.26
"",4.33,23.83
"",0.88,9.68
"",1.86,11.16
"",7.17,39.41
"",1.01,19.16
"",1.5,15.02
"",6.67,30.68
"",3.2,17.62
"",4.28,23.56
"",4.65,25.5
"",5.52,30.4
"",1.47,11.27
"",2.08,14.57
"",3.95,19.75
"",5.08,35.41
"",1.07,13.15
"",2.67,14.72
"",4.31,19.84
"",3.18,17.45
"",1.62,12.42
"",4.09,22.59
"",11.26,62.3
"",2.03,22.33
"",4.47,24.59
"",7.58,76.38
"",0.0,30.11
"",3.9,21.46
"",1.62,12.42
"",12.43,63.85
"",15.61,86.46
"",3.26,17.95
"",2.0,28.61
"",4.01,22.06
"",3.42,34.22
"",2.66,15.96
"",1.0,33.98
"",3.64,20.04
"",2.31,23.22
"",3.0,21.44
"",2.0,25.68
"",2.67,14.72
"",1.0,20.81
"",4.88,39.43
"",2.0,23.86
"",4.48,24.06
"",3.9,21.48
"",7.3,36.98
"",3.71,20.45
"",6.68,39.71
"",2.13,23.43
"",0.0,15.45
"",2.46,24.68
"",5.22,28.72
"",2.6,14.33
"",4.32,23.77
"",5.77,26.52
"",19.19,80.64
"",3.61,19.86
"",1.0,26.94
"",2.67,14.72
"",12.31,75.86
"",2.74,27.38
"",9.87,54.72
"",4.96,27.3
"",8.43,54.0
"",1.34,13.41
"",2.75,21.05
"",3.0,36.98
"",3.56,19.61
"",4.42,30.82
"",4.86,29.17
"",3.88,21.38
"",4.51,24.84
"",0.44,9.24
"",6.93,38.09
"",4.26,29.86
"",2.0,20.48
"",4.32,23.77
"",5.14,28.3
"",0.83,9.13
"",1.62,12.42
"",9.16,51.7
"",2.91,24.77
"",4.67,25.63
"",4.8,26.41
"",0.0,19.83
"",3.3,38.3
"",2.7,14.85
"",2.67,14.72
"",4.38,24.11
"",1.2,14.77
"",2.9,22.2
"",3.46,20.76
"",7.75,42.63
"",3.21,17.7
"",5.09,28.01
"",2.67,14.72
"",10.36,57.37
"",3.17,17.49
"",4.13,22.71
"",1.34,13.41
"",10.03,55.57
"",3.67,20.2
"",3.86,21.25
"",6.65,36.59
"",3.18,17.54
"",3.18,22.26
"",13.52,54.52
