passenger_count,tip_amount,total_amount
1.0,3.15,18.95
1.0,0.0,7.8
1.0,0.0,12.8
1.0,0.0,11.3
2.0,8.15,49.0
1.0,4.45,22.25
1.0,0.0,42.35
1.0,2.95,14.75
1.0,2.86,17.16
1.0,0.0,9.8
1.0,4.46,26.76
1.0,4.56,27.36
1.0,2.86,17.16
3.0,2.96,17.76
1.0,2.96,17.76
1.0,0.0,25.55
2.0,0.0,24.3
1.0,1.5,15.8
1.0,1.0,14.8
1.0,2.15,12.95
1.0,0.0,14.8
1.0,1.0,18.3
1.0,0.0,10.8
1.0,0.0,13.3
1.0,0.0,-6.3
1.0,0.0,6.3
1.0,2.0,15.8
1.0,1.0,13.3
4.0,3.45,60.0
1.0,2.55,15.35
1.0,0.0,21.3
1.0,1.86,11.16
2.0,2.0,14.3
1.0,0.0,23.8
1.0,2.56,15.36
1.0,0.0,8.3
1.0,1.0,16.8
1.0,0.0,17.3
1.0,2.0,12.3
1.0,2.56,15.36
1.0,4.59,19.89
1.0,1.9,11.2
1.0,2.16,12.96
1.0,16.23,81.14
2.0,0.0,13.3
3.0,2.0,14.8
1.0,2.55,15.35
1.0,0.0,12.3
1.0,2.66,17.91
1.0,1.5,19.8
1.0,5.36,32.16
1.0,0.0,15.3
1.0,2.26,13.56
2.0,2.7,13.5
4.0,0.0,21.8
2.0,5.46,32.76
1.0,2.66,15.96
1.0,2.56,15.36
1.0,2.26,13.56
1.0,5.0,49.6
1.0,0.0,11.8
1.0,2.36,14.16
1.0,2.16,12.96
1.0,2.36,14.16
1.0,1.0,14.3
1.0,0.0,18.3
6.0,8.42,50.52
6.0,2.46,14.76
1.0,0.0,8.8
1.0,1.56,9.36
1.0,2.0,15.3
1.0,0.0,7.8
1.0,3.08,15.38
1.0,0.0,15.75
2.0,9.77,60.57
1.0,9.3,55.9
1.0,4.95,24.75
1.0,5.0,21.8
1.0,2.56,15.36
1.0,8.19,35.49
5.0,3.95,19.75
5.0,4.16,24.96
1.0,0.0,7.8
1.0,2.46,14.76
1.0,1.47,11.27
1.0,0.0,191.55
1.0,0.0,8.8
2.0,0.0,30.8
2.0,2.45,12.25
1.0,2.65,15.95
1.0,6.8,40.85
0.0,0.0,12.3
0.0,5.0,17.3
2.0,11.77,71.87
1.0,0.0,46.1
1.0,9.57,49.12
1.0,2.56,15.36
1.0,5.55,27.85
1.0,3.25,19.55
1.0,3.66,21.96
1.0,2.46,14.76
1.0,4.59,19.89
1.0,8.27,49.62
1.0,3.0,17.8
1.0,1.0,11.3
1.0,5.04,21.84
4.0,2.66,15.96
1.0,1.85,11.15
1.0,0.0,10.3
1.0,9.95,49.75
1.0,0.0,30.0
1.0,5.19,22.49
2.0,1.0,24.3
1.0,9.07,55.67
3.0,0.0,9.8
3.0,2.94,12.74
3.0,5.82,29.12
1.0,0.0,10.8
1.0,0.0,7.3
1.0,4.0,19.3
1.0,2.0,11.3
1.0,1.62,12.42
0.0,2.0,15.3
0.0,2.3,17.6
1.0,0.0,11.3
1.0,2.36,14.16
1.0,5.36,32.16
1.0,1.96,11.76
1.0,1.96,11.76
2.0,0.0,13.8
1.0,2.86,17.16
4.0,2.79,12.09
1.0,2.96,17.76
1.0,2.94,14.69
2.0,5.25,31.55
1.0,1.5,11.3
1.0,5.0,68.1
5.0,10.47,62.82
1.0,0.0,44.1
2.0,0.0,19.8
2.0,2.0,13.3
1.0,0.0,68.05
1.0,2.0,12.8
1.0,2.3,17.6
1.0,2.0,34.3
1.0,1.0,11.8
1.0,2.0,9.8
1.0,0.0,24.3
1.0,4.06,44.66
5.0,12.62,75.72
1.0,2.06,12.36
1.0,1.86,11.16
1.0,3.06,18.36
1.0,2.83,14.13
1.0,0.0,5.3
1.0,8.07,48.42
1.0,10.32,61.92
1.0,10.32,61.92
1.0,0.0,12.3
1.0,1.7,17.5
1.0,2.0,15.3
1.0,1.66,9.96
1.0,1.7,12.0
1.0,0.0,8.8
1.0,0.0,15.3
1.0,2.07,10.37
1.0,3.85,23.15
1.0,2.65,15.95
1.0,0.0,41.55
1.0,0.0,12.3
1.0,0.0,9.8
1.0,0.0,8.8
2.0,2.76,16.56
1.0,2.66,15.96
1.0,1.0,14.3
4.0,0.0,13.3
5.0,0.0,12.8
5.0,2.16,12.96
1.0,2.46,14.76
1.0,1.75,12.05
1.0,0.0,9.3
1.0,2.33,11.63
1.0,2.56,17.31
1.0,3.36,20.16
1.0,0.0,10.3
1.0,2.2,13.0
5.0,1.7,19.5
5.0,1.0,10.3
1.0,2.66,15.96
1.0,2.06,12.36
1.0,2.04,8.84
1.0,0.0,20.8
2.0,10.47,62.82
1.0,3.08,15.38
1.0,1.0,8.3
2.0,0.0,19.8
6.0,1.86,11.16
1.0,3.06,18.36
1.0,1.5,10.8
1.0,2.32,11.62
1.0,3.46,20.76
1.0,6.06,37.61
2.0,11.22,67.32
1.0,0.0,11.3
1.0,0.0,19.3
1.0,2.2,18.0
1.0,0.0,5.05
1.0,5.7,28.5
1.0,6.92,53.02
2.0,0.0,9.3
1.0,1.84,14.14
2.0,0.46,9.76
1.0,1.96,11.76
1.0,2.5,14.8
1.0,2.06,14.31
1.0,4.06,24.36
1.0,4.26,25.56
1.0,0.0,5.8
1.0,15.31,91.86
1.0,2.46,14.76
1.0,2.15,9.45
2.0,2.16,12.96
2.0,3.0,19.3
1.0,2.95,14.75
1.0,1.73,19.03
1.0,2.86,17.16
1.0,0.88,8.18
2.0,3.86,23.16
1.0,10.0,73.8
2.0,2.7,13.5
1.0,3.36,20.16
2.0,2.06,12.36
1.0,0.0,14.8
1.0,2.75,16.55
1.0,1.85,11.15
6.0,13.41,82.41
1.0,1.5,10.8
2.0,10.0,63.85
1.0,1.76,10.56
1.0,2.0,12.3
1.0,2.14,16.44
1.0,2.96,17.76
1.0,2.65,15.95
1.0,0.0,59.35
1.0,6.7,32.0
1.0,0.0,15.3
1.0,3.67,34.22
1.0,2.46,14.76
1.0,2.76,16.56
1.0,4.56,27.36
1.0,2.36,14.16
1.0,1.46,8.76
1.0,5.0,15.8
1.0,1.0,12.8
1.0,2.0,14.3
1.0,4.29,18.59
1.0,0.0,54.85
2.0,11.9,51.7
1.0,2.95,14.75
1.0,1.7,13.0
1.0,0.0,10.3
3.0,3.2,33.0
2.0,2.86,17.16
2.0,2.16,12.96
1.0,0.5,11.8
1.0,0.0,7.3
1.0,1.0,20.3
1.0,1.5,11.8
1.0,0.0,9.3
1.0,3.56,21.36
1.0,2.76,16.56
1.0,2.45,14.75
1.0,5.0,21.8
3.0,7.0,41.55
1.0,0.0,26.8
1.0,4.08,20.38
1.0,2.46,14.76
1.0,0.0,11.3
1.0,1.86,11.16
1.0,2.76,16.56
1.0,0.0,20.05
1.0,2.0,12.3
1.0,0.0,4.8
2.0,12.37,75.47
1.0,0.0,33.8
1.0,3.76,22.56
1.0,2.2,11.0
1.0,3.2,16.0
6.0,1.54,11.84
6.0,0.0,55.3
2.0,11.35,68.2
2.0,3.76,22.56
1.0,18.9,82.0
1.0,1.96,11.76
1.0,0.54,11.34
1.0,2.0,12.8
1.0,2.66,17.46
1.0,2.26,13.56
1.0,0.0,13.8
1.0,3.05,18.35
1.0,0.0,15.3
1.0,0.0,72.1
2.0,5.19,22.49
2.0,0.0,10.3
1.0,2.5,17.8
2.0,3.26,19.56
1.0,0.0,14.3
1.0,2.16,12.96
1.0,3.58,17.88
1.0,1.96,11.76
1.0,2.0,13.3
1.0,1.0,14.3
1.0,0.0,17.8
1.0,0.0,14.8
1.0,1.56,9.36
2.0,6.54,28.34
2.0,0.0,5.8
2.0,1.5,12.8
2.0,4.06,24.36
1.0,1.34,11.64
1.0,0.0,20.8
3.0,2.0,16.3
1.0,2.16,12.96
1.0,2.82,14.12
1.0,0.0,-29.3
1.0,0.0,29.3
1.0,7.42,44.52
1.0,1.0,8.8
1.0,2.56,15.36
2.0,0.0,15.3
1.0,0.0,169.85
1.0,2.46,14.76
1.0,1.66,9.96
1.0,0.0,-9.3
1.0,0.0,9.3
5.0,2.26,13.56
5.0,0.0,12.8
5.0,3.0,19.8
1.0,3.16,18.96
1.0,1.86,11.16
1.0,2.06,12.36
1.0,1.0,9.3
1.0,1.66,9.96
2.0,2.7,13.5
1.0,12.85,55.7
1.0,0.0,35.55
1.0,3.2,16.0
1.0,0.0,9.3
1.0,2.26,13.56
1.0,1.86,11.16
1.0,2.32,11.62
1.0,0.0,56.55
4.0,0.0,15.3
1.0,0.0,8.8
1.0,0.0,13.3
1.0,1.55,11.85
1.0,1.46,8.76
1.0,2.0,21.3
3.0,3.06,18.36
