passenger_count,tip_amount,total_amount
1.0,1.86,11.16
1.0,2.0,14.8
1.0,13.09,79.81
2.0,3.08,15.38
4.0,8.48,65.03
1.0,1.95,11.75
1.0,0.0,12.8
1.0,0.0,23.3
1.0,3.96,23.76
1.0,1.56,9.36
1.0,1.0,11.8
1.0,1.11,12.91
1.0,2.03,13.33
2.0,0.0,12.8
3.0,0.0,16.8
3.0,2.56,15.36
3.0,2.58,12.88
3.0,3.76,22.56
1.0,14.21,72.31
1.0,1.2,6.0
1.0,3.95,19.75
1.0,0.0,31.0
1.0,0.0,-9.8
1.0,0.0,-55.3
1.0,0.0,55.3
1.0,0.0,-11.3
1.0,0.0,11.3
1.0,0.0,15.3
1.0,2.79,12.09
2.0,0.0,39.85
1.0,1.96,11.76
1.0,5.66,33.96
1.0,0.0,13.3
1.0,0.0,3.3
1.0,1.95,9.75
1.0,3.86,23.16
2.0,4.83,24.13
1.0,0.0,12.8
1.0,0.0,8.8
2.0,6.33,31.63
1.0,0.0,26.3
1.0,1.0,12.3
1.0,1.95,9.75
1.0,2.86,17.16
2.0,2.65,15.95
2.0,0.0,34.55
1.0,5.0,13.8
1.0,3.08,15.38
1.0,4.76,28.56
3.0,1.47,11.27
2.0,2.06,12.36
1.0,1.86,11.16
1.0,3.95,19.75
2.0,1.86,11.16
1.0,0.0,37.55
1.0,0.0,32.0
5.0,2.82,14.12
0.0,4.05,20.35
2.0,3.08,86.38
1.0,12.62,75.72
1.0,2.56,15.36
1.0,0.0,10.3
1.0,0.0,15.3
1.0,4.46,26.76
1.0,1.86,11.16
1.0,3.16,18.96
1.0,1.96,11.76
1.0,0.0,10.3
1.0,3.7,18.5
1.0,3.08,15.38
1.0,0.0,13.3
1.0,0.0,8.3
3.0,0.0,12.3
2.0,0.0,13.8
2.0,0.0,25.3
1.0,0.0,8.8
1.0,2.06,12.36
1.0,0.0,22.3
1.0,0.0,8.3
1.0,5.7,28.5
2.0,2.06,12.36
2.0,2.0,15.3
2.0,2.66,15.96
1.0,5.25,31.55
2.0,3.35,14.65
1.0,0.0,25.3
1.0,3.39,14.69
2.0,0.0,15.8
2.0,3.39,14.69
2.0,5.06,30.36
1.0,4.16,24.96
1.0,2.06,12.36
1.0,1.76,10.56
2.0,12.62,75.72
4.0,0.0,7.8
5.0,0.0,16.3
1.0,3.16,18.96
1.0,2.26,13.56
1.0,1.86,11.16
1.0,1.76,10.56
3.0,0.0,8.3
1.0,3.0,20.8
1.0,0.0,47.55
1.0,1.66,9.96
1.0,1.56,9.36
1.0,0.0,14.3
1.0,1.0,7.8
1.0,7.32,43.92
1.0,0.0,17.3
1.0,2.96,17.76
1.0,2.0,16.8
1.0,1.18,12.98
1.0,2.75,16.55
5.0,2.0,40.05
1.0,3.56,21.36
1.0,1.76,10.56
2.0,1.86,11.16
2.0,3.0,12.3
1.0,3.16,18.96
2.0,1.0,10.8
2.0,4.05,24.35
1.0,0.0,19.8
1.0,4.16,24.96
1.0,0.0,19.8
1.0,4.56,27.36
2.0,4.0,23.3
1.0,0.0,9.3
1.0,2.32,11.62
1.0,2.0,26.85
4.0,2.86,17.16
2.0,4.36,26.16
1.0,11.31,67.86
1.0,0.0,15.3
2.0,2.05,10.35
1.0,3.45,20.75
2.0,3.39,14.69
2.0,3.46,20.76
2.0,6.79,63.34
1.0,1.6,12.9
3.0,4.65,27.95
1.0,2.97,22.77
1.0,2.76,16.56
1.0,2.36,14.16
1.0,2.0,15.8
1.0,2.26,13.56
1.0,2.26,13.56
1.0,1.5,11.8
1.0,1.95,9.75
1.0,0.0,18.8
4.0,1.95,9.75
1.0,2.0,20.8
1.0,4.29,18.59
1.0,0.0,10.8
2.0,3.95,19.75
1.0,1.0,10.3
1.0,1.85,11.15
2.0,0.0,13.8
3.0,1.86,11.16
3.0,1.36,8.16
3.0,1.0,12.8
1.0,0.0,255.3
1.0,4.46,26.76
2.0,2.46,14.76
1.0,2.16,12.96
1.0,3.06,18.36
1.0,2.94,12.74
1.0,1.6,12.9
1.0,2.0,14.3
1.0,0.0,54.3
1.0,1.76,10.56
1.0,2.86,17.16
1.0,1.0,8.8
1.0,0.0,19.3
2.0,12.37,75.47
1.0,3.46,20.76
1.0,2.56,15.36
1.0,2.76,16.56
1.0,4.85,29.15
1.0,4.06,24.36
1.0,3.16,18.96
1.0,14.84,75.44
4.0,3.28,36.08
1.0,0.0,63.1
2.0,0.0,16.3
1.0,3.16,18.96
1.0,0.0,10.8
1.0,2.46,14.76
1.0,0.0,11.8
1.0,3.56,21.36
1.0,1.66,9.96
1.0,0.0,9.8
2.0,0.0,11.3
1.0,2.45,12.25
1.0,0.0,11.3
2.0,2.06,12.36
3.0,2.86,17.16
1.0,0.0,11.3
1.0,0.0,61.3
1.0,0.0,-16.3
1.0,0.0,16.3
2.0,0.0,-12.8
2.0,0.0,12.8
1.0,1.86,11.16
1.0,3.16,18.96
1.0,0.0,11.3
1.0,0.0,5.8
1.0,2.0,64.8
1.0,0.0,17.8
1.0,2.32,11.62
1.0,1.65,9.95
1.0,0.0,9.8
1.0,2.55,15.35
1.0,1.65,9.95
1.0,2.15,12.95
1.0,2.45,12.25
1.0,1.95,11.75
1.0,0.0,19.8
1.0,0.0,10.3
1.0,2.45,14.75
2.0,0.0,11.8
1.0,9.27,56.87
1.0,12.37,75.47
2.0,11.7,70.25
2.0,0.96,20.26
1.0,1.0,16.3
1.0,1.17,8.97
1.0,2.5,21.8
1.0,4.86,29.16
1.0,0.0,13.3
1.0,2.0,10.8
1.0,3.15,18.95
3.0,4.06,24.36
3.0,0.0,13.3
2.0,2.0,65.55
3.0,2.52,19.32
1.0,2.0,21.8
1.0,3.56,21.36
1.0,0.0,7.3
1.0,0.0,8.8
1.0,2.06,12.36
3.0,12.6,75.7
1.0,0.0,51.55
2.0,12.6,75.7
2.0,13.56,81.36
2.0,2.7,13.5
4.0,2.15,12.95
5.0,2.76,16.56
5.0,2.37,18.17
5.0,0.0,16.8
1.0,1.94,26.24
1.0,0.0,11.3
1.0,0.0,12.3
1.0,2.0,17.8
1.0,2.56,15.36
1.0,0.0,37.1
3.0,1.66,9.96
3.0,1.0,11.8
4.0,15.84,68.64
1.0,4.32,21.62
1.0,2.6,19.9
3.0,1.85,11.15
1.0,0.0,21.8
1.0,1.76,10.56
1.0,0.0,18.3
1.0,4.35,26.15
1.0,1.5,17.8
1.0,0.0,16.3
1.0,0.0,19.3
0.0,2.57,12.87
0.0,0.0,19.8
2.0,0.0,56.55
1.0,1.5,18.3
1.0,3.26,19.56
2.0,1.92,14.72
1.0,9.02,54.12
1.0,2.3,11.6
1.0,2.25,13.55
1.0,2.55,15.35
1.0,6.55,39.4
1.0,0.0,7.8
1.0,0.0,12.3
4.0,3.8,16.6
1.0,2.36,14.16
1.0,2.26,13.56
1.0,0.0,18.8
1.0,0.0,61.3
3.0,12.37,75.47
1.0,1.76,10.56
1.0,1.66,9.96
1.0,3.2,16.0
4.0,1.85,11.15
1.0,0.0,11.3
2.0,3.25,19.55
1.0,0.0,3.3
2.0,4.46,26.76
2.0,1.66,9.96
2.0,4.08,20.38
3.0,1.23,13.53
0.0,4.0,20.8
0.0,3.45,17.25
0.0,2.3,11.6
1.0,3.16,18.96
1.0,3.56,21.36
1.0,5.06,30.36
2.0,1.0,9.3
2.0,2.56,15.36
1.0,1.96,11.76
4.0,2.22,17.02
1.0,4.89,21.19
1.0,1.56,9.36
1.0,2.36,14.16
0.0,2.0,14.3
0.0,2.96,17.76
0.0,2.65,15.95
1.0,5.0,75.8
1.0,0.0,44.05
3.0,4.06,24.36
2.0,0.0,12.3
3.0,2.36,14.16
1.0,0.0,96.85
2.0,2.0,13.3
1.0,1.76,10.56
1.0,0.0,15.8
0.0,0.0,14.3
1.0,18.59,92.94
6.0,1.0,12.3
6.0,2.08,10.38
6.0,2.07,15.87
1.0,6.86,41.16
1.0,0.0,11.3
1.0,2.46,14.76
1.0,5.0,17.3
1.0,3.36,20.16
1.0,2.36,14.16
2.0,0.0,12.8
1.0,0.0,7.3
2.0,1.95,11.75
1.0,3.25,19.55
1.0,2.46,14.76
1.0,2.56,15.36
1.0,3.95,19.75
1.0,2.37,18.17
3.0,4.58,22.88
4.0,3.56,21.36
2.0,1.5,17.8
1.0,12.62,75.72
4.0,2.65,15.95
4.0,2.15,12.95
1.0,3.1,15.4
1.0,13.97,85.07
1.0,12.62,75.72
6.0,2.86,17.16
6.0,1.0,24.8
3.0,2.86,17.16
4.0,0.0,13.8
2.0,1.0,23.8
1.0,0.0,12.3
1.0,5.0,16.3
1.0,0.0,11.3
1.0,3.0,25.3
1.0,0.0,11.8
1.0,1.0,11.3
1.0,3.0,11.8
1.0,3.05,18.35
1.0,10.0,47.35
1.0,1.86,11.16
1.0,1.7,14.5
0.0,3.65,21.95
1.0,0.0,3.8
1.0,0.0,17.3
1.0,2.96,17.76
1.0,1.0,9.8
1.0,1.56,9.36
3.0,2.93,21.23
1.0,5.0,42.3
1.0,11.3,67.85
1.0,3.66,21.96
1.0,2.96,17.76
1.0,7.0,70.1
2.0,2.16,12.96
1.0,3.0,34.8
1.0,3.84,16.64
3.0,1.66,9.96
1.0,1.96,11.76
1.0,0.0,6.8
1.0,2.46,14.76
1.0,0.0,10.3
3.0,2.83,14.13
3.0,0.0,15.3
1.0,7.85,39.4
1.0,2.56,15.36
1.0,3.0,19.8
3.0,1.8,12.6
1.0,3.65,21.95
2.0,2.26,13.56
2.0,0.0,23.3
1.0,0.0,9.8
1.0,2.56,15.36
1.0,2.08,10.38
1.0,2.58,12.88
1.0,2.96,17.76
1.0,0.01,20.81
1.0,0.0,7.3
1.0,2.56,15.36
1.0,3.46,38.06
1.0,1.96,11.76
1.0,1.96,11.76
1.0,2.21,13.26
1.0,0.0,8.8
2.0,1.86,11.16
1.0,1.66,9.96
1.0,0.0,10.3
2.0,2.56,15.36
1.0,0.0,4.8
0.0,0.0,0.41
1.0,2.75,12.05
1.0,4.1,17.9
1.0,0.0,-4.3
1.0,0.0,4.3
1.0,1.47,11.27
1.0,2.16,12.96
1.0,11.3,67.85
1.0,7.14,30.94
1.0,1.86,11.16
1.0,2.82,14.12
1.0,2.0,25.3
