passenger_count,tip_amount,total_amount
1.0,0.0,16.8
1.0,2.7,13.5
1.0,1.28,14.08
1.0,0.0,15.8
1.0,2.36,14.16
3.0,2.33,11.63
1.0,2.76,16.56
1.0,1.5,16.3
1.0,2.0,14.8
1.0,2.16,12.96
1.0,2.46,14.76
1.0,0.0,18.8
1.0,0.0,10.3
2.0,2.86,17.16
2.0,0.0,9.8
1.0,6.2,32.25
1.0,10.59,47.14
4.0,0.0,15.3
1.0,2.36,14.16
2.0,2.58,12.88
1.0,13.27,80.87
1.0,14.76,73.81
1.0,2.95,17.75
2.0,1.0,10.8
1.0,1.96,11.76
1.0,2.16,12.96
1.0,2.2,11.0
1.0,0.76,16.06
1.0,2.26,13.56
1.0,3.66,21.96
1.0,2.13,23.43
1.0,2.7,13.5
1.0,2.36,14.16
1.0,0.0,11.3
1.0,2.95,17.75
1.0,7.12,42.72
1.0,1.4,10.7
1.0,16.9,84.5
1.0,4.44,19.24
1.0,3.86,23.16
1.0,3.16,18.96
2.0,0.0,20.3
1.0,3.55,21.35
1.0,2.5,18.8
1.0,2.65,15.95
2.0,2.56,15.36
1.0,0.0,14.8
1.0,2.15,12.95
1.0,15.0,82.6
4.0,13.46,80.76
1.0,3.45,20.75
1.0,0.0,24.0
1.0,1.0,10.8
1.0,0.0,8.8
1.0,3.66,21.96
1.0,1.66,9.96
1.0,2.35,14.15
1.0,2.44,18.74
1.0,3.66,21.96
1.0,8.0,33.3
1.0,0.0,22.55
1.0,2.0,9.8
1.0,2.0,12.8
1.0,0.0,16.8
1.0,0.0,11.3
1.0,2.36,14.16
1.0,4.46,26.76
1.0,14.22,85.32
1.0,0.0,10.8
1.0,0.0,16.3
1.0,5.0,31.8
1.0,2.06,12.36
1.0,0.0,40.6
1.0,0.0,14.3
1.0,1.76,10.56
1.0,0.0,9.3
1.0,0.0,13.3
1.0,3.24,14.04
1.0,1.0,8.8
1.0,1.96,11.76
1.0,13.78,68.88
1.0,10.14,77.74
1.0,0.0,10.8
1.0,2.94,12.74
3.0,3.7,18.5
1.0,0.0,22.3
1.0,0.0,8.8
1.0,2.06,12.36
1.0,3.66,21.96
3.0,13.27,80.87
1.0,1.0,10.3
1.0,0.0,18.8
1.0,1.96,11.76
1.0,0.0,9.8
1.0,0.0,10.3
1.0,2.0,14.8
0.0,0.0,15.8
1.0,0.0,15.3
2.0,9.92,59.52
1.0,2.26,13.56
1.0,4.06,24.36
1.0,13.15,58.25
1.0,1.86,11.16
1.0,3.2,17.0
1.0,1.47,11.27
1.0,13.27,79.62
1.0,8.67,52.02
1.0,5.0,51.6
1.0,1.0,10.3
1.0,0.0,46.6
5.0,2.86,17.16
5.0,0.0,10.8
4.0,13.27,79.62
2.0,0.0,5.55
2.0,13.27,79.62
0.0,0.0,13.3
0.0,0.0,23.8
1.0,0.0,48.1
1.0,0.0,11.3
1.0,2.05,12.35
2.0,2.75,16.55
1.0,15.4,66.75
1.0,1.0,17.8
2.0,0.0,10.8
1.0,5.19,22.49
1.0,2.86,17.16
1.0,1.5,14.8
1.0,1.0,11.8
1.0,12.21,73.26
1.0,0.0,12.3
2.0,2.95,17.75
1.0,3.76,22.56
1.0,1.0,16.3
1.0,0.0,10.3
1.0,1.96,11.76
2.0,22.68,98.28
1.0,23.38,140.28
1.0,0.0,19.8
1.0,1.0,27.3
1.0,1.0,14.3
1.0,3.95,19.75
2.0,2.2,11.0
2.0,1.0,12.8
2.0,0.0,8.8
2.0,2.05,12.35
1.0,5.71,34.26
1.0,2.95,14.75
1.0,4.44,19.24
1.0,3.58,17.88
2.0,10.46,64.01
1.0,0.0,12.3
1.0,0.0,10.3
1.0,1.2,16.0
2.0,0.0,12.3
1.0,6.8,34.1
1.0,4.25,25.55
1.0,1.86,11.16
1.0,1.76,10.56
2.0,4.59,19.89
0.0,2.05,12.35
0.0,2.05,10.35
0.0,3.05,18.35
2.0,2.86,17.16
2.0,0.0,10.8
2.0,3.86,23.16
1.0,1.23,13.53
1.0,1.0,11.8
1.0,0.56,11.86
1.0,2.0,10.8
1.0,3.69,15.99
1.0,1.2,13.5
1.0,13.27,79.62
1.0,2.0,11.3
1.0,4.95,29.75
1.0,8.0,75.6
1.0,3.26,19.56
1.0,2.56,15.36
1.0,1.86,11.16
1.0,3.2,16.0
1.0,0.0,13.8
1.0,2.15,12.95
1.0,3.85,23.15
1.0,2.45,14.75
2.0,1.7,16.0
1.0,0.0,18.3
1.0,3.35,14.65
1.0,1.0,17.3
1.0,3.76,22.56
1.0,0.0,14.3
2.0,0.0,10.3
3.0,0.0,10.8
2.0,0.0,66.35
1.0,17.06,103.61
1.0,0.0,14.3
1.0,1.86,11.16
1.0,2.56,15.36
1.0,3.0,12.8
1.0,0.0,12.8
1.0,0.0,14.8
1.0,3.65,21.95
1.0,3.15,18.95
1.0,5.86,36.41
1.0,13.27,79.62
2.0,6.0,35.3
1.0,0.0,10.55
1.0,0.0,12.3
1.0,2.05,12.35
1.0,2.0,20.3
1.0,3.76,22.56
1.0,1.0,9.8
3.0,2.95,17.75
1.0,2.55,15.35
1.0,10.46,53.56
1.0,0.0,11.3
2.0,0.0,115.3
1.0,7.1,42.7
0.0,0.0,10.8
0.0,2.2,10.0
0.0,3.35,14.65
0.0,2.65,15.95
0.0,2.25,13.55
0.0,0.0,16.8
1.0,5.36,32.16
1.0,0.0,15.8
1.0,1.86,11.16
3.0,0.0,18.8
1.0,1.76,10.56
1.0,0.0,27.3
2.0,0.0,9.3
1.0,0.0,15.3
1.0,0.0,10.3
1.0,1.56,9.36
2.0,14.58,87.48
0.0,0.0,13.3
0.0,0.0,17.3
2.0,2.16,12.96
3.0,2.76,16.56
2.0,0.0,11.3
1.0,3.2,16.0
2.0,0.0,13.8
