passenger_count,tip_amount,total_amount
1.0,1.62,12.42
1.0,2.66,15.96
1.0,2.76,16.56
1.0,2.26,13.56
1.0,2.16,12.96
1.0,1.0,8.3
1.0,2.26,13.56
3.0,3.0,19.3
2.0,5.06,30.36
2.0,0.0,9.8
2.0,2.76,16.56
1.0,1.0,14.8
1.0,0.0,26.3
1.0,2.96,17.76
1.0,2.86,17.16
1.0,1.77,13.57
2.0,8.42,50.52
1.0,6.86,41.16
1.0,0.0,21.25
2.0,2.86,17.16
1.0,0.0,8.8
1.0,1.46,8.76
1.0,2.86,17.16
1.0,2.86,17.16
0.0,4.1,24.65
2.0,1.0,20.55
6.0,15.78,78.88
1.0,2.57,16.87
1.0,2.6,12.9
1.0,0.0,12.8
1.0,2.06,12.36
1.0,2.96,17.76
1.0,2.36,14.16
1.0,1.5,13.8
3.0,0.0,6.8
3.0,8.6,51.7
2.0,2.35,14.15
2.0,1.96,11.76
2.0,0.0,12.3
2.0,4.2,21.0
1.0,2.67,20.47
1.0,10.0,29.8
1.0,5.6,33.65
5.0,0.0,11.3
5.0,0.0,20.3
1.0,1.96,11.76
1.0,2.46,14.76
1.0,2.36,14.16
1.0,1.76,10.56
2.0,0.1,11.9
5.0,0.0,60.6
1.0,3.66,21.96
1.0,6.56,40.61
1.0,0.0,4.8
1.0,5.08,25.38
2.0,0.0,8.3
2.0,2.76,16.56
3.0,0.0,16.3
3.0,0.0,13.8
1.0,2.66,15.96
1.0,2.16,12.96
1.0,1.43,15.73
2.0,3.16,18.96
2.0,2.16,12.96
2.0,0.0,17.3
2.0,2.26,13.56
2.0,0.0,17.8
2.0,4.46,26.76
2.0,0.0,27.3
2.0,0.0,-26.8
2.0,0.0,26.8
1.0,3.2,16.0
2.0,1.62,12.42
2.0,2.66,15.96
2.0,3.0,22.8
1.0,6.55,39.35
1.0,4.95,29.75
2.0,4.55,27.35
2.0,0.0,10.8
3.0,7.85,47.2
5.0,2.7,13.5
5.0,2.0,14.8
5.0,2.58,12.88
2.0,2.86,17.16
1.0,2.76,16.56
2.0,2.36,14.16
5.0,2.36,14.16
4.0,2.0,13.8
3.0,2.46,14.76
2.0,64.46,386.76
2.0,3.96,23.76
2.0,2.46,14.76
1.0,2.26,13.56
1.0,1.86,11.16
1.0,5.36,32.16
1.0,3.46,20.76
1.0,1.0,13.3
2.0,2.16,12.96
1.0,3.09,13.39
1.0,2.45,12.25
2.0,1.66,9.96
3.0,3.09,13.39
1.0,1.0,16.3
1.0,1.85,11.15
1.0,3.05,18.35
1.0,2.0,16.3
1.0,2.0,13.8
1.0,4.24,32.54
2.0,2.26,13.56
1.0,3.0,25.8
1.0,0.0,16.3
1.0,0.0,11.3
1.0,4.2,21.0
1.0,2.46,14.76
1.0,2.76,16.56
2.0,2.35,14.15
2.0,2.75,16.55
2.0,1.75,10.55
2.0,1.55,9.35
2.0,5.45,32.75
3.0,5.36,32.16
2.0,3.0,20.8
2.0,1.86,11.16
2.0,3.76,22.56
4.0,5.34,23.14
1.0,0.0,13.3
2.0,2.36,14.16
2.0,3.96,23.76
2.0,1.96,11.76
1.0,3.66,21.96
1.0,2.0,16.8
1.0,5.06,30.36
2.0,12.62,75.72
2.0,3.36,20.16
2.0,2.0,19.8
1.0,1.92,14.72
1.0,0.0,15.3
1.0,0.0,15.8
1.0,5.0,61.55
3.0,2.26,13.56
3.0,2.86,17.16
4.0,0.0,18.3
2.0,2.15,12.95
1.0,2.25,13.55
5.0,0.0,19.55
1.0,2.0,17.3
1.0,4.36,26.16
1.0,2.08,10.38
2.0,2.0,18.8
0.0,4.35,26.15
0.0,4.05,24.35
0.0,0.0,11.8
0.0,4.35,26.15
3.0,3.16,18.96
1.0,0.0,11.8
1.0,1.66,9.96
2.0,3.69,15.99
1.0,2.16,12.96
1.0,2.56,15.36
1.0,0.0,14.8
1.0,1.5,15.3
1.0,3.75,22.55
1.0,1.0,8.8
1.0,1.0,11.3
1.0,6.46,38.76
1.0,2.7,13.5
1.0,0.0,12.8
1.0,1.0,11.8
1.0,0.0,8.8
1.0,1.2,16.0
