passenger_count,tip_amount,total_amount
1.0,3.16,18.96
1.0,0.0,15.8
1.0,0.0,14.3
2.0,0.0,8.8
1.0,7.05,42.35
2.0,2.96,17.76
1.0,0.0,16.3
1.0,1.96,11.76
1.0,0.0,9.8
1.0,3.45,17.25
1.0,2.26,13.56
1.0,2.96,17.76
1.0,3.26,19.56
1.0,6.06,36.36
3.0,0.0,14.3
1.0,3.36,20.16
1.0,0.0,-34.3
1.0,0.0,34.3
1.0,2.06,12.36
1.0,2.0,14.3
1.0,0.0,39.3
1.0,0.0,14.8
1.0,0.0,6.3
1.0,0.0,9.8
1.0,3.06,18.36
1.0,2.86,17.16
1.0,0.0,8.8
1.0,0.0,27.8
1.0,2.96,17.76
1.0,6.56,39.36
1.0,5.0,45.8
1.0,0.0,19.3
1.0,2.56,15.36
1.0,2.66,15.96
1.0,3.76,22.56
1.0,1.0,8.3
1.0,3.82,19.12
1.0,4.05,24.35
1.0,2.15,12.95
1.0,0.0,6.3
1.0,0.0,112.05
1.0,1.76,10.56
1.0,0.0,26.3
1.0,3.83,19.13
1.0,3.76,22.56
1.0,6.06,36.36
1.0,3.95,19.75
6.0,0.0,10.3
6.0,5.58,27.88
1.0,2.26,13.56
1.0,2.16,12.96
1.0,2.58,12.88
1.0,3.96,23.76
1.0,1.0,10.8
2.0,2.32,11.62
3.0,1.0,13.8
1.0,1.92,14.72
1.0,4.36,26.16
1.0,2.0,13.3
2.0,2.05,12.35
1.0,2.95,17.75
1.0,1.55,9.35
1.0,7.56,45.36
3.0,13.82,69.12
1.0,4.66,27.96
6.0,4.51,22.56
1.0,3.39,14.69
1.0,3.86,23.16
1.0,0.01,15.31
1.0,0.0,6.3
1.0,3.06,18.36
1.0,6.0,77.5
1.0,10.56,63.36
1.0,3.86,23.16
1.0,2.86,17.16
1.0,3.06,18.36
1.0,5.0,34.3
2.0,2.0,14.3
3.0,0.0,27.8
2.0,20.0,52.8
1.0,3.25,19.55
1.0,2.16,12.96
1.0,4.75,28.55
1.0,0.0,8.8
5.0,0.0,9.8
5.0,1.08,11.88
5.0,4.7,23.5
1.0,4.0,26.3
1.0,2.0,13.3
0.0,0.0,13.8
0.0,1.0,8.3
1.0,0.0,10.8
1.0,2.82,14.12
1.0,4.45,22.25
1.0,0.0,78.05
1.0,2.0,29.8
1.0,20.22,121.32
1.0,5.45,23.75
1.0,6.95,34.75
1.0,0.0,14.8
1.0,2.06,12.36
1.0,12.62,75.72
1.0,11.06,67.61
1.0,1.66,9.96
1.0,2.36,14.16
1.0,2.06,12.36
1.0,0.0,9.3
1.0,1.0,15.8
1.0,0.0,14.8
1.0,0.0,8.8
1.0,4.36,26.16
1.0,0.0,-17.3
1.0,0.0,17.3
1.0,3.26,19.56
1.0,1.0,15.3
1.0,2.0,19.8
1.0,0.0,13.3
1.0,1.46,8.76
1.0,3.0,13.3
2.0,4.95,29.75
1.0,0.0,10.8
1.0,2.16,12.96
1.0,3.26,19.56
1.0,0.0,9.3
1.0,4.35,26.15
1.0,0.0,21.8
1.0,1.0,20.8
2.0,4.95,29.75
1.0,1.0,8.8
2.0,4.85,29.15
1.0,4.7,23.5
1.0,8.49,36.79
1.0,4.44,19.24
1.0,2.56,15.36
1.0,1.0,9.8
1.0,0.0,30.3
1.0,0.0,18.8
1.0,2.36,14.16
1.0,4.36,26.16
2.0,0.0,7.3
1.0,2.58,12.88
1.0,3.36,20.16
1.0,3.05,18.35
2.0,1.0,10.8
1.0,2.15,12.95
1.0,4.0,30.8
1.0,1.0,22.3
1.0,0.0,9.8
1.0,1.36,8.16
1.0,1.7,12.0
1.0,1.0,23.3
1.0,10.0,73.1
1.0,2.76,16.56
1.0,1.46,8.76
1.0,2.16,12.96
1.0,1.0,13.3
2.0,0.0,14.3
1.0,2.25,13.55
2.0,1.85,11.15
4.0,2.95,17.75
1.0,10.64,53.19
1.0,5.25,31.55
1.0,2.0,14.3
2.0,5.05,30.35
1.0,6.35,27.65
1.0,4.0,40.3
1.0,2.0,41.3
1.0,3.56,21.36
1.0,2.36,14.16
1.0,5.86,35.16
1.0,0.0,7.8
2.0,2.06,12.36
1.0,2.0,23.3
2.0,2.06,12.36
2.0,2.18,23.98
1.0,1.0,15.3
1.0,0.0,18.3
1.0,0.0,9.3
2.0,2.88,13.68
0.0,0.0,9.3
2.0,5.75,34.55
1.0,0.0,-6.8
1.0,0.0,6.8
1.0,0.0,-16.8
1.0,0.0,16.8
1.0,6.66,39.96
1.0,0.0,14.3
1.0,2.96,17.76
1.0,0.0,7.3
1.0,4.45,22.25
1.0,3.96,23.76
1.0,2.46,14.76
3.0,0.0,19.3
1.0,3.26,19.56
1.0,11.07,56.62
1.0,12.62,75.72
1.0,2.46,14.76
1.0,2.26,13.56
1.0,2.16,12.96
1.0,0.0,9.8
1.0,7.66,45.96
2.0,2.0,24.8
2.0,3.46,20.76
2.0,2.0,19.3
1.0,0.0,43.05
1.0,2.56,15.36
1.0,0.0,18.3
1.0,2.2,18.0
1.0,1.5,16.3
1.0,0.0,0.3
1.0,7.46,44.76
1.0,1.0,14.3
1.0,1.56,9.36
1.0,3.35,20.15
1.0,3.76,22.56
1.0,3.26,19.56
1.0,1.0,13.3
1.0,0.0,16.8
1.0,1.85,11.15
6.0,8.0,71.1
2.0,1.0,8.3
1.0,1.65,9.95
1.0,0.0,12.3
2.0,1.0,17.3
3.0,2.15,9.45
3.0,1.0,29.8
1.0,8.45,50.75
1.0,0.0,12.3
1.0,5.36,32.16
1.0,0.0,14.8
1.0,0.62,12.92
1.0,0.0,20.3
1.0,2.16,12.96
2.0,1.86,11.16
1.0,5.06,30.36
1.0,0.0,25.8
1.0,0.0,36.3
1.0,3.16,18.96
1.0,3.0,18.3
1.0,0.0,46.05
1.0,3.56,21.36
1.0,0.0,14.8
1.0,1.0,10.8
1.0,2.16,12.96
1.0,2.16,12.96
3.0,0.0,9.3
2.0,0.0,32.8
1.0,6.51,32.56
5.0,0.0,22.8
