passenger_count,tip_amount,total_amount
1.0,2.36,14.16
1.0,1.0,14.3
1.0,7.45,44.8
1.0,9.01,54.06
1.0,2.66,15.96
1.0,1.76,10.56
2.0,0.0,12.05
1.0,0.0,76.1
1.0,2.06,12.36
1.0,0.0,45.0
1.0,23.32,139.92
1.0,3.99,17.29
1.0,0.0,7.8
1.0,1.76,10.56
1.0,0.0,55.0
1.0,0.0,15.8
1.0,2.66,15.96
1.0,12.62,75.72
1.0,0.0,11.3
1.0,1.43,15.73
1.0,0.0,59.55
1.0,2.7,13.5
2.0,12.6,75.7
3.0,0.65,8.95
2.0,0.0,10.3
1.0,2.96,17.76
1.0,8.0,42.3
1.0,2.08,10.38
1.0,1.96,11.76
1.0,2.19,9.49
1.0,0.93,10.23
1.0,3.0,16.3
1.0,1.96,11.76
2.0,1.96,11.76
1.0,2.0,18.8
1.0,12.62,75.72
1.0,2.76,16.56
1.0,1.0,9.8
1.0,0.0,11.8
1.0,0.0,22.0
1.0,0.0,61.85
1.0,8.07,48.42
1.0,0.0,5.05
1.0,15.46,77.31
2.0,2.58,12.88
2.0,1.86,11.16
1.0,0.0,11.8
1.0,2.0,16.8
0.0,0.0,11.8
0.0,2.85,17.15
0.0,3.25,19.55
1.0,1.5,11.3
1.0,5.0,20.3
1.0,1.0,10.8
1.0,2.45,12.25
1.0,10.0,71.85
1.0,1.0,9.3
1.0,1.0,9.3
1.0,7.0,68.85
1.0,0.0,33.55
1.0,2.25,13.55
1.0,5.0,13.8
1.0,1.0,10.3
3.0,2.95,14.75
2.0,2.06,12.36
2.0,1.76,10.56
2.0,3.76,22.56
1.0,0.0,24.0
1.0,0.0,55.3
1.0,2.05,12.35
1.0,4.0,13.3
1.0,2.0,11.3
1.0,2.0,11.8
1.0,0.0,44.55
1.0,2.86,17.16
3.0,0.0,8.8
1.0,0.0,37.0
1.0,3.25,19.55
1.0,1.66,9.96
1.0,1.76,10.56
1.0,4.58,22.88
1.0,1.0,62.85
1.0,0.0,15.8
1.0,1.56,9.36
1.0,10.0,70.6
1.0,15.0,20.05
1.0,3.09,13.39
1.0,0.0,8.3
1.0,0.0,29.3
1.0,3.82,19.12
1.0,0.0,39.0
1.0,4.0,13.3
