passenger_count,tip_amount,total_amount
1.0,1.0,13.3
1.0,2.0,15.3
1.0,2.06,12.36
1.0,3.26,19.56
2.0,5.0,47.35
1.0,2.0,15.8
2.0,7.3,43.9
1.0,2.95,17.75
1.0,3.55,21.35
1.0,2.05,12.35
1.0,0.0,5.3
1.0,2.0,14.3
1.0,4.76,28.56
2.0,3.16,18.96
2.0,2.36,14.16
1.0,4.16,24.96
1.0,2.06,12.36
1.0,2.26,13.56
1.0,3.82,19.12
1.0,3.16,18.96
1.0,2.26,13.56
1.0,0.0,9.8
1.0,2.0,18.3
1.0,0.0,44.8
1.0,2.26,13.56
1.0,1.7,13.0
1.0,2.52,19.32
1.0,2.44,18.74
2.0,1.33,14.63
1.0,1.0,11.8
1.0,0.0,10.8
1.0,4.26,25.56
1.0,3.06,18.36
1.0,0.0,42.3
1.0,0.13,3.93
1.0,0.13,3.93
2.0,0.0,13.3
1.0,1.85,11.15
1.0,0.0,3.8
1.0,1.18,12.98
1.0,2.65,15.95
1.0,2.85,14.15
2.0,5.46,32.76
1.0,0.0,9.3
1.0,0.0,10.3
1.0,3.86,23.16
1.0,3.76,22.56
0.0,1.85,11.15
0.0,2.7,13.5
0.0,1.85,11.15
0.0,1.95,11.75
0.0,2.65,15.95
1.0,1.86,11.16
2.0,2.66,15.96
1.0,1.0,23.3
1.0,3.55,17.85
1.0,0.0,9.8
1.0,2.5,19.8
1.0,2.26,13.56
1.0,4.26,25.56
1.0,2.26,13.56
2.0,5.0,48.6
1.0,3.96,23.76
1.0,2.05,12.35
1.0,2.15,12.95
1.0,3.3,16.6
1.0,1.0,15.3
1.0,0.0,49.8
1.0,0.0,42.6
1.0,3.56,21.36
1.0,4.95,29.75
1.0,4.85,29.15
1.0,8.0,34.8
1.0,2.96,17.76
1.0,3.86,23.16
1.0,2.26,13.56
1.0,0.0,14.8
1.0,2.16,12.96
1.0,1.86,11.16
1.0,2.65,15.95
1.0,1.0,13.8
1.0,2.15,12.95
2.0,2.56,15.36
1.0,2.45,14.75
1.0,0.0,18.3
1.0,1.5,10.8
1.0,3.46,20.76
1.0,2.0,12.3
2.0,2.36,14.16
2.0,2.26,13.56
2.0,2.35,16.15
1.0,3.0,12.3
2.0,0.0,12.3
1.0,1.86,11.16
1.0,2.76,16.56
1.0,0.0,6.8
2.0,11.06,67.61
1.0,2.66,15.96
1.0,1.0,14.8
1.0,0.0,250.3
1.0,2.26,13.56
1.0,0.0,13.3
1.0,0.0,12.3
1.0,1.76,10.56
1.0,3.16,18.96
1.0,0.0,-9.3
1.0,0.0,9.3
1.0,2.46,14.76
1.0,2.36,14.16
1.0,0.81,17.11
1.0,1.95,11.75
1.0,2.46,14.76
1.0,3.16,18.96
1.0,3.86,23.16
1.0,2.36,14.16
2.0,4.85,29.15
2.0,5.66,33.96
1.0,0.0,13.3
1.0,7.77,47.87
1.0,1.96,11.76
1.0,2.36,14.16
1.0,0.0,7.55
1.0,0.0,9.3
1.0,2.2,11.0
1.0,1.8,9.1
2.0,4.92,37.72
1.0,3.95,17.25
1.0,1.58,17.38
3.0,0.0,23.8
2.0,1.28,14.08
1.0,1.5,13.3
1.0,2.36,14.16
1.0,2.26,13.56
1.0,2.76,16.56
1.0,2.35,14.15
1.0,4.96,29.76
1.0,2.75,16.55
1.0,1.66,9.96
1.0,2.5,25.8
1.0,2.85,17.15
1.0,0.0,5.05
1.0,12.12,72.72
1.0,2.16,12.96
1.0,5.06,30.36
1.0,2.0,15.3
1.0,5.06,30.36
1.0,1.76,10.56
1.0,2.56,15.36
2.0,4.85,21.15
1.0,1.85,11.15
1.0,2.84,18.64
1.0,3.16,18.96
1.0,0.0,14.3
1.0,1.96,11.76
1.0,3.2,16.0
2.0,3.86,23.16
3.0,2.76,16.56
2.0,2.34,10.14
1.0,3.08,15.38
1.0,1.5,18.3
1.0,0.0,13.3
1.0,2.86,17.16
