passenger_count,tip_amount,total_amount
0.0,0.0,43.55
2.0,0.0,8.8
1.0,1.65,9.95
1.0,9.37,56.22
1.0,3.58,17.88
1.0,1.95,11.75
1.0,0.0,10.3
1.0,0.0,15.8
1.0,0.0,8.3
1.0,6.01,30.06
1.0,0.0,47.8
5.0,1.86,11.16
5.0,1.0,8.8
1.0,1.0,9.3
1.0,0.0,8.3
3.0,2.15,12.95
1.0,3.0,18.8
1.0,2.5,12.8
1.0,0.0,7.8
1.0,3.58,17.88
1.0,2.46,14.76
1.0,1.78,19.58
2.0,4.08,20.38
3.0,2.94,12.74
3.0,1.5,11.8
3.0,1.86,11.16
1.0,2.0,11.8
1.0,1.76,10.56
1.0,2.0,12.8
1.0,0.0,18.3
1.0,1.96,11.76
1.0,0.0,9.3
1.0,0.0,14.8
1.0,0.0,11.8
1.0,1.76,10.56
1.0,2.16,12.96
1.0,0.0,61.85
1.0,4.95,24.75
1.0,2.26,13.56
1.0,0.0,10.3
1.0,1.0,8.8
1.0,1.0,13.8
1.0,0.0,9.8
1.0,2.06,12.36
2.0,0.0,14.3
1.0,2.2,28.0
1.0,1.46,8.76
2.0,2.06,12.36
1.0,2.66,15.96
1.0,1.25,17.93
2.0,1.5,11.3
1.0,3.69,15.99
1.0,1.96,11.76
1.0,5.66,33.96
1.0,0.0,24.8
1.0,12.1,72.7
1.0,2.76,16.56
4.0,8.25,49.6
1.0,1.36,8.16
1.0,1.0,16.8
1.0,2.19,9.49
1.0,1.76,10.56
2.0,1.0,10.8
0.0,1.95,9.75
1.0,0.0,7.8
1.0,2.76,16.56
1.0,15.78,78.88
1.0,3.06,33.61
1.0,10.0,27.3
1.0,12.6,75.7
1.0,3.86,23.16
1.0,1.96,11.76
1.0,1.76,10.56
1.0,1.0,9.3
1.0,2.33,11.63
2.0,0.0,26.55
1.0,1.0,8.8
1.0,0.0,6.3
1.0,2.76,16.56
1.0,2.26,13.56
1.0,1.15,6.95
1.0,0.0,31.55
1.0,4.16,24.96
1.0,0.0,16.8
5.0,3.16,18.96
3.0,1.5,24.3
2.0,3.56,21.36
2.0,1.0,9.3
1.0,0.0,6.3
1.0,2.16,12.96
1.0,0.0,9.8
5.0,12.0,72.6
3.0,0.0,9.3
1.0,11.62,69.72
1.0,0.0,12.3
2.0,1.96,11.76
1.0,1.65,9.95
1.0,1.0,14.8
1.0,0.0,5.3
4.0,3.76,22.56
1.0,1.86,11.16
1.0,0.0,42.35
1.0,0.0,13.8
1.0,1.36,8.16
1.0,1.66,9.96
1.0,2.66,15.96
1.0,2.35,14.15
1.0,0.0,81.1
1.0,1.47,11.27
1.0,2.15,12.95
1.0,1.5,13.8
1.0,1.56,9.36
1.0,0.0,7.3
1.0,2.46,14.76
1.0,1.32,10.12
1.0,4.86,29.16
1.0,1.45,7.25
1.0,2.2,11.0
1.0,3.76,22.56
1.0,2.46,14.76
1.0,1.0,8.8
1.0,0.05,28.35
1.0,1.55,9.35
1.0,0.0,12.3
1.0,1.95,11.75
1.0,2.6,11.4
1.0,1.0,12.8
1.0,2.0,40.1
1.0,2.06,12.36
1.0,0.0,-6.8
1.0,0.0,6.8
1.0,2.64,11.44
1.0,0.0,8.3
1.0,1.65,9.95
1.0,1.86,11.16
1.0,1.56,9.36
1.0,0.0,10.3
1.0,1.77,13.57
1.0,1.0,8.8
4.0,1.66,9.96
5.0,0.0,8.3
5.0,0.0,13.8
5.0,0.0,11.3
2.0,0.0,108.3
1.0,2.66,15.96
1.0,2.46,14.76
1.0,1.86,11.16
2.0,8.67,53.27
1.0,6.37,38.22
1.0,1.55,9.35
0.0,3.95,17.25
0.0,1.75,10.55
1.0,1.82,9.12
2.0,1.62,12.42
1.0,0.0,15.8
1.0,2.8,14.1
1.0,0.0,36.0
1.0,0.0,10.8
1.0,2.36,14.16
2.0,2.45,12.25
2.0,5.08,25.38
1.0,0.0,40.92
1.0,0.0,7.8
1.0,2.56,15.36
1.0,5.68,43.53
1.0,3.56,21.36
0.0,0.0,20.3
2.0,1.75,10.55
0.0,1.65,9.95
1.0,2.56,15.36
4.0,16.32,81.62
1.0,2.06,12.36
1.0,2.16,12.96
1.0,4.16,24.96
1.0,3.15,18.95
1.0,2.36,14.16
1.0,6.26,37.56
1.0,1.2,13.0
1.0,2.7,13.5
1.0,0.0,63.1
2.0,2.46,14.76
2.0,0.0,22.3
2.0,2.56,15.36
1.0,0.0,52.8
1.0,6.46,38.76
1.0,0.0,6.8
1.0,2.26,13.56
1.0,2.96,17.76
1.0,2.36,14.16
1.0,7.07,42.42
0.0,0.0,25.3
1.0,8.71,44.81
1.0,7.44,32.24
1.0,1.76,10.56
1.0,0.0,5.8
1.0,2.79,12.09
1.0,5.0,39.3
1.0,1.0,8.8
1.0,2.16,12.96
1.0,5.16,30.96
1.0,1.46,8.76
1.0,2.66,15.96
1.0,1.0,11.8
1.0,1.86,11.16
1.0,1.86,11.16
1.0,1.76,10.56
1.0,1.46,8.76
1.0,15.78,78.88
1.0,2.26,13.56
2.0,5.0,61.55
1.0,2.56,15.36
1.0,2.22,17.02
2.0,0.0,7.3
2.0,1.75,12.05
2.0,5.36,32.16
1.0,3.05,15.35
1.0,0.0,13.8
1.0,6.06,36.36
1.0,1.5,10.3
1.0,1.56,9.36
1.0,5.53,60.83
1.0,0.0,5.8
1.0,2.3,11.6
1.0,2.3,11.6
1.0,0.0,8.3
1.0,2.05,12.35
1.0,4.85,24.15
1.0,0.0,7.8
1.0,2.56,15.36
3.0,0.0,9.8
1.0,3.16,18.96
2.0,4.05,20.35
1.0,2.35,14.15
3.0,0.0,22.3
2.0,2.16,12.96
1.0,1.86,11.16
1.0,1.56,9.36
1.0,2.36,14.16
1.0,2.45,12.25
1.0,0.0,8.3
1.0,2.08,10.38
1.0,1.46,8.76
1.0,3.0,21.8
