passenger_count,tip_amount,total_amount
"",2.19,15.45
"",4.3,23.68
"",2.92,16.17
"",4.95,39.95
"",0.19,17.25
"",10.1,55.97
"",2.78,21.32
"",0.0,41.71
"",13.68,75.85
"",8.0,47.05
"",4.55,25.08
"",5.9,32.44
"",4.18,23.01
"",5.72,31.44
"",9.38,73.93
"",6.36,27.79
"",4.26,23.46
"",3.45,28.45
"",2.0,42.3
"",0.0,49.84
"",2.0,15.3
"",2.86,28.59
"",7.16,32.19
"",1.62,12.42
"",6.71,29.69
"",13.16,72.32
"",0.0,23.45
"",13.73,75.42
"",3.44,18.96
"",0.0,16.0
"",6.22,27.0
"",2.0,27.8
"",13.22,72.65
"",2.19,15.45
"",8.51,47.29
"",5.46,30.04
"",0.0,39.82
"",0.0,13.3
"",2.92,16.17
"",6.15,33.81
"",1.0,28.9
"",14.73,76.74
"",0.0,29.51
"",2.0,15.59
"",12.8,70.35
"",2.68,51.42
"",5.49,30.2
"",1.25,9.55
"",2.0,29.36
"",7.55,42.04
"",10.88,76.74
"",3.23,17.8
"",12.81,70.4
"",2.92,16.17
"",4.0,20.69
"",0.0,20.66
"",11.78,57.52
"",3.45,19.01
"",2.92,16.17
"",6.43,49.28
"",15.24,88.49
"",2.36,14.16
"",28.99,116.45
"",3.19,17.57
"",4.25,42.97
"",8.58,47.16
"",3.51,19.33
"",7.0,71.66
"",3.55,19.56
"",9.29,51.52
"",2.32,23.2
"",6.34,34.85
"",0.0,25.64
"",3.68,25.77
"",13.57,75.37
"",4.0,24.77
"",15.0,50.92
"",3.13,17.24
"",5.44,25.03
"",1.0,14.3
"",3.93,21.63
"",1.66,9.96
"",7.98,43.89
"",10.0,53.72
"",7.87,43.09
"",7.23,51.27
"",13.39,74.24
"",3.15,18.94
"",1.63,17.93
"",3.53,19.45
"",3.35,18.46
"",3.0,25.0
"",4.35,47.9
"",3.27,18.0
"",4.04,22.25
"",3.56,21.36
"",8.89,49.35
"",2.93,16.18
"",6.83,54.38
"",7.26,39.91
"",4.23,23.27
"",4.95,24.16
"",1.96,11.76
"",4.2,34.2
"",9.7,46.11
"",3.05,16.81
"",1.1,8.4
"",10.03,54.93
"",2.46,14.76
"",1.02,7.82
"",10.77,59.63
"",1.18,12.98
"",2.0,15.49
"",14.68,80.99
"",2.92,16.17
"",13.19,72.01
"",11.76,64.63
"",5.92,27.21
"",2.92,16.17
"",1.0,14.3
"",4.71,32.95
"",5.93,32.6
"",14.59,58.31
"",8.34,51.22
"",2.45,18.75
"",5.75,40.24
"",4.63,25.48
"",2.0,15.3
"",8.72,40.09
"",3.78,22.69
"",13.6,75.4
"",3.42,18.85
"",3.35,25.65
"",3.34,23.44
"",1.0,23.45
"",3.7,20.39
"",4.55,25.03
"",1.92,14.72
"",0.0,13.3
"",2.0,15.3
"",0.0,47.55
"",3.57,19.66
"",3.42,23.95
"",10.0,27.05
"",4.01,22.14
"",3.5,19.26
"",7.48,90.95
"",1.2,15.2
"",9.14,50.0
"",7.33,40.85
"",3.41,23.9
"",9.34,43.94
"",11.93,58.08
"",0.0,17.37
"",2.86,17.16
"",1.28,14.08
"",3.77,20.77
"",12.27,74.21
"",2.91,20.4
"",1.03,11.33
"",3.58,19.7
"",3.45,28.45
"",2.92,16.17
"",13.58,75.38
"",12.04,58.97
"",8.57,47.6
"",2.49,10.79
"",12.62,75.72
"",1.46,16.08
"",10.41,57.64
"",12.51,69.39
"",2.92,16.17
"",2.0,17.28
"",4.95,39.95
"",3.02,16.63
"",4.38,17.61
"",6.79,47.99
"",4.53,24.83
"",9.47,72.57
"",11.18,85.1
"",0.0,39.07
"",21.39,109.41
"",1.77,13.57
"",1.19,14.74
"",4.21,25.27
"",14.65,73.28
"",1.28,14.08
"",2.92,18.17
"",1.02,24.1
"",3.36,20.16
"",0.0,26.0
"",0.0,34.07
"",0.0,13.3
"",5.12,35.83
"",1.25,9.55
"",2.92,16.17
"",10.22,81.59
"",9.34,51.82
"",3.86,23.16
"",0.94,17.84
"",2.92,16.17
"",3.86,27.68
"",6.3,34.65
"",15.98,73.45
"",4.01,22.07
"",3.99,21.95
"",4.7,25.85
"",1.47,11.27
"",4.6,52.6
"",1.25,9.55
"",2.0,22.52
"",10.45,50.23
"",3.17,17.46
"",5.35,30.58
"",5.3,29.18
"",6.6,36.28
"",4.38,24.11
"",2.22,17.02
"",4.02,22.12
"",3.2,17.58
"",1.92,14.72
"",2.78,27.87
"",1.19,11.99
"",4.63,25.47
"",6.55,30.12
"",1.0,15.4
"",2.49,17.47
"",1.26,23.88
"",7.24,51.12
"",1.59,15.92
"",4.0,24.86
"",0.0,16.57
"",6.0,32.99
"",2.37,13.17
"",8.82,47.3
"",8.92,60.96
"",4.39,20.18
"",6.22,34.19
"",6.83,54.38
"",4.05,22.3
"",2.0,18.79
"",1.77,13.57
"",10.57,49.27
"",1.03,11.33
"",4.98,27.44
"",4.16,22.92
"",3.68,36.78
"",3.24,32.39
"",2.63,15.88
"",5.47,30.1
"",14.93,74.84
"",7.12,71.82
"",3.72,64.42
"",3.23,17.81
"",10.33,72.94
"",3.61,19.28
"",3.79,20.86
"",0.0,8.59
"",0.0,16.63
"",2.98,29.83
"",1.7,13.0
"",2.06,12.36
"",3.72,20.47
"",2.92,16.17
"",1.05,10.05
"",1.08,11.88
"",4.8,26.42
"",0.0,50.55
"",0.0,18.64
"",4.38,16.89
"",0.98,10.78
"",1.8,12.8
"",3.66,21.96
"",3.07,16.91
"",4.55,18.2
"",2.97,16.37
"",2.66,15.96
"",2.94,16.19
"",4.64,32.49
"",1.5,15.03
"",1.13,12.43
"",5.83,31.96
"",9.28,50.78
"",4.59,25.26
"",1.1,8.4
"",0.0,16.0
"",0.0,16.0
"",0.0,16.0
"",4.0,27.77
"",8.57,51.42
"",2.67,20.47
"",7.11,31.9
"",1.7,13.0
"",4.96,29.76
"",2.76,16.56
"",3.32,18.29
"",1.15,21.95
"",2.37,13.17
"",2.37,13.17
"",7.44,40.91
"",3.92,21.57
"",6.62,50.72
"",2.98,16.42
"",4.06,22.35
"",3.46,20.76
"",3.0,21.83
"",25.0,75.74
"",2.93,16.18
"",4.06,24.36
"",3.2,17.65
"",1.76,10.56
"",2.0,15.3
"",8.1,44.55
"",1.76,10.56
"",0.0,16.0
"",2.0,38.88
"",1.92,14.72
"",4.74,26.1
"",5.75,31.63
"",2.19,15.45
"",3.18,17.51
"",3.78,20.81
"",4.02,22.15
"",0.0,91.82
"",4.93,27.14
"",2.92,16.17
"",2.92,16.17
"",2.93,16.18
"",1.92,14.72
"",1.0,38.66
"",4.76,28.56
"",6.35,34.91
"",13.01,72.16
"",2.04,14.74
"",3.18,17.47
"",3.93,21.63
"",3.85,21.18
"",3.98,21.93
"",3.4,18.71
"",6.38,35.11
"",3.9,21.49
"",5.69,31.28
"",2.9,28.98
"",2.92,16.17
"",2.92,16.17
"",4.74,26.1
"",4.86,26.74
"",9.17,50.87
"",2.0,24.39
"",3.42,23.94
"",2.98,16.41
"",3.02,16.62
"",9.53,52.36
"",2.46,17.29
"",9.16,50.11
"",2.74,16.49
"",2.92,16.17
"",2.16,12.96
"",6.93,69.88
"",4.49,24.7
"",4.43,33.98
"",2.19,15.45
"",2.01,20.17
"",11.83,57.56
"",7.4,41.36
"",1.47,11.27
"",2.0,40.91
"",1.47,11.27
"",5.52,42.32
"",3.43,24.04
"",2.34,23.37
"",5.79,44.39
"",1.56,9.36
"",2.0,17.98
"",5.49,30.21
"",4.76,28.56
"",6.95,38.25
"",0.0,15.86
"",10.45,57.86
"",2.24,15.7
"",0.0,10.8
"",3.0,19.43
"",2.92,16.17
"",4.1,22.57
"",2.75,21.05
"",3.45,28.45
"",5.78,31.81
"",1.08,11.88
"",11.06,66.36
"",9.5,57.4
"",3.66,20.17
"",15.44,85.14
"",3.72,20.5
"",4.16,22.9
"",3.61,19.86
"",3.4,22.4
"",1.32,10.12
"",2.67,20.47
"",2.92,16.17
"",4.09,22.51
"",0.0,10.8
"",1.18,12.98
"",2.93,20.55
"",4.1,31.4
"",3.8,26.62
"",3.26,19.56
"",10.28,71.87
"",0.0,43.51
"",3.17,17.48
"",0.0,13.45
"",2.19,15.45
"",2.66,15.96
"",2.16,12.96
"",21.3,125.05
"",7.94,36.47
"",3.5,26.8
"",4.09,22.56
"",0.0,61.75
"",2.0,15.3
"",2.92,16.17
"",2.92,16.17
"",5.94,32.68
"",0.73,14.02
"",2.08,22.88
"",3.04,16.75
"",1.7,13.0
"",1.46,14.74
"",0.0,44.0
"",1.46,8.76
"",3.06,16.88
"",3.68,16.92
"",1.47,11.27
"",1.46,14.74
"",1.25,9.55
"",3.2,24.5
"",1.32,10.12
"",2.93,16.18
"",2.37,18.17
"",0.0,20.89
"",1.63,17.93
"",3.25,22.81
"",14.89,82.5
"",3.76,20.71
"",5.42,29.81
"",2.0,33.85
"",1.43,15.73
"",6.51,35.8
"",1.92,14.72
"",2.92,16.17
"",1.34,55.66
"",7.47,41.09
"",6.59,36.23
"",0.0,46.19
"",2.96,17.76
"",2.62,14.45
"",2.0,16.8
"",2.19,15.45
"",5.51,38.55
"",11.58,59.48
"",2.78,19.53
"",5.19,22.49
"",7.76,43.31
"",4.72,25.97
"",2.07,15.87
"",4.61,25.38
"",1.95,19.56
"",6.57,36.14
"",6.36,20.65
"",4.42,24.35
"",7.93,43.58
"",2.81,19.68
"",2.08,20.85
"",15.0,57.66
"",3.5,19.29
"",3.07,16.91
"",3.46,19.05
"",15.0,79.47
"",2.92,16.17
"",1.17,8.97
"",2.37,18.17
"",9.71,76.46
"",0.0,13.3
"",3.22,17.75
"",6.46,35.54
"",4.94,27.19
"",3.0,16.52
"",10.15,56.24
"",5.86,35.16
"",1.7,13.0
"",3.21,16.46
"",0.93,10.23
"",4.84,26.64
"",3.26,17.34
"",2.42,17.01
"",3.72,20.47
"",9.26,51.57
"",2.9,22.2
"",2.19,15.45
"",2.37,13.17
"",2.45,18.75
"",3.55,19.54
"",0.0,17.21
"",2.92,16.17
"",2.0,18.27
"",9.45,44.73
"",2.92,16.17
"",2.72,27.25
"",2.96,16.32
"",1.25,9.55
"",3.82,26.76
"",2.0,15.3
"",1.92,14.72
"",3.05,23.35
"",3.04,16.76
"",0.0,19.47
"",3.8,20.91
"",4.9,26.98
"",2.93,16.18
"",5.12,28.17
"",4.74,26.06
"",3.53,19.48
"",2.0,17.46
"",3.29,18.13
"",3.11,21.84
"",0.0,14.71
"",2.37,13.17
"",4.88,26.85
"",8.53,47.42
"",3.37,18.57
"",5.3,29.14
"",2.0,15.3
"",1.08,11.88
"",2.93,16.18
"",7.83,43.07
"",5.15,28.33
"",1.95,19.55
"",0.68,7.48
"",13.33,73.9
"",7.31,40.23
"",6.09,33.5
"",2.92,16.17
"",3.18,17.52
"",2.92,16.17
"",2.37,13.17
"",3.29,18.13
"",0.0,7.46
"",5.12,28.18
"",3.7,20.38
"",14.86,82.29
"",3.76,22.56
"",1.7,13.0
"",4.31,23.73
"",9.4,52.34
"",4.36,23.98
"",4.26,23.51
"",5.09,28.01
"",3.07,21.53
"",2.07,15.87
"",5.82,32.68
"",4.71,28.17
"",2.36,23.6
"",2.0,22.52
"",6.63,36.48
"",14.02,77.7
"",3.51,19.34
"",3.35,25.65
"",3.76,20.71
"",7.99,43.73
"",4.32,23.77
"",1.88,20.68
"",0.0,51.61
"",2.47,17.31
"",1.92,14.72
"",3.99,17.29
"",1.47,14.74
