passenger_count,tip_amount,total_amount
1.0,2.0,11.8
1.0,0.0,9.8
1.0,3.96,23.76
1.0,3.36,20.16
1.0,3.58,17.88
1.0,3.16,18.96
1.0,2.16,12.96
1.0,3.26,19.56
1.0,0.0,14.8
1.0,1.0,9.3
1.0,4.44,19.24
1.0,2.46,14.76
1.0,3.56,21.36
1.0,4.96,29.76
1.0,1.76,10.56
1.0,3.46,20.76
1.0,0.0,44.1
1.0,4.46,26.76
1.0,1.0,11.8
1.0,0.0,12.8
1.0,3.76,22.56
1.0,3.65,15.95
2.0,4.85,21.15
1.0,0.0,63.1
1.0,0.0,46.1
2.0,2.0,15.3
1.0,2.0,24.8
1.0,0.0,9.8
1.0,2.0,17.3
1.0,0.0,17.8
1.0,0.02,27.82
1.0,0.0,13.8
1.0,0.0,17.8
1.0,0.0,10.3
1.0,3.65,21.95
1.0,2.2,15.0
1.0,3.76,22.56
2.0,2.56,15.36
2.0,0.79,16.59
1.0,3.1,22.9
1.0,0.0,10.8
1.0,1.0,12.3
1.0,3.16,18.96
1.0,2.76,16.56
1.0,2.26,13.56
1.0,0.0,19.3
1.0,2.95,14.75
1.0,2.35,14.15
1.0,2.86,17.16
1.0,5.0,53.8
1.0,3.39,14.69
1.0,0.0,13.8
1.0,0.0,11.3
1.0,3.86,23.16
1.0,1.4,10.7
1.0,1.0,10.3
1.0,3.0,24.8
1.0,2.96,17.76
1.0,4.26,25.56
1.0,2.26,13.56
1.0,1.0,12.3
1.0,1.47,11.27
3.0,4.66,27.96
1.0,5.0,22.3
1.0,2.36,14.16
1.0,4.85,29.15
2.0,3.96,23.76
1.0,3.96,23.76
1.0,2.55,15.35
1.0,1.5,10.8
1.0,0.0,15.3
1.0,1.75,10.55
1.0,2.26,13.56
1.0,0.0,16.3
1.0,1.03,11.33
1.0,0.0,24.3
2.0,1.7,16.0
1.0,4.47,34.27
1.0,9.26,56.81
2.0,1.0,8.8
1.0,2.6,17.9
1.0,4.45,26.75
1.0,3.8,16.6
1.0,1.0,15.3
1.0,2.2,17.5
1.0,0.0,13.3
1.0,0.0,12.8
0.0,2.0,20.3
0.0,4.45,26.75
1.0,0.0,17.3
1.0,0.0,14.8
1.0,1.0,19.3
1.0,1.0,9.8
1.0,0.0,17.8
1.0,2.96,17.76
2.0,3.86,23.16
1.0,1.95,11.75
2.0,3.57,27.37
1.0,2.75,16.55
1.0,1.76,11.56
1.0,0.0,14.8
1.0,0.0,59.8
1.0,0.0,8.8
3.0,2.96,17.76
0.0,2.46,14.76
1.0,2.0,13.8
1.0,3.65,21.95
1.0,0.0,14.8
1.0,2.76,16.56
2.0,2.66,15.96
1.0,0.0,15.3
1.0,2.96,17.76
1.0,4.7,23.5
1.0,1.76,10.56
2.0,0.0,15.8
1.0,1.86,11.16
1.0,0.0,12.3
1.0,0.0,12.8
1.0,0.0,16.3
2.0,21.62,129.72
2.0,2.26,13.56
2.0,2.58,12.88
2.0,5.45,27.25
1.0,0.0,8.3
1.0,0.0,11.8
1.0,2.08,10.38
1.0,3.45,17.25
1.0,1.0,14.3
1.0,0.0,14.3
1.0,1.86,11.16
1.0,2.16,12.96
2.0,4.33,21.63
3.0,0.0,14.8
1.0,3.66,21.96
1.0,5.0,41.8
1.0,2.76,16.56
0.0,0.0,8.3
1.0,2.75,16.55
1.0,2.36,14.16
6.0,8.27,49.62
5.0,0.0,7.8
6.0,2.0,15.8
0.0,2.95,17.75
0.0,2.45,12.25
0.0,2.5,17.8
0.0,1.86,16.16
1.0,2.86,17.16
1.0,2.46,14.76
1.0,5.66,33.96
1.0,5.5,65.3
2.0,0.0,8.8
1.0,1.96,11.76
1.0,2.5,14.3
1.0,2.0,17.3
1.0,2.5,20.3
2.0,0.0,16.8
3.0,0.0,45.8
1.0,2.56,15.36
1.0,2.76,16.56
