passenger_count,tip_amount,total_amount
2.0,2.0,9.8
5.0,2.96,17.76
5.0,0.0,8.8
1.0,13.27,79.62
1.0,1.76,10.56
2.0,3.36,20.16
1.0,0.0,12.8
0.0,2.3,11.6
0.0,2.0,18.3
1.0,2.06,12.36
1.0,1.96,11.76
1.0,1.0,11.8
1.0,1.96,11.76
2.0,2.0,16.3
1.0,2.16,12.96
1.0,1.76,10.56
1.0,2.45,12.25
2.0,2.06,12.36
2.0,0.0,8.8
2.0,0.7,18.0
1.0,4.0,14.3
3.0,1.0,10.3
1.0,2.66,15.96
1.0,2.06,12.36
1.0,0.0,15.3
1.0,0.0,12.3
1.0,0.0,10.8
1.0,3.96,23.76
1.0,1.5,16.3
1.0,2.45,12.25
1.0,0.0,8.3
1.0,0.0,20.3
1.0,1.0,13.8
1.0,3.24,14.04
1.0,3.25,19.55
1.0,2.76,16.56
1.0,3.36,20.16
1.0,1.56,9.36
1.0,2.58,12.88
1.0,2.0,15.8
1.0,2.86,17.16
1.0,2.36,14.16
1.0,0.0,71.05
1.0,2.0,11.3
1.0,2.86,17.16
1.0,3.25,19.55
1.0,2.79,12.09
1.0,1.18,12.98
1.0,0.0,36.1
1.0,1.48,16.28
1.0,3.16,18.96
1.0,3.26,19.56
1.0,0.0,10.3
1.0,2.36,14.16
1.0,3.55,21.35
1.0,3.06,18.36
1.0,2.16,12.96
1.0,0.0,9.8
1.0,3.76,22.56
1.0,1.0,10.3
2.0,4.26,25.56
1.0,2.86,17.16
1.0,3.86,23.16
1.0,1.86,11.16
1.0,2.66,15.96
1.0,2.26,13.56
1.0,2.66,15.96
1.0,1.68,18.48
1.0,2.0,10.8
1.0,5.08,25.38
2.0,2.16,12.96
1.0,2.55,15.35
1.0,3.0,12.8
1.0,3.15,18.95
1.0,3.06,18.36
1.0,2.82,14.12
1.0,4.26,25.56
1.0,2.56,15.36
1.0,0.0,11.3
1.0,4.06,24.36
1.0,1.76,10.56
2.0,1.0,11.8
1.0,1.0,9.8
2.0,1.36,8.16
1.0,2.86,17.16
1.0,2.86,17.16
1.0,1.85,11.15
1.0,1.1,12.9
1.0,2.55,15.35
1.0,2.26,13.56
1.0,3.06,18.36
1.0,0.0,10.8
2.0,0.0,14.8
1.0,2.7,13.5
1.0,1.1,8.4
1.0,2.46,14.76
1.0,2.5,17.8
1.0,0.0,28.3
1.0,2.2,11.0
1.0,0.0,13.3
1.0,1.0,13.8
1.0,4.16,24.96
1.0,3.99,17.29
1.0,2.3,17.6
1.0,1.7,14.0
1.0,1.0,14.8
3.0,6.47,38.82
1.0,2.16,12.96
1.0,3.39,14.69
1.0,0.0,23.3
1.0,1.65,9.95
1.0,0.0,12.8
5.0,0.0,51.6
1.0,3.3,16.6
0.0,7.0,60.05
2.0,1.5,12.8
1.0,0.0,18.8
1.0,0.0,14.8
1.0,2.46,14.76
1.0,0.0,39.55
1.0,0.0,10.3
1.0,3.56,21.36
1.0,2.26,13.56
1.0,2.0,14.3
1.0,0.0,51.8
1.0,4.16,24.96
1.0,2.06,12.36
3.0,2.0,21.3
1.0,1.0,12.3
1.0,2.83,14.13
1.0,0.0,7.8
1.0,1.0,16.8
1.0,2.46,14.76
1.0,0.0,12.3
1.0,1.96,11.76
1.0,0.0,16.8
1.0,0.0,10.8
1.0,0.0,11.3
1.0,1.62,12.42
1.0,1.0,12.8
1.0,1.86,11.16
1.0,0.0,12.3
1.0,1.28,14.08
0.0,2.2,15.0
1.0,2.55,15.35
1.0,2.04,8.84
1.0,1.0,10.3
1.0,2.46,14.76
1.0,2.36,14.16
1.0,2.66,15.96
1.0,0.0,9.3
1.0,0.0,11.3
2.0,5.16,30.96
1.0,0.0,11.3
1.0,3.76,22.56
3.0,1.75,14.05
1.0,1.0,12.8
1.0,1.76,10.56
1.0,1.86,11.16
1.0,3.0,16.8
1.0,5.0,39.3
1.0,1.92,14.72
0.0,2.0,15.3
1.0,3.15,18.95
1.0,0.0,12.8
0.0,5.0,29.8
1.0,0.0,10.3
1.0,0.0,12.3
1.0,2.0,12.8
1.0,10.9,47.25
1.0,0.0,12.3
1.0,2.16,12.96
1.0,1.0,14.8
1.0,0.0,13.8
1.0,1.95,11.75
1.0,3.33,16.63
1.0,1.85,11.15
2.0,0.0,15.3
1.0,0.0,21.73
1.0,2.86,17.16
1.0,2.16,12.96
1.0,1.0,12.8
1.0,0.0,29.55
1.0,0.0,13.8
1.0,2.65,15.95
1.0,0.0,31.3
1.0,9.0,54.05
1.0,2.36,14.16
1.0,1.7,10.0
1.0,2.28,25.08
2.0,6.0,21.3
1.0,0.98,10.78
1.0,1.7,13.0
1.0,1.0,7.3
1.0,3.36,20.16
1.0,3.7,18.5
1.0,3.08,15.38
1.0,12.0,18.8
1.0,2.45,14.75
1.0,0.0,10.3
1.0,6.0,69.3
1.0,0.0,18.3
1.0,2.37,18.17
1.0,2.45,14.75
1.0,1.45,8.75
1.0,1.8,9.1
1.0,2.46,14.76
1.0,0.0,8.8
1.0,1.7,15.0
2.0,0.01,14.31
1.0,1.1,8.4
2.0,1.08,11.88
1.0,1.95,11.75
1.0,2.2,22.5
1.0,1.54,11.84
1.0,2.46,14.76
1.0,1.18,12.98
3.0,1.0,8.8
1.0,2.0,26.3
1.0,2.5,21.3
1.0,2.16,12.96
2.0,17.07,86.62
1.0,2.85,17.15
1.0,3.05,15.35
1.0,0.0,8.3
1.0,2.86,17.16
0.0,0.0,8.8
0.0,0.0,15.8
1.0,2.95,14.75
1.0,3.0,22.3
1.0,3.2,16.0
1.0,0.0,6.3
2.0,1.45,8.75
1.0,2.86,17.16
1.0,2.0,10.3
1.0,4.1,20.4
1.0,2.66,15.96
1.0,0.0,12.3
