passenger_count,tip_amount,total_amount
"",3.96,21.25
"",10.0,82.88
"",4.14,22.16
"",3.81,27.77
"",3.59,19.34
"",2.2,21.32
"",2.9,15.76
"",3.27,22.22
"",3.59,24.29
"",0.0,49.0
"",9.85,55.08
"",0.0,31.0
"",3.65,20.6
"",1.0,15.91
"",3.97,39.98
"",4.32,23.09
"",7.09,37.45
"",0.0,15.74
"",4.62,25.8
"",1.91,10.41
"",4.06,21.75
"",4.76,25.37
"",7.71,78.18
"",0.0,61.0
"",1.4,10.7
"",3.49,18.79
"",1.18,12.98
"",2.39,23.07
"",1.25,9.55
"",11.88,66.16
"",0.0,43.74
"",1.17,8.97
"",0.88,9.68
"",1.7,13.0
"",3.5,18.86
"",2.98,24.44
"",4.01,21.51
"",1.09,15.68
"",3.4,18.34
"",2.56,15.36
"",2.61,14.25
"",1.38,15.18
"",4.28,22.9
"",4.63,25.97
"",2.67,27.22
"",2.6,19.9
"",1.0,15.31
"",4.52,24.13
"",5.09,27.1
"",4.48,23.93
"",2.37,18.17
"",3.96,21.22
"",1.85,14.15
"",3.4,24.3
"",0.0,31.0
"",0.0,13.93
"",4.68,31.45
"",1.81,12.41
"",1.43,9.93
"",2.95,16.0
"",0.0,42.21
"",2.51,17.21
"",1.96,11.76
"",2.91,27.23
"",2.2,11.0
"",1.92,14.72
"",4.4,24.7
"",3.84,21.66
"",5.0,26.62
"",4.18,22.36
"",2.07,15.87
"",4.89,27.3
"",3.26,19.56
"",3.16,17.1
"",0.0,16.84
"",2.15,16.45
"",0.0,46.18
"",4.57,24.4
"",1.25,9.55
"",16.08,64.47
"",13.41,62.17
"",0.0,21.0
"",3.7,20.87
"",4.59,25.77
"",5.89,29.0
"",1.47,11.27
"",1.77,13.57
"",4.52,24.13
"",0.0,34.04
"",2.07,20.06
"",7.0,18.61
"",2.0,20.87
"",1.52,14.95
"",2.0,35.69
"",2.86,15.57
"",2.33,13.33
"",2.0,26.7
"",2.21,13.21
"",0.0,50.85
"",0.0,16.83
"",4.53,24.19
"",4.05,22.81
"",2.0,18.7
"",3.42,18.46
"",1.36,8.16
"",2.23,16.12
"",3.63,19.51
"",3.07,16.66
"",4.45,20.06
"",1.92,14.72
"",0.0,51.85
"",4.0,21.45
"",4.24,23.85
"",2.29,44.0
"",0.0,45.0
"",2.28,23.32
"",1.28,12.71
"",3.03,17.18
"",2.64,11.44
"",4.48,25.17
"",0.93,18.27
"",2.12,14.47
"",2.45,16.84
"",2.46,14.76
"",1.85,14.15
"",2.46,13.46
"",0.0,24.82
"",0.0,44.52
"",2.86,20.55
"",8.01,45.02
"",1.79,21.19
"",3.18,19.7
"",2.67,20.47
"",4.9,27.45
"",4.36,26.16
"",1.2,15.2
"",2.68,14.62
"",2.66,15.16
"",1.4,10.7
"",3.17,17.15
"",1.96,11.76
"",0.0,50.13
"",2.51,15.58
"",3.27,18.52
"",3.96,22.29
"",9.5,52.54
"",2.46,10.96
"",3.63,20.48
"",4.0,22.85
"",3.42,23.21
"",1.1,8.4
"",3.47,18.72
"",2.46,13.46
"",2.46,13.46
"",6.15,28.29
"",0.0,23.58
"",2.95,16.02
"",0.0,32.5
"",1.86,18.15
"",3.51,23.81
"",2.35,16.19
"",14.21,99.21
"",2.95,16.02
"",3.18,21.61
"",2.25,21.76
"",11.1,51.29
"",3.77,20.25
"",4.67,24.93
"",3.68,14.68
"",0.0,50.5
"",5.61,29.78
"",2.65,14.48
"",3.5,18.87
"",1.69,12.99
"",2.63,14.35
"",4.34,29.24
"",5.73,29.88
"",3.56,18.67
"",1.78,16.89
"",3.75,17.75
"",0.59,12.39
"",9.44,52.13
"",4.0,21.45
"",1.61,15.76
"",2.36,14.16
"",3.68,14.68
"",4.15,22.22
"",5.28,29.56
"",2.02,19.72
"",2.21,14.51
"",0.93,10.23
"",8.9,49.88
"",2.24,17.39
"",2.8,15.24
"",1.63,17.93
"",2.0,24.74
"",3.04,16.49
"",2.6,17.6
"",1.0,14.88
"",3.41,18.41
"",2.36,18.24
"",1.2,11.2
"",3.0,19.19
"",4.19,23.56
"",1.77,13.57
