passenger_count,tip_amount,total_amount
3.0,1.76,10.56
2.0,4.86,29.16
2.0,2.07,15.87
1.0,4.16,24.96
1.0,1.46,8.76
2.0,2.16,12.96
1.0,1.5,9.8
1.0,0.0,7.8
1.0,2.05,12.35
3.0,3.09,13.39
1.0,2.45,12.25
1.0,3.76,22.56
1.0,0.0,8.8
1.0,2.75,16.55
1.0,2.14,16.44
1.0,0.0,14.8
1.0,2.16,12.96
1.0,1.08,11.88
1.0,1.5,11.3
1.0,2.05,12.35
1.0,2.76,16.56
1.0,0.0,7.8
4.0,2.0,12.8
1.0,0.0,23.3
6.0,5.66,33.96
1.0,0.0,17.3
1.0,4.16,24.96
1.0,0.0,10.8
1.0,0.0,8.8
1.0,5.86,35.16
1.0,2.15,12.95
1.0,2.95,17.75
1.0,1.1,8.4
1.0,3.99,17.29
2.0,5.0,20.3
1.0,2.86,17.16
1.0,2.0,8.3
2.0,0.0,13.8
1.0,10.67,64.02
1.0,0.0,13.8
1.0,2.26,13.56
1.0,2.76,16.56
1.0,2.0,23.8
1.0,1.0,11.8
1.0,2.86,17.16
1.0,9.45,47.3
2.0,4.0,32.3
1.0,2.86,17.16
1.0,2.86,17.16
1.0,0.0,-7.3
1.0,0.0,7.3
1.0,4.08,20.38
1.0,3.08,15.38
1.0,0.0,12.3
1.0,2.5,29.8
1.0,1.0,10.3
1.0,0.0,9.3
1.0,0.0,-6.3
1.0,0.0,6.3
1.0,4.06,24.36
1.0,2.06,12.36
1.0,0.0,37.6
1.0,5.85,35.15
2.0,4.28,47.13
1.0,4.3,21.6
1.0,4.06,24.36
1.0,1.66,9.96
1.0,0.0,21.3
1.0,0.0,19.3
2.0,1.92,14.72
1.0,2.46,14.76
1.0,0.0,10.3
1.0,1.0,11.8
1.0,2.26,13.56
1.0,2.95,14.75
1.0,3.2,15.5
1.0,3.56,21.36
1.0,1.2,11.5
1.0,5.2,26.0
1.0,2.36,14.16
1.0,3.76,22.56
1.0,3.16,18.96
1.0,2.0,20.3
1.0,0.0,17.8
1.0,0.0,7.3
5.0,0.0,12.3
2.0,2.56,15.36
2.0,5.4,53.0
