passenger_count,tip_amount,total_amount
1.0,2.16,12.96
1.0,2.86,17.16
1.0,3.31,19.86
1.0,2.0,13.3
1.0,4.46,26.76
2.0,2.16,12.96
1.0,3.46,20.76
2.0,11.64,77.99
1.0,4.78,36.63
2.0,0.0,17.3
1.0,7.31,43.86
1.0,1.98,21.78
1.0,3.16,18.96
1.0,2.76,16.56
1.0,4.7,23.5
1.0,1.13,12.43
2.0,0.0,33.3
1.0,3.2,16.0
1.0,0.0,14.3
1.0,3.0,13.3
1.0,1.73,19.03
1.0,2.96,17.76
1.0,2.66,15.96
2.0,0.0,-59.8
2.0,0.0,59.8
2.0,0.0,31.3
1.0,2.95,14.75
1.0,3.76,22.56
1.0,3.85,19.15
2.0,4.0,37.3
1.0,1.83,20.13
3.0,2.5,19.3
2.0,3.55,21.35
1.0,2.95,17.75
2.0,4.25,25.55
1.0,3.95,23.75
1.0,0.0,12.3
2.0,1.5,17.3
2.0,2.85,17.15
1.0,1.62,12.42
1.0,2.75,16.55
1.0,3.95,23.75
1.0,2.0,15.3
1.0,3.35,20.15
1.0,3.28,36.08
1.0,2.0,9.3
1.0,0.0,10.3
1.0,2.65,15.95
1.0,1.0,8.8
1.0,4.0,39.3
2.0,1.5,13.3
1.0,1.96,11.76
1.0,1.75,10.55
1.0,0.0,10.8
1.0,2.85,17.15
1.0,3.55,21.35
1.0,1.54,11.84
1.0,0.0,14.3
1.0,2.96,17.76
1.0,3.39,14.69
1.0,2.36,14.16
1.0,2.0,14.8
1.0,5.33,26.63
1.0,4.1,31.4
1.0,10.0,61.35
1.0,5.16,30.96
1.0,2.55,15.35
1.0,1.0,20.3
1.0,2.46,14.76
1.0,2.0,18.8
0.0,2.0,26.3
1.0,3.08,15.38
1.0,0.0,13.8
1.0,1.66,15.46
1.0,3.27,25.07
1.0,5.95,29.75
1.0,0.0,66.35
1.0,5.0,41.85
3.0,2.56,15.36
1.0,4.45,22.25
2.0,0.0,32.05
1.0,3.45,17.25
1.0,3.36,20.16
1.0,1.48,16.28
1.0,0.0,22.8
1.0,0.0,10.8
1.0,2.26,13.56
1.0,2.63,28.93
1.0,4.16,24.96
1.0,2.22,17.02
1.0,2.46,14.76
1.0,1.86,11.16
1.0,2.46,14.76
1.0,1.09,22.89
1.0,0.0,14.3
1.0,2.95,14.75
1.0,3.2,31.0
1.0,3.7,18.5
1.0,0.0,15.8
1.0,0.0,15.8
1.0,0.0,-56.05
1.0,0.0,56.05
1.0,3.0,17.8
1.0,5.19,22.49
1.0,3.06,18.36
1.0,0.0,13.3
1.0,0.0,-12.55
1.0,0.0,12.55
1.0,3.0,11.8
1.0,2.0,16.3
1.0,2.15,12.95
1.0,3.05,18.35
2.0,0.0,54.05
0.0,2.25,13.55
0.0,1.75,10.55
0.0,1.0,10.8
0.0,1.0,12.8
0.0,3.55,21.35
1.0,0.0,67.6
1.0,2.0,14.3
1.0,5.96,37.01
1.0,13.27,80.87
1.0,2.0,17.3
1.0,3.26,19.56
1.0,0.0,24.8
1.0,1.5,17.3
1.0,2.76,16.56
1.0,13.0,80.6
1.0,2.55,15.35
2.0,0.0,37.8
2.0,0.0,-0.94
2.0,0.0,0.94
2.0,0.0,64.3
2.0,0.0,67.6
1.0,2.05,12.35
3.0,2.45,14.75
2.0,0.0,16.3
1.0,2.22,17.02
1.0,2.14,16.44
1.0,4.0,14.8
1.0,3.7,18.5
1.0,1.86,11.16
1.0,10.32,61.92
1.0,1.0,10.8
1.0,6.7,33.5
1.0,14.95,74.75
1.0,0.0,39.3
1.0,0.0,34.55
1.0,1.86,11.16
1.0,0.0,12.8
1.0,3.26,19.56
1.0,5.36,32.16
0.0,3.15,18.95
0.0,2.35,14.15
0.0,2.35,14.15
0.0,1.95,11.75
0.0,18.0,24.8
0.0,3.85,23.15
3.0,0.0,14.55
1.0,0.0,-7.8
1.0,0.0,7.8
1.0,2.36,14.16
1.0,2.08,10.38
1.0,1.5,11.3
1.0,4.89,21.19
1.0,3.66,21.96
1.0,0.0,13.3
2.0,2.16,12.96
1.0,1.86,11.16
1.0,1.0,11.3
1.0,1.0,21.8
1.0,1.96,11.76
1.0,0.0,7.8
1.0,2.56,15.36
1.0,1.0,11.3
1.0,4.16,24.96
1.0,7.16,42.96
5.0,4.0,28.8
5.0,0.0,11.8
4.0,0.0,12.3
2.0,0.0,10.3
2.0,2.26,13.56
2.0,0.5,17.8
2.0,10.0,77.6
0.0,2.0,14.8
1.0,4.8,24.1
1.0,0.0,-9.3
1.0,0.0,9.3
1.0,2.76,16.56
1.0,2.66,15.96
1.0,1.47,11.27
1.0,10.07,50.37
1.0,5.45,27.25
1.0,2.0,24.3
1.0,2.46,14.76
1.0,5.26,31.56
1.0,2.56,15.36
2.0,2.26,13.56
1.0,1.42,13.22
1.0,1.0,10.8
1.0,2.16,12.96
1.0,6.36,38.16
1.0,4.86,29.16
1.0,3.33,16.63
1.0,4.58,22.88
1.0,2.86,17.16
1.0,0.0,19.3
4.0,1.13,12.43
4.0,3.45,17.25
3.0,2.49,10.79
2.0,1.0,24.3
2.0,1.66,9.96
1.0,0.0,10.8
2.0,4.96,29.76
1.0,2.86,17.16
1.0,0.0,18.3
5.0,0.0,24.8
5.0,3.56,21.36
1.0,5.58,27.88
1.0,0.0,13.8
1.0,2.0,19.3
1.0,2.0,27.8
1.0,2.82,14.12
1.0,3.06,18.36
1.0,2.86,17.16
1.0,0.0,7.3
1.0,1.0,17.8
1.0,2.45,14.75
0.0,0.0,7.3
1.0,0.0,14.8
1.0,0.0,23.3
1.0,3.96,23.76
1.0,0.0,-59.8
1.0,0.0,59.8
2.0,1.0,14.8
3.0,3.86,23.16
1.0,4.36,26.16
1.0,0.0,30.8
1.0,3.46,20.76
1.0,3.0,19.3
3.0,1.0,18.3
1.0,0.0,50.3
1.0,8.0,57.55
2.0,2.0,69.6
1.0,1.86,11.16
1.0,0.0,9.8
1.0,3.26,19.56
1.0,0.0,19.8
1.0,0.0,23.8
1.0,3.46,20.76
1.0,2.26,13.56
1.0,0.0,10.8
1.0,2.46,14.76
1.0,0.0,67.6
1.0,0.0,18.8
1.0,2.26,13.56
1.0,4.06,24.36
1.0,3.26,19.56
1.0,2.46,14.76
1.0,3.66,21.96
1.0,0.0,8.8
1.0,1.0,9.3
1.0,2.0,20.8
1.0,1.18,12.98
1.0,2.96,17.76
1.0,0.0,-6.8
1.0,0.0,6.8
1.0,2.75,12.05
1.0,2.65,15.95
1.0,3.05,13.35
1.0,1.95,11.75
1.0,1.4,10.7
1.0,1.86,11.16
1.0,3.33,16.63
1.0,4.17,31.97
1.0,4.26,25.56
1.0,0.0,13.8
3.0,0.0,16.3
1.0,2.26,13.56
2.0,1.84,14.14
2.0,0.0,22.8
6.0,5.0,18.8
6.0,1.2,14.0
3.0,4.36,26.16
4.0,3.06,18.36
3.0,0.0,43.6
3.0,2.86,17.16
1.0,1.68,18.48
1.0,4.0,27.8
1.0,3.86,23.16
1.0,0.0,10.8
1.0,2.25,13.55
1.0,3.25,19.55
1.0,4.56,27.36
1.0,0.0,16.8
1.0,2.06,12.36
1.0,2.95,14.75
1.0,2.36,14.16
1.0,0.0,31.8
