passenger_count,tip_amount,total_amount
1.0,3.0,11.8
1.0,2.66,15.96
1.0,0.0,9.8
3.0,0.0,9.8
1.0,1.0,10.3
1.0,5.2,26.0
1.0,8.27,49.62
1.0,1.85,11.15
1.0,2.06,12.36
1.0,0.0,21.3
2.0,3.45,17.25
2.0,3.0,27.8
1.0,1.0,8.8
2.0,2.45,14.75
2.0,1.5,13.3
3.0,0.0,63.1
1.0,6.9,70.0
1.0,11.32,56.62
1.0,1.86,11.16
1.0,10.96,54.81
2.0,0.0,15.8
2.0,15.46,77.31
1.0,1.2,13.5
2.0,4.08,20.38
1.0,0.0,13.8
1.0,2.15,12.95
2.0,0.0,14.8
4.0,0.0,10.3
2.0,10.0,73.1
2.0,5.46,32.76
1.0,7.1,42.7
1.0,4.0,38.05
1.0,2.56,15.36
3.0,0.0,11.3
1.0,0.0,75.3
3.0,1.0,14.8
1.0,1.7,14.0
3.0,1.45,8.75
1.0,1.03,11.33
1.0,1.0,16.3
1.0,2.75,16.55
4.0,4.55,19.85
1.0,1.0,10.3
1.0,0.0,24.8
1.0,7.71,39.81
3.0,2.65,15.95
1.0,12.62,75.72
1.0,2.56,15.36
1.0,0.0,20.8
1.0,0.0,44.05
1.0,2.0,12.8
1.0,2.0,21.3
1.0,12.37,75.47
4.0,4.46,26.76
1.0,2.75,12.05
1.0,1.5,14.8
1.0,3.85,23.15
1.0,0.0,33.55
1.0,0.0,13.3
2.0,0.0,44.6
1.0,0.0,13.3
1.0,1.2,10.0
2.0,1.76,10.56
1.0,3.16,18.96
4.0,1.0,15.8
3.0,1.5,15.3
3.0,0.0,15.8
2.0,4.26,25.56
1.0,4.35,26.15
0.0,3.06,18.36
1.0,2.45,14.75
1.0,0.0,13.3
1.0,4.14,17.94
1.0,2.36,14.16
2.0,0.0,5.3
1.0,1.2,9.0
2.0,0.0,18.3
6.0,0.0,20.8
6.0,2.5,15.3
1.0,1.57,7.87
1.0,3.0,21.3
1.0,1.0,16.8
1.0,1.46,8.76
1.0,0.0,9.8
1.0,0.0,12.05
1.0,0.0,39.55
1.0,0.0,54.55
1.0,0.96,5.76
1.0,2.0,12.3
2.0,2.06,12.36
1.0,0.0,22.3
1.0,14.51,77.61
1.0,0.0,18.3
1.0,2.15,12.95
1.0,4.56,27.36
0.0,0.0,3.3
1.0,0.0,3.3
1.0,0.0,3.3
1.0,0.76,4.56
6.0,0.0,3.3
1.0,2.05,12.35
1.0,2.25,13.55
1.0,4.76,28.56
1.0,2.66,15.96
2.0,0.0,11.3
1.0,0.0,9.8
1.0,1.76,10.56
1.0,1.46,8.76
1.0,2.13,23.43
1.0,3.56,21.36
2.0,1.4,10.7
2.0,0.0,19.3
1.0,0.93,10.23
1.0,12.6,75.7
2.0,1.36,8.16
1.0,0.0,9.3
2.0,4.05,24.35
1.0,10.0,60.1
1.0,1.66,9.96
1.0,0.5,12.8
2.0,0.0,13.8
1.0,0.0,12.3
2.0,0.0,20.3
1.0,2.0,23.8
1.0,2.0,15.3
3.0,1.96,11.76
2.0,0.0,10.3
2.0,0.0,10.3
2.0,1.76,10.56
2.0,0.0,12.8
1.0,0.0,14.3
1.0,2.95,17.75
0.0,1.96,11.76
1.0,6.84,29.64
1.0,0.0,10.8
1.0,4.46,26.76
2.0,4.65,27.95
0.0,10.7,53.55
3.0,0.0,44.05
1.0,12.6,75.7
0.0,2.55,15.35
1.0,0.0,79.55
2.0,2.55,12.85
2.0,1.5,24.8
1.0,2.2,11.0
1.0,1.65,9.95
1.0,1.0,14.3
1.0,2.22,17.02
1.0,2.96,17.76
1.0,6.7,40.25
2.0,2.95,17.75
2.0,1.62,12.42
4.0,2.25,13.55
1.0,7.77,46.62
1.0,3.0,28.3
2.0,12.37,75.47
1.0,0.0,16.3
1.0,2.2,17.0
1.0,0.66,3.96
1.0,1.46,8.76
1.0,0.0,12.8
1.0,2.0,10.8
1.0,5.04,50.89
1.0,11.3,67.85
1.0,2.15,12.95
1.0,2.15,12.95
1.0,0.5,10.8
2.0,2.25,13.55
1.0,0.0,21.3
1.0,0.0,8.8
1.0,3.76,22.56
1.0,0.0,21.8
0.0,2.0,16.3
0.0,3.35,14.65
0.0,0.0,4.8
2.0,1.55,9.35
1.0,0.0,55.3
3.0,4.36,26.16
3.0,2.32,11.62
4.0,3.0,14.8
4.0,0.0,13.8
3.0,1.77,13.57
1.0,8.0,52.05
1.0,20.35,89.45
1.0,2.06,12.36
1.0,2.15,12.95
1.0,0.0,8.8
2.0,1.56,9.36
2.0,0.0,10.8
1.0,2.46,14.76
2.0,0.0,45.35
1.0,2.85,14.15
1.0,0.0,7.3
1.0,0.0,13.3
1.0,1.0,9.3
1.0,0.0,26.55
1.0,3.05,18.35
2.0,1.66,9.96
2.0,0.0,18.3
2.0,2.26,13.56
2.0,1.77,13.57
2.0,3.0,25.3
2.0,5.0,45.8
6.0,1.96,11.76
5.0,2.08,22.88
2.0,7.12,42.72
2.0,1.0,9.8
2.0,1.96,11.76
2.0,0.0,12.8
4.0,0.0,11.8
1.0,3.12,23.92
1.0,0.0,9.3
2.0,2.06,12.36
1.0,2.2,11.0
1.0,1.96,11.76
1.0,2.05,12.35
2.0,1.55,9.35
1.0,0.0,10.8
2.0,1.66,9.96
2.0,0.0,9.8
2.0,0.0,22.8
2.0,0.0,7.3
1.0,2.45,85.0
1.0,2.76,16.56
1.0,4.5,41.35
6.0,1.2,25.0
6.0,0.0,11.8
1.0,4.0,19.3
1.0,1.5,14.3
1.0,7.7,38.5
1.0,5.0,21.8
1.0,5.45,27.25
1.0,1.0,8.8
2.0,2.2,16.0
2.0,8.15,49.0
1.0,2.64,11.44
1.0,0.0,9.8
1.0,1.76,10.56
1.0,0.0,21.3
2.0,2.25,16.05
2.0,1.0,10.3
1.0,0.0,12.8
0.0,0.0,6.8
1.0,0.0,22.8
1.0,0.0,63.1
1.0,2.55,12.85
2.0,0.0,17.8
2.0,3.76,22.56
1.0,0.0,9.3
1.0,0.0,25.0
1.0,0.0,24.0
1.0,0.0,14.3
1.0,2.06,12.36
4.0,2.49,10.79
1.0,0.0,13.3
1.0,0.0,19.8
1.0,0.0,7.3
1.0,0.0,7.8
1.0,2.0,7.8
2.0,4.14,17.94
3.0,3.95,19.75
1.0,2.64,11.44
1.0,2.0,12.8
1.0,1.4,10.7
1.0,2.26,13.56
4.0,2.85,17.15
1.0,2.8,14.1
2.0,2.0,10.3
1.0,1.5,16.3
1.0,6.9,41.5
1.0,2.36,14.16
1.0,7.08,35.38
1.0,3.76,22.56
1.0,4.86,29.16
1.0,4.44,19.24
1.0,1.86,11.16
1.0,0.0,13.3
1.0,3.06,18.36
1.0,2.26,13.56
1.0,0.0,15.8
1.0,11.31,67.86
1.0,2.26,13.56
1.0,2.16,12.96
1.0,0.0,9.3
2.0,1.86,11.16
1.0,2.2,16.0
2.0,1.96,11.76
2.0,0.0,7.8
2.0,2.32,11.62
2.0,2.82,21.62
1.0,3.46,20.76
1.0,2.46,14.76
1.0,2.16,12.96
2.0,8.48,65.03
2.0,5.0,66.85
1.0,0.0,12.8
2.0,2.55,15.35
2.0,3.05,18.35
3.0,0.0,11.8
1.0,15.0,75.0
2.0,3.5,39.85
1.0,10.0,60.85
1.0,12.0,75.1
3.0,0.0,24.8
1.0,0.0,21.3
2.0,4.05,24.35
3.0,0.0,16.8
1.0,3.0,13.8
1.0,0.0,13.3
1.0,2.26,13.56
1.0,1.95,9.75
1.0,1.96,11.76
1.0,2.05,12.35
3.0,1.0,9.3
1.0,3.46,20.76
1.0,0.0,12.3
1.0,3.35,20.15
1.0,5.3,23.1
0.0,9.02,54.12
1.0,2.8,14.1
1.0,3.05,18.35
1.0,15.01,90.06
1.0,1.0,12.3
1.0,1.96,11.76
1.0,0.0,12.3
2.0,0.0,24.3
1.0,6.66,39.96
0.0,1.75,10.55
0.0,0.0,15.3
0.0,2.55,15.35
0.0,3.35,14.65
0.0,1.95,11.75
1.0,8.27,49.62
3.0,2.0,24.8
1.0,2.0,14.8
1.0,11.05,66.35
1.0,8.32,49.92
3.0,13.18,79.08
1.0,0.0,11.3
1.0,0.0,11.3
1.0,0.0,17.3
1.0,2.0,10.3
1.0,2.55,15.35
1.0,2.0,26.3
1.0,0.0,10.8
1.0,2.2,14.0
1.0,2.46,14.76
1.0,1.95,11.75
1.0,1.45,8.75
1.0,0.0,8.8
1.0,1.0,16.3
1.0,4.36,26.16
2.0,3.65,15.95
4.0,0.0,15.3
2.0,2.5,19.8
1.0,2.0,21.8
1.0,0.0,12.8
1.0,3.26,19.56
1.0,2.15,12.95
1.0,1.0,13.3
1.0,2.05,12.35
1.0,1.75,10.05
2.0,3.45,20.75
1.0,5.05,30.35
1.0,1.86,11.16
1.0,1.38,15.18
1.0,2.46,14.76
2.0,0.0,18.3
1.0,0.0,33.55
1.0,1.0,8.3
2.0,5.0,33.35
1.0,2.15,12.95
1.0,0.0,18.8
3.0,2.26,13.56
3.0,0.0,7.8
3.0,3.76,22.56
3.0,1.0,11.3
1.0,1.2,13.0
1.0,2.0,15.8
1.0,0.0,10.3
1.0,3.36,20.16
1.0,2.08,10.38
1.0,3.7,18.5
0.0,2.45,14.75
0.0,4.15,24.95
2.0,1.96,11.76
2.0,3.16,18.96
1.0,2.66,15.96
1.0,2.76,16.56
1.0,0.0,5.8
1.0,3.35,20.15
1.0,0.0,38.05
0.0,1.7,8.5
1.0,1.55,9.35
1.0,0.0,4.3
4.0,3.55,21.35
2.0,2.0,11.8
2.0,2.5,15.8
1.0,5.76,34.56
1.0,12.62,75.72
2.0,2.82,21.62
1.0,1.86,11.16
1.0,2.36,14.16
2.0,3.16,18.96
1.0,2.26,13.56
1.0,1.0,9.8
1.0,1.88,20.68
1.0,2.34,10.14
2.0,20.01,120.06
1.0,7.95,47.8
1.0,0.0,10.3
1.0,1.66,9.96
1.0,1.95,11.75
2.0,0.0,12.3
4.0,0.0,11.8
3.0,0.0,9.8
2.0,0.0,12.8
2.0,14.1,70.65
1.0,1.75,10.55
1.0,2.7,13.5
1.0,3.26,19.56
1.0,2.36,14.16
1.0,0.0,41.8
1.0,13.3,79.85
1.0,1.0,9.3
1.0,2.16,12.96
1.0,3.36,20.16
1.0,0.0,7.3
1.0,2.0,13.8
3.0,1.85,11.15
2.0,2.76,16.56
1.0,3.45,20.75
1.0,2.36,14.16
1.0,3.26,19.56
1.0,3.06,18.36
1.0,2.16,12.96
1.0,0.0,13.3
1.0,9.2,55.3
1.0,3.7,12.0
1.0,3.26,19.56
2.0,4.58,22.88
1.0,12.37,75.47
1.0,0.0,14.8
1.0,0.0,55.3
1.0,3.15,18.95
1.0,0.0,8.3
1.0,1.76,10.56
1.0,1.66,9.96
1.0,2.0,22.8
1.0,0.0,18.3
2.0,2.75,16.55
2.0,4.7,60.0
1.0,0.0,23.3
1.0,3.75,22.55
1.0,2.65,15.95
1.0,5.0,49.35
1.0,7.41,44.46
1.0,0.0,11.3
1.0,1.5,12.8
1.0,2.66,15.96
1.0,1.86,11.16
1.0,2.16,12.96
1.0,3.8,22.85
1.0,2.66,15.96
2.0,0.0,20.8
1.0,1.96,11.76
1.0,0.0,12.3
1.0,0.0,16.3
1.0,8.97,53.82
1.0,0.0,40.35
1.0,3.08,15.38
2.0,2.0,13.8
2.0,1.76,10.56
2.0,1.0,11.3
2.0,3.96,23.76
1.0,1.0,11.8
1.0,2.0,21.3
1.0,1.66,9.96
1.0,10.0,109.05
1.0,3.86,23.16
2.0,0.0,19.3
1.0,1.95,11.75
1.0,0.0,63.1
1.0,0.0,34.85
6.0,0.0,9.8
6.0,0.0,9.8
6.0,5.66,33.96
4.0,0.0,39.6
1.0,1.92,14.72
1.0,1.59,14.89
1.0,2.0,11.8
1.0,0.0,27.8
1.0,1.86,11.16
1.0,2.0,9.8
1.0,8.17,49.02
2.0,0.0,9.8
2.0,1.08,11.88
3.0,3.95,23.75
2.0,1.76,10.56
2.0,4.7,23.5
1.0,0.0,6.8
1.0,0.0,9.3
1.0,3.0,17.3
1.0,4.36,26.16
1.0,2.2,11.0
1.0,0.0,12.8
1.0,2.16,12.96
1.0,2.45,12.25
1.0,0.0,19.3
3.0,0.0,8.3
1.0,1.75,10.55
2.0,1.73,19.03
1.0,4.86,29.16
1.0,4.7,36.0
1.0,2.95,14.75
1.0,5.0,16.8
1.0,0.0,13.8
1.0,2.06,12.36
1.0,3.96,23.76
1.0,0.0,10.8
1.0,3.05,18.35
1.0,2.76,16.56
1.0,0.0,16.8
1.0,0.0,6.3
1.0,3.0,29.8
1.0,3.0,44.85
1.0,2.95,14.75
1.0,1.0,12.8
1.0,3.0,19.3
1.0,2.26,13.56
1.0,6.02,46.12
1.0,0.0,11.3
1.0,1.85,11.15
1.0,0.0,60.6
1.0,2.0,12.8
1.0,3.06,18.36
1.0,1.46,8.76
1.0,0.0,14.8
2.0,1.5,14.8
1.0,2.95,17.75
1.0,8.27,49.62
1.0,0.0,3.8
1.0,4.55,19.85
1.0,1.0,11.8
2.0,0.0,21.3
2.0,0.0,30.3
1.0,0.0,4.55
1.0,2.58,12.88
1.0,0.0,8.8
1.0,3.06,18.36
1.0,1.0,13.3
1.0,0.0,17.05
1.0,0.0,9.3
2.0,1.95,11.75
3.0,1.0,15.8
1.0,1.0,13.8
1.0,3.2,16.0
1.0,0.0,11.8
1.0,3.5,24.8
2.0,3.15,18.95
1.0,4.16,24.96
4.0,2.34,10.14
1.0,2.06,12.36
1.0,3.5,15.3
3.0,1.0,11.3
2.0,4.25,25.55
1.0,3.8,19.1
1.0,3.95,23.75
1.0,2.95,17.75
1.0,1.0,13.8
2.0,0.0,11.3
1.0,0.0,63.1
1.0,5.7,28.5
2.0,2.0,10.8
1.0,2.06,12.36
1.0,0.0,43.35
2.0,5.26,31.56
1.0,1.62,12.42
1.0,3.95,19.75
1.0,2.06,12.36
6.0,1.13,12.43
6.0,0.0,-8.3
6.0,0.0,8.3
6.0,2.7,13.5
6.0,3.69,15.99
1.0,2.0,16.3
1.0,2.96,17.76
1.0,2.66,15.96
2.0,0.0,21.3
2.0,0.0,28.3
1.0,3.45,20.75
1.0,0.0,14.8
1.0,2.06,12.36
1.0,1.0,18.8
1.0,1.0,17.3
1.0,2.0,10.8
1.0,8.09,41.69
1.0,1.76,10.56
1.0,6.97,41.82
1.0,8.17,50.27
1.0,0.0,61.85
1.0,1.4,10.7
2.0,5.0,18.8
3.0,2.6,19.9
1.0,1.86,11.16
1.0,1.76,10.56
1.0,1.56,9.36
2.0,7.35,44.2
2.0,12.35,74.2
1.0,1.65,9.95
1.0,1.46,8.76
1.0,1.85,14.15
2.0,1.47,11.27
2.0,8.7,44.75
3.0,2.86,17.16
2.0,4.06,24.36
2.0,4.96,29.76
1.0,2.28,25.08
1.0,1.0,16.8
1.0,1.0,10.8
1.0,3.55,21.35
5.0,2.3,11.6
3.0,0.54,11.34
2.0,2.06,12.36
1.0,2.0,13.8
1.0,1.95,9.75
2.0,3.76,22.56
1.0,5.06,30.36
2.0,1.32,10.12
1.0,0.0,9.8
2.0,2.2,11.0
1.0,0.0,10.8
1.0,1.85,11.15
2.0,0.0,9.3
1.0,1.46,8.76
1.0,2.76,16.56
1.0,2.16,12.96
1.0,2.06,12.36
3.0,6.69,28.99
2.0,2.86,17.16
2.0,1.24,9.54
2.0,0.0,18.3
2.0,1.66,9.96
2.0,3.75,22.55
2.0,7.47,44.82
1.0,0.0,13.3
2.0,0.0,61.85
1.0,10.0,73.1
1.0,1.86,11.16
3.0,5.0,47.6
1.0,4.95,29.75
1.0,2.0,15.3
2.0,17.92,107.52
1.0,0.94,8.74
1.0,0.02,7.32
1.0,2.0,11.3
1.0,2.0,11.8
2.0,4.46,26.76
4.0,0.0,16.3
1.0,1.32,10.12
2.0,1.66,9.96
2.0,3.2,16.0
1.0,0.0,6.3
1.0,0.0,8.3
1.0,4.44,19.24
1.0,1.86,11.16
1.0,2.86,17.16
1.0,3.95,19.75
1.0,4.29,18.59
1.0,2.46,14.76
6.0,0.0,13.3
6.0,2.16,12.96
6.0,2.0,23.8
6.0,1.66,9.96
1.0,0.0,23.0
1.0,5.46,32.76
1.0,15.11,90.66
2.0,2.36,14.16
1.0,3.36,20.16
0.0,6.05,36.35
0.0,3.75,22.55
1.0,2.0,13.3
1.0,6.7,33.5
1.0,2.05,12.35
0.0,1.95,11.75
0.0,1.3,15.1
2.0,12.66,75.96
2.0,1.24,9.54
2.0,2.06,12.36
3.0,3.16,18.96
1.0,1.5,18.8
1.0,0.0,9.8
1.0,1.82,9.12
1.0,3.06,18.36
2.0,0.0,10.3
1.0,5.08,25.38
1.0,1.2,14.0
1.0,3.56,21.36
1.0,2.46,14.76
1.0,1.95,9.75
1.0,2.16,12.96
1.0,1.76,10.56
1.0,2.94,12.74
1.0,2.0,18.8
1.0,1.96,11.76
1.0,0.0,9.8
1.0,0.0,9.3
1.0,2.25,13.55
1.0,2.0,12.8
2.0,4.0,15.3
2.0,1.65,9.95
1.0,0.88,9.68
1.0,2.76,16.56
1.0,0.0,11.8
0.0,3.0,12.3
0.0,4.05,24.35
1.0,4.35,26.15
2.0,2.55,15.35
6.0,0.0,22.3
1.0,6.46,38.76
1.0,0.0,13.8
1.0,0.0,8.8
1.0,2.36,14.16
2.0,3.26,19.56
4.0,0.0,13.8
1.0,0.0,7.8
2.0,2.75,16.55
2.0,2.05,12.35
3.0,2.16,12.96
1.0,1.96,11.76
1.0,0.0,21.3
1.0,3.16,18.96
1.0,5.0,20.3
1.0,1.0,10.3
1.0,0.0,17.8
1.0,2.95,14.75
1.0,1.66,9.96
1.0,1.0,9.3
4.0,5.3,23.1
1.0,1.0,8.8
1.0,16.59,71.89
1.0,0.0,11.3
2.0,4.06,24.36
1.0,2.36,14.16
2.0,0.0,18.3
1.0,1.7,14.0
3.0,3.16,18.96
5.0,18.93,82.03
1.0,2.06,12.36
1.0,0.78,8.58
1.0,0.0,23.8
1.0,2.66,15.96
2.0,1.5,24.8
1.0,1.66,9.96
2.0,1.45,8.75
1.0,1.5,14.8
0.0,0.0,14.8
1.0,4.55,27.35
1.0,7.87,48.47
1.0,5.66,33.96
2.0,2.35,14.15
3.0,2.35,14.15
2.0,5.3,23.1
4.0,16.91,101.46
1.0,4.26,25.56
1.0,4.26,25.56
1.0,2.36,14.16
0.0,4.75,28.55
0.0,1.65,9.95
0.0,1.1,12.4
3.0,3.16,18.96
2.0,5.36,32.16
1.0,1.0,15.8
0.0,0.0,11.8
1.0,1.76,10.56
1.0,0.0,9.8
2.0,1.35,8.15
1.0,0.0,15.8
1.0,1.92,14.72
1.0,0.0,12.3
2.0,1.0,47.85
1.0,1.96,11.76
1.0,5.16,30.96
3.0,4.66,27.96
1.0,2.0,11.3
1.0,0.0,8.3
1.0,12.62,75.72
0.0,0.0,22.8
1.0,1.55,9.35
2.0,0.0,16.3
2.0,1.65,9.95
1.0,1.75,10.55
1.0,1.55,9.35
2.0,0.0,9.3
2.0,3.69,15.99
1.0,0.0,8.8
1.0,3.36,20.16
1.0,0.0,11.3
1.0,4.86,29.16
1.0,4.95,29.75
1.0,0.0,15.3
1.0,2.26,13.56
1.0,1.76,10.56
1.0,2.96,17.76
1.0,0.0,7.8
1.0,1.0,11.3
1.0,1.86,11.16
1.0,2.0,9.8
1.0,0.0,9.3
1.0,2.96,17.76
1.0,2.05,12.35
2.0,3.35,14.65
2.0,2.45,14.75
2.0,2.4,30.0
1.0,1.0,13.8
1.0,3.56,21.36
4.0,2.86,17.16
1.0,2.26,13.56
1.0,2.46,14.76
1.0,0.0,11.8
1.0,3.0,14.8
1.0,0.0,14.3
1.0,0.0,6.8
1.0,0.0,12.3
1.0,2.05,12.35
1.0,3.05,18.35
1.0,1.48,16.28
2.0,12.37,75.47
2.0,1.76,10.56
2.0,2.08,10.38
2.0,2.15,9.45
1.0,1.96,11.76
1.0,0.0,10.3
2.0,0.0,19.8
1.0,1.86,11.16
1.0,5.26,31.56
1.0,0.0,9.3
2.0,2.0,15.3
0.0,8.55,51.4
1.0,1.77,13.57
2.0,1.86,11.16
1.0,4.16,24.96
1.0,5.34,23.14
1.0,2.06,12.36
1.0,1.02,10.32
1.0,1.76,10.56
1.0,1.5,16.8
4.0,1.86,11.16
1.0,2.86,17.16
1.0,1.56,9.36
1.0,3.06,18.36
1.0,1.66,9.96
2.0,2.06,12.36
1.0,1.66,9.96
1.0,0.0,16.3
3.0,1.0,8.8
1.0,1.54,11.84
1.0,2.52,19.32
1.0,0.0,9.8
1.0,2.66,15.96
4.0,5.0,47.35
1.0,2.0,19.8
1.0,9.09,39.39
1.0,4.16,24.96
1.0,2.06,12.36
1.0,0.0,14.3
1.0,1.54,11.84
1.0,0.0,7.8
1.0,4.26,25.56
2.0,2.96,17.76
6.0,0.0,13.8
5.0,3.36,20.16
2.0,1.46,8.76
3.0,3.15,30.0
2.0,2.45,14.75
2.0,0.0,13.3
2.0,4.76,28.56
2.0,2.35,14.15
1.0,2.45,10.75
1.0,0.0,9.8
2.0,0.0,12.8
1.0,2.06,12.36
2.0,4.5,38.3
1.0,4.08,20.38
1.0,1.0,12.3
1.0,2.16,12.96
1.0,0.0,17.3
2.0,5.25,31.55
1.0,5.46,32.76
3.0,3.06,18.36
1.0,0.0,22.8
1.0,11.05,66.35
1.0,2.96,17.76
1.0,1.2,7.0
1.0,2.36,14.16
4.0,2.96,17.76
1.0,1.7,21.0
1.0,2.36,14.16
4.0,2.36,14.16
1.0,1.2,10.5
2.0,0.0,10.3
1.0,0.0,15.8
1.0,7.5,53.6
1.0,7.85,47.2
1.0,4.76,28.56
1.0,11.0,20.3
1.0,1.86,11.16
2.0,2.26,13.56
1.0,1.86,11.16
2.0,1.08,11.88
2.0,3.86,23.16
2.0,8.0,71.1
1.0,0.0,61.85
1.0,0.0,11.3
2.0,4.8,24.1
1.0,1.92,14.72
1.0,1.0,15.3
1.0,5.7,28.5
1.0,0.0,20.3
1.0,15.66,93.96
2.0,2.36,14.16
2.0,0.0,14.8
2.0,5.06,30.36
1.0,5.36,32.16
1.0,3.0,39.8
0.0,3.45,20.75
1.0,2.0,15.8
1.0,0.0,33.3
1.0,0.0,8.8
1.0,3.15,18.95
1.0,2.0,51.6
1.0,1.86,11.16
1.0,3.26,19.56
1.0,1.96,11.76
1.0,1.86,11.16
1.0,3.55,21.35
2.0,1.45,8.75
2.0,0.0,11.3
1.0,4.05,20.35
2.0,2.3,17.6
2.0,2.2,15.0
