passenger_count,tip_amount,total_amount
1.0,2.66,15.96
1.0,0.0,37.05
1.0,1.42,13.22
1.0,0.0,28.55
1.0,0.0,32.55
4.0,0.0,16.8
1.0,3.45,17.25
2.0,5.15,30.95
1.0,4.95,24.75
1.0,0.0,17.3
2.0,12.12,72.72
1.0,0.0,18.8
3.0,3.0,15.8
2.0,3.15,18.95
1.0,2.6,11.4
1.0,17.8,106.85
3.0,0.0,47.1
1.0,2.2,18.5
1.0,0.0,-8.8
1.0,0.0,8.8
1.0,1.0,9.3
5.0,2.86,17.16
1.0,3.06,18.36
1.0,9.86,60.41
2.0,2.0,10.8
2.0,4.16,24.96
2.0,1.77,13.57
1.0,0.0,28.3
0.0,4.15,24.95
2.0,0.0,6.8
1.0,3.86,23.16
1.0,1.96,11.76
5.0,0.0,63.1
1.0,6.97,41.82
1.0,2.46,14.76
1.0,0.0,-8.8
1.0,0.0,8.8
1.0,0.0,16.8
1.0,2.33,11.63
1.0,4.08,20.38
3.0,3.76,22.56
2.0,2.66,15.96
2.0,1.86,11.16
2.0,0.0,23.8
2.0,2.96,17.76
1.0,1.96,11.76
1.0,3.06,18.36
1.0,17.6,105.7
1.0,0.0,9.8
2.0,0.0,44.3
1.0,1.38,15.18
1.0,2.49,10.79
1.0,0.0,10.3
1.0,2.0,24.3
2.0,12.37,75.47
1.0,0.1,116.7
1.0,1.33,14.63
1.0,0.0,5.8
1.0,4.0,20.3
1.0,1.86,11.16
1.0,1.46,8.76
1.0,2.19,9.49
1.0,4.16,24.96
1.0,3.0,36.05
1.0,4.14,17.94
1.0,2.0,9.3
1.0,3.94,30.24
1.0,0.0,16.3
1.0,3.86,23.16
1.0,6.0,62.55
1.0,0.0,21.55
1.0,12.6,75.7
2.0,1.96,11.76
1.0,2.96,17.76
1.0,2.0,16.8
1.0,2.15,12.95
1.0,2.46,14.76
1.0,3.69,15.99
1.0,2.66,15.96
1.0,6.82,34.12
1.0,2.86,17.16
1.0,1.86,11.16
4.0,0.0,14.8
1.0,1.4,10.7
1.0,0.0,8.3
1.0,0.0,10.8
1.0,0.0,13.8
1.0,3.58,17.88
0.0,0.0,11.8
1.0,0.0,8.3
1.0,1.2,12.0
1.0,0.0,37.1
1.0,1.96,11.76
1.0,2.0,19.3
1.0,0.0,17.3
1.0,0.0,7.3
1.0,2.0,13.3
1.0,1.56,9.36
4.0,1.5,9.8
3.0,2.26,13.56
4.0,0.0,19.8
2.0,3.76,22.56
1.0,0.0,-16.8
1.0,0.0,16.8
4.0,0.0,10.3
1.0,2.36,14.16
2.0,1.75,10.55
3.0,0.0,14.3
1.0,3.05,18.35
1.0,3.5,15.3
1.0,6.31,69.41
1.0,2.85,17.15
1.0,2.7,13.5
2.0,0.0,43.1
3.0,2.06,12.36
1.0,0.0,-7.8
1.0,0.0,7.8
1.0,2.66,15.96
2.0,2.25,13.55
1.0,2.05,10.35
1.0,2.0,14.3
1.0,0.0,32.55
1.0,0.0,5.8
1.0,8.92,53.52
3.0,0.0,-13.8
3.0,0.0,13.8
1.0,1.56,9.36
3.0,3.33,23.63
1.0,1.38,15.18
1.0,2.96,17.76
1.0,1.0,7.8
1.0,0.0,8.3
1.0,8.0,103.05
1.0,1.0,15.8
1.0,3.46,20.76
1.0,2.05,12.35
3.0,4.7,23.5
1.0,2.75,16.55
1.0,0.7,13.0
1.0,3.15,18.95
1.0,0.0,16.3
1.0,2.95,14.75
1.0,3.0,15.8
1.0,3.96,23.76
2.0,0.0,19.3
2.0,7.39,36.94
2.0,2.76,16.56
1.0,0.0,8.8
1.0,3.0,11.3
1.0,0.5,9.8
1.0,0.0,8.8
1.0,3.45,17.25
3.0,2.94,12.74
1.0,3.2,16.0
1.0,3.26,19.56
1.0,3.96,23.76
1.0,8.42,50.52
1.0,2.0,21.8
1.0,2.46,14.76
1.0,2.26,13.56
2.0,5.0,33.8
1.0,0.0,10.3
1.0,2.0,13.8
1.0,2.49,10.79
1.0,2.76,16.56
2.0,0.0,13.3
1.0,2.15,12.95
1.0,2.35,14.15
1.0,3.54,15.34
2.0,0.0,7.8
2.0,1.76,10.56
3.0,12.62,75.72
1.0,9.82,58.92
2.0,4.85,29.1
1.0,0.0,38.85
1.0,1.46,8.76
1.0,1.56,9.36
1.0,2.16,12.96
1.0,2.07,15.87
1.0,2.75,21.05
1.0,5.0,12.3
2.0,0.0,13.8
1.0,6.66,41.21
1.0,2.45,14.75
1.0,4.0,27.8
1.0,0.0,18.8
1.0,2.36,14.16
1.0,0.0,8.8
1.0,0.0,12.3
1.0,0.0,16.3
1.0,2.06,12.36
1.0,3.58,17.88
1.0,2.0,12.8
1.0,1.0,12.8
1.0,2.85,17.15
2.0,2.0,14.8
2.0,3.09,13.39
1.0,4.36,26.16
1.0,2.76,16.56
1.0,2.0,14.3
1.0,0.0,21.8
1.0,3.5,13.8
1.0,2.55,15.35
1.0,10.0,71.85
3.0,7.72,46.32
3.0,5.16,30.96
1.0,2.36,14.16
1.0,2.56,15.36
1.0,2.45,14.75
1.0,2.0,11.3
1.0,0.0,13.3
1.0,8.67,52.02
5.0,2.75,16.55
6.0,0.0,5.8
1.0,2.37,18.17
2.0,1.0,10.8
1.0,0.84,17.64
1.0,3.0,20.3
1.0,0.73,8.03
3.0,2.16,12.96
3.0,4.0,26.8
5.0,1.86,11.16
5.0,4.82,24.12
2.0,0.0,63.1
2.0,6.96,41.76
3.0,0.0,57.6
2.0,0.0,63.1
2.0,0.0,20.3
1.0,1.0,12.3
1.0,2.46,14.76
0.0,12.6,75.7
1.0,0.0,7.3
1.0,0.0,14.8
1.0,2.0,22.3
1.0,0.0,11.3
2.0,11.3,67.85
1.0,8.0,48.85
2.0,9.27,56.87
1.0,0.0,13.3
2.0,1.47,11.27
1.0,0.0,11.8
1.0,3.47,22.77
2.0,2.66,15.96
1.0,1.0,20.3
1.0,0.0,11.3
1.0,2.07,15.87
2.0,4.26,25.56
1.0,1.96,11.76
1.0,3.58,17.88
6.0,12.62,75.72
2.0,0.0,18.3
2.0,0.0,19.3
1.0,3.35,20.15
1.0,5.94,26.99
1.0,2.85,17.15
1.0,1.56,9.36
1.0,0.0,13.8
2.0,0.0,7.3
2.0,1.0,25.3
0.0,0.0,12.3
0.0,0.0,12.8
2.0,3.54,15.34
2.0,5.45,23.75
1.0,1.9,14.2
2.0,1.2,14.5
1.0,2.49,10.79
1.0,0.0,8.3
1.0,2.66,15.96
1.0,0.0,13.3
1.0,7.5,45.05
1.0,1.0,11.8
3.0,1.55,9.35
1.0,0.0,22.8
1.0,3.5,15.3
1.0,3.75,22.55
1.0,1.36,8.16
1.0,0.78,8.58
1.0,1.66,9.96
1.0,3.32,16.62
1.0,0.0,8.3
1.0,1.86,11.16
1.0,1.75,10.55
1.0,3.45,17.25
1.0,1.0,8.8
1.0,0.0,9.8
1.0,2.05,12.35
1.0,3.55,17.85
1.0,1.65,9.95
1.0,2.66,15.96
5.0,0.0,12.8
5.0,0.0,14.3
5.0,11.0,14.3
4.0,0.0,13.3
1.0,2.2,11.0
1.0,3.08,15.38
1.0,2.2,11.0
1.0,1.2,12.5
1.0,2.0,20.8
2.0,0.0,18.3
1.0,3.33,16.63
1.0,3.08,15.38
3.0,0.0,8.3
1.0,0.0,15.3
1.0,1.66,9.96
1.0,11.57,59.12
1.0,0.0,19.3
4.0,3.05,18.35
1.0,0.0,15.3
1.0,2.33,11.63
1.0,2.86,17.16
3.0,0.0,-20.3
3.0,0.0,20.3
3.0,2.34,10.14
2.0,0.0,7.8
2.0,0.0,12.8
1.0,2.46,14.76
3.0,2.36,14.16
5.0,2.46,14.76
6.0,1.96,11.76
5.0,0.0,6.8
5.0,0.0,19.3
4.0,2.36,14.16
1.0,2.58,12.88
1.0,6.81,40.86
1.0,0.0,17.1
1.0,2.49,10.79
1.0,1.96,11.76
1.0,2.06,12.36
1.0,9.82,58.92
2.0,0.0,17.05
2.0,0.0,36.8
1.0,2.06,12.36
2.0,1.0,10.3
1.0,2.56,15.36
1.0,3.46,20.76
1.0,1.86,11.16
1.0,2.86,17.16
4.0,2.96,17.76
1.0,8.02,48.12
1.0,0.0,17.55
1.0,3.76,22.56
2.0,0.0,12.8
1.0,3.45,20.75
2.0,0.0,15.8
2.0,1.0,9.3
2.0,2.46,14.76
1.0,1.0,11.3
1.0,4.59,19.89
2.0,3.46,20.76
1.0,0.0,22.8
1.0,3.66,21.96
1.0,0.0,7.3
1.0,2.45,12.25
1.0,2.56,15.36
1.0,3.55,17.85
2.0,9.07,54.42
1.0,0.0,35.05
2.0,0.0,63.1
4.0,0.0,15.3
1.0,2.6,11.4
2.0,1.76,10.56
2.0,0.0,9.3
2.0,0.0,14.3
2.0,0.0,23.8
