passenger_count,tip_amount,total_amount
1.0,2.0,15.8
1.0,3.2,16.0
1.0,2.06,12.36
1.0,2.86,17.16
2.0,0.0,63.1
2.0,4.51,22.56
2.0,6.97,41.82
2.0,2.96,17.76
1.0,10.36,63.41
2.0,2.56,15.36
2.0,2.86,17.16
1.0,5.0,64.6
1.0,0.0,17.3
1.0,6.2,31.0
1.0,1.0,12.8
1.0,0.01,13.06
1.0,0.0,13.8
1.0,2.56,15.36
1.0,3.0,20.8
4.0,0.0,13.3
1.0,6.2,31.0
1.0,5.0,60.3
1.0,2.25,13.55
0.0,4.3,21.6
2.0,1.0,8.8
2.0,1.95,11.75
1.0,5.0,55.05
1.0,7.2,43.25
2.0,4.46,26.76
1.0,2.0,16.3
1.0,3.15,18.95
1.0,5.55,27.85
1.0,0.0,8.3
2.0,5.45,27.25
2.0,3.36,20.16
1.0,0.0,9.3
4.0,1.58,10.38
1.0,11.31,67.86
1.0,2.95,17.75
1.0,2.65,15.95
1.0,1.0,14.8
1.0,7.95,47.8
1.0,2.05,12.35
2.0,4.06,24.36
4.0,0.0,20.3
1.0,0.0,9.3
1.0,0.0,11.8
1.0,2.76,16.56
1.0,7.21,37.31
1.0,2.66,15.96
1.0,5.76,34.56
1.0,1.0,10.8
2.0,3.06,18.36
1.0,0.98,10.78
1.0,1.0,12.8
1.0,6.76,40.56
1.0,0.0,5.05
1.0,0.0,63.1
1.0,1.0,12.3
1.0,5.58,27.88
1.0,3.0,43.1
1.0,2.36,14.16
2.0,4.16,24.96
1.0,5.0,38.3
1.0,2.2,11.0
2.0,0.0,9.3
1.0,2.2,11.0
2.0,6.06,66.66
2.0,5.0,39.6
1.0,2.0,18.3
1.0,2.19,9.49
2.0,1.0,10.8
1.0,2.25,13.55
2.0,2.55,15.35
1.0,5.0,22.05
1.0,4.59,19.89
2.0,11.3,67.85
1.0,3.36,20.16
2.0,2.0,13.8
2.0,0.0,19.3
1.0,3.26,19.56
1.0,3.08,15.38
1.0,3.86,23.16
1.0,0.0,11.3
2.0,2.76,16.56
1.0,3.39,14.69
1.0,3.46,20.76
1.0,2.15,12.95
2.0,0.98,10.78
3.0,2.0,24.8
1.0,5.45,32.75
2.0,0.0,13.3
1.0,2.65,15.95
1.0,3.56,21.36
1.0,0.0,15.8
2.0,6.46,38.76
1.0,5.56,33.36
1.0,2.46,14.76
1.0,2.26,13.56
1.0,1.96,11.76
0.0,0.0,8.3
0.0,2.85,17.15
0.0,6.15,36.95
1.0,2.26,13.56
1.0,2.79,12.09
1.0,2.64,11.44
1.0,2.46,14.76
2.0,8.0,48.1
3.0,0.0,18.3
2.0,3.0,11.8
2.0,2.96,17.76
2.0,2.26,13.56
2.0,2.36,14.16
1.0,1.96,11.76
1.0,2.25,13.55
1.0,0.0,9.8
1.0,2.36,14.16
1.0,3.84,16.64
1.0,3.56,21.36
1.0,2.06,12.36
1.0,0.0,20.3
1.0,2.16,12.96
2.0,2.26,13.56
2.0,0.0,13.8
5.0,4.2,21.0
5.0,1.0,10.8
5.0,1.96,11.76
1.0,2.76,16.56
1.0,1.0,9.3
1.0,2.56,15.36
1.0,2.26,13.56
1.0,2.66,15.96
1.0,0.0,17.3
1.0,7.0,28.3
2.0,7.45,44.75
1.0,3.06,18.36
1.0,2.19,9.49
1.0,3.0,15.8
1.0,2.55,15.35
1.0,3.95,23.75
1.0,2.0,14.55
1.0,5.86,35.16
1.0,4.0,25.3
1.0,11.31,67.86
1.0,15.0,43.8
1.0,3.0,20.3
1.0,0.0,39.8
1.0,4.35,26.15
1.0,5.1,25.4
1.0,0.0,35.55
1.0,2.76,16.56
1.0,3.95,19.75
1.0,0.0,23.3
1.0,1.94,12.74
1.0,3.26,19.56
1.0,2.36,14.16
1.0,2.22,17.02
1.0,3.54,15.34
1.0,1.0,9.3
1.0,2.66,15.96
1.0,3.36,20.16
1.0,2.36,14.16
2.0,11.87,72.47
3.0,1.23,13.53
2.0,1.7,14.0
2.0,0.0,-9.8
2.0,0.0,9.8
2.0,1.13,12.43
2.0,2.75,16.55
0.0,3.35,20.15
1.0,2.7,13.5
1.0,1.66,9.96
2.0,1.83,20.13
1.0,3.8,19.1
1.0,4.96,29.76
1.0,6.05,30.35
1.0,3.35,20.15
1.0,6.06,66.66
1.0,0.0,39.6
