passenger_count,tip_amount,total_amount
"",2.93,16.18
"",3.0,16.3
"",2.0,20.49
"",5.7,45.7
"",3.26,17.96
"",2.09,20.95
"",2.77,27.75
"",3.2,17.65
"",7.9,55.95
"",10.95,65.13
"",4.26,48.81
"",6.91,41.51
"",3.45,19.02
"",1.85,14.15
"",4.07,22.42
"",2.92,16.17
"",0.0,12.35
"",1.47,14.74
"",2.24,22.41
"",1.76,10.56
"",2.46,14.76
"",10.56,50.82
"",9.16,50.35
"",2.4,20.4
"",7.05,38.76
"",1.68,16.87
"",3.82,21.04
"",3.2,17.63
"",1.0,25.07
"",3.0,16.54
"",2.19,15.45
"",2.76,16.56
"",0.0,24.15
"",0.0,33.56
"",11.37,63.16
"",2.0,15.3
"",15.22,77.16
"",2.2,15.46
"",4.45,22.25
"",4.19,23.06
"",2.93,16.18
"",4.5,20.69
"",3.81,20.99
"",2.0,51.27
"",2.92,16.17
"",4.06,22.35
"",3.8,22.83
"",0.0,33.35
"",2.92,16.17
"",2.63,15.88
"",6.43,36.04
"",6.79,50.03
"",2.0,28.97
"",14.74,118.22
"",3.49,21.0
"",3.5,26.8
"",1.43,15.73
"",2.92,16.17
"",4.32,23.78
"",2.0,17.15
"",5.25,42.25
"",0.0,18.03
"",1.55,11.85
"",5.4,43.4
"",3.97,21.87
"",4.96,27.3
"",2.15,16.45
"",6.92,31.83
"",2.13,21.33
"",0.0,13.07
"",10.0,34.76
"",3.46,19.05
"",0.0,12.98
"",0.0,16.98
"",14.64,82.99
"",5.72,31.44
"",3.84,21.14
"",2.0,16.34
"",1.67,16.72
"",11.35,55.19
"",2.1,21.0
"",19.03,80.63
"",6.0,29.11
"",1.99,15.29
"",5.04,27.75
"",8.15,37.6
"",0.0,15.47
"",7.61,53.87
"",0.73,8.03
"",11.54,56.24
"",2.0,16.17
"",11.51,63.92
"",2.92,16.17
"",1.7,17.09
"",15.22,85.02
"",0.0,36.19
"",4.32,23.77
"",1.77,13.57
"",3.97,21.87
"",9.41,47.16
"",3.27,22.92
"",5.1,28.07
"",0.0,23.5
"",2.19,15.45
"",2.81,16.92
"",2.98,16.44
"",1.39,26.47
"",3.25,17.92
"",6.94,31.92
"",7.0,38.48
"",2.07,15.87
"",12.17,88.54
"",11.42,73.7
"",3.67,20.21
"",2.99,16.47
"",4.0,24.53
"",2.92,16.17
"",6.09,46.69
"",7.77,27.74
"",1.76,10.56
"",1.65,14.65
"",3.67,20.0
"",2.0,20.69
"",2.16,12.96
"",3.9,20.48
"",4.64,24.32
"",2.0,27.05
"",3.13,20.87
"",0.98,10.78
"",0.0,41.06
"",5.68,31.9
"",2.99,19.97
"",3.43,18.03
"",13.51,76.81
"",3.26,19.56
"",2.0,24.76
"",3.18,16.73
"",2.76,16.56
"",3.18,16.73
"",1.3,16.3
"",3.18,16.73
"",6.04,33.24
"",1.96,11.76
"",2.49,24.61
"",7.17,43.02
"",1.68,16.01
"",4.25,22.28
"",2.92,16.17
"",2.92,16.17
"",5.05,19.37
"",2.37,22.42
"",2.94,16.19
"",0.0,20.66
"",2.93,16.18
"",6.6,34.44
"",2.14,20.29
"",4.67,25.44
"",0.0,12.83
"",2.0,21.18
"",3.18,16.73
"",2.63,17.54
"",3.78,19.87
"",4.47,23.41
"",2.0,16.19
"",0.0,25.5
"",3.87,20.3
"",0.0,15.51
"",2.38,15.94
"",4.54,23.77
"",0.73,21.51
"",3.0,16.6
"",5.13,28.22
"",3.81,29.62
"",0.0,38.29
"",1.95,18.57
"",5.33,29.02
"",4.08,21.42
"",7.47,33.86
"",1.0,16.92
"",5.56,29.05
"",7.57,45.42
"",3.8,19.98
"",2.0,30.66
"",0.0,9.8
"",3.18,16.73
"",2.0,20.84
"",10.33,56.16
"",15.22,85.02
"",7.23,37.7
"",1.97,18.72
"",2.45,18.75
"",4.06,24.36
"",2.6,19.9
"",2.0,15.6
"",3.87,21.31
"",7.61,77.44
"",15.22,85.02
"",13.22,72.59
"",15.22,85.02
"",4.16,23.74
"",2.86,16.41
"",0.0,25.99
"",19.03,88.81
"",4.8,25.18
"",0.0,21.02
"",3.18,16.73
"",3.18,16.73
"",5.33,35.3
"",0.0,21.74
"",2.0,21.51
"",6.44,33.63
"",1.7,37.7
"",10.55,58.09
"",2.88,27.28
"",7.67,52.99
"",4.76,26.2
"",4.36,45.61
"",0.0,12.37
"",2.0,26.65
"",3.18,16.73
"",5.53,42.38
"",15.22,85.02
"",14.52,83.99
"",5.4,30.77
"",7.81,54.75
"",0.0,21.07
"",5.13,26.84
"",0.0,31.47
"",2.16,12.96
"",0.0,16.97
"",3.47,18.94
"",3.98,21.68
"",4.21,23.17
"",10.01,55.15
"",2.2,15.46
"",0.0,21.64
"",3.0,50.55
"",4.62,35.42
"",12.79,69.48
"",4.76,24.91
"",2.43,23.07
"",6.98,36.43
"",8.5,44.29
"",0.98,17.67
"",3.58,17.88
"",11.17,66.35
"",15.22,85.02
"",1.0,14.6
"",2.0,18.03
"",3.0,16.6
"",3.34,-40.32
"",2.3,21.78
"",2.63,13.73
"",10.46,62.36
"",4.63,25.26
"",3.0,29.83
"",0.0,17.14
"",3.27,25.07
"",3.97,17.51
"",2.0,32.56
"",3.18,16.73
"",0.0,19.66
"",5.58,29.18
"",4.98,26.08
"",11.79,54.38
"",1.25,9.55
"",4.59,24.11
"",6.71,73.76
"",5.32,27.82
"",5.0,50.44
"",10.63,62.12
"",3.51,18.48
"",3.18,16.73
"",4.77,24.99
"",0.0,13.6
"",1.46,8.76
"",8.66,47.83
"",5.22,28.42
"",3.1,19.44
"",3.69,19.41
"",6.58,45.49
"",0.93,10.23
"",3.79,29.09
"",1.77,16.9
"",4.01,26.63
"",5.3,27.73
"",2.64,24.97
"",3.93,20.63
"",0.0,37.21
"",5.69,24.97
"",3.18,16.73
"",3.18,16.73
"",4.57,23.95
"",0.0,12.17
"",3.18,16.73
"",1.13,12.43
"",0.0,69.85
"",9.5,49.5
"",1.31,12.41
"",1.1,8.4
"",5.6,21.33
"",0.81,15.23
"",2.85,17.15
"",6.7,45.55
"",2.06,12.36
"",1.83,17.4
"",2.16,12.96
"",5.89,32.1
"",15.22,77.16
"",3.94,20.7
"",18.16,108.95
"",9.11,50.29
"",2.31,21.87
"",5.66,29.6
"",4.05,21.24
"",3.18,16.73
"",2.04,16.58
"",3.33,22.17
"",2.0,35.72
"",0.0,45.82
"",0.0,13.6
"",7.02,36.62
"",4.27,22.39
"",2.76,18.44
"",6.2,27.19
"",2.0,25.6
"",3.28,17.25
"",3.18,16.73
"",12.26,53.11
"",4.59,24.04
"",1.92,18.11
"",1.0,23.94
"",6.53,34.09
"",9.93,100.5
"",12.42,66.6
"",8.12,56.89
"",4.32,22.67
"",0.0,30.25
"",0.0,22.03
"",15.22,85.02
"",5.09,26.66
"",7.32,43.92
"",2.0,24.9
"",1.0,14.6
"",4.44,23.27
"",3.18,16.73
"",10.34,56.97
"",2.48,23.46
"",1.47,11.27
"",0.0,22.06
"",1.18,12.98
"",0.0,12.83
"",1.77,13.57
"",2.38,15.94
"",4.08,21.4
"",4.4,23.05
"",3.18,16.73
"",2.38,15.94
"",10.44,59.77
"",0.92,16.63
"",2.0,21.06
"",8.44,51.56
"",9.21,47.96
"",2.26,13.56
"",4.05,17.83
"",10.06,55.44
"",4.51,23.65
"",3.18,16.73
"",0.0,18.02
"",3.18,16.73
"",5.27,40.37
"",3.94,21.5
"",3.37,22.43
"",2.0,44.41
"",5.7,29.81
"",9.46,72.56
"",4.17,21.89
"",5.08,26.59
"",2.54,17.0
"",7.53,41.73
"",6.79,33.32
"",3.29,17.3
"",2.76,16.56
"",0.79,6.09
"",7.44,40.47
"",0.0,24.23
"",2.73,30.03
"",4.58,24.0
"",3.11,25.06
"",3.9,20.49
"",3.98,20.88
"",3.18,16.73
"",0.93,10.23
"",3.85,25.6
"",1.85,14.15
"",6.18,26.52
"",4.55,23.84
"",0.0,26.01
"",4.64,30.77
"",6.02,31.44
"",4.18,22.76
"",10.76,58.47
"",7.99,43.46
"",3.18,16.73
"",5.07,26.54
"",1.26,22.65
"",6.12,31.98
"",2.38,15.94
"",11.21,53.83
"",8.49,65.09
"",11.42,81.23
"",4.37,41.2
"",4.91,26.76
"",3.43,18.03
"",3.18,20.73
"",0.0,17.3
"",2.55,21.55
"",4.97,32.92
"",3.98,20.88
"",3.57,18.75
"",1.0,49.58
"",3.97,17.51
"",3.67,19.3
"",2.0,21.62
"",2.0,15.6
"",4.76,20.95
"",3.18,16.73
"",15.22,85.02
"",2.0,21.98
"",7.17,37.24
"",2.0,82.91
"",5.39,28.02
"",3.08,29.1
"",10.06,52.66
"",9.47,72.57
"",3.36,22.36
"",6.61,35.97
"",0.0,26.62
"",5.37,28.1
"",7.79,46.2
"",0.0,15.02
"",3.0,16.6
"",3.18,16.73
"",0.0,15.21
"",3.51,18.46
"",4.78,25.03
"",5.88,30.73
"",2.0,15.6
"",1.9,18.04
"",2.0,38.94
"",15.22,85.02
"",3.18,16.73
"",3.77,26.1
"",2.0,16.57
"",4.77,24.98
"",1.77,31.59
"",4.36,22.84
"",3.97,17.51
"",2.82,21.62
"",0.57,11.87
"",0.0,15.54
"",0.0,11.36
"",4.88,26.58
"",2.67,20.47
"",8.46,44.74
"",0.0,16.46
"",3.18,16.73
"",3.18,16.73
"",3.3,21.95
"",3.67,19.29
"",11.06,66.36
"",3.59,18.88
"",7.22,43.32
"",7.24,37.76
"",13.91,77.16
"",4.5,51.5
"",12.12,72.72
"",0.0,21.78
"",0.0,11.6
"",3.18,16.73
"",2.45,18.75
"",3.18,16.73
"",4.09,28.33
"",3.42,26.22
"",0.39,35.71
"",0.64,13.44
"",4.59,24.06
"",3.18,16.73
"",1.23,13.53
"",0.0,27.14
"",2.3,17.6
"",4.22,22.14
"",2.22,17.02
"",2.67,20.47
"",3.12,23.92
"",4.29,22.48
"",1.59,15.16
"",1.32,10.12
"",1.4,10.7
"",5.77,32.16
"",2.0,15.65
"",1.08,11.88
"",2.07,15.87
"",6.81,74.86
"",1.53,16.83
"",0.0,84.14
"",2.76,26.16
"",2.3,17.6
"",16.39,64.82
"",2.38,15.94
"",3.18,16.73
"",22.35,116.56
"",6.18,32.28
"",5.0,33.02
"",1.59,15.16
"",8.58,46.62
"",13.76,86.58
"",8.66,47.07
"",1.17,8.97
"",2.3,17.6
"",12.32,56.79
"",2.43,26.73
"",2.0,17.83
"",3.37,22.43
"",3.18,16.73
"",10.39,57.24
"",0.0,25.45
"",0.0,20.59
"",1.98,18.87
"",11.07,60.13
"",8.01,56.17
"",4.48,23.48
"",2.26,13.56
"",3.79,19.92
"",6.69,34.92
"",4.6,25.04
"",4.96,25.96
"",11.42,81.23
"",2.3,17.6
"",2.8,18.67
"",2.89,28.62
"",15.22,85.02
"",5.77,30.15
"",1.38,15.18
"",10.62,58.47
"",0.0,11.1
"",0.0,63.3
"",2.78,27.47
"",5.87,28.97
"",4.48,23.49
"",14.67,82.02
"",9.47,72.57
"",0.0,20.88
"",8.91,79.67
"",6.96,70.23
"",4.0,22.06
"",2.69,17.94
"",3.78,25.14
"",3.18,16.73
"",11.42,81.23
"",6.31,69.41
"",2.0,24.11
"",3.83,25.46
"",3.4,17.89
"",0.0,16.53
"",3.18,16.73
"",5.0,20.9
"",3.56,21.36
"",0.0,13.6
"",3.18,16.73
"",0.0,18.71
"",0.0,21.22
"",2.9,22.2
"",1.32,10.12
"",2.06,12.36
"",3.88,20.37
"",1.33,14.63
"",0.0,25.34
"",15.22,85.02
"",13.91,77.16
"",3.0,23.69
"",13.91,77.16
"",1.73,19.03
"",12.33,67.76
"",0.0,18.92
"",0.0,14.63
"",4.03,21.15
"",0.0,16.0
"",0.0,11.1
"",1.17,12.91
"",8.28,58.03
"",3.93,20.64
"",13.91,85.02
"",3.93,26.15
"",0.0,51.55
"",0.0,51.3
"",15.22,77.16
"",4.5,23.6
"",2.0,15.6
"",5.52,28.88
"",0.0,16.58
"",1.72,16.37
"",10.8,58.69
"",2.86,16.41
"",7.7,42.62
"",3.53,18.57
"",4.73,28.26
"",15.22,77.16
"",9.61,52.23
"",10.05,38.31
"",5.99,31.3
"",1.59,15.16
"",3.77,19.81
"",3.26,17.17
"",1.04,19.57
"",15.22,85.02
"",0.0,31.85
"",3.63,19.79
"",2.85,26.99
"",3.18,16.73
"",1.78,17.7
"",2.0,17.75
"",3.18,16.73
"",3.48,18.29
"",6.33,34.42
"",2.09,19.85
"",7.61,77.44
"",1.33,12.55
"",3.28,14.38
"",8.25,44.85
"",3.0,32.75
"",2.46,14.76
"",6.61,39.66
"",2.73,25.87
"",15.0,40.38
"",3.18,16.73
"",10.35,39.65
"",11.87,71.22
"",9.47,72.57
"",7.74,54.31
"",10.73,59.09
"",2.56,15.36
"",4.91,34.74
"",5.21,29.55
"",3.18,16.73
"",7.97,43.34
"",9.04,51.88
"",3.85,20.99
"",3.43,18.04
"",5.21,27.25
"",0.0,11.49
"",1.86,11.16
"",3.08,20.53
"",0.98,10.78
"",2.3,17.6
"",1.6,11.6
"",0.0,12.8
"",7.97,41.57
"",5.35,-29.15
"",3.5,18.4
"",10.53,58.01
"",15.22,85.02
"",3.0,26.19
"",10.09,44.06
"",7.23,39.31
"",4.2,22.04
"",4.17,31.97
"",4.2,21.0
"",2.0,16.93
"",0.0,16.55
"",4.45,24.24
"",3.75,30.75
"",10.96,60.32
"",6.8,52.15
