passenger_count,tip_amount,total_amount
2.0,3.0,58.3
1.0,3.0,27.8
1.0,2.75,16.55
1.0,1.0,14.8
1.0,4.33,21.63
1.0,2.86,17.16
2.0,0.0,19.3
2.0,2.2,11.0
1.0,2.0,30.8
1.0,1.7,14.0
1.0,1.12,12.92
1.0,0.0,24.8
1.0,6.2,30.0
1.0,1.46,8.76
2.0,0.0,12.3
1.0,0.2,20.0
0.0,0.0,37.8
1.0,0.0,18.0
1.0,1.0,13.8
1.0,2.06,12.36
1.0,2.26,13.56
1.0,5.0,18.8
2.0,2.85,17.15
1.0,6.0,27.3
1.0,12.6,75.7
1.0,2.56,15.36
1.0,1.5,13.8
1.0,2.56,15.36
1.0,2.58,12.88
1.0,1.58,17.38
1.0,3.85,23.15
1.0,2.06,12.36
1.0,2.07,15.87
1.0,1.54,11.84
1.0,2.86,17.16
1.0,2.16,12.96
1.0,2.96,17.76
1.0,3.46,20.76
1.0,0.0,15.3
1.0,0.0,19.3
1.0,1.65,9.95
3.0,0.0,11.8
1.0,1.95,11.75
1.0,2.07,15.87
1.0,2.19,9.49
1.0,0.0,14.8
1.0,1.76,10.56
1.0,3.05,18.35
1.0,1.75,10.55
1.0,3.45,17.25
1.0,1.4,6.2
1.0,3.05,18.35
1.0,3.35,14.65
1.0,2.0,11.8
1.0,2.58,12.88
1.0,3.66,21.96
1.0,2.5,18.8
1.0,2.36,14.16
1.0,0.0,8.3
1.0,3.16,18.96
1.0,2.0,19.3
1.0,0.0,11.8
4.0,12.37,75.47
4.0,4.86,29.16
1.0,3.65,21.95
2.0,0.0,57.85
1.0,1.75,10.55
1.0,1.0,8.8
1.0,1.0,8.3
2.0,3.45,20.75
1.0,4.0,11.3
5.0,1.54,11.84
5.0,3.39,14.69
5.0,0.0,8.3
5.0,0.0,22.8
1.0,2.56,15.36
1.0,1.76,10.56
1.0,1.54,11.84
2.0,0.0,16.3
2.0,0.0,11.3
1.0,0.0,76.55
1.0,2.05,12.35
1.0,1.77,13.57
1.0,0.0,11.8
1.0,0.0,12.8
1.0,3.08,15.38
1.0,7.0,26.8
1.0,0.78,8.58
1.0,0.0,13.3
1.0,2.79,12.09
1.0,0.0,8.3
1.0,1.86,11.16
1.0,2.55,15.35
1.0,0.73,8.03
3.0,0.0,9.3
3.0,2.56,15.36
1.0,2.0,11.8
1.0,2.36,14.16
1.0,1.5,15.8
1.0,0.0,10.8
0.0,0.0,6.8
0.0,2.15,12.95
0.0,1.95,11.75
3.0,3.16,18.96
2.0,0.0,16.8
1.0,0.0,8.8
1.0,5.76,34.56
2.0,5.97,37.07
1.0,0.0,12.3
1.0,3.35,20.15
1.0,1.0,8.8
1.0,4.36,26.16
1.0,1.95,9.75
1.0,0.0,10.8
4.0,16.0,71.55
1.0,2.16,12.96
1.0,0.0,11.8
1.0,1.0,14.3
1.0,3.25,19.55
1.0,3.5,22.3
1.0,0.0,18.0
2.0,0.0,63.1
3.0,0.0,24.3
4.0,0.0,16.3
1.0,2.0,10.8
1.0,5.26,31.56
1.0,8.2,49.3
0.0,0.0,8.8
0.0,3.25,19.55
0.0,2.7,13.5
0.0,1.75,10.55
2.0,0.0,63.1
2.0,0.0,10.8
2.0,4.66,27.96
2.0,3.26,19.56
2.0,5.36,32.16
1.0,3.96,23.76
2.0,3.7,25.0
1.0,6.7,25.0
1.0,11.31,67.86
1.0,0.0,14.8
1.0,0.0,15.8
1.0,22.48,113.63
1.0,11.06,67.61
1.0,1.0,11.8
1.0,1.5,12.3
1.0,0.0,15.3
1.0,2.16,12.96
3.0,0.0,13.8
4.0,3.26,19.56
4.0,2.6,19.9
1.0,8.06,48.36
4.0,4.82,24.12
2.0,15.78,78.88
1.0,0.0,12.8
1.0,3.86,23.16
1.0,1.0,17.8
1.0,0.0,7.8
1.0,0.0,10.3
1.0,3.99,17.29
1.0,1.48,16.28
1.0,0.0,8.8
1.0,1.96,11.76
1.0,2.16,12.96
1.0,3.16,18.96
1.0,6.3,31.6
1.0,7.55,45.35
1.0,1.45,8.75
1.0,3.65,21.95
1.0,3.06,18.36
1.0,0.0,13.3
2.0,2.76,16.56
1.0,1.46,8.76
1.0,2.7,13.5
2.0,0.0,15.8
1.0,2.45,12.25
1.0,5.45,32.75
1.0,1.54,11.84
1.0,2.76,16.56
1.0,0.0,18.3
1.0,0.0,10.3
1.0,0.0,8.3
1.0,2.0,12.3
1.0,2.86,17.16
1.0,1.0,13.3
1.0,1.0,16.3
2.0,2.2,11.0
1.0,2.26,13.56
1.0,0.0,9.3
1.0,3.16,18.96
1.0,0.0,10.8
1.0,2.26,13.56
1.0,1.7,13.0
1.0,1.85,11.15
1.0,0.0,9.8
1.0,7.16,42.96
1.0,0.0,23.3
1.0,4.08,20.38
1.0,2.0,17.8
1.0,0.0,12.8
1.0,4.06,24.36
1.0,1.0,12.8
1.0,0.0,12.3
2.0,0.0,11.8
1.0,1.66,9.96
1.0,3.7,18.5
1.0,2.26,13.56
1.0,0.0,12.3
1.0,0.0,12.3
1.0,4.7,23.5
1.0,0.0,11.8
1.0,1.8,14.1
2.0,0.0,15.3
2.0,1.5,11.3
2.0,0.0,10.8
1.0,0.0,11.8
1.0,3.86,23.16
1.0,1.66,9.96
1.0,0.0,12.3
1.0,2.7,13.5
1.0,1.5,11.8
1.0,0.0,13.8
1.0,3.2,16.0
1.0,2.66,15.96
2.0,5.66,33.96
0.0,0.0,22.8
