passenger_count,tip_amount,total_amount
1.0,0.0,15.3
1.0,3.95,23.75
1.0,12.37,75.47
1.0,0.0,8.3
2.0,5.0,31.3
2.0,0.0,12.3
1.0,3.5,33.85
2.0,0.0,25.3
1.0,0.0,9.3
3.0,2.0,22.3
2.0,11.34,50.39
1.0,1.66,9.96
3.0,4.46,26.76
1.0,3.83,19.13
1.0,2.06,12.36
1.0,2.86,17.16
2.0,3.96,23.76
4.0,4.44,19.24
0.0,0.0,9.3
4.0,4.0,17.8
1.0,2.16,12.96
1.0,0.0,8.3
1.0,0.0,18.3
1.0,0.0,26.8
2.0,0.0,9.8
2.0,0.0,20.8
2.0,3.15,18.95
1.0,15.37,92.22
1.0,2.96,17.76
1.0,2.45,12.25
1.0,1.96,11.76
1.0,1.5,13.8
1.0,0.0,18.8
1.0,0.0,14.3
1.0,2.95,14.75
1.0,6.1,30.4
1.0,0.0,14.8
3.0,4.16,24.96
1.0,1.0,11.8
1.0,2.46,14.76
1.0,2.66,15.96
1.0,16.97,73.52
1.0,0.0,11.3
1.0,3.7,18.5
1.0,0.0,11.8
1.0,3.0,12.3
1.0,18.55,81.65
1.0,3.86,23.16
2.0,0.0,19.3
2.0,2.56,15.36
3.0,0.0,23.8
2.0,6.46,38.76
1.0,0.0,23.8
1.0,0.0,12.3
1.0,2.58,12.88
2.0,4.2,21.0
1.0,1.0,8.8
1.0,2.86,17.16
1.0,2.96,17.76
1.0,2.16,12.96
2.0,2.75,16.55
2.0,2.0,15.8
1.0,0.0,10.8
4.0,0.0,12.3
1.0,0.0,14.55
1.0,1.45,8.75
1.0,0.0,6.8
1.0,0.0,28.3
1.0,0.0,22.55
1.0,10.0,73.1
3.0,0.0,6.8
3.0,6.54,28.34
1.0,12.37,75.47
2.0,2.26,13.56
2.0,2.56,15.36
4.0,3.66,21.96
1.0,1.0,10.8
1.0,0.0,43.05
1.0,8.37,51.47
1.0,6.46,38.76
1.0,1.66,9.96
1.0,0.0,9.8
1.0,2.96,17.76
1.0,8.36,50.16
1.0,2.0,20.8
1.0,3.16,18.96
3.0,0.0,10.8
1.0,4.56,27.36
1.0,0.0,8.3
1.0,2.05,12.35
1.0,3.35,16.65
1.0,2.0,27.3
1.0,2.08,10.38
1.0,1.96,11.76
2.0,2.76,16.56
1.0,3.25,19.55
1.0,0.0,10.8
2.0,1.26,7.56
1.0,0.0,7.8
1.0,1.0,8.8
2.0,3.96,23.76
1.0,1.76,10.56
2.0,1.56,9.36
1.0,0.0,10.3
1.0,0.0,14.8
1.0,3.36,20.16
2.0,0.0,22.3
4.0,1.75,10.55
3.0,1.85,11.15
4.0,0.0,13.3
4.0,4.86,29.16
1.0,3.26,19.56
1.0,3.0,34.8
5.0,4.85,29.15
2.0,0.0,18.3
2.0,0.0,22.8
2.0,4.06,24.36
1.0,2.56,15.36
1.0,0.0,22.8
2.0,2.76,16.56
1.0,2.0,17.8
1.0,0.0,3.3
1.0,12.37,75.47
1.0,0.0,63.1
1.0,3.66,21.96
1.0,2.0,17.8
