passenger_count,tip_amount,total_amount
1.0,0.0,43.65
2.0,0.0,15.65
1.0,0.0,-15.4
1.0,0.0,15.4
1.0,0.0,-9.8
1.0,0.0,9.8
1.0,0.0,13.3
1.0,0.0,22.4
2.0,3.78,22.68
2.0,0.0,32.2
2.0,0.0,10.5
4.0,27.14,-108.56
4.0,0.0,135.7
1.0,0.0,9.4
1.0,1.0,10.1
0.0,0.0,9.8
1.0,2.5,15.1
0.0,3.5,21.0
0.0,0.0,16.1
3.0,0.0,-24.5
3.0,0.0,24.5
1.0,0.01,9.11
2.0,3.85,19.25
5.0,1.82,10.92
1.0,8.0,50.95
1.0,2.94,12.74
1.0,1.82,10.92
2.0,3.85,19.25
2.0,5.46,23.66
1.0,3.08,18.48
1.0,1.82,10.92
1.0,4.0,33.4
2.0,3.08,18.48
2.0,5.25,26.25
2.0,2.24,13.44
0.0,0.0,44.8
1.0,2.38,14.28
5.0,1.4,15.4
4.0,0.0,20.3
4.0,13.5,20.5
1.0,0.0,28.0
1.0,6.16,36.96
1.0,2.2,16.9
1.0,5.6,33.6
1.0,0.0,9.8
2.0,4.34,26.04
1.0,3.22,19.32
1.0,1.65,10.05
4.0,0.0,9.1
1.0,0.0,29.4
2.0,2.0,14.6
4.0,0.0,23.8
3.0,5.04,30.24
3.0,2.52,15.12
2.0,2.24,13.44
2.0,0.0,21.7
0.0,2.0,34.9
2.0,9.83,58.98
1.0,3.35,20.15
1.0,2.65,15.95
1.0,13.85,60.05
1.0,2.98,14.88
1.0,3.08,18.48
2.0,3.9,23.5
1.0,16.35,98.15
1.0,4.9,29.4
1.0,2.5,20.0
1.0,1.47,11.27
1.0,1.6,14.2
5.0,2.0,20.9
2.0,3.78,22.68
1.0,0.0,21.7
1.0,2.8,16.8
1.0,2.52,15.12
2.0,2.66,15.96
3.0,0.0,16.1
4.0,0.0,27.55
1.0,3.0,14.2
1.0,3.5,17.5
1.0,2.52,15.12
2.0,1.8,10.9
1.0,0.0,18.2
1.0,0.0,23.8
1.0,3.64,21.84
1.0,7.28,43.68
4.0,0.0,23.1
3.0,0.0,23.1
1.0,10.54,63.24
1.0,6.45,32.35
1.0,3.92,23.52
1.0,0.0,9.1
2.0,0.0,42.7
5.0,2.98,14.88
5.0,0.0,10.5
5.0,2.66,15.96
5.0,3.32,16.62
1.0,6.3,31.5
1.0,0.0,14.7
1.0,6.45,38.65
2.0,15.05,90.3
1.0,0.0,13.3
1.0,0.0,13.3
1.0,2.1,12.6
1.0,23.03,138.18
2.0,12.39,75.59
2.0,6.02,36.12
1.0,0.0,29.4
1.0,0.0,60.4
0.0,0.0,52.0
1.0,0.0,14.7
0.0,0.0,2.26
4.0,3.22,19.32
3.0,4.9,29.4
3.0,4.55,22.75
2.0,9.73,59.63
1.0,0.0,10.8
1.0,2.0,18.8
2.0,0.0,16.8
2.0,0.0,14.7
1.0,1.0,13.6
1.0,0.91,10.01
1.0,8.26,49.56
1.0,0.0,69.3
1.0,0.0,100.85
1.0,0.0,30.7
1.0,2.94,12.74
1.0,2.31,17.71
2.0,12.78,76.68
1.0,2.8,16.8
2.0,2.52,15.12
2.0,3.92,23.52
3.0,3.08,18.48
1.0,7.56,32.76
1.0,3.92,23.52
2.0,22.7,98.45
1.0,3.0,19.8
1.0,2.1,12.6
1.0,0.0,18.2
3.0,1.0,23.4
2.0,0.0,11.9
1.0,2.1,12.6
1.0,0.0,10.5
1.0,5.65,24.55
1.0,3.5,17.5
2.0,3.95,17.25
2.0,2.65,15.95
4.0,0.0,20.3
1.0,3.08,18.48
1.0,5.25,26.25
1.0,4.9,24.5
1.0,0.0,18.2
2.0,2.38,14.28
4.0,0.0,36.4
2.0,3.5,21.0
1.0,0.0,13.3
1.0,1.0,12.9
1.0,5.45,32.75
1.0,1.96,11.76
2.0,3.35,20.15
1.0,0.0,20.3
1.0,2.24,13.44
1.0,1.82,10.92
1.0,4.48,26.88
1.0,0.0,0.0
1.0,11.55,69.45
1.0,3.22,19.32
2.0,0.0,14.0
1.0,4.9,24.5
1.0,3.22,19.32
1.0,2.45,12.25
2.0,2.94,17.64
1.0,6.4,33.25
1.0,2.52,15.12
1.0,0.0,18.2
1.0,0.0,18.2
1.0,0.0,11.2
2.0,0.0,80.55
1.0,3.85,19.25
1.0,0.0,14.7
3.0,5.0,92.45
6.0,0.0,45.9
2.0,0.0,18.9
1.0,2.0,12.5
1.0,5.42,27.12
1.0,5.25,26.25
3.0,4.55,22.75
4.0,0.88,18.38
3.0,2.94,17.64
4.0,3.15,13.65
1.0,0.0,26.6
1.0,2.98,14.88
1.0,0.0,13.3
1.0,3.15,15.75
1.0,3.99,17.29
1.0,2.94,17.64
1.0,2.0,32.1
1.0,3.5,21.0
1.0,4.62,20.02
1.0,0.0,-7.0
1.0,0.0,7.0
1.0,22.2,96.2
1.0,3.22,19.32
1.0,0.0,8.0
1.0,0.0,11.5
1.0,0.0,15.4
1.0,0.0,16.8
2.0,2.84,21.74
3.0,6.65,33.25
1.0,1.0,17.8
1.0,0.0,26.05
1.0,11.94,71.64
1.0,0.0,18.9
1.0,0.0,18.9
1.0,0.0,16.8
1.0,2.8,16.8
1.0,2.0,13.2
1.0,3.22,19.32
2.0,1.68,12.88
1.0,2.66,15.96
1.0,2.8,14.0
1.0,0.0,11.9
1.0,4.76,28.56
1.0,4.48,26.88
1.0,1.89,14.49
1.0,3.5,21.0
1.0,4.38,21.88
1.0,3.08,18.48
3.0,0.0,18.2
2.0,2.0,15.3
1.0,2.52,15.12
2.0,0.0,17.5
1.0,0.0,14.0
1.0,1.5,9.0
1.0,2.0,12.0
1.0,0.0,19.6
1.0,4.34,26.04
2.0,4.2,25.2
2.0,1.0,18.5
2.0,2.24,13.44
1.0,2.2,13.4
1.0,3.0,28.9
1.0,0.0,69.55
1.0,3.78,22.68
1.0,2.1,12.6
1.0,5.0,48.4
1.0,0.0,14.0
2.0,3.35,14.55
1.0,0.0,14.0
3.0,3.92,23.52
1.0,2.4,14.3
1.0,4.55,22.75
1.0,0.0,12.6
1.0,2.03,22.33
1.0,12.92,77.52
1.0,2.1,12.6
1.0,2.72,16.32
1.0,1.0,13.6
1.0,0.0,13.3
1.0,3.78,22.68
1.0,1.96,11.76
1.0,3.15,15.75
1.0,1.25,11.75
1.0,5.0,61.9
1.0,1.82,20.02
1.0,0.0,-26.6
1.0,0.0,26.6
1.0,0.0,11.2
1.0,2.0,27.9
3.0,0.0,11.2
2.0,2.0,13.9
4.0,0.0,12.6
2.0,2.0,18.1
1.0,2.8,16.8
1.0,6.58,39.48
4.0,0.0,15.4
2.0,2.8,16.8
1.0,2.8,16.8
2.0,2.66,15.96
1.0,2.8,14.0
3.0,6.86,41.16
1.0,4.9,24.5
3.0,3.0,21.9
1.0,2.66,15.96
1.0,1.96,11.76
2.0,0.0,11.9
2.0,2.1,12.6
1.0,3.08,18.48
1.0,0.0,9.1
1.0,0.0,24.5
1.0,1.82,10.92
1.0,0.0,8.7
1.0,2.16,12.96
1.0,3.6,21.8
1.0,5.85,35.25
1.0,0.0,92.55
2.0,4.55,22.75
2.0,2.94,17.64
1.0,2.45,12.25
1.0,3.5,14.0
1.0,1.5,12.7
2.0,2.0,12.5
1.0,1.0,16.4
1.0,6.3,31.5
1.0,2.5,28.4
1.0,3.0,35.9
2.0,6.3,27.3
2.0,0.0,11.9
1.0,0.0,13.3
1.0,2.66,15.96
1.0,0.0,17.5
1.0,4.9,29.4
4.0,3.35,20.15
1.0,0.0,8.4
1.0,0.0,11.9
1.0,0.0,12.6
1.0,2.8,16.8
3.0,0.0,11.9
2.0,2.52,10.92
1.0,1.33,14.63
1.0,2.1,12.6
1.0,4.0,13.8
1.0,2.0,20.2
1.0,0.0,14.7
2.0,0.0,11.2
2.0,1.0,12.2
2.0,2.8,16.8
2.0,7.98,47.88
3.0,0.0,-18.2
3.0,0.0,18.2
1.0,9.0,83.0
2.0,0.0,12.6
2.0,0.0,10.5
1.0,3.05,18.45
1.0,2.8,16.8
1.0,0.0,23.1
1.0,3.57,15.47
1.0,0.0,8.4
1.0,0.0,21.7
1.0,0.0,18.9
2.0,20.14,100.69
1.0,2.0,26.5
1.0,3.55,15.45
5.0,3.15,15.75
5.0,2.8,16.8
1.0,1.47,11.27
1.0,2.38,14.28
1.0,2.24,13.44
2.0,0.0,49.2
2.0,3.08,18.48
3.0,4.9,24.5
1.0,3.95,17.25
1.0,0.0,11.9
2.0,3.64,21.84
1.0,2.66,15.96
1.0,2.1,12.6
1.0,1.0,11.5
1.0,1.68,12.88
1.0,5.32,31.92
1.0,3.0,23.45
2.0,16.11,97.91
1.0,8.0,89.8
1.0,1.0,24.8
1.0,0.0,11.9
2.0,0.0,16.8
2.0,1.05,11.55
1.0,0.0,6.6
1.0,1.96,11.76
1.0,0.0,12.6
3.0,3.78,22.68
2.0,0.0,-9.1
2.0,0.0,9.1
3.0,3.64,21.84
1.0,4.0,27.8
1.0,3.0,11.4
1.0,0.0,12.6
1.0,0.0,8.4
1.0,3.0,28.2
1.0,0.0,10.5
1.0,1.2,20.8
2.0,3.4,30.0
1.0,5.0,26.7
1.0,0.0,12.6
1.0,0.0,18.2
1.0,2.5,25.6
4.0,1.96,11.76
1.0,5.74,34.44
1.0,11.13,68.03
2.0,0.0,16.1
2.0,5.95,29.75
2.0,0.0,14.0
1.0,0.0,8.0
1.0,11.61,58.06
1.0,0.0,24.0
1.0,1.0,15.0
1.0,0.0,58.4
1.0,3.08,18.48
1.0,2.8,16.8
1.0,2.8,14.0
1.0,2.0,20.9
2.0,2.1,12.6
2.0,4.06,24.36
1.0,4.48,26.88
1.0,2.1,12.6
1.0,5.04,21.84
3.0,0.0,11.2
1.0,0.0,32.2
1.0,0.0,10.5
1.0,0.0,17.1
1.0,2.65,15.95
1.0,1.8,10.9
2.0,8.6,37.3
1.0,2.24,13.44
1.0,0.0,27.3
1.0,0.0,67.45
1.0,2.0,21.6
3.0,5.46,32.76
1.0,1.5,12.0
1.0,0.0,23.1
1.0,0.0,47.15
1.0,2.8,16.8
1.0,2.24,13.44
1.0,2.0,23.0
1.0,2.94,17.64
1.0,0.0,16.1
1.0,3.05,15.25
1.0,0.0,11.5
1.0,0.0,8.4
2.0,2.94,17.64
1.0,0.0,19.6
2.0,2.2,13.4
3.0,0.0,19.6
1.0,1.82,10.92
1.0,1.0,15.0
1.0,4.06,24.36
2.0,0.0,16.1
2.0,0.0,9.8
1.0,0.0,9.1
1.0,2.45,12.25
1.0,0.0,11.2
1.0,2.8,16.8
2.0,3.5,17.5
1.0,3.36,20.16
1.0,0.0,16.1
1.0,2.45,12.25
1.0,2.8,16.8
1.0,1.82,10.92
1.0,0.0,34.3
1.0,2.52,15.12
2.0,0.0,81.8
1.0,0.0,60.55
1.0,0.0,13.3
1.0,3.15,15.75
1.0,4.05,24.35
1.0,2.2,13.4
1.0,2.45,12.25
1.0,1.68,10.08
1.0,3.92,23.52
1.0,0.0,14.0
3.0,3.92,23.52
1.0,2.38,14.28
1.0,3.08,18.48
1.0,0.0,11.2
1.0,2.94,17.64
1.0,1.0,13.6
5.0,5.04,30.24
4.0,1.0,15.7
1.0,0.0,39.2
1.0,0.0,11.2
1.0,0.0,24.5
1.0,17.67,106.02
1.0,2.0,16.0
1.0,3.08,18.48
2.0,0.0,35.7
1.0,0.0,60.9
1.0,5.0,86.8
1.0,0.0,10.5
1.0,2.38,14.28
1.0,0.0,9.8
1.0,2.35,14.25
1.0,2.9,17.6
1.0,3.78,22.68
1.0,3.92,23.52
6.0,3.0,22.6
1.0,0.0,12.6
1.0,12.38,75.53
6.0,4.0,13.8
6.0,1.82,10.92
6.0,2.52,15.12
6.0,2.66,15.96
6.0,3.5,21.0
2.0,0.0,39.9
2.0,0.0,9.3
