passenger_count,tip_amount,total_amount
1.0,2.25,13.55
3.0,3.65,21.95
3.0,0.0,15.3
1.0,2.76,16.56
1.0,0.0,21.8
1.0,2.06,12.36
2.0,2.16,12.96
1.0,5.26,32.81
1.0,3.96,23.76
1.0,0.0,14.3
1.0,4.06,24.36
4.0,0.0,63.1
1.0,0.01,12.06
1.0,0.0,55.6
1.0,3.56,21.36
1.0,2.36,14.16
1.0,1.66,9.96
1.0,1.46,8.76
1.0,2.26,13.56
1.0,0.0,9.3
1.0,0.0,13.3
1.0,2.86,17.16
1.0,0.0,14.8
1.0,3.36,20.16
1.0,1.0,20.8
0.0,1.95,9.75
1.0,2.82,21.62
0.0,0.0,5.3
1.0,3.0,11.8
1.0,4.55,27.35
1.0,3.36,20.16
1.0,10.17,61.02
1.0,1.0,12.8
1.0,3.45,20.75
1.0,0.0,17.3
1.0,0.0,15.8
1.0,1.66,9.96
1.0,2.86,17.16
2.0,0.0,10.3
2.0,4.65,27.95
1.0,0.14,13.94
1.0,1.66,9.96
1.0,2.34,10.14
1.0,12.37,75.47
1.0,1.15,6.95
2.0,0.0,6.8
1.0,2.96,17.76
1.0,3.26,19.56
2.0,0.0,14.3
1.0,3.05,15.35
1.0,0.0,8.3
1.0,0.0,25.3
2.0,0.0,8.8
1.0,1.2,14.0
2.0,2.06,12.36
2.0,2.45,12.25
2.0,3.06,18.36
1.0,10.0,43.35
1.0,0.0,5.55
1.0,2.7,13.5
1.0,2.06,12.36
5.0,12.62,75.72
1.0,0.0,7.3
2.0,0.0,14.8
1.0,5.57,42.67
0.0,0.0,13.3
1.0,3.08,15.38
1.0,1.0,23.8
1.0,0.0,9.3
1.0,4.7,23.5
1.0,2.56,15.36
2.0,0.0,16.3
1.0,1.96,11.76
1.0,2.96,17.76
6.0,1.0,10.8
6.0,3.56,21.36
1.0,0.0,12.8
1.0,5.96,35.76
2.0,4.36,26.16
1.0,5.0,13.8
1.0,3.35,14.65
1.0,4.25,18.55
1.0,1.96,11.76
2.0,1.0,11.8
1.0,1.0,17.8
2.0,4.35,26.15
0.0,0.0,8.3
2.0,1.7,7.5
0.0,3.65,15.95
1.0,0.0,46.8
1.0,4.08,20.38
1.0,3.16,18.96
1.0,2.45,12.25
1.0,2.86,17.16
1.0,1.86,11.16
1.0,0.0,12.8
1.0,2.66,15.96
1.0,2.36,14.16
