passenger_count,tip_amount,total_amount
"",2.0,15.3
"",0.0,16.25
"",1.62,12.42
"",8.07,42.34
"",3.38,19.2
"",0.49,10.29
"",7.22,31.89
"",9.23,72.78
"",3.06,18.36
"",0.0,19.56
"",0.0,28.95
"",17.72,98.71
"",0.0,18.7
"",2.82,21.62
"",2.16,12.96
"",13.91,77.16
"",5.19,27.16
"",0.0,25.32
"",0.0,10.13
"",1.7,13.0
"",6.31,69.41
"",0.0,16.0
"",2.63,13.73
"",3.0,47.95
"",7.18,31.45
"",5.0,26.23
"",7.09,37.25
"",7.14,39.88
"",3.31,17.68
"",5.86,30.88
"",7.82,40.78
"",0.0,22.11
"",18.66,107.49
"",1.62,12.42
"",0.99,17.93
"",3.18,16.73
"",2.0,71.85
"",3.41,22.94
"",0.0,19.68
"",0.0,19.64
"",1.0,17.36
"",6.92,48.09
"",0.0,14.77
"",2.25,21.35
"",2.63,13.73
"",1.0,31.55
"",0.0,67.64
"",8.12,44.14
"",0.0,19.85
"",6.92,36.1
"",10.43,73.7
"",5.7,45.7
"",2.0,22.24
"",4.77,36.62
"",1.59,15.16
"",6.3,33.15
"",3.13,16.73
"",1.56,15.16
"",4.04,21.48
"",5.79,30.52
"",0.0,19.8
"",4.36,26.16
"",7.32,43.92
"",0.0,28.05
"",1.93,21.23
"",0.0,16.38
"",4.14,21.73
"",4.66,24.42
"",10.93,60.45
"",1.25,9.55
"",0.0,15.96
"",1.86,11.16
"",7.3,38.33
"",11.38,81.23
"",15.17,85.02
"",7.26,37.87
"",7.31,38.15
"",0.0,21.43
"",1.36,8.16
"",0.0,21.62
"",0.0,25.92
"",3.31,31.3
"",3.16,18.96
"",0.0,33.1
"",0.0,38.75
"",4.68,24.76
"",6.36,33.05
"",2.6,19.9
"",3.3,27.3
"",12.47,75.77
"",0.0,69.73
"",15.22,85.02
"",4.73,24.76
"",10.43,57.44
"",3.87,27.1
"",5.78,30.46
"",1.0,27.64
"",4.62,24.2
"",2.0,26.59
"",3.36,22.36
"",4.54,23.81
"",15.22,85.02
"",1.99,19.16
"",4.79,24.95
"",2.86,17.16
"",4.14,41.12
"",4.21,22.08
"",3.92,39.47
"",15.22,85.02
"",2.86,16.41
"",26.58,107.89
"",3.86,20.55
"",5.68,29.96
"",0.0,14.01
"",15.22,85.02
"",5.94,31.03
"",7.22,55.32
"",9.7,53.74
"",14.32,80.04
"",4.0,34.42
"",2.95,14.75
"",6.16,32.43
"",1.05,24.05
"",4.7,20.94
"",2.45,18.75
"",0.0,19.39
"",3.64,20.84
"",1.72,16.38
"",3.5,26.8
"",3.57,18.61
"",1.0,15.34
"",2.63,13.73
"",2.0,28.65
"",0.0,15.96
"",5.65,62.2
"",4.92,25.77
"",8.63,68.18
"",2.63,13.73
"",2.82,18.81
"",3.18,16.73
"",0.0,39.85
"",0.0,30.68
"",0.0,20.77
"",12.62,75.72
"",2.42,16.43
"",3.96,22.64
"",6.31,69.41
"",2.46,14.76
"",2.0,22.9
"",0.0,33.79
"",1.55,11.85
"",1.33,14.63
"",5.75,31.28
"",4.92,25.76
"",3.13,16.73
"",0.0,37.13
"",0.0,14.17
"",0.0,21.71
"",1.85,14.15
"",2.82,21.62
"",0.0,7.5
"",1.43,15.73
"",3.95,21.0
"",0.0,20.5
"",2.0,18.38
"",3.87,20.34
"",3.91,20.78
"",0.0,43.0
"",0.0,26.85
"",2.58,17.24
"",1.91,34.23
"",0.0,27.97
"",6.12,27.89
"",0.0,23.34
"",0.0,69.85
"",2.19,18.02
"",1.27,26.57
"",0.0,14.22
"",0.0,32.93
"",6.2,39.2
"",13.91,77.16
"",0.0,35.37
"",0.0,14.9
"",9.1,49.48
"",0.0,39.19
"",1.33,23.78
"",11.42,81.23
"",12.55,90.11
"",0.0,18.85
"",1.56,15.16
"",14.66,89.42
"",2.23,21.19
"",10.1,55.91
"",0.88,9.68
"",2.34,15.94
"",8.76,55.5
"",12.31,75.86
"",2.0,59.01
"",13.86,77.16
"",2.55,21.55
"",0.0,23.67
"",1.77,13.57
"",18.56,103.93
"",4.8,25.12
"",3.5,19.08
"",0.0,11.56
"",0.0,18.58
"",9.68,53.38
"",0.0,12.41
"",2.0,48.84
"",2.23,24.53
"",8.38,45.84
"",5.63,29.71
"",6.2,32.65
"",0.0,23.99
"",7.79,34.1
"",1.62,12.42
"",6.66,31.11
"",7.85,42.7
"",5.98,31.51
"",0.0,16.23
"",5.1,26.68
"",1.58,17.38
"",1.7,13.0
"",15.17,85.02
"",3.47,23.34
"",0.0,13.6
"",0.89,18.69
"",7.37,51.71
"",0.0,20.75
"",6.46,42.97
"",5.1,41.1
"",17.54,98.05
"",1.32,10.12
"",2.0,15.6
"",4.56,27.36
"",1.66,9.96
"",4.08,21.65
"",4.41,22.48
"",3.13,16.73
"",1.56,15.16
"",2.0,15.6
"",0.0,16.95
"",0.0,32.61
"",3.81,66.76
"",4.0,37.3
"",0.0,28.83
"",0.74,15.54
"",0.0,33.01
"",5.26,27.77
"",0.0,25.42
"",3.12,23.92
"",1.47,11.27
"",0.0,38.59
"",4.65,24.61
"",2.34,15.94
"",6.53,34.35
"",3.12,30.79
"",0.0,49.75
"",3.08,21.61
"",0.0,25.81
"",2.34,15.94
"",15.17,85.02
"",4.66,24.68
"",6.45,33.93
"",4.61,24.14
"",0.0,48.12
"",0.0,17.8
"",0.0,16.41
"",7.43,39.03
"",15.22,85.02
"",1.53,16.83
"",1.76,16.8
"",3.56,18.99
"",1.4,10.7
"",3.14,21.16
"",6.88,31.34
"",4.33,22.96
"",5.48,28.93
"",0.0,66.38
"",0.0,11.8
"",0.0,30.34
"",2.6,19.9
"",2.36,22.66
"",2.59,17.3
"",15.17,85.02
"",4.46,23.64
"",1.62,12.42
"",0.0,25.44
"",10.61,63.66
"",0.0,13.6
"",6.18,32.29
"",9.84,54.22
"",6.0,47.07
"",2.46,23.54
"",0.74,15.54
"",0.0,16.9
"",0.0,32.85
"",2.07,15.87
"",1.55,11.85
"",1.03,11.33
"",0.0,15.98
"",5.01,26.47
"",1.0,13.0
"",9.69,53.7
"",0.0,12.84
"",4.32,40.94
"",3.81,20.27
"",0.0,10.13
"",0.0,16.01
"",0.0,18.35
"",1.55,11.85
"",1.0,70.85
"",5.27,27.82
"",5.36,28.27
"",6.05,31.85
"",0.0,21.59
"",11.19,61.55
"",1.88,20.68
"",1.0,41.63
"",0.0,35.69
"",6.17,32.07
"",0.0,12.81
"",11.38,81.23
"",4.4,23.32
"",0.0,37.98
"",2.81,16.41
"",0.0,21.45
"",0.0,13.6
"",13.7,83.5
"",1.4,10.7
"",5.89,30.78
"",0.0,23.75
"",0.0,60.66
"",1.85,17.82
"",3.39,22.83
"",4.06,21.57
"",7.32,40.57
"",0.0,20.28
"",2.3,21.78
"",9.93,54.99
"",1.0,14.6
"",4.14,27.74
"",4.46,44.85
"",0.0,31.95
"",0.0,40.61
"",1.58,15.36
"",3.13,16.73
"",3.45,18.4
"",0.0,26.03
"",15.17,85.02
"",0.25,21.92
"",0.0,32.97
"",5.6,29.56
"",3.89,25.88
"",0.0,36.0
"",0.0,50.65
"",3.88,25.76
"",8.32,50.37
"",9.92,54.21
"",1.62,12.42
"",2.15,16.45
"",8.46,46.0
"",9.22,50.09
"",1.39,10.69
"",0.0,34.51
"",4.03,21.15
"",0.0,21.94
"",0.0,22.83
"",2.45,18.75
"",2.0,23.55
"",8.72,52.32
"",0.0,58.0
"",4.76,32.97
"",3.87,26.93
"",15.22,77.16
"",3.18,16.73
"",2.0,17.92
"",2.0,21.51
"",3.7,19.7
"",2.74,26.16
"",3.61,24.25
"",11.57,55.75
"",4.79,25.34
"",1.77,13.57
"",2.7,25.83
"",3.2,30.51
"",0.0,17.71
"",0.0,15.17
"",6.53,34.36
"",14.09,78.81
"",15.22,85.02
"",7.06,42.36
"",0.0,19.8
"",2.0,17.46
"",4.23,28.09
"",8.59,46.98
"",0.0,43.97
"",3.13,16.73
"",10.14,56.16
"",1.91,15.48
"",0.0,24.98
"",2.59,19.89
"",9.45,51.36
"",3.13,16.73
"",3.11,18.66
"",4.58,32.0
"",2.55,21.55
"",8.73,45.73
"",0.0,55.54
"",5.53,29.2
"",1.39,10.69
"",2.13,23.43
"",9.61,52.53
"",3.21,17.17
"",0.0,15.11
"",0.0,38.55
"",3.16,18.96
"",3.09,31.43
"",8.17,42.85
"",2.46,14.76
"",5.78,30.22
"",5.66,62.21
"",0.93,10.23
"",4.01,26.89
"",10.57,58.46
"",4.0,29.04
"",2.5,24.96
"",3.73,21.57
"",6.94,36.2
"",15.17,85.02
"",2.0,28.27
"",5.15,26.95
"",2.0,32.56
"",4.9,25.9
"",17.02,95.76
"",5.43,30.38
"",0.0,23.1
"",4.81,25.46
"",1.0,14.6
"",0.0,27.74
"",6.52,46.14
"",0.0,13.6
"",7.75,40.66
"",0.0,33.4
"",4.93,19.21
"",3.13,16.73
"",11.38,81.23
"",6.14,32.35
"",4.91,25.96
"",2.2,20.9
"",2.76,16.56
"",15.22,85.02
"",0.0,36.28
"",6.13,34.27
"",7.39,38.57
"",0.0,31.91
"",2.16,12.96
"",5.68,31.19
"",3.13,16.73
"",13.86,77.16
"",10.4,73.7
"",2.68,18.16
"",4.39,33.69
"",6.64,36.42
"",10.68,58.79
"",3.0,31.41
"",5.3,27.98
"",0.0,7.8
"",1.12,35.25
"",6.88,30.4
"",2.37,23.44
"",1.0,32.31
"",2.1,18.1
"",0.0,11.92
"",0.0,33.8
"",3.0,16.6
"",0.0,15.01
"",6.25,41.8
"",0.0,22.6
"",2.34,15.94
"",4.86,25.69
"",0.0,21.33
