passenger_count,tip_amount,total_amount
1.0,0.0,3.3
1.0,1.25,7.55
1.0,1.25,9.55
1.0,1.7,15.0
1.0,3.58,12.88
0.0,2.35,14.15
1.0,2.96,17.76
1.0,0.0,30.8
1.0,1.96,11.76
1.0,4.06,24.36
1.0,7.47,44.82
1.0,2.46,14.76
1.0,2.34,10.14
1.0,1.48,16.28
1.0,2.14,16.44
1.0,1.0,11.8
1.0,3.95,19.75
1.0,0.0,10.3
1.0,1.86,11.16
1.0,0.0,14.8
2.0,2.76,16.56
1.0,2.45,12.25
1.0,0.0,15.3
1.0,1.5,12.8
1.0,0.0,11.8
1.0,2.06,12.36
2.0,0.0,25.8
1.0,1.62,12.42
1.0,2.0,13.8
1.0,1.66,9.96
1.0,0.0,12.8
2.0,2.26,13.56
1.0,3.99,17.29
1.0,5.0,16.3
2.0,1.46,8.76
1.0,0.0,11.3
2.0,3.06,18.36
1.0,3.7,18.5
1.0,4.15,24.95
1.0,4.36,26.16
1.0,4.7,23.5
1.0,1.66,9.96
1.0,18.55,81.65
1.0,0.0,10.8
1.0,0.0,10.3
1.0,0.0,13.8
1.0,0.0,26.8
1.0,2.16,12.96
1.0,2.96,17.76
1.0,3.2,16.0
1.0,1.95,9.75
1.0,0.0,12.3
1.0,2.9,12.7
1.0,0.0,14.3
1.0,5.26,31.56
1.0,10.59,47.14
2.0,0.0,32.8
1.0,1.56,9.36
1.0,6.16,36.96
1.0,6.91,41.46
1.0,3.0,13.3
1.0,1.96,11.76
1.0,2.2,16.0
2.0,0.0,51.35
1.0,11.6,50.4
3.0,2.49,10.79
2.0,2.16,12.96
3.0,2.46,14.76
1.0,1.93,21.23
1.0,0.01,3.31
1.0,0.0,-9.8
1.0,0.0,9.8
1.0,1.43,15.73
1.0,0.0,29.8
1.0,2.14,11.44
1.0,0.0,12.8
1.0,2.56,15.36
1.0,0.0,29.8
1.0,2.56,15.36
1.0,1.0,16.8
1.0,2.08,19.38
1.0,1.4,10.7
1.0,0.0,11.3
1.0,9.5,57.1
1.0,6.62,39.72
1.0,1.74,7.54
2.0,0.0,21.3
2.0,1.5,11.8
2.0,0.0,56.1
1.0,6.7,33.5
1.0,1.46,8.76
1.0,1.2,12.0
2.0,0.0,12.8
3.0,6.09,26.39
1.0,0.0,16.3
2.0,1.66,9.96
1.0,12.37,75.47
1.0,2.0,18.3
1.0,1.0,12.8
1.0,1.0,9.3
1.0,0.0,13.8
1.0,2.86,17.16
1.0,3.65,21.95
1.0,5.0,21.8
1.0,3.7,18.5
1.0,2.16,12.96
1.0,0.0,17.3
1.0,0.0,13.3
1.0,3.2,14.0
2.0,3.55,21.35
1.0,1.01,12.31
2.0,2.15,12.95
1.0,5.0,22.8
1.0,0.0,29.1
1.0,0.0,9.8
1.0,3.86,23.16
1.0,3.06,18.36
1.0,2.95,17.75
1.0,3.47,22.77
1.0,2.0,17.3
1.0,3.66,21.96
1.0,1.86,11.16
1.0,0.0,7.3
1.0,2.52,19.32
1.0,3.0,9.3
1.0,2.16,12.96
5.0,3.76,22.56
1.0,2.45,14.75
1.0,3.05,13.35
1.0,15.46,77.31
2.0,10.0,58.1
1.0,2.0,19.3
1.0,3.7,23.0
1.0,0.0,-9.3
1.0,0.0,9.3
1.0,3.0,30.8
1.0,4.26,25.56
3.0,4.06,24.36
3.0,3.06,18.36
2.0,2.94,12.74
1.0,0.0,14.8
1.0,2.26,13.56
1.0,3.46,20.76
2.0,11.1,66.7
1.0,2.55,15.35
1.0,0.0,13.3
1.0,3.46,20.76
2.0,2.45,12.25
2.0,2.95,14.75
2.0,0.0,12.3
1.0,2.16,12.96
1.0,2.36,14.16
1.0,0.0,11.8
1.0,4.06,24.36
2.0,3.25,19.55
