passenger_count,tip_amount,total_amount
1.0,0.0,15.8
1.0,0.0,9.8
1.0,2.8,14.1
2.0,2.55,12.85
2.0,3.95,17.25
1.0,2.36,14.16
1.0,0.83,9.13
1.0,2.0,15.3
1.0,2.36,14.16
1.0,0.0,63.1
1.0,0.0,85.3
2.0,3.66,21.96
2.0,1.2,14.5
1.0,1.0,13.3
1.0,0.0,21.8
2.0,0.7,13.5
2.0,0.0,16.8
2.0,1.95,9.75
1.0,5.3,23.1
1.0,1.96,11.76
1.0,2.0,30.85
1.0,2.64,11.44
1.0,1.66,9.96
1.0,0.0,15.8
1.0,0.0,12.3
1.0,2.56,15.36
1.0,5.0,16.8
1.0,1.0,8.8
1.0,3.33,16.63
1.0,0.0,14.8
1.0,2.76,16.56
1.0,1.5,11.3
1.0,2.46,14.76
1.0,2.26,13.56
3.0,3.96,23.76
1.0,0.43,14.73
5.0,0.0,13.3
1.0,3.76,22.56
1.0,1.0,21.3
1.0,2.52,20.32
1.0,3.76,22.56
1.0,2.25,13.55
1.0,0.0,16.3
3.0,6.75,40.55
1.0,5.85,35.15
1.0,1.0,9.8
1.0,2.06,12.36
1.0,0.0,13.3
1.0,4.76,28.56
1.0,3.09,13.39
1.0,0.7,15.0
1.0,10.2,51.05
1.0,6.0,36.05
1.0,5.7,28.5
3.0,0.0,10.3
2.0,5.96,37.01
0.0,1.0,12.8
0.0,3.35,20.15
0.0,4.36,26.16
3.0,3.24,14.04
1.0,3.58,17.88
2.0,2.96,17.76
1.0,0.0,21.8
1.0,1.0,8.3
1.0,2.0,12.3
0.0,5.0,60.1
1.0,12.62,75.72
1.0,3.09,13.39
1.0,0.0,14.3
1.0,2.22,17.02
1.0,2.06,12.36
1.0,2.18,14.98
1.0,5.08,25.38
1.0,0.0,24.8
5.0,2.76,16.56
3.0,1.5,12.3
4.0,2.58,12.88
1.0,2.65,15.95
1.0,10.0,54.05
2.0,9.87,60.47
1.0,0.0,14.8
1.0,4.95,24.75
2.0,3.7,23.0
1.0,0.0,13.3
1.0,0.0,17.8
1.0,0.0,20.3
6.0,1.0,6.8
6.0,0.1,6.4
6.0,11.11,38.91
3.0,0.0,63.1
1.0,2.06,12.36
1.0,1.85,11.15
1.0,2.25,13.55
3.0,3.65,21.95
1.0,0.0,5.3
1.0,0.0,20.3
2.0,13.66,81.96
1.0,0.0,-5.55
1.0,0.0,5.55
1.0,17.27,104.87
1.0,7.96,49.01
6.0,4.82,24.12
2.0,1.0,9.8
1.0,2.86,17.16
3.0,2.86,17.16
4.0,1.96,11.76
3.0,0.0,19.8
2.0,0.0,-18.3
2.0,0.0,18.3
1.0,8.67,53.27
1.0,4.35,26.15
1.0,0.0,13.8
1.0,0.0,29.8
