passenger_count,tip_amount,total_amount
1.0,0.7,8.0
1.0,0.0,20.3
1.0,2.66,15.96
1.0,2.66,15.96
1.0,0.0,8.8
1.0,2.74,21.04
2.0,2.44,18.74
2.0,1.76,10.56
2.0,1.86,11.16
2.0,12.37,75.47
4.0,0.0,7.3
5.0,0.0,16.3
5.0,0.0,12.3
1.0,1.95,11.75
1.0,4.55,27.35
1.0,1.47,11.27
1.0,4.96,29.76
1.0,0.0,9.3
1.0,5.32,26.62
0.0,2.35,14.15
0.0,11.3,67.85
1.0,2.0,11.8
1.0,2.65,15.95
1.0,2.85,17.15
1.0,2.15,12.95
1.0,0.0,15.8
1.0,0.0,53.6
4.0,6.08,30.38
1.0,4.7,23.5
1.0,4.06,24.36
3.0,0.0,10.8
1.0,3.16,18.96
2.0,2.96,17.76
1.0,2.26,13.56
2.0,0.0,25.8
2.0,0.0,27.8
1.0,0.0,14.8
1.0,0.0,10.8
1.0,2.26,13.56
1.0,3.0,12.3
1.0,2.2,20.0
1.0,1.0,11.8
1.0,3.58,17.88
1.0,6.92,41.52
1.0,1.96,11.76
1.0,0.0,11.8
1.0,0.0,32.8
2.0,1.86,11.16
1.0,9.37,56.22
1.0,4.0,36.05
1.0,0.0,11.3
1.0,2.86,17.16
2.0,0.0,16.8
1.0,1.86,11.16
1.0,4.76,28.56
1.0,2.25,13.55
1.0,0.0,9.8
1.0,0.0,20.3
1.0,2.56,15.36
6.0,0.0,10.8
6.0,2.76,16.56
1.0,12.67,77.27
2.0,5.76,34.56
1.0,5.86,35.16
1.0,2.55,15.35
1.0,10.71,64.26
1.0,0.0,14.3
1.0,5.06,30.36
1.0,0.0,32.05
1.0,0.0,27.05
1.0,2.35,14.15
1.0,0.0,18.8
1.0,1.4,10.7
1.0,3.95,30.25
1.0,1.46,8.76
1.0,5.96,35.76
1.0,0.69,14.49
1.0,2.36,14.16
1.0,3.84,16.64
1.0,4.66,27.96
1.0,3.0,22.3
1.0,3.36,20.16
1.0,1.08,11.88
1.0,1.66,9.96
1.0,0.0,17.05
1.0,0.0,12.3
1.0,5.56,33.36
1.0,2.65,15.95
1.0,3.45,17.25
1.0,3.95,19.75
1.0,3.54,15.34
2.0,2.06,12.36
1.0,2.0,18.3
1.0,0.0,11.8
1.0,1.0,9.8
1.0,0.0,24.3
6.0,3.7,18.5
1.0,5.16,30.96
1.0,2.7,13.5
1.0,3.06,18.36
1.0,1.0,11.8
1.0,5.0,32.3
1.0,4.0,16.3
1.0,1.84,14.14
1.0,3.26,19.56
1.0,2.83,14.13
1.0,4.95,24.75
1.0,0.0,18.3
1.0,3.56,21.36
1.0,1.75,10.55
1.0,2.0,19.3
1.0,0.0,9.3
3.0,5.06,30.36
2.0,12.62,75.72
1.0,0.0,11.8
2.0,0.0,17.8
1.0,2.0,29.3
1.0,7.97,47.82
4.0,4.15,24.95
1.0,2.26,13.56
1.0,2.96,17.76
2.0,1.23,13.53
1.0,2.56,15.36
2.0,2.7,13.5
1.0,4.45,22.25
1.0,2.45,10.75
1.0,2.75,12.05
3.0,0.0,19.8
1.0,3.8,16.6
1.0,1.75,10.55
1.0,10.0,67.35
1.0,0.0,18.3
1.0,0.0,34.3
1.0,1.66,9.96
1.0,3.24,14.04
1.0,2.0,22.8
1.0,6.56,40.61
2.0,1.0,11.8
1.0,2.0,28.8
1.0,0.0,45.3
1.0,2.06,12.36
1.0,7.85,47.15
1.0,2.66,15.96
1.0,4.76,28.56
1.0,5.36,32.16
1.0,2.26,13.56
1.0,8.67,52.02
1.0,1.0,10.3
1.0,1.96,11.76
1.0,0.0,21.3
1.0,2.58,12.88
1.0,2.0,11.8
1.0,2.06,12.36
1.0,1.96,11.76
1.0,1.55,9.35
1.0,2.35,14.15
1.0,0.0,27.05
1.0,2.0,9.8
1.0,8.0,27.3
1.0,3.96,23.76
1.0,4.65,27.95
1.0,1.95,9.75
1.0,1.24,9.54
1.0,2.32,11.62
1.0,2.36,14.16
1.0,2.82,14.12
1.0,0.0,23.8
1.0,0.0,22.8
1.0,7.37,45.47
1.0,3.45,17.25
1.0,2.83,14.13
4.0,1.81,13.11
3.0,2.76,16.56
4.0,1.38,15.18
1.0,4.06,24.36
1.0,3.34,25.64
2.0,2.96,17.76
2.0,2.2,11.0
1.0,2.26,13.56
1.0,2.0,16.3
1.0,1.0,22.3
1.0,3.35,14.65
1.0,0.0,12.8
3.0,1.0,24.3
2.0,2.94,12.74
2.0,2.86,17.16
2.0,0.0,15.8
1.0,2.0,11.8
1.0,1.75,10.55
1.0,3.2,14.0
