passenger_count,tip_amount,total_amount
1.0,4.25,18.55
1.0,1.23,13.53
1.0,1.0,17.3
1.0,0.0,8.8
1.0,0.0,7.3
1.0,0.0,11.3
1.0,2.26,13.56
1.0,0.0,14.8
1.0,12.55,55.65
1.0,4.36,26.16
1.0,0.0,15.3
1.0,3.45,17.25
1.0,0.0,13.8
1.0,2.0,9.3
1.0,0.0,17.8
1.0,2.0,15.8
1.0,1.66,9.96
1.0,2.76,16.56
1.0,0.0,11.8
1.0,4.26,25.56
1.0,0.0,18.3
1.0,1.36,8.16
1.0,2.2,24.0
1.0,0.0,15.8
2.0,0.0,11.3
1.0,0.0,8.3
2.0,2.0,16.3
5.0,2.0,14.8
1.0,0.72,15.02
1.0,0.0,14.3
1.0,4.56,27.36
1.0,3.26,19.56
1.0,0.0,46.75
2.0,12.37,74.22
1.0,2.16,12.96
1.0,0.0,14.8
1.0,1.65,9.95
1.0,0.83,9.13
1.0,2.85,17.15
2.0,3.73,41.08
2.0,10.52,45.57
1.0,3.36,20.16
1.0,4.08,20.38
1.0,1.96,11.76
1.0,3.56,21.36
1.0,2.66,15.96
1.0,2.86,17.16
3.0,2.16,12.96
1.0,0.0,10.8
1.0,1.65,9.95
1.0,3.46,20.76
1.0,2.85,17.15
1.0,1.65,9.95
1.0,1.75,10.55
1.0,3.55,21.35
1.0,2.22,17.02
2.0,4.14,17.94
1.0,0.0,41.3
1.0,2.7,13.5
1.0,1.0,11.8
1.0,4.25,25.55
1.0,1.5,14.3
1.0,1.0,10.3
1.0,0.0,12.3
1.0,3.05,18.35
1.0,2.5,11.3
2.0,1.56,9.36
1.0,1.85,11.15
1.0,1.48,16.28
1.0,4.0,29.8
1.0,0.0,10.3
1.0,3.46,20.76
1.0,0.0,5.8
1.0,0.98,10.78
1.0,2.06,12.36
1.0,4.83,24.13
1.0,1.0,14.3
1.0,3.7,15.0
0.0,0.0,6.3
1.0,0.0,25.8
1.0,5.0,50.1
1.0,0.0,12.8
1.0,1.95,11.75
1.0,1.95,11.75
1.0,2.45,14.75
1.0,3.3,16.6
1.0,2.58,12.88
1.0,2.36,14.16
1.0,2.83,14.13
1.0,3.46,20.76
1.0,1.0,11.3
1.0,0.0,7.3
1.0,0.2,18.0
1.0,4.55,27.35
4.0,0.0,13.8
1.0,2.0,13.8
4.0,0.0,11.3
1.0,4.0,23.8
1.0,0.0,10.8
1.0,0.0,22.3
1.0,0.0,4.8
1.0,1.56,9.36
1.0,3.16,18.96
1.0,10.0,67.25
1.0,1.0,11.3
1.0,1.86,11.16
1.0,2.94,12.74
1.0,0.0,8.8
1.0,2.95,14.75
1.0,1.0,19.3
1.0,1.46,8.76
5.0,2.58,12.88
4.0,2.46,14.76
1.0,0.0,10.8
1.0,2.0,14.8
1.0,3.2,16.0
1.0,0.0,20.8
1.0,1.86,11.16
1.0,4.14,17.94
1.0,3.0,20.3
1.0,1.32,10.12
3.0,4.55,27.35
1.0,1.5,12.3
1.0,1.46,8.76
1.0,2.95,14.75
1.0,0.0,15.8
1.0,3.26,19.56
1.0,8.07,48.42
3.0,0.0,12.8
2.0,3.36,20.16
1.0,0.0,21.3
0.0,2.65,15.95
0.0,3.0,14.8
1.0,1.85,11.15
1.0,0.0,10.3
3.0,0.0,11.3
1.0,2.16,12.96
2.0,0.0,14.3
2.0,0.0,7.8
1.0,0.0,14.8
1.0,2.0,33.3
1.0,2.96,17.76
1.0,1.86,11.16
1.0,2.6,12.9
1.0,3.16,18.96
1.0,2.86,17.16
1.0,1.75,10.55
1.0,0.0,10.3
1.0,2.55,15.35
1.0,0.0,17.3
1.0,7.17,43.02
1.0,5.96,35.76
1.0,2.16,12.96
1.0,0.0,4.8
1.0,0.0,21.8
6.0,0.0,15.3
6.0,2.46,14.76
1.0,2.36,14.16
1.0,0.0,8.8
1.0,4.46,26.76
1.0,0.0,23.8
1.0,2.36,14.16
1.0,1.86,11.16
2.0,2.66,15.96
1.0,7.0,70.8
1.0,2.0,13.3
1.0,1.0,10.8
1.0,0.0,12.3
2.0,3.46,20.76
1.0,5.16,30.96
4.0,3.08,15.38
1.0,0.0,8.8
1.0,0.0,16.3
3.0,2.26,13.56
4.0,0.0,13.3
1.0,3.26,19.56
1.0,0.0,11.3
1.0,3.95,19.75
1.0,2.0,14.3
1.0,2.55,15.35
2.0,0.0,25.3
1.0,2.7,13.5
1.0,0.0,50.55
1.0,3.86,23.16
1.0,0.0,16.8
1.0,1.66,9.96
1.0,2.26,13.56
1.0,1.76,10.56
2.0,2.25,13.55
1.0,3.05,18.35
1.0,2.3,11.6
1.0,3.16,18.96
1.0,3.86,23.16
1.0,9.22,55.32
1.0,0.0,42.0
2.0,0.0,12.3
2.0,0.0,28.3
1.0,8.47,50.82
1.0,2.16,12.96
1.0,1.86,11.16
1.0,1.86,11.16
6.0,8.32,49.92
1.0,0.0,9.8
1.0,2.0,27.8
1.0,0.0,7.3
1.0,2.76,16.56
1.0,3.96,23.76
1.0,1.56,9.36
3.0,4.7,15.0
1.0,2.26,13.56
1.0,2.74,21.04
1.0,0.0,16.3
1.0,0.0,8.3
1.0,1.56,9.36
2.0,3.08,15.38
1.0,1.25,11.05
1.0,0.0,15.3
1.0,0.0,7.3
3.0,0.0,13.3
3.0,3.0,24.8
1.0,1.0,17.3
1.0,0.0,9.8
1.0,0.0,14.8
1.0,0.02,14.32
1.0,2.16,12.96
1.0,3.7,18.5
1.0,3.36,20.16
1.0,5.08,25.38
1.0,5.66,33.96
1.0,1.7,13.0
1.0,3.05,18.35
1.0,10.0,66.55
1.0,2.96,17.76
2.0,0.0,8.8
1.0,0.0,9.3
1.0,0.0,8.3
1.0,2.36,14.16
1.0,3.76,22.56
1.0,6.77,40.62
1.0,2.58,12.88
1.0,2.56,15.36
1.0,2.16,12.96
1.0,2.2,11.0
1.0,2.66,15.96
5.0,2.16,12.96
5.0,0.0,8.3
5.0,1.86,11.16
5.0,0.0,8.8
1.0,2.65,15.95
3.0,0.0,14.3
1.0,1.02,7.82
1.0,0.0,10.8
1.0,6.45,32.25
5.0,3.76,22.56
5.0,0.0,9.8
2.0,6.97,43.07
1.0,1.66,9.96
3.0,0.0,11.3
1.0,0.0,15.3
1.0,5.49,23.79
0.0,0.0,63.1
1.0,5.91,35.46
1.0,0.0,13.8
1.0,2.46,14.76
1.0,1.0,13.8
1.0,2.55,15.35
1.0,2.05,12.35
4.0,1.2,14.0
3.0,1.95,9.75
1.0,7.07,42.42
1.0,2.05,10.35
2.0,1.85,11.15
2.0,2.45,14.75
1.0,0.0,28.3
1.0,2.15,12.95
2.0,2.06,12.36
1.0,1.45,8.75
2.0,0.0,7.8
1.0,1.0,16.3
1.0,1.76,10.56
1.0,1.17,8.97
1.0,1.96,11.76
1.0,2.66,15.96
1.0,0.0,-5.8
1.0,0.0,5.8
1.0,0.0,19.3
1.0,1.0,7.8
1.0,0.0,12.3
1.0,2.06,12.36
1.0,4.0,21.3
1.0,2.22,17.02
1.0,4.0,9.8
1.0,4.06,24.36
1.0,1.0,28.3
1.0,2.16,12.96
1.0,3.16,18.96
2.0,0.0,35.35
2.0,5.0,68.1
1.0,0.0,63.1
1.0,0.0,8.8
1.0,0.0,16.8
1.0,1.86,11.16
2.0,2.86,17.16
1.0,2.56,15.36
1.0,1.96,11.76
1.0,0.0,19.8
1.0,2.05,10.35
1.0,1.0,40.55
1.0,3.05,18.35
0.0,0.0,19.3
1.0,3.09,13.39
2.0,0.0,10.8
1.0,2.15,9.45
1.0,1.95,11.75
1.0,2.6,19.9
2.0,1.43,15.73
3.0,0.0,10.8
1.0,0.0,12.3
1.0,4.76,28.56
1.0,3.76,22.56
6.0,0.78,8.58
6.0,1.0,9.8
1.0,1.65,9.95
1.0,3.96,23.76
1.0,2.0,18.8
1.0,0.0,8.8
1.0,2.76,16.56
2.0,1.56,9.36
1.0,0.0,11.3
1.0,2.25,13.55
1.0,0.0,9.8
1.0,0.0,8.8
1.0,3.0,18.3
1.0,0.0,11.8
1.0,1.11,13.91
1.0,0.0,13.3
1.0,2.65,15.95
2.0,3.45,17.25
1.0,0.0,15.3
2.0,0.0,11.3
1.0,3.33,16.63
1.0,1.66,9.96
1.0,0.78,8.58
1.0,5.0,36.8
2.0,0.0,33.55
1.0,0.0,11.3
1.0,0.0,9.8
1.0,0.0,9.3
2.0,2.36,14.16
1.0,2.55,15.35
1.0,1.5,12.3
1.0,2.55,12.85
1.0,2.0,21.8
1.0,2.26,13.56
1.0,3.76,22.56
1.0,0.0,12.8
1.0,0.0,10.3
1.0,2.46,14.76
1.0,0.0,44.1
1.0,1.0,10.8
2.0,0.0,7.8
1.0,0.0,9.3
1.0,0.5,14.8
1.0,0.0,21.8
1.0,11.87,72.47
2.0,0.0,16.3
1.0,2.0,19.8
1.0,2.76,16.56
1.0,0.0,12.3
1.0,4.15,24.95
1.0,2.0,12.3
1.0,0.0,8.8
2.0,5.35,32.15
1.0,0.0,22.05
1.0,1.46,8.76
2.0,3.96,23.76
1.0,2.56,15.36
1.0,0.0,16.3
1.0,5.26,31.56
1.0,2.22,18.52
1.0,2.45,12.25
1.0,0.0,14.3
1.0,2.08,10.38
1.0,7.07,42.42
1.0,0.0,8.8
1.0,0.0,20.8
1.0,0.0,14.8
1.0,3.15,18.95
1.0,0.0,13.3
1.0,0.0,9.3
1.0,4.1,17.9
1.0,0.0,8.8
1.0,0.0,15.8
1.0,3.06,18.36
2.0,3.06,18.36
1.0,2.36,14.16
1.0,1.66,9.96
1.0,2.0,10.3
1.0,0.0,11.8
1.0,18.56,80.41
1.0,0.0,8.3
1.0,1.82,9.12
1.0,1.5,13.3
1.0,0.0,7.8
1.0,2.26,13.56
1.0,0.0,21.8
1.0,5.86,35.16
1.0,2.96,17.76
1.0,1.66,9.96
1.0,0.0,11.8
1.0,2.25,13.55
1.0,0.0,7.8
1.0,2.0,14.8
1.0,2.45,14.75
1.0,0.0,18.3
1.0,3.0,14.8
1.0,2.0,12.8
1.0,2.96,17.76
1.0,0.0,33.8
1.0,0.0,10.8
3.0,2.96,17.76
1.0,2.0,16.3
2.0,3.26,19.56
2.0,1.86,11.16
3.0,1.62,12.42
2.0,10.0,73.1
3.0,0.0,19.3
1.0,6.0,44.85
1.0,3.75,22.55
1.0,3.76,22.56
1.0,11.06,67.61
1.0,12.62,75.72
2.0,0.0,21.8
6.0,2.66,15.96
1.0,2.38,22.18
2.0,10.46,52.31
1.0,8.36,50.16
1.0,0.0,20.3
1.0,0.0,35.35
1.0,2.8,14.1
1.0,0.0,35.3
1.0,3.26,19.56
1.0,0.0,23.8
1.0,0.0,29.55
2.0,0.0,34.3
2.0,2.16,12.96
2.0,2.06,12.36
1.0,0.0,10.3
1.0,0.0,9.8
1.0,2.66,15.96
1.0,0.0,18.3
1.0,7.37,45.47
1.0,2.36,14.16
2.0,0.0,7.3
2.0,4.59,19.89
1.0,0.0,10.8
1.0,0.0,9.8
1.0,1.55,9.35
1.0,0.0,9.8
1.0,3.55,21.35
2.0,0.0,16.3
1.0,2.0,17.3
1.0,5.08,25.38
1.0,1.0,10.3
1.0,4.86,29.16
1.0,1.0,8.3
2.0,3.36,20.16
2.0,2.26,13.56
1.0,0.0,15.3
1.0,0.0,-55.3
1.0,0.0,55.3
1.0,2.16,12.96
4.0,12.37,75.47
1.0,1.0,11.8
1.0,2.75,27.55
1.0,0.0,9.3
1.0,1.0,15.8
