passenger_count,tip_amount,total_amount
1.0,2.06,12.36
1.0,1.4,10.7
1.0,2.7,13.5
3.0,0.0,29.3
1.0,5.18,39.73
1.0,1.86,11.16
1.0,0.0,11.8
1.0,4.89,21.19
1.0,0.0,10.8
1.0,1.0,14.3
1.0,10.0,73.1
1.0,5.85,35.15
2.0,13.89,69.44
1.0,3.86,23.16
1.0,2.56,15.36
1.0,3.0,29.3
1.0,2.26,13.56
1.0,0.0,25.8
1.0,4.02,30.82
1.0,2.86,17.16
1.0,2.46,14.76
1.0,2.36,14.16
1.0,1.58,17.38
1.0,5.16,30.96
1.0,3.06,18.36
1.0,4.95,24.75
1.0,0.0,24.8
2.0,0.0,7.3
1.0,1.62,12.42
4.0,3.45,17.25
3.0,2.0,15.8
2.0,2.0,11.3
1.0,2.86,17.16
1.0,6.7,21.0
0.0,4.8,24.1
1.0,2.5,70.3
2.0,4.56,27.36
2.0,1.95,11.75
1.0,4.55,27.35
1.0,3.85,23.15
2.0,3.69,15.99
1.0,2.08,10.38
1.0,5.36,32.16
3.0,0.0,9.8
1.0,0.0,9.3
1.0,2.16,12.96
1.0,2.7,13.5
1.0,0.0,9.3
1.0,3.0,36.8
1.0,2.46,14.76
1.0,5.46,32.76
1.0,2.06,12.36
1.0,0.59,20.39
1.0,3.36,20.16
1.0,3.94,30.24
1.0,1.2,13.5
2.0,3.0,23.8
5.0,2.0,14.8
5.0,5.86,35.16
1.0,4.56,27.36
1.0,1.76,10.56
1.0,4.7,23.5
1.0,2.22,10.52
1.0,2.06,12.36
1.0,11.21,56.06
1.0,4.7,28.25
1.0,0.0,16.8
1.0,0.0,9.8
1.0,2.0,14.8
3.0,3.55,21.35
1.0,1.96,11.76
1.0,2.0,13.8
1.0,1.63,17.93
1.0,2.97,22.77
1.0,3.96,23.76
1.0,1.77,13.57
1.0,2.3,15.1
1.0,9.57,47.87
1.0,3.0,23.3
1.0,2.49,10.79
1.0,2.16,12.96
1.0,2.36,14.16
1.0,2.66,15.96
1.0,4.0,21.3
2.0,0.0,103.1
1.0,1.0,12.3
1.0,2.56,15.36
1.0,1.86,11.16
1.0,4.16,24.96
1.0,4.36,26.16
1.0,3.16,18.96
1.0,2.36,14.16
1.0,3.66,21.96
1.0,0.0,9.8
1.0,2.26,13.56
1.0,1.47,11.27
1.0,2.56,15.36
1.0,1.0,9.8
1.0,4.16,24.96
1.0,2.46,14.76
1.0,0.0,7.3
2.0,5.58,27.88
2.0,0.0,22.3
1.0,2.2,11.0
2.0,3.0,15.3
1.0,2.0,20.3
0.0,2.25,13.55
0.0,2.65,15.95
2.0,3.45,20.75
1.0,6.8,29.6
1.0,4.45,26.75
1.0,20.0,26.3
2.0,9.84,50.44
1.0,3.8,16.6
1.0,2.15,12.95
1.0,0.0,10.8
1.0,0.0,29.8
2.0,5.16,30.96
1.0,1.77,13.57
1.0,3.56,21.36
1.0,0.0,7.8
1.0,3.56,21.36
1.0,3.66,21.96
1.0,2.96,17.76
1.0,1.56,9.36
1.0,3.26,19.56
1.0,0.0,47.35
1.0,3.96,23.76
1.0,0.0,16.3
1.0,0.0,9.3
1.0,3.0,28.3
1.0,4.46,26.76
1.0,8.72,52.32
2.0,1.15,6.95
2.0,0.0,9.3
3.0,0.0,7.8
1.0,0.0,21.3
1.0,5.16,30.96
1.0,2.95,17.75
1.0,5.3,23.1
1.0,0.0,16.8
1.0,2.16,12.96
1.0,7.45,37.25
1.0,8.0,71.1
3.0,4.45,22.25
2.0,7.37,45.47
1.0,3.36,20.16
1.0,3.16,18.96
1.0,2.0,21.3
1.0,5.0,40.3
1.0,8.2,41.0
1.0,2.55,15.35
1.0,2.0,11.3
1.0,3.0,15.8
1.0,1.5,12.8
1.0,0.0,15.8
1.0,2.26,13.56
1.0,3.0,15.8
1.0,3.0,28.8
5.0,2.0,18.8
5.0,3.66,21.96
5.0,3.09,13.39
1.0,4.36,26.16
1.0,1.96,11.76
2.0,10.0,78.55
1.0,14.84,75.44
1.0,2.15,12.95
2.0,0.0,9.3
1.0,1.0,9.3
1.0,0.0,18.8
1.0,4.36,26.16
1.0,5.41,32.46
1.0,1.0,10.8
1.0,3.66,21.96
1.0,25.27,109.52
1.0,3.8,19.1
1.0,2.0,26.8
2.0,2.76,16.56
2.0,0.0,10.8
1.0,1.75,10.55
2.0,0.0,10.8
1.0,2.56,15.36
1.0,4.15,24.95
1.0,32.41,194.46
3.0,1.0,24.8
3.0,3.66,21.96
2.0,5.0,53.6
1.0,5.25,31.55
1.0,2.26,13.56
1.0,0.0,43.3
1.0,7.77,47.87
1.0,4.36,26.16
1.0,7.72,46.32
2.0,5.0,29.3
1.0,9.21,47.31
1.0,8.8,39.4
2.0,0.0,16.55
2.0,13.82,70.37
2.0,2.0,16.8
1.0,4.36,26.16
1.0,3.0,12.3
1.0,4.65,27.95
1.0,0.0,9.3
1.0,0.0,12.8
1.0,0.0,41.05
1.0,4.74,20.54
1.0,1.5,15.3
1.0,0.0,13.3
1.0,1.66,9.96
1.0,3.08,15.38
1.0,2.0,12.3
1.0,5.06,30.36
1.0,5.0,45.55
1.0,11.3,67.85
1.0,10.21,51.06
1.0,2.26,13.56
1.0,7.33,36.63
2.0,3.25,19.55
2.0,2.3,17.6
2.0,2.15,12.95
1.0,2.0,14.8
1.0,0.0,13.3
1.0,2.0,24.3
2.0,3.55,21.35
1.0,2.0,32.8
1.0,5.95,29.75
1.0,2.0,16.3
1.0,0.0,14.8
1.0,2.14,16.44
1.0,3.5,21.8
1.0,6.45,32.25
1.0,2.56,15.36
1.0,1.76,10.56
1.0,1.36,8.16
1.0,1.0,12.3
1.0,4.96,29.76
1.0,1.66,9.96
1.0,3.46,20.76
1.0,2.96,17.76
1.0,1.5,11.8
2.0,2.49,10.79
1.0,0.0,8.8
1.0,2.56,15.36
3.0,2.55,15.35
1.0,0.0,19.8
1.0,1.76,10.56
1.0,2.26,13.56
1.0,2.0,17.8
1.0,12.12,72.72
4.0,2.36,14.16
3.0,3.36,20.16
1.0,0.0,-7.8
1.0,0.0,7.8
1.0,2.0,15.3
1.0,2.46,14.76
1.0,0.0,18.8
1.0,8.0,25.3
1.0,1.86,11.16
1.0,10.34,52.94
1.0,0.0,11.3
1.0,12.37,75.47
1.0,2.0,13.8
1.0,4.06,24.36
1.0,1.96,11.76
1.0,1.0,9.3
1.0,2.76,16.56
1.0,2.49,10.79
1.0,1.92,14.72
1.0,6.96,41.76
1.0,2.75,18.55
1.0,1.0,16.3
1.0,0.0,12.3
1.0,3.08,15.38
1.0,1.0,10.8
1.0,9.39,41.94
1.0,2.06,12.36
1.0,2.96,17.76
1.0,4.82,24.12
1.0,1.73,19.03
1.0,0.0,10.3
1.0,1.08,11.88
1.0,1.65,9.95
1.0,2.25,13.55
1.0,3.95,19.75
1.0,4.75,28.55
1.0,2.76,16.56
1.0,2.46,14.76
1.0,2.26,13.56
2.0,3.46,20.76
1.0,0.0,9.3
1.0,2.0,16.8
1.0,2.35,14.15
1.0,0.0,11.8
1.0,1.0,12.8
1.0,2.0,10.8
1.0,0.0,14.3
1.0,2.86,17.16
1.0,3.06,18.36
3.0,1.0,12.3
2.0,1.85,11.15
2.0,1.95,11.75
1.0,1.86,11.16
1.0,5.0,15.3
1.0,5.06,30.36
1.0,8.17,50.27
2.0,2.36,14.16
1.0,5.66,33.96
0.0,5.05,30.35
0.0,14.65,51.0
1.0,8.07,49.67
3.0,7.9,47.5
1.0,1.8,15.6
1.0,2.26,13.56
1.0,1.86,11.16
1.0,2.86,17.16
1.0,1.5,8.8
1.0,2.76,16.56
5.0,10.71,64.26
1.0,2.0,10.8
2.0,2.05,12.35
1.0,2.85,17.15
1.0,0.0,35.3
5.0,7.92,47.52
5.0,2.76,16.56
1.0,1.45,8.75
2.0,3.65,21.95
1.0,2.55,15.35
2.0,0.0,56.55
1.0,0.0,16.3
3.0,2.16,12.96
3.0,4.0,32.8
2.0,0.0,37.6
1.0,2.0,25.8
1.0,6.56,40.61
1.0,0.0,44.55
1.0,2.0,43.85
1.0,5.26,31.56
1.0,0.0,14.3
1.0,3.76,22.56
1.0,2.26,13.56
3.0,3.08,15.38
4.0,0.0,12.8
1.0,0.0,17.3
2.0,10.0,73.1
5.0,0.0,23.8
5.0,8.12,48.72
1.0,1.23,13.53
2.0,1.98,21.78
1.0,3.33,16.63
3.0,3.32,16.62
3.0,3.2,27.0
1.0,4.66,27.96
2.0,0.0,61.85
1.0,1.96,11.76
1.0,6.26,37.56
2.0,4.45,22.25
1.0,5.66,33.96
1.0,4.76,28.56
1.0,1.0,12.3
2.0,3.58,17.88
