passenger_count,tip_amount,total_amount
1.0,4.4,26.4
1.0,6.08,36.48
1.0,2.36,18.06
1.0,0.0,26.2
5.0,2.72,16.32
5.0,4.12,24.72
1.0,0.0,19.0
1.0,3.7,22.2
1.0,12.0,67.95
6.0,15.86,95.16
4.0,25.31,151.86
2.0,10.91,65.46
1.0,11.1,49.35
2.0,14.8,88.8
1.0,0.0,12.2
1.0,9.16,54.96
1.0,9.15,54.9
1.0,0.0,31.25
1.0,2.02,12.12
1.0,16.11,96.66
1.0,2.0,17.0
1.0,12.95,64.7
1.0,0.0,14.3
1.0,0.0,37.4
1.0,3.28,19.68
5.0,3.84,23.04
5.0,0.0,38.1
1.0,3.12,15.62
2.0,13.2,79.2
1.0,2.0,21.9
1.0,3.87,16.77
1.0,4.4,26.4
1.0,0.0,-8.0
1.0,0.0,8.0
1.0,2.61,20.01
5.0,0.0,78.05
1.0,2.15,12.95
1.0,0.0,26.2
1.0,3.98,23.88
1.0,0.0,19.9
1.0,4.21,55.26
1.0,0.0,51.55
4.0,0.0,81.8
1.0,0.0,18.8
2.0,3.54,15.34
1.0,0.0,12.2
1.0,1.0,17.4
1.0,5.94,35.64
1.0,0.0,15.0
1.0,0.0,18.5
1.0,0.0,59.45
2.0,11.55,69.35
1.0,3.0,39.0
1.0,0.0,60.55
1.0,1.0,16.7
1.0,10.0,91.8
0.0,4.43,72.28
1.0,0.0,26.2
1.0,6.28,38.93
1.0,0.0,64.0
1.0,2.3,13.8
1.0,2.4,14.6
1.0,2.86,17.16
2.0,0.0,24.95
2.0,0.0,18.65
2.0,0.0,21.0
3.0,11.61,69.66
2.0,19.11,114.66
1.0,0.0,91.85
1.0,2.58,15.48
1.0,8.65,43.25
1.0,3.05,15.25
1.0,2.27,24.97
2.0,16.1,96.65
4.0,0.0,80.55
1.0,0.0,64.0
1.0,1.0,16.7
1.0,0.0,17.1
4.0,12.5,75.0
2.0,0.0,113.2
1.0,3.14,18.84
1.0,3.0,28.1
1.0,0.0,83.3
2.0,18.82,81.57
2.0,5.15,56.65
1.0,1.4,15.0
1.0,2.0,55.05
2.0,20.0,100.0
1.0,8.0,88.55
1.0,2.3,13.8
1.0,2.44,14.64
1.0,2.0,15.6
1.0,0.0,10.8
1.0,0.0,22.0
1.0,0.0,22.0
3.0,3.8,23.0
1.0,0.0,12.9
3.0,0.0,12.9
1.0,2.0,14.9
0.0,4.9,24.65
1.0,7.0,59.45
2.0,0.0,-105.35
2.0,0.0,105.35
1.0,14.68,89.33
2.0,0.0,23.4
2.0,0.0,66.45
1.0,0.0,47.55
1.0,26.34,131.69
1.0,0.0,11.5
1.0,2.4,14.6
1.0,0.0,74.0
1.0,18.46,80.01
1.0,2.45,12.25
1.0,0.0,31.0
1.0,0.0,16.4
1.0,1.5,17.8
1.0,0.0,23.0
1.0,0.0,52.0
1.0,0.0,12.2
1.0,0.0,71.5
1.0,0.0,78.05
1.0,2.0,27.5
5.0,0.0,12.2
5.0,0.0,14.3
4.0,0.0,13.6
1.0,0.0,13.6
1.0,2.58,15.48
2.0,10.58,63.48
2.0,0.0,223.05
1.0,0.0,23.0
1.0,0.0,23.0
4.0,25.43,152.58
1.0,2.55,15.45
1.0,1.0,16.0
1.0,20.37,122.22
1.0,0.0,-52.8
1.0,0.0,52.8
2.0,8.06,88.61
1.0,0.0,48.7
2.0,14.8,88.8
1.0,3.8,23.0
3.0,11.0,107.25
2.0,0.0,14.25
1.0,10.75,68.0
1.0,2.7,13.5
1.0,0.0,58.0
1.0,0.0,47.0
1.0,11.75,70.5
1.0,0.0,40.2
1.0,2.16,12.96
1.0,2.3,13.8
1.0,1.0,18.1
1.0,0.0,34.0
1.0,2.7,16.3
1.0,8.48,64.98
2.0,3.03,18.18
1.0,0.0,11.2
1.0,4.1,20.5
1.0,0.0,3.8
1.0,0.0,9.4
1.0,0.0,12.9
1.0,16.11,96.66
1.0,0.0,14.3
1.0,10.0,90.55
1.0,3.4,20.5
1.0,3.08,18.48
1.0,0.0,20.05
1.0,12.08,92.63
4.0,0.0,64.15
1.0,3.4,17.0
1.0,0.0,15.7
1.0,8.0,59.05
1.0,0.0,59.0
1.0,3.24,14.04
1.0,0.0,12.9
2.0,0.0,63.1
2.0,0.0,-21.3
2.0,0.0,21.3
1.0,2.0,14.9
1.0,1.83,14.03
3.0,0.0,-12.2
3.0,0.0,12.2
1.0,0.0,78.05
3.0,16.11,96.66
1.0,1.5,19.3
1.0,0.0,22.3
3.0,0.0,72.75
1.0,4.0,84.55
1.0,3.0,18.0
1.0,2.58,15.48
1.0,10.21,61.26
1.0,2.5,12.5
1.0,0.0,44.0
1.0,0.0,14.3
1.0,0.0,13.9
1.0,2.0,24.7
1.0,0.0,13.9
1.0,0.0,37.0
3.0,0.0,-37.45
3.0,0.0,37.45
1.0,0.0,20.75
1.0,23.15,138.9
1.0,16.1,96.65
2.0,4.45,22.25
2.0,10.0,94.0
1.0,2.85,17.15
1.0,22.39,134.34
1.0,0.0,56.65
1.0,8.0,75.85
1.0,20.0,209.0
1.0,0.0,80.55
3.0,0.0,87.25
1.0,15.86,95.16
1.0,0.0,12.9
3.0,0.05,81.85
1.0,0.0,10.4
1.0,7.75,46.55
1.0,4.6,23.1
1.0,3.5,21.0
2.0,1.0,73.75
1.0,12.8,76.8
1.0,8.0,68.55
2.0,0.0,74.0
1.0,2.0,18.4
1.0,4.0,16.9
2.0,0.0,38.35
2.0,16.11,96.66
5.0,16.75,100.5
1.0,0.0,78.05
2.0,0.0,62.25
1.0,9.92,60.77
2.0,0.0,69.25
2.0,0.0,80.55
3.0,0.0,61.35
1.0,2.35,11.75
1.0,3.75,18.75
2.0,16.11,96.66
1.0,2.44,14.64
1.0,0.0,-74.0
1.0,0.0,74.0
1.0,2.72,16.32
1.0,11.05,67.55
1.0,2.0,13.5
2.0,1.72,13.22
1.0,1.5,13.0
4.0,14.8,88.8
1.0,2.67,20.47
1.0,0.0,19.9
1.0,9.46,56.76
1.0,1.88,11.28
1.0,0.0,49.6
5.0,5.94,35.64
1.0,0.0,32.5
1.0,0.0,10.1
1.0,2.4,14.6
1.0,8.5,51.6
1.0,2.7,16.3
1.0,2.86,17.16
1.0,2.58,15.48
1.0,0.0,26.9
1.0,0.0,64.55
1.0,0.0,27.6
1.0,0.0,4.5
1.0,0.0,4.0
1.0,0.0,15.4
2.0,0.7,21.0
2.0,0.0,80.55
1.0,1.96,11.76
1.0,3.5,17.5
1.0,10.25,61.7
3.0,3.0,19.1
2.0,9.0,90.8
1.0,2.24,13.44
2.0,16.35,98.15
6.0,0.0,80.55
3.0,10.0,85.25
1.0,2.0,86.15
0.0,0.0,6.3
0.0,0.0,6.3
1.0,0.0,24.65
6.0,2.3,10.0
1.0,3.28,19.68
1.0,4.76,28.56
1.0,3.0,18.4
1.0,3.75,22.65
2.0,8.0,89.8
1.0,0.0,10.5
1.0,2.35,14.25
5.0,12.53,75.18
1.0,0.0,93.95
1.0,3.5,17.5
1.0,5.0,33.0
1.0,2.98,14.88
1.0,2.94,17.64
1.0,3.36,20.16
1.0,0.0,8.0
1.0,3.78,22.68
1.0,3.0,25.4
3.0,0.0,11.2
1.0,0.0,17.5
1.0,0.0,51.05
1.0,0.0,9.8
1.0,1.0,12.9
1.0,0.0,40.55
1.0,0.0,27.0
1.0,2.62,13.12
1.0,3.3,16.6
1.0,0.0,14.7
1.0,2.45,12.25
1.0,16.11,96.66
1.0,0.0,14.0
1.0,4.9,29.4
1.0,10.0,75.95
1.0,13.54,88.79
1.0,0.0,18.9
1.0,2.25,11.35
2.0,0.0,28.0
1.0,4.3,26.0
2.0,0.0,61.05
1.0,0.0,11.2
1.0,0.0,13.3
1.0,3.36,20.16
1.0,0.0,9.1
1.0,2.0,11.8
1.0,10.29,61.74
1.0,2.52,19.32
1.0,2.24,13.44
1.0,2.38,14.28
1.0,2.0,21.6
1.0,0.0,10.5
1.0,2.1,12.6
1.0,2.0,24.4
1.0,2.0,21.6
1.0,1.0,80.3
2.0,2.95,14.85
1.0,1.95,11.75
1.0,2.2,13.4
1.0,0.0,12.6
2.0,7.0,86.85
1.0,0.0,11.9
1.0,0.0,17.65
1.0,0.0,37.25
2.0,2.1,16.1
1.0,1.0,25.5
1.0,0.0,9.4
2.0,2.65,15.95
1.0,0.0,12.6
1.0,1.82,10.92
1.0,18.47,110.82
2.0,5.35,26.65
1.0,1.0,20.6
2.0,3.25,19.5
1.0,7.0,60.15
1.0,3.55,15.45
1.0,2.65,15.95
1.0,1.0,15.7
1.0,2.5,10.9
1.0,2.0,14.2
1.0,2.2,13.4
1.0,2.0,14.6
1.0,2.25,14.85
1.0,6.0,61.45
2.0,2.0,26.5
1.0,4.88,35.68
1.0,0.0,82.75
1.0,14.8,90.05
1.0,2.66,15.96
1.0,0.0,14.0
1.0,0.0,14.7
4.0,30.0,111.8
1.0,2.44,14.64
1.0,0.0,17.1
1.0,1.0,10.8
3.0,1.95,11.75
1.0,2.9,17.6
1.0,2.24,13.44
1.0,5.0,41.7
1.0,0.0,21.0
1.0,2.24,13.44
1.0,0.0,22.55
1.0,12.21,73.26
2.0,0.0,81.8
1.0,0.0,16.95
1.0,2.6,13.1
1.0,0.0,14.7
1.0,0.0,14.0
2.0,0.88,14.18
1.0,3.22,19.32
1.0,2.0,12.5
2.0,0.0,28.45
1.0,1.0,10.1
1.0,2.66,15.96
1.0,0.0,11.2
4.0,21.9,131.4
1.0,0.0,6.6
1.0,0.0,10.5
1.0,0.0,15.4
1.0,2.75,13.95
3.0,12.27,94.07
1.0,3.0,16.3
1.0,12.0,86.0
1.0,4.75,28.55
1.0,0.0,81.8
1.0,1.4,15.4
1.0,2.0,12.5
0.0,2.0,23.0
2.0,2.24,13.44
3.0,22.82,136.92
1.0,1.0,12.2
1.0,3.1,15.7
2.0,20.33,121.98
1.0,0.0,12.2
1.0,2.62,13.12
1.0,3.08,18.48
1.0,1.72,13.22
1.0,0.0,25.5
1.0,5.0,103.15
3.0,3.36,20.16
1.0,3.75,22.65
6.0,2.0,18.1
6.0,3.08,18.48
6.0,2.8,14.0
1.0,0.0,10.8
1.0,2.94,12.74
2.0,2.24,24.64
1.0,0.77,16.17
1.0,6.3,27.3
1.0,16.11,97.91
1.0,0.0,9.8
1.0,2.1,12.6
1.0,4.0,18.0
1.0,0.0,13.3
1.0,2.52,15.12
1.0,3.6,21.8
1.0,2.66,15.96
1.0,3.08,18.48
5.0,16.36,98.16
1.0,3.33,16.63
1.0,0.0,16.8
1.0,11.27,67.62
2.0,15.85,95.15
1.0,2.85,17.15
1.0,0.0,52.75
1.0,0.0,12.6
1.0,1.7,15.0
1.0,2.8,16.8
1.0,4.06,24.36
1.0,2.0,18.1
3.0,0.0,10.5
1.0,0.0,7.0
3.0,14.8,88.8
2.0,16.11,97.91
6.0,0.0,81.8
1.0,2.75,18.85
1.0,2.65,15.95
1.0,1.5,14.8
1.0,2.24,13.44
1.0,0.0,-15.4
1.0,0.0,15.4
1.0,2.0,23.7
1.0,0.0,54.75
1.0,2.95,17.65
1.0,1.0,16.4
1.0,0.0,11.2
1.0,10.0,91.8
1.0,0.56,11.76
1.0,4.06,24.36
1.0,0.0,27.3
1.0,4.06,24.36
1.0,1.0,12.2
1.0,1.0,12.2
1.0,3.85,19.25
1.0,0.0,9.8
1.0,1.89,14.49
1.0,2.1,23.1
1.0,0.0,18.2
1.0,1.5,21.8
1.0,6.8,34.1
2.0,1.89,14.49
1.0,0.0,5.2
1.0,0.3,10.1
1.0,2.8,16.8
1.0,3.33,16.63
1.0,4.45,26.85
2.0,0.45,37.55
2.0,10.85,65.1
2.0,2.35,14.25
1.0,2.45,12.25
2.0,5.15,31.05
1.0,0.99,7.59
1.0,2.58,15.48
1.0,4.12,24.72
1.0,2.0,14.6
2.0,20.1,100.65
1.0,4.34,26.04
1.0,0.0,11.9
2.0,3.22,19.32
1.0,14.52,62.92
1.0,3.0,12.8
1.0,0.0,13.3
2.0,0.1,59.75
1.0,2.94,17.64
3.0,10.0,89.3
1.0,0.0,12.6
1.0,2.94,17.64
1.0,3.36,20.16
1.0,2.38,14.28
1.0,0.75,11.25
2.0,2.94,17.64
1.0,2.2,13.4
2.0,3.36,20.16
1.0,1.0,15.7
1.0,12.1,73.85
1.0,2.5,20.0
1.0,2.6,13.1
1.0,0.0,12.6
1.0,2.1,12.6
1.0,0.0,16.1
6.0,0.0,53.55
1.0,0.0,10.5
1.0,6.3,27.3
1.0,4.0,38.3
1.0,0.0,20.3
1.0,3.9,23.5
1.0,4.3,26.0
1.0,3.0,17.7
5.0,3.08,18.48
1.0,0.0,81.8
1.0,8.19,35.49
1.0,3.64,21.84
1.0,3.22,19.32
0.0,4.75,28.55
0.0,0.0,9.1
1.0,2.5,20.0
1.0,4.2,25.2
1.0,3.5,21.0
1.0,16.1,96.65
1.0,0.0,10.5
1.0,3.5,21.0
2.0,2.0,57.65
1.0,4.85,130.0
6.0,0.0,12.6
6.0,3.15,13.65
6.0,1.1,13.0
1.0,0.0,16.95
1.0,5.0,39.45
1.0,0.0,12.6
1.0,1.0,10.1
3.0,0.0,12.6
1.0,11.47,68.82
1.0,2.8,16.8
1.0,3.92,23.52
1.0,1.89,20.79
1.0,0.0,31.5
1.0,10.56,64.61
1.0,1.0,15.0
1.0,3.36,20.16
1.0,3.0,27.5
1.0,16.35,98.15
1.0,2.0,18.1
1.0,1.5,14.8
1.0,2.66,15.96
1.0,0.0,10.5
0.0,1.95,11.75
0.0,5.05,25.35
1.0,1.5,13.4
1.0,5.04,21.84
3.0,1.0,11.5
1.0,10.29,51.44
1.0,2.8,16.8
1.0,0.0,9.1
1.0,0.0,80.55
1.0,2.8,16.8
1.0,16.36,98.16
0.0,0.0,70.15
2.0,1.6,9.6
1.0,5.0,19.0
1.0,2.25,11.35
1.0,10.0,84.0
1.0,2.35,14.25
1.0,0.0,17.5
1.0,0.0,11.2
1.0,11.41,68.46
1.0,0.0,21.0
2.0,0.0,-7.0
2.0,0.0,7.0
2.0,3.64,21.84
2.0,2.0,15.3
1.0,24.5,106.3
1.0,3.0,20.5
1.0,2.0,11.1
2.0,16.11,96.66
1.0,0.0,16.1
1.0,2.14,14.04
1.0,1.0,18.5
2.0,7.0,59.15
2.0,2.52,12.62
1.0,0.0,36.3
1.0,0.0,46.0
1.0,2.8,16.8
1.0,3.75,16.35
6.0,15.0,95.55
1.0,3.15,13.65
1.0,2.0,16.0
1.0,2.94,17.64
1.0,0.0,-12.6
1.0,0.0,12.6
1.0,16.0,90.0
1.0,3.56,22.61
1.0,3.5,40.05
1.0,21.21,127.26
1.0,10.0,98.35
1.0,1.0,11.5
1.0,0.0,15.4
1.0,0.0,13.3
2.0,0.0,81.8
1.0,4.06,24.36
1.0,1.36,10.46
1.0,2.8,16.8
1.0,6.44,38.64
1.0,0.0,37.25
1.0,3.0,53.9
1.0,1.5,12.0
1.0,2.66,15.96
1.0,0.0,80.55
1.0,0.0,50.75
1.0,0.0,11.5
1.0,0.0,7.0
1.0,3.8,22.7
1.0,2.5,15.1
1.0,2.95,14.85
1.0,0.0,12.6
1.0,5.25,26.25
1.0,2.5,15.1
1.0,2.52,15.12
1.0,2.38,14.28
1.0,3.2,19.3
4.0,16.11,96.66
1.0,2.52,15.12
1.0,4.0,28.5
3.0,10.56,63.36
2.0,0.0,15.4
1.0,1.2,12.0
1.0,0.0,20.3
1.0,2.52,15.12
1.0,0.0,8.0
1.0,2.8,16.8
2.0,0.0,11.2
1.0,0.77,16.17
2.0,2.31,17.71
1.0,1.5,19.7
1.0,0.0,80.55
1.0,2.8,16.8
2.0,0.0,21.0
1.0,1.19,13.09
1.0,3.5,17.5
1.0,1.0,19.9
1.0,2.7,20.2
1.0,0.0,108.05
1.0,2.8,14.0
1.0,2.52,19.32
1.0,0.0,27.3
4.0,5.0,75.35
1.0,0.5,14.5
1.0,5.32,31.92
1.0,3.64,21.84
1.0,5.04,30.24
1.0,3.24,14.04
1.0,3.64,21.84
