passenger_count,tip_amount,total_amount
1.0,2.0,20.3
1.0,2.56,15.36
2.0,0.0,16.3
2.0,2.06,12.36
2.0,0.0,9.3
2.0,3.95,19.75
2.0,1.0,16.8
3.0,1.0,14.8
3.0,1.96,11.76
2.0,0.0,9.3
3.0,2.96,17.76
2.0,10.78,53.88
1.0,2.85,17.15
1.0,2.45,12.25
1.0,1.85,11.15
1.0,2.25,13.55
4.0,0.0,27.3
1.0,2.79,12.09
2.0,0.0,9.3
2.0,2.86,17.16
2.0,0.0,8.3
2.0,1.86,11.16
2.0,3.96,23.76
1.0,2.85,17.15
1.0,2.46,14.76
1.0,0.01,21.31
1.0,2.23,24.53
1.0,1.5,13.8
1.0,3.36,20.16
1.0,2.16,12.96
1.0,3.56,21.36
1.0,4.06,24.36
1.0,3.76,22.56
1.0,1.0,20.3
1.0,1.86,11.16
1.0,0.0,10.3
1.0,1.0,12.8
1.0,1.86,11.16
1.0,0.0,10.05
1.0,4.06,25.61
1.0,0.0,10.3
1.0,3.25,19.55
1.0,2.0,10.3
1.0,2.46,14.76
1.0,2.46,14.76
2.0,5.56,33.36
1.0,4.25,18.55
2.0,0.0,15.3
1.0,1.7,15.0
2.0,2.77,22.57
1.0,0.0,35.6
1.0,8.17,50.27
1.0,1.35,11.65
1.0,4.74,20.54
1.0,0.0,14.8
3.0,2.25,13.55
1.0,4.0,43.6
1.0,0.0,17.8
1.0,2.16,12.96
0.0,2.15,12.95
0.0,4.15,24.95
0.0,0.0,15.8
1.0,0.0,23.3
1.0,2.8,14.1
1.0,1.95,11.75
1.0,3.56,21.36
1.0,4.95,29.75
1.0,11.39,56.94
1.0,3.95,23.75
1.0,2.56,15.36
1.0,0.0,-11.3
1.0,0.0,11.3
1.0,2.7,13.5
1.0,1.1,12.9
1.0,2.0,13.8
1.0,1.77,13.57
1.0,2.9,22.2
2.0,6.09,26.39
1.0,13.96,83.76
1.0,1.47,11.27
1.0,1.85,11.15
1.0,2.25,13.55
1.0,2.56,15.36
2.0,0.0,20.3
1.0,1.5,13.3
2.0,6.57,39.42
2.0,0.0,14.8
1.0,0.0,9.3
3.0,0.0,16.3
1.0,2.76,16.56
1.0,2.26,13.56
1.0,2.95,14.75
5.0,0.0,10.3
5.0,0.0,17.8
2.0,3.46,20.76
3.0,3.2,16.0
3.0,4.26,25.56
3.0,3.58,17.88
1.0,2.0,15.3
1.0,4.2,32.0
2.0,15.46,78.56
2.0,2.0,15.8
2.0,3.35,20.15
1.0,3.65,21.95
1.0,2.35,14.15
1.0,3.66,21.96
1.0,0.0,11.3
1.0,4.56,27.36
1.0,2.96,17.76
1.0,1.25,13.05
1.0,0.0,11.8
1.0,0.0,13.3
1.0,1.0,22.8
1.0,1.77,13.57
1.0,5.7,28.5
1.0,1.56,9.36
1.0,0.0,39.05
2.0,0.0,19.3
1.0,1.45,8.75
2.0,2.55,15.35
1.0,2.0,18.8
1.0,5.26,31.56
4.0,1.7,11.0
1.0,1.96,11.76
1.0,2.0,19.8
2.0,8.07,40.37
1.0,1.7,13.0
1.0,4.0,29.8
2.0,2.35,14.15
2.0,3.85,23.15
0.0,2.0,16.3
