passenger_count,tip_amount,total_amount
3.0,0.0,14.8
3.0,0.0,9.8
4.0,2.56,15.36
1.0,2.06,12.36
2.0,3.96,23.76
1.0,0.0,34.55
1.0,1.5,14.3
1.0,1.7,13.0
1.0,1.76,10.56
1.0,2.26,13.56
1.0,1.26,7.56
1.0,2.0,16.3
1.0,1.0,11.3
1.0,0.0,7.3
2.0,0.0,12.8
2.0,1.48,16.28
1.0,0.0,8.3
1.0,0.0,8.3
1.0,9.7,48.5
2.0,3.0,11.8
1.0,0.0,9.8
1.0,3.0,19.8
1.0,1.0,49.05
1.0,1.0,14.8
1.0,4.06,24.36
1.0,0.0,12.3
1.0,0.0,16.3
1.0,0.0,36.05
1.0,1.0,12.3
1.0,0.0,12.8
2.0,7.57,46.67
1.0,5.0,68.1
1.0,3.24,14.04
1.0,1.96,11.76
1.0,0.0,11.3
1.0,0.0,85.35
5.0,0.0,16.8
1.0,2.56,15.36
2.0,4.66,27.96
1.0,11.06,66.36
1.0,1.5,11.8
2.0,8.67,53.27
1.0,13.06,78.36
1.0,2.36,14.16
2.0,0.0,85.3
1.0,3.66,21.96
1.0,0.0,9.3
1.0,0.0,5.8
1.0,0.0,12.3
4.0,0.0,17.3
2.0,0.0,19.3
1.0,2.56,15.36
1.0,2.26,13.56
1.0,1.95,9.75
1.0,6.83,34.13
1.0,2.0,16.3
1.0,3.86,23.16
1.0,4.16,24.96
1.0,0.0,-10.3
1.0,0.0,10.3
2.0,3.96,23.76
2.0,0.0,8.3
1.0,0.0,11.8
1.0,2.0,13.8
1.0,2.26,13.56
6.0,2.2,18.0
6.0,0.0,10.8
1.0,1.0,9.8
1.0,0.0,13.3
1.0,3.56,21.36
1.0,0.0,9.8
1.0,1.78,16.58
3.0,12.35,74.2
4.0,3.75,22.55
1.0,2.55,15.35
4.0,6.65,28.95
1.0,12.62,75.72
1.0,6.0,45.55
2.0,2.0,10.3
1.0,2.05,12.35
3.0,0.0,11.8
1.0,2.35,14.15
1.0,0.0,11.3
1.0,2.46,14.76
1.0,3.56,21.36
1.0,0.0,36.8
2.0,2.15,12.95
2.0,2.7,13.5
2.0,0.0,21.8
1.0,4.45,26.75
2.0,1.0,13.3
1.0,0.0,11.8
1.0,2.36,14.16
1.0,0.0,8.3
1.0,6.18,68.03
1.0,12.35,74.2
1.0,8.42,50.52
1.0,12.37,75.47
2.0,3.56,39.16
1.0,0.0,8.3
1.0,0.0,9.3
1.0,4.37,28.67
3.0,2.66,15.96
1.0,2.0,26.3
2.0,2.58,12.88
1.0,0.0,13.3
3.0,8.52,51.12
2.0,0.0,14.3
1.0,0.0,13.3
3.0,3.16,18.96
2.0,11.0,71.6
1.0,0.0,14.8
1.0,2.66,15.96
1.0,2.49,10.79
1.0,2.66,15.96
1.0,0.0,7.8
1.0,2.06,12.36
1.0,0.0,19.3
1.0,7.36,44.16
2.0,0.0,14.3
1.0,2.76,16.56
3.0,15.31,91.86
2.0,0.98,10.78
1.0,1.85,11.15
2.0,2.0,20.3
1.0,2.86,17.16
1.0,0.0,11.3
1.0,0.0,16.8
1.0,2.0,14.3
0.0,1.47,11.27
1.0,2.45,14.75
1.0,0.0,21.05
1.0,4.46,26.76
1.0,12.51,62.56
1.0,6.7,33.5
1.0,1.66,9.96
1.0,0.0,14.8
6.0,0.0,-7.8
6.0,0.0,7.8
6.0,0.0,17.3
1.0,0.0,9.8
1.0,1.7,21.0
1.0,3.66,21.96
1.0,1.96,11.76
1.0,2.46,14.76
1.0,5.0,18.8
1.0,1.55,9.35
1.0,0.0,6.8
3.0,8.85,53.2
1.0,1.76,10.56
1.0,1.5,16.8
1.0,4.26,25.56
1.0,2.26,13.56
1.0,3.7,18.5
1.0,2.96,17.76
1.0,4.32,33.12
1.0,12.6,75.7
1.0,0.0,11.3
2.0,0.0,17.8
2.0,0.0,7.3
2.0,1.0,11.3
2.0,2.75,16.55
2.0,22.26,111.31
1.0,0.0,7.3
1.0,2.55,15.35
1.0,2.6,15.7
1.0,2.0,10.8
1.0,6.27,37.62
1.0,5.0,69.05
1.0,0.0,10.3
2.0,0.0,10.3
1.0,2.0,17.8
1.0,15.46,77.31
1.0,1.13,12.43
1.0,0.0,10.3
1.0,0.0,15.8
1.0,5.0,15.8
1.0,4.36,26.16
2.0,7.35,44.2
3.0,0.0,15.3
2.0,0.0,9.8
2.0,3.0,14.8
3.0,0.0,10.3
1.0,1.75,10.55
1.0,2.15,12.95
1.0,0.0,13.3
1.0,2.0,13.8
2.0,0.0,12.8
2.0,5.0,28.3
1.0,1.56,9.36
1.0,2.06,12.36
2.0,4.26,25.56
1.0,12.37,75.47
1.0,0.0,61.85
1.0,0.0,13.3
1.0,1.0,9.3
2.0,3.06,18.36
1.0,0.0,7.8
1.0,2.7,13.5
1.0,5.0,37.55
1.0,2.0,13.8
1.0,3.0,39.85
1.0,0.0,17.3
2.0,2.18,23.98
1.0,13.06,78.36
1.0,3.16,18.96
2.0,2.56,15.36
5.0,0.0,63.1
2.0,6.39,27.69
2.0,3.08,15.38
3.0,0.0,46.55
2.0,9.46,72.56
1.0,1.66,9.96
1.0,0.0,8.8
1.0,0.0,15.3
1.0,2.06,12.36
1.0,0.0,10.8
3.0,0.0,9.8
1.0,1.5,10.3
1.0,1.95,11.75
1.0,1.05,11.85
1.0,2.05,12.35
1.0,3.0,18.3
6.0,3.0,35.55
2.0,1.56,9.36
2.0,4.08,20.38
1.0,0.0,23.3
2.0,1.7,12.0
2.0,0.0,13.3
3.0,0.0,11.3
1.0,1.65,9.95
1.0,1.0,10.3
1.0,2.0,14.3
1.0,0.0,7.8
4.0,0.0,15.8
3.0,0.0,36.6
1.0,1.25,9.55
1.0,2.96,17.76
1.0,0.0,37.05
2.0,5.75,34.55
1.0,0.0,16.8
2.0,8.1,48.7
1.0,3.2,16.0
1.0,0.0,12.8
2.0,2.56,15.36
1.0,2.85,17.15
1.0,3.25,19.55
1.0,2.85,17.15
1.0,2.25,13.55
1.0,9.16,56.21
1.0,0.0,64.55
1.0,0.0,29.05
1.0,9.69,41.99
1.0,6.9,41.5
1.0,2.32,11.62
1.0,6.54,28.34
0.0,1.2,13.5
0.0,4.66,27.96
1.0,1.53,16.83
1.0,0.0,10.3
1.0,3.0,17.3
1.0,0.0,7.3
1.0,3.39,14.69
1.0,1.0,9.8
1.0,4.46,26.76
1.0,1.5,12.3
1.0,4.25,25.55
1.0,3.82,19.12
1.0,0.0,17.3
1.0,0.0,11.3
4.0,0.0,8.3
3.0,1.0,16.3
2.0,2.16,12.96
1.0,3.06,18.36
1.0,2.26,13.56
1.0,0.0,11.8
6.0,1.0,13.3
1.0,9.62,57.72
1.0,6.82,36.62
1.0,1.76,10.56
6.0,14.14,70.69
0.0,0.0,5.8
1.0,3.46,20.76
2.0,1.86,11.16
1.0,3.66,21.96
1.0,0.0,18.8
2.0,2.56,15.36
3.0,5.55,68.65
1.0,0.0,19.8
2.0,0.0,9.3
3.0,0.0,-9.8
3.0,0.0,9.8
1.0,0.0,15.3
3.0,16.7,100.2
1.0,0.0,9.8
1.0,0.0,17.3
1.0,4.15,24.95
2.0,3.3,16.6
4.0,15.0,114.55
0.0,2.75,16.55
0.0,10.25,61.65
1.0,1.66,9.96
1.0,4.16,24.96
