passenger_count,tip_amount,total_amount
"",7.17,39.41
"",8.68,66.53
"",4.17,19.23
"",4.16,22.9
"",4.14,22.79
"",2.94,16.19
"",0.0,17.52
"",5.1,28.04
"",0.98,10.78
"",6.02,42.13
"",1.63,17.93
"",2.0,15.68
"",2.54,17.81
"",2.0,19.67
"",2.94,16.2
"",0.28,13.19
"",3.26,19.56
"",4.76,28.56
"",3.0,16.51
"",7.0,46.8
"",4.69,35.99
"",5.66,31.15
"",6.6,41.6
"",9.02,50.27
"",8.18,44.95
"",5.1,28.05
"",0.0,21.07
"",6.25,37.55
"",2.0,15.3
"",4.86,26.73
"",1.0,18.44
"",6.12,33.68
"",3.65,16.89
"",3.04,16.75
"",4.58,25.19
"",1.0,70.85
"",0.0,13.3
"",1.77,13.57
"",11.16,61.98
"",7.61,77.44
"",5.68,31.23
"",3.92,23.53
"",4.02,22.16
"",2.94,16.19
"",8.18,44.96
"",3.81,21.0
"",0.0,39.47
"",0.0,22.44
"",7.2,39.58
"",3.5,26.8
"",3.65,27.95
"",2.95,16.24
"",6.62,56.9
"",5.51,33.06
"",4.35,30.5
"",0.0,14.86
"",11.31,67.86
"",11.68,64.85
"",4.56,27.36
"",5.34,29.37
"",5.58,27.88
"",0.0,16.3
"",6.17,33.95
"",4.4,33.7
"",0.0,19.57
"",2.56,15.36
"",3.42,26.22
"",3.4,18.71
"",3.48,19.17
"",1.89,23.14
"",3.72,37.17
"",4.2,23.11
"",0.0,34.49
"",1.3,18.07
"",11.22,69.53
"",1.81,18.12
"",0.47,21.87
"",0.26,12.06
"",1.55,11.85
"",5.4,43.4
"",15.22,85.02
"",9.72,53.42
"",0.0,19.21
"",3.08,33.88
"",0.0,18.01
"",1.96,11.76
"",1.58,15.81
"",2.0,15.3
"",3.32,18.31
"",5.69,31.31
"",9.47,72.57
"",4.44,31.12
"",1.83,9.13
"",2.15,16.45
"",0.32,14.89
"",3.85,21.19
"",2.92,16.17
"",0.0,29.23
"",3.66,21.96
"",13.88,56.14
"",0.0,9.3
"",1.18,12.98
"",3.19,17.57
"",3.41,18.78
"",3.86,23.16
"",2.92,20.5
"",3.85,21.2
"",4.56,31.94
"",4.78,52.58
"",3.56,21.36
"",10.34,57.51
"",2.31,23.13
"",2.6,19.9
"",3.5,26.8
"",1.77,13.57
"",2.24,22.41
"",0.83,9.13
"",2.86,17.16
"",2.0,71.85
"",1.47,14.74
"",3.26,19.56
"",6.18,43.23
"",4.9,26.95
"",2.92,16.17
"",3.82,21.02
"",6.2,34.08
"",2.19,21.93
"",2.17,18.5
"",2.22,17.02
"",3.24,17.85
"",4.62,35.42
"",3.27,18.0
"",3.56,21.36
"",6.35,34.91
"",5.0,67.29
"",4.55,25.05
"",3.96,23.76
"",4.0,17.3
"",5.89,32.38
"",0.0,13.52
"",6.31,34.68
"",3.9,21.46
"",1.48,14.84
"",2.19,15.45
"",5.74,31.57
"",5.98,32.9
"",4.22,19.42
"",5.11,28.09
"",1.62,16.29
"",2.06,20.62
"",2.22,17.02
"",8.27,45.46
"",1.55,11.85
"",7.98,31.89
"",6.2,34.1
"",3.64,20.04
"",0.0,23.77
