passenger_count,tip_amount,total_amount
2.0,2.08,10.38
2.0,0.0,8.8
2.0,4.0,16.8
2.0,1.0,19.3
2.0,4.58,22.88
4.0,3.82,19.12
6.0,2.06,12.36
6.0,3.16,18.96
1.0,0.0,21.05
3.0,0.0,9.3
1.0,2.66,15.96
1.0,1.0,18.8
1.0,2.16,12.96
4.0,8.48,65.03
1.0,11.87,71.22
1.0,3.16,18.96
5.0,1.54,11.84
5.0,2.82,21.62
1.0,8.81,52.86
1.0,3.86,23.16
1.0,2.56,15.36
1.0,2.0,13.8
1.0,3.0,34.3
1.0,2.45,14.75
1.0,2.35,14.15
1.0,0.0,11.3
1.0,2.56,15.36
1.0,4.58,22.88
1.0,0.0,26.2
1.0,2.76,16.56
1.0,1.84,14.14
1.0,1.86,11.16
1.0,7.72,46.32
1.0,2.16,12.96
1.0,0.0,56.55
1.0,2.25,13.55
1.0,2.15,12.95
1.0,2.55,15.35
1.0,2.0,10.8
1.0,2.16,12.96
3.0,3.76,22.56
1.0,2.86,17.16
1.0,0.0,12.3
1.0,1.56,9.36
1.0,2.46,14.76
1.0,0.0,14.8
1.0,2.07,15.87
1.0,1.2,12.0
1.0,0.0,10.3
1.0,0.0,108.3
1.0,2.46,14.76
1.0,4.75,28.55
1.0,8.8,52.9
0.0,1.0,10.8
1.0,2.26,13.56
2.0,3.0,24.8
1.0,3.08,15.38
1.0,1.7,20.0
1.0,3.56,21.36
1.0,1.0,15.3
1.0,2.26,13.56
1.0,1.33,14.63
1.0,3.2,12.0
1.0,0.0,12.3
1.0,0.0,8.8
3.0,2.0,14.3
2.0,2.55,12.85
4.0,3.0,27.3
1.0,2.36,14.16
1.0,0.0,15.8
1.0,0.0,9.3
1.0,3.26,19.56
4.0,1.96,11.76
2.0,0.0,13.3
1.0,4.0,24.8
1.0,0.0,12.3
1.0,4.26,25.56
2.0,3.24,14.04
1.0,3.0,19.3
3.0,0.0,8.8
1.0,0.0,15.8
2.0,2.85,17.15
1.0,2.0,12.3
1.0,1.47,11.27
1.0,0.0,10.3
1.0,15.78,78.88
1.0,4.46,26.76
1.0,44.06,264.36
1.0,3.0,38.1
2.0,0.0,35.3
1.0,2.2,20.0
1.0,0.09,7.89
1.0,3.86,23.16
1.0,1.66,9.96
1.0,2.0,26.3
2.0,9.46,72.56
1.0,3.06,18.36
1.0,4.0,27.8
2.0,4.59,19.89
3.0,0.0,10.3
1.0,0.0,10.3
2.0,0.0,11.3
4.0,0.0,13.8
5.0,0.0,12.3
5.0,2.46,14.76
2.0,3.0,16.3
1.0,4.0,15.8
1.0,0.0,8.3
3.0,16.0,56.35
1.0,4.66,27.96
1.0,2.2,11.0
1.0,2.0,13.8
1.0,1.76,10.56
1.0,1.0,12.8
1.0,4.36,26.16
1.0,6.12,36.72
1.0,2.67,20.47
3.0,1.86,11.16
1.0,0.0,11.3
1.0,0.0,24.55
1.0,2.05,12.35
1.0,1.2,11.0
1.0,0.0,14.3
1.0,1.0,15.3
2.0,1.76,10.56
1.0,4.96,29.76
1.0,1.5,15.8
1.0,11.11,66.66
2.0,1.96,11.76
1.0,2.66,15.96
3.0,4.06,24.36
1.0,2.25,13.55
1.0,2.05,12.35
1.0,0.0,25.0
1.0,7.05,42.35
1.0,11.06,67.61
1.0,2.0,14.3
1.0,2.15,9.45
1.0,2.6,11.4
1.0,3.25,19.55
1.0,2.7,13.5
1.0,4.95,24.75
1.0,4.0,29.8
2.0,12.37,75.47
1.0,0.0,3.8
1.0,0.0,28.8
1.0,10.0,79.65
1.0,10.45,52.8
3.0,3.32,16.62
4.0,2.66,15.96
4.0,0.0,13.8
2.0,5.75,34.55
1.0,0.0,7.3
1.0,0.0,12.3
1.0,3.84,16.64
1.0,1.86,11.16
1.0,15.46,78.56
1.0,0.0,32.8
1.0,4.0,37.35
1.0,2.56,15.36
1.0,0.0,8.3
1.0,0.0,10.8
1.0,4.66,27.96
1.0,3.24,14.04
1.0,12.62,75.72
1.0,12.62,75.72
2.0,2.76,16.56
1.0,4.0,27.8
1.0,2.16,12.96
1.0,3.06,18.36
1.0,1.0,11.3
1.0,2.96,17.76
2.0,1.86,11.16
1.0,2.46,14.76
1.0,0.0,15.3
1.0,0.0,11.8
1.0,2.03,22.33
1.0,0.12,14.92
1.0,3.96,23.76
1.0,0.0,24.3
2.0,0.0,9.3
2.0,5.37,32.22
3.0,2.58,12.88
3.0,4.96,29.76
2.0,4.06,24.36
1.0,0.0,39.6
2.0,12.37,75.47
1.0,0.0,30.05
2.0,0.0,35.8
2.0,0.0,37.55
1.0,0.0,45.3
2.0,0.0,12.3
3.0,3.26,19.56
2.0,4.66,27.96
1.0,0.0,20.55
2.0,12.37,75.47
1.0,0.0,47.8
1.0,0.0,19.05
1.0,1.0,12.8
1.0,2.26,13.56
1.0,0.0,8.3
1.0,0.0,7.3
1.0,0.0,9.3
1.0,0.0,15.3
2.0,4.7,23.5
1.0,3.56,21.36
2.0,7.33,36.63
2.0,3.35,20.15
1.0,2.0,18.8
3.0,0.0,10.3
1.0,1.65,9.95
1.0,0.0,10.3
1.0,0.0,55.3
1.0,6.76,40.56
1.0,3.26,19.56
1.0,1.0,12.3
1.0,2.39,15.69
0.0,3.15,18.95
1.0,0.0,15.3
1.0,0.0,25.3
1.0,6.41,38.46
1.0,1.0,11.3
1.0,1.0,10.3
1.0,5.86,35.16
2.0,0.0,14.3
1.0,3.16,18.96
1.0,2.26,13.56
1.0,1.0,10.8
1.0,3.66,21.96
1.0,5.96,35.76
1.0,2.86,17.16
