passenger_count,tip_amount,total_amount
1.0,3.32,16.62
1.0,1.1,8.4
1.0,2.79,12.09
1.0,4.36,26.16
2.0,3.96,23.76
2.0,1.95,11.75
1.0,0.0,9.3
2.0,0.0,13.3
1.0,6.58,32.88
1.0,4.95,29.75
1.0,1.66,9.96
1.0,1.54,11.84
1.0,2.0,14.8
1.0,2.86,17.16
2.0,2.96,17.76
1.0,3.16,18.96
2.0,2.52,19.32
0.0,4.86,29.16
0.0,0.0,13.8
1.0,11.06,67.61
1.0,6.31,69.41
1.0,2.26,13.56
1.0,3.05,18.35
1.0,3.35,14.65
1.0,4.7,20.5
1.0,0.0,-4.3
1.0,0.0,4.3
4.0,1.0,12.3
4.0,2.96,17.76
3.0,0.0,-11.8
3.0,0.0,11.8
2.0,2.76,16.56
1.0,2.36,14.16
2.0,3.32,16.62
1.0,3.65,15.95
1.0,1.5,17.8
1.0,2.75,16.55
1.0,1.55,9.35
1.0,2.76,16.56
1.0,0.0,11.3
1.0,3.32,16.62
1.0,0.0,22.55
1.0,1.43,15.73
1.0,3.16,18.96
1.0,5.15,15.45
1.0,4.08,20.38
1.0,0.0,10.3
1.0,3.15,18.95
2.0,2.35,14.15
1.0,2.34,10.14
1.0,2.56,15.36
1.0,4.66,27.96
2.0,15.46,78.56
1.0,1.2,12.0
2.0,1.66,9.96
2.0,0.0,13.8
1.0,0.78,8.58
1.0,1.0,18.3
1.0,1.96,11.76
1.0,3.84,16.64
1.0,2.86,17.16
1.0,2.76,16.56
1.0,3.95,19.75
1.0,2.45,12.25
1.0,1.18,12.98
2.0,0.0,33.05
2.0,0.0,63.1
1.0,14.16,84.96
1.0,0.0,7.3
1.0,0.0,11.3
1.0,4.0,22.3
1.0,3.65,21.95
1.0,1.92,14.72
2.0,2.25,13.55
1.0,4.05,20.35
1.0,3.2,16.0
1.0,1.5,15.8
1.0,4.45,22.25
1.0,3.64,27.94
1.0,1.0,9.3
2.0,2.36,14.16
1.0,10.0,73.1
1.0,3.8,19.1
1.0,2.45,10.75
1.0,3.95,23.75
1.0,2.15,12.95
1.0,2.66,15.96
1.0,3.55,21.35
2.0,5.05,25.35
1.0,2.36,14.16
1.0,0.0,13.3
1.0,1.0,10.8
1.0,0.0,12.8
2.0,0.0,-55.3
2.0,0.0,55.3
2.0,3.2,16.0
1.0,3.16,18.96
2.0,2.26,13.56
1.0,7.72,46.32
1.0,3.83,19.13
2.0,3.46,20.76
1.0,2.9,25.2
2.0,12.37,75.47
3.0,0.0,10.3
2.0,2.36,14.16
2.0,1.66,9.96
1.0,0.0,32.3
1.0,5.0,61.55
5.0,2.16,12.96
5.0,8.07,48.42
1.0,0.0,27.3
1.0,4.46,26.76
1.0,3.36,20.16
1.0,2.16,12.96
1.0,2.96,17.76
1.0,0.0,14.3
1.0,3.06,18.36
1.0,2.0,19.3
5.0,1.0,11.8
5.0,0.0,8.8
5.0,1.76,10.56
5.0,4.95,24.75
1.0,4.36,26.16
1.0,1.0,12.3
1.0,2.66,15.96
1.0,2.58,12.88
1.0,1.2,10.5
1.0,2.08,22.88
2.0,4.86,29.16
1.0,7.87,48.47
1.0,0.0,-9.3
1.0,0.0,9.3
1.0,0.0,14.3
2.0,0.0,36.1
1.0,1.0,14.3
1.0,3.75,22.55
1.0,2.16,12.96
1.0,4.36,26.16
2.0,0.0,55.3
2.0,1.76,10.56
1.0,3.5,18.3
1.0,6.07,37.67
1.0,3.09,13.39
1.0,2.56,15.36
1.0,4.45,22.25
2.0,2.56,15.36
1.0,0.94,7.24
1.0,3.26,19.56
1.0,3.06,18.36
1.0,1.96,11.76
1.0,1.96,11.76
1.0,2.26,13.56
2.0,2.26,13.56
1.0,3.06,18.36
1.0,3.36,20.16
1.0,0.0,10.3
1.0,0.0,20.3
1.0,8.12,48.72
1.0,3.08,15.38
1.0,2.5,14.3
1.0,2.45,14.75
3.0,2.65,15.95
1.0,4.46,26.76
1.0,1.96,11.76
1.0,2.0,21.3
5.0,12.62,75.72
1.0,2.06,12.36
1.0,0.0,16.3
2.0,0.0,12.8
1.0,2.0,17.3
1.0,2.68,29.48
1.0,4.66,27.96
1.0,1.86,11.16
1.0,1.18,12.98
1.0,0.0,21.3
1.0,2.96,17.76
1.0,1.08,11.88
1.0,2.56,15.36
1.0,2.88,18.18
1.0,5.0,19.3
1.0,3.24,14.04
1.0,5.0,30.05
1.0,8.07,48.42
1.0,0.0,63.8
3.0,0.0,12.8
1.0,0.0,15.8
1.0,2.06,12.36
1.0,2.06,12.36
1.0,9.11,54.66
1.0,2.36,14.16
1.0,2.0,18.8
2.0,12.6,75.7
3.0,4.16,24.96
3.0,2.46,14.76
2.0,4.26,25.56
1.0,2.96,17.76
1.0,0.0,9.3
1.0,4.32,21.62
1.0,1.84,14.14
1.0,0.0,25.8
1.0,1.2,9.0
1.0,4.76,28.56
1.0,11.06,67.61
1.0,5.66,33.96
1.0,2.06,12.36
1.0,1.2,16.0
1.0,6.84,29.64
1.0,2.06,12.36
1.0,2.45,14.75
1.0,3.0,11.3
1.0,3.05,18.35
1.0,12.37,75.47
1.0,0.0,15.05
1.0,1.96,11.76
2.0,1.66,9.96
2.0,0.0,10.3
1.0,4.0,13.3
1.0,5.16,30.96
1.0,0.01,17.31
1.0,0.0,11.3
2.0,6.39,27.69
1.0,6.54,28.34
3.0,3.05,13.35
1.0,2.0,20.8
2.0,1.75,10.55
1.0,2.05,12.35
1.0,1.36,28.66
1.0,0.0,36.8
1.0,3.46,20.76
1.0,3.84,16.64
1.0,3.46,20.76
1.0,1.0,12.3
1.0,5.06,30.36
1.0,5.0,34.3
2.0,5.0,31.8
1.0,2.05,12.35
1.0,3.55,21.35
1.0,1.55,9.35
2.0,0.0,11.8
2.0,2.75,16.55
1.0,2.65,15.95
1.0,3.0,23.3
2.0,0.0,10.3
1.0,2.76,16.56
1.0,5.36,32.16
5.0,2.2,14.0
5.0,0.88,9.68
5.0,6.36,38.16
4.0,2.0,16.3
4.0,6.09,26.39
2.0,4.16,24.96
2.0,0.0,9.8
2.0,0.0,12.8
2.0,3.06,18.36
2.0,2.45,12.25
1.0,2.35,14.15
2.0,2.58,12.88
1.0,1.86,11.16
1.0,1.56,9.36
2.0,2.66,15.96
2.0,2.94,12.74
1.0,0.0,74.55
2.0,0.0,13.8
2.0,2.58,12.88
1.0,1.55,11.85
1.0,1.0,14.3
1.0,0.0,16.8
1.0,2.16,12.96
1.0,9.0,47.8
1.0,2.26,13.56
1.0,2.06,12.36
1.0,2.76,16.56
4.0,4.8,28.85
3.0,6.26,38.81
1.0,3.56,21.36
1.0,1.0,17.8
1.0,2.75,12.05
2.0,3.05,18.35
1.0,2.76,16.56
2.0,3.2,16.0
3.0,2.28,25.08
2.0,4.45,22.25
1.0,3.84,16.64
3.0,2.66,15.96
1.0,3.56,21.36
1.0,4.16,24.96
2.0,3.2,21.0
2.0,2.75,18.05
3.0,0.0,11.8
2.0,3.46,20.76
1.0,3.26,19.56
1.0,2.55,15.35
1.0,2.37,18.17
1.0,1.86,11.16
1.0,2.86,17.16
2.0,1.86,11.16
1.0,2.95,17.75
1.0,0.0,3.8
1.0,2.96,17.76
1.0,0.0,8.8
1.0,1.42,19.22
1.0,5.0,35.3
2.0,4.36,26.16
1.0,0.0,14.8
1.0,2.35,14.15
1.0,3.15,18.95
2.0,3.16,18.96
2.0,0.0,11.8
3.0,3.16,18.96
2.0,4.89,21.19
2.0,5.46,32.76
1.0,0.0,-10.8
1.0,0.0,10.8
1.0,2.2,15.0
1.0,1.7,13.0
1.0,3.36,20.16
1.0,2.76,16.56
1.0,2.0,16.3
1.0,0.0,8.8
1.0,3.08,15.38
1.0,5.0,21.8
2.0,15.4,92.5
2.0,12.37,75.47
1.0,1.76,10.56
3.0,3.45,17.25
2.0,2.74,21.04
2.0,1.66,9.96
2.0,6.39,27.69
3.0,1.13,12.43
2.0,0.0,11.3
2.0,2.2,16.0
1.0,2.66,15.96
1.0,1.0,17.8
1.0,1.0,12.8
1.0,0.0,12.3
1.0,1.0,10.8
1.0,2.36,14.16
1.0,3.56,21.36
1.0,1.45,7.25
1.0,2.08,10.38
1.0,0.0,9.3
1.0,2.3,11.6
1.0,2.0,16.8
1.0,2.0,12.8
1.0,1.76,10.56
1.0,2.0,17.3
1.0,1.43,15.73
1.0,8.66,53.21
1.0,3.26,19.56
2.0,1.2,15.0
1.0,2.76,16.56
1.0,3.08,15.38
