passenger_count,tip_amount,total_amount
6.0,0.0,10.3
6.0,1.0,14.8
2.0,2.36,14.16
1.0,14.1,70.65
1.0,1.0,13.3
1.0,2.26,13.56
1.0,2.06,12.36
2.0,2.0,26.8
2.0,2.36,14.16
1.0,1.8,12.6
1.0,3.15,18.95
1.0,1.0,9.3
1.0,4.96,29.76
2.0,4.06,24.36
1.0,11.06,66.36
1.0,10.0,58.55
1.0,6.16,36.96
1.0,0.0,72.3
6.0,3.66,21.96
1.0,0.0,13.8
1.0,3.46,20.76
1.0,0.0,12.8
1.0,0.0,63.1
1.0,12.6,75.7
1.0,1.96,11.76
1.0,2.45,12.25
1.0,8.95,44.75
1.0,3.0,11.3
1.0,4.0,13.3
1.0,2.16,12.96
1.0,2.66,15.96
1.0,4.26,25.56
1.0,5.35,32.15
1.0,5.35,32.15
1.0,0.0,14.8
4.0,2.46,14.76
1.0,1.66,9.96
1.0,1.66,9.96
1.0,0.0,27.3
3.0,0.0,13.8
2.0,1.75,16.05
1.0,7.36,44.16
1.0,2.58,12.88
1.0,0.0,19.3
1.0,0.0,20.3
1.0,0.0,17.3
1.0,2.46,14.76
1.0,3.8,19.1
1.0,0.0,14.8
1.0,0.0,13.8
1.0,2.56,15.36
1.0,1.47,11.27
1.0,2.0,13.3
2.0,2.66,15.96
2.0,2.15,12.95
2.0,0.0,23.8
1.0,0.0,13.8
1.0,0.0,8.8
2.0,0.0,11.8
1.0,0.0,14.8
1.0,7.45,37.25
1.0,15.0,58.55
1.0,8.07,49.67
2.0,3.25,19.55
1.0,6.82,34.12
1.0,3.96,23.76
1.0,3.16,18.96
1.0,11.06,67.61
1.0,5.94,25.74
1.0,2.97,22.77
1.0,3.76,22.56
1.0,1.5,13.8
1.0,1.86,11.16
1.0,5.7,28.5
2.0,3.16,18.96
1.0,2.83,14.13
2.0,0.98,10.78
1.0,7.1,35.65
1.0,6.92,41.52
1.0,5.67,34.02
1.0,0.0,15.8
1.0,3.86,23.16
1.0,3.0,12.3
3.0,2.46,14.76
1.0,2.0,10.3
2.0,0.0,9.8
1.0,2.3,15.1
1.0,2.08,10.38
1.0,18.93,82.03
1.0,0.0,41.0
1.0,0.0,31.55
1.0,3.06,18.36
1.0,2.9,22.2
1.0,1.98,21.78
2.0,1.0,11.3
2.0,2.75,16.55
1.0,0.0,8.3
1.0,0.0,9.3
1.0,2.86,17.16
1.0,4.86,29.16
1.0,4.46,26.76
2.0,11.87,72.47
2.0,1.8,14.1
1.0,3.0,19.8
1.0,2.06,12.36
1.0,5.36,32.16
1.0,6.66,39.96
1.0,0.0,10.8
1.0,1.0,13.3
1.0,2.26,13.56
1.0,2.82,14.12
1.0,2.82,14.12
1.0,2.16,12.96
1.0,0.0,20.05
1.0,8.48,65.03
1.0,3.0,22.3
1.0,8.37,50.22
1.0,1.66,9.96
1.0,2.76,16.56
2.0,0.0,28.3
1.0,0.0,49.55
1.0,7.89,34.19
1.0,0.0,20.8
1.0,4.0,17.3
3.0,3.25,19.55
2.0,2.06,12.36
2.0,3.46,20.76
2.0,2.76,16.56
1.0,1.76,10.56
1.0,2.2,14.5
1.0,1.24,9.54
4.0,3.62,15.67
4.0,11.0,74.1
2.0,10.0,35.05
1.0,5.0,61.55
1.0,0.0,7.8
1.0,2.36,14.16
1.0,2.76,16.56
1.0,2.0,10.8
1.0,5.46,32.76
2.0,3.0,11.8
1.0,3.06,18.36
1.0,3.16,18.96
1.0,2.95,14.75
1.0,3.05,18.35
1.0,2.0,12.8
1.0,2.0,15.8
1.0,2.2,11.0
1.0,2.56,15.36
1.0,0.0,66.05
1.0,2.06,12.36
1.0,2.0,24.3
1.0,11.06,67.61
2.0,10.84,55.44
3.0,0.0,21.3
3.0,0.0,10.3
1.0,2.6,19.9
1.0,1.5,12.8
1.0,1.5,15.3
1.0,4.01,26.31
1.0,2.15,12.95
2.0,2.0,16.3
1.0,6.26,37.56
1.0,20.56,123.36
2.0,1.0,13.8
2.0,0.0,8.8
2.0,3.2,16.0
1.0,2.26,13.56
1.0,0.64,13.44
1.0,1.56,9.36
1.0,3.76,22.56
1.0,1.0,21.8
1.0,2.36,14.16
1.0,3.26,19.56
1.0,1.26,7.56
1.0,2.06,12.36
1.0,1.0,23.8
2.0,0.0,24.55
1.0,6.46,28.01
1.0,11.31,67.86
1.0,2.26,21.06
1.0,3.96,23.76
1.0,8.11,62.16
1.0,3.36,20.16
2.0,0.0,13.55
1.0,12.37,74.22
3.0,3.15,18.95
1.0,2.05,12.35
1.0,4.15,24.95
1.0,4.45,26.75
1.0,1.86,11.16
1.0,6.27,37.62
1.0,0.0,-104.35
1.0,0.0,104.35
1.0,2.0,17.3
1.0,1.0,10.3
1.0,1.82,9.12
1.0,3.16,18.96
1.0,2.82,14.12
1.0,4.76,28.56
1.0,8.76,53.81
1.0,2.06,12.36
1.0,2.66,15.96
1.0,5.0,19.8
1.0,0.0,16.3
1.0,0.0,13.3
1.0,0.0,32.35
1.0,2.0,8.3
2.0,7.05,35.35
1.0,2.76,16.56
1.0,3.45,17.25
1.0,6.24,27.04
1.0,2.26,13.56
2.0,2.0,29.8
1.0,0.0,31.8
1.0,5.0,42.6
3.0,8.47,50.82
1.0,13.66,81.96
1.0,2.66,15.96
1.0,0.0,14.8
1.0,3.46,20.76
3.0,5.0,41.55
1.0,0.0,10.3
1.0,8.0,48.1
1.0,3.04,23.34
1.0,4.66,27.96
1.0,4.86,29.16
1.0,2.26,13.56
1.0,3.46,20.76
1.0,5.04,21.84
1.0,2.83,14.13
6.0,0.0,29.8
6.0,0.0,11.3
2.0,2.96,17.76
2.0,2.16,12.96
1.0,4.56,27.36
2.0,2.46,14.76
2.0,4.06,24.36
1.0,3.26,19.56
1.0,2.0,10.8
1.0,1.0,25.8
1.0,2.76,16.56
1.0,0.0,16.8
1.0,3.2,16.0
1.0,1.7,15.0
1.0,6.0,30.3
1.0,2.0,12.8
1.0,1.7,13.0
1.0,0.0,12.8
1.0,2.86,17.16
1.0,2.06,12.36
1.0,2.76,16.56
1.0,2.0,14.8
1.0,3.46,20.76
3.0,0.0,14.8
3.0,3.66,21.96
3.0,3.46,20.76
1.0,4.26,25.56
1.0,4.76,28.56
1.0,2.0,62.6
3.0,0.0,125.3
2.0,3.45,17.25
1.0,7.4,32.2
1.0,2.36,14.16
1.0,2.85,17.15
1.0,1.86,11.16
1.0,0.0,16.8
1.0,2.06,12.36
1.0,0.0,11.3
1.0,1.0,27.3
1.0,0.0,43.55
1.0,2.95,14.75
1.0,2.76,16.56
1.0,0.0,24.55
1.0,7.65,46.0
1.0,2.45,14.75
1.0,5.2,26.0
1.0,2.0,21.8
1.0,4.0,29.8
2.0,0.0,8.3
1.0,4.05,20.35
1.0,6.31,69.41
6.0,2.86,17.16
2.0,2.0,10.3
3.0,1.76,10.56
2.0,2.0,14.3
1.0,0.0,18.8
1.0,6.56,40.61
1.0,2.0,22.8
1.0,2.95,17.75
1.0,0.83,9.13
1.0,2.0,13.8
2.0,4.05,24.35
1.0,1.0,12.3
1.0,0.0,7.8
1.0,6.24,27.04
1.0,0.0,33.8
1.0,4.26,25.56
1.0,1.0,13.8
1.0,4.76,28.56
1.0,0.0,14.3
1.0,1.83,20.13
3.0,7.0,70.1
1.0,1.7,13.0
1.0,3.26,19.56
1.0,4.7,23.5
1.0,2.95,14.75
1.0,2.35,14.15
1.0,0.0,8.3
1.0,3.08,15.38
1.0,12.37,75.47
1.0,4.16,24.96
1.0,3.56,21.36
1.0,0.0,25.3
3.0,0.0,38.05
1.0,1.96,11.76
1.0,0.0,10.8
1.0,2.96,17.76
1.0,1.66,9.96
1.0,0.85,18.65
2.0,2.2,11.0
1.0,12.12,72.72
1.0,0.0,6.8
1.0,0.0,33.8
1.0,11.0,66.1
1.0,1.0,13.8
1.0,0.0,16.3
1.0,2.7,13.5
1.0,3.36,20.16
2.0,1.0,18.3
1.0,3.05,13.35
1.0,3.75,22.55
1.0,3.58,17.88
1.0,2.66,15.96
1.0,3.76,22.56
1.0,0.0,9.8
1.0,0.0,19.3
1.0,1.95,11.75
1.0,3.15,18.95
1.0,2.0,18.8
1.0,2.65,15.95
1.0,2.0,19.3
4.0,2.55,15.35
1.0,0.0,8.3
1.0,0.0,19.8
1.0,2.76,16.56
1.0,4.58,22.88
1.0,0.0,55.35
1.0,3.76,22.56
1.0,4.0,33.8
1.0,0.0,117.1
1.0,0.0,21.8
2.0,0.0,36.1
1.0,0.0,69.35
1.0,1.0,-61.8
1.0,0.0,62.8
1.0,2.66,15.96
1.0,2.06,12.36
1.0,1.86,11.16
1.0,3.76,22.56
3.0,2.36,14.16
3.0,0.0,13.8
2.0,4.16,24.96
3.0,9.66,59.21
0.0,5.26,31.56
0.0,2.3,17.6
1.0,0.0,11.05
2.0,5.0,58.05
1.0,14.84,75.44
1.0,3.58,19.13
2.0,0.0,15.55
1.0,1.65,9.95
1.0,2.15,12.95
1.0,1.0,13.8
5.0,6.0,69.1
2.0,0.0,18.55
1.0,0.0,35.05
1.0,12.1,72.7
1.0,9.46,72.56
1.0,3.2,24.5
1.0,3.36,20.16
1.0,3.26,19.56
1.0,5.56,33.36
2.0,11.87,72.47
2.0,1.0,10.8
1.0,0.0,11.3
1.0,4.16,24.96
1.0,12.62,75.72
2.0,0.0,32.05
1.0,0.87,12.25
1.0,0.0,14.3
1.0,2.0,15.3
1.0,0.0,22.05
1.0,0.0,86.1
4.0,0.0,15.8
1.0,1.0,10.3
1.0,2.33,11.63
1.0,2.66,15.96
1.0,10.56,63.36
1.0,0.0,39.55
1.0,3.0,13.3
1.0,0.0,8.3
1.0,4.95,29.75
1.0,3.35,14.65
1.0,1.0,10.3
2.0,3.45,20.75
1.0,2.25,13.55
1.0,3.55,21.35
1.0,0.0,17.3
1.0,1.5,12.8
1.0,8.46,42.31
2.0,2.0,18.3
1.0,1.96,11.76
1.0,1.96,11.76
2.0,3.06,18.36
1.0,5.0,38.3
2.0,0.0,56.55
1.0,2.0,20.3
1.0,1.96,11.76
1.0,3.36,20.16
1.0,0.0,11.8
1.0,1.2,15.0
2.0,1.0,13.8
1.0,2.7,13.5
2.0,1.0,15.8
1.0,1.0,12.8
2.0,0.0,11.3
1.0,1.6,14.65
1.0,0.0,135.85
1.0,2.0,21.3
1.0,4.2,21.0
1.0,1.96,11.76
1.0,1.77,13.57
1.0,1.0,11.3
1.0,3.76,22.56
1.0,4.56,27.36
1.0,2.46,14.76
1.0,1.96,11.76
3.0,1.76,10.56
1.0,0.0,61.55
1.0,5.06,30.36
2.0,2.0,14.8
3.0,0.0,30.05
1.0,0.0,27.05
1.0,4.0,29.3
1.0,3.0,19.8
1.0,2.85,17.15
1.0,4.83,24.13
1.0,1.0,10.8
1.0,2.5,39.8
1.0,1.08,11.88
1.0,1.0,13.3
2.0,3.54,15.34
2.0,3.0,31.8
2.0,0.0,14.8
2.0,3.0,13.8
1.0,1.75,10.55
1.0,3.06,18.36
2.0,2.26,13.56
1.0,2.96,17.76
2.0,2.03,13.33
2.0,5.06,30.36
1.0,2.06,12.36
1.0,2.0,13.8
1.0,2.46,14.76
2.0,1.0,9.3
1.0,2.16,12.96
1.0,2.26,13.56
2.0,3.16,18.96
1.0,0.0,12.3
6.0,8.37,50.22
6.0,7.52,45.12
1.0,2.55,15.35
1.0,2.35,14.15
3.0,3.0,12.3
1.0,1.0,15.8
1.0,0.0,23.55
3.0,2.56,15.36
4.0,1.96,11.76
0.0,0.0,19.8
0.0,1.25,11.55
0.0,2.75,16.55
1.0,0.0,18.8
1.0,9.95,59.8
1.0,2.52,19.32
1.0,0.0,15.8
1.0,9.22,55.32
2.0,2.56,15.36
2.0,0.0,8.3
2.0,1.0,17.3
1.0,0.0,32.55
1.0,1.0,15.8
3.0,0.0,13.8
1.0,0.0,8.8
1.0,5.0,17.3
2.0,0.0,11.8
1.0,0.0,7.3
1.0,3.25,19.55
1.0,10.0,70.6
2.0,5.0,36.8
1.0,3.06,18.36
1.0,0.0,10.8
1.0,2.26,13.56
2.0,2.76,16.56
1.0,0.0,22.8
3.0,4.56,27.36
3.0,0.0,47.85
2.0,4.44,19.24
2.0,5.34,40.94
2.0,4.46,29.26
2.0,2.01,13.81
2.0,2.5,21.3
1.0,0.0,10.3
1.0,0.0,7.3
1.0,1.28,14.08
4.0,1.76,10.56
1.0,2.6,19.9
1.0,1.47,11.27
3.0,1.0,11.3
1.0,4.16,24.96
1.0,2.06,12.36
1.0,3.8,15.6
1.0,3.06,18.36
1.0,0.0,5.55
2.0,1.0,16.3
3.0,1.55,9.35
2.0,1.0,10.8
1.0,2.0,21.8
1.0,11.06,67.61
1.0,2.16,12.96
1.0,1.0,19.8
1.0,1.0,15.8
1.0,2.56,15.36
1.0,2.76,16.56
1.0,8.58,42.88
1.0,7.92,47.52
1.0,1.5,17.3
1.0,0.0,9.3
1.0,1.86,11.16
1.0,1.76,10.56
3.0,5.33,26.63
1.0,5.33,26.63
1.0,1.36,8.16
1.0,2.76,16.56
1.0,4.45,26.75
1.0,2.7,13.5
1.0,11.87,72.47
1.0,12.62,75.72
1.0,0.0,27.8
1.0,2.0,21.3
1.0,1.36,8.16
1.0,0.0,12.3
2.0,2.36,14.16
2.0,2.16,12.96
1.0,0.0,17.55
0.0,0.0,5.05
1.0,0.0,5.05
1.0,6.0,66.6
1.0,5.55,33.35
1.0,3.05,18.35
1.0,2.0,16.3
1.0,2.0,8.8
1.0,2.25,13.55
2.0,2.25,13.55
2.0,2.0,15.3
2.0,0.88,9.68
3.0,0.0,9.8
1.0,2.05,10.35
1.0,8.04,34.84
1.0,1.2,16.0
1.0,2.66,15.96
1.0,3.32,16.62
1.0,0.0,11.3
1.0,1.0,9.8
1.0,1.35,8.15
1.0,3.94,30.24
1.0,1.0,12.8
1.0,7.71,38.56
4.0,0.0,27.8
1.0,3.45,17.25
1.0,4.0,28.3
2.0,10.0,69.3
1.0,1.95,11.75
1.0,2.35,14.15
1.0,2.6,11.4
1.0,0.0,19.8
1.0,3.56,21.36
1.0,2.08,10.38
3.0,3.46,20.76
4.0,4.56,27.36
1.0,2.0,20.8
5.0,2.06,12.36
1.0,2.46,14.76
1.0,7.52,45.12
1.0,2.86,17.16
1.0,4.06,24.36
5.0,1.0,17.3
5.0,2.0,17.8
5.0,0.0,12.3
1.0,1.0,11.3
1.0,2.86,17.16
1.0,3.0,22.3
2.0,0.0,12.3
1.0,2.0,23.8
1.0,4.06,17.61
2.0,9.07,54.42
1.0,0.0,41.55
1.0,3.26,19.56
3.0,1.0,14.3
2.0,0.0,50.8
1.0,6.0,33.3
1.0,0.0,17.8
1.0,2.95,17.75
4.0,0.0,16.8
3.0,1.85,11.15
1.0,4.35,26.15
1.0,7.26,44.81
2.0,3.0,27.3
3.0,0.0,39.3
1.0,10.0,70.6
1.0,2.56,15.36
0.0,0.0,23.3
1.0,2.56,15.36
1.0,1.96,11.76
1.0,2.16,12.96
1.0,5.32,26.62
5.0,3.09,13.39
5.0,3.0,10.8
5.0,1.0,11.3
1.0,0.0,22.3
1.0,1.0,15.8
1.0,6.86,41.16
0.0,3.33,16.63
0.0,0.0,6.3
0.0,1.0,17.8
1.0,7.72,46.32
1.0,3.66,21.96
1.0,0.0,40.8
1.0,8.31,49.86
2.0,1.45,8.75
1.0,6.55,39.35
1.0,0.0,10.8
1.0,2.56,15.36
1.0,2.06,12.36
1.0,2.06,12.36
6.0,2.26,13.56
1.0,0.0,14.3
2.0,0.0,20.8
1.0,3.85,23.15
1.0,2.36,14.16
1.0,0.0,11.3
1.0,4.44,19.24
2.0,4.26,25.56
1.0,12.37,75.47
1.0,4.86,29.16
4.0,0.0,21.55
3.0,4.0,58.55
3.0,0.0,20.3
1.0,1.95,11.75
1.0,2.55,15.35
1.0,13.59,67.94
1.0,1.5,18.3
1.0,4.06,24.36
1.0,1.0,12.3
1.0,2.0,14.3
1.0,0.0,21.8
1.0,4.36,26.16
1.0,2.0,15.8
0.0,0.0,13.3
1.0,0.0,11.3
1.0,5.16,30.96
1.0,2.36,14.16
1.0,2.66,15.96
1.0,2.86,17.16
1.0,3.95,19.75
1.0,2.74,21.04
1.0,0.0,9.3
1.0,3.86,23.16
2.0,8.57,44.12
2.0,0.0,16.8
3.0,0.0,16.3
1.0,2.96,17.76
1.0,1.24,9.54
1.0,0.0,11.3
1.0,0.0,9.3
1.0,3.65,21.95
1.0,3.15,18.95
1.0,2.85,17.15
1.0,0.0,27.8
1.0,2.46,14.76
1.0,1.76,10.56
1.0,2.26,13.56
2.0,0.0,55.3
