passenger_count,tip_amount,total_amount
2.0,4.08,20.38
2.0,3.36,20.16
2.0,4.2,21.0
2.0,1.0,23.3
1.0,7.33,36.63
0.0,2.55,15.35
0.0,0.0,18.8
0.0,1.25,12.05
1.0,3.02,19.82
1.0,1.0,13.3
1.0,0.0,16.0
1.0,4.3,21.6
1.0,2.96,17.76
1.0,3.86,23.16
1.0,0.0,8.3
2.0,2.05,12.35
1.0,7.66,47.21
1.0,2.0,13.8
3.0,2.0,11.3
3.0,4.56,27.36
1.0,2.0,11.8
1.0,2.5,18.3
1.0,1.24,9.54
1.0,0.0,13.8
2.0,8.57,44.12
2.0,2.66,15.96
2.0,1.7,13.0
2.0,5.66,33.96
1.0,3.2,16.0
1.0,0.0,-15.3
1.0,0.0,15.3
2.0,2.46,14.76
3.0,1.68,18.48
2.0,2.25,13.55
2.0,0.0,11.8
1.0,2.25,13.55
1.0,9.39,40.69
1.0,3.95,19.75
1.0,4.7,20.0
1.0,2.86,17.16
1.0,1.8,18.6
1.0,2.55,15.35
1.0,3.0,16.8
1.0,0.0,-55.3
1.0,0.0,55.3
1.0,5.0,21.8
1.0,3.86,23.16
1.0,2.96,17.76
1.0,3.36,20.16
1.0,2.86,17.16
1.0,0.0,20.8
1.0,2.0,14.3
1.0,9.82,49.12
1.0,3.66,21.96
1.0,0.0,-15.3
1.0,0.0,15.3
1.0,1.5,17.3
1.0,4.76,28.56
1.0,0.0,20.3
1.0,3.85,19.15
2.0,6.05,36.35
2.0,4.95,29.75
1.0,2.56,15.36
1.0,3.86,23.16
1.0,3.65,21.95
0.0,1.95,11.75
1.0,1.0,10.3
1.0,0.0,15.3
1.0,2.2,11.0
2.0,2.35,14.15
2.0,1.0,18.3
1.0,1.0,24.8
1.0,4.05,24.35
2.0,3.0,26.3
1.0,4.66,27.96
2.0,3.16,18.96
6.0,1.76,10.56
6.0,2.46,14.76
6.0,2.18,23.98
3.0,1.75,10.55
1.0,3.86,23.16
1.0,3.46,20.76
1.0,0.0,35.55
1.0,6.41,38.46
1.0,0.0,61.85
1.0,4.86,29.16
3.0,0.0,15.3
1.0,2.96,17.76
1.0,2.82,14.12
1.0,0.0,13.8
1.0,12.37,75.47
1.0,2.86,17.16
2.0,4.45,26.75
1.0,2.0,17.3
2.0,10.0,30.8
2.0,2.06,12.36
4.0,7.27,43.62
1.0,2.0,23.3
1.0,0.0,29.3
2.0,3.0,25.3
1.0,6.77,41.87
1.0,1.0,13.8
4.0,0.0,17.3
4.0,2.46,14.76
1.0,0.0,10.3
1.0,1.0,-13.8
1.0,0.0,14.8
3.0,1.0,18.3
3.0,2.45,14.75
1.0,3.25,11.55
1.0,2.0,17.3
1.0,5.46,32.76
2.0,0.0,32.85
3.0,2.55,15.35
1.0,1.0,27.3
1.0,2.55,15.35
3.0,0.0,17.3
3.0,0.0,34.3
1.0,5.66,33.96
1.0,5.26,31.56
1.0,2.45,14.75
2.0,3.16,18.96
2.0,2.66,15.96
3.0,0.0,18.3
1.0,2.16,12.96
1.0,2.0,20.3
2.0,0.0,23.3
1.0,2.0,15.8
1.0,5.0,41.3
2.0,5.0,34.3
1.0,2.66,15.96
3.0,3.46,20.76
2.0,2.0,17.8
3.0,1.0,13.8
4.0,15.46,78.56
1.0,0.0,23.3
4.0,2.86,17.16
2.0,3.0,19.3
2.0,2.26,13.56
4.0,2.75,16.55
1.0,0.0,26.8
1.0,4.46,26.76
1.0,3.08,15.38
1.0,2.56,15.36
1.0,2.16,12.96
1.0,3.56,21.36
1.0,4.0,36.55
0.0,2.6,19.9
0.0,2.35,14.15
1.0,6.96,41.76
2.0,3.96,23.76
2.0,1.5,14.3
1.0,1.77,13.57
1.0,4.76,28.56
1.0,4.06,24.36
1.0,3.08,33.88
2.0,2.76,16.56
2.0,4.15,24.95
2.0,3.0,19.8
1.0,2.66,15.96
1.0,4.26,25.56
1.0,0.0,15.3
1.0,5.76,34.56
2.0,4.36,26.16
1.0,2.06,12.36
1.0,2.15,12.95
1.0,3.65,21.95
1.0,2.25,13.55
2.0,3.0,17.8
2.0,3.56,21.36
1.0,0.0,21.3
2.0,0.0,11.8
2.0,3.35,20.15
1.0,3.35,20.15
2.0,70.0,161.05
2.0,5.36,32.16
1.0,3.86,23.16
1.0,1.76,10.56
1.0,3.56,21.36
1.0,0.0,9.8
1.0,2.46,14.76
1.0,0.0,18.8
1.0,0.0,15.3
2.0,2.0,19.8
1.0,0.0,13.3
1.0,3.24,14.04
1.0,8.36,51.41
1.0,1.0,18.8
1.0,0.0,25.8
1.0,15.46,78.56
1.0,1.0,15.3
1.0,3.45,17.25
1.0,2.0,18.3
2.0,1.0,24.3
2.0,1.66,9.96
1.0,3.86,23.16
1.0,5.66,33.96
1.0,2.46,14.76
1.0,0.0,13.3
