passenger_count,tip_amount,total_amount
1.0,2.46,14.76
2.0,2.86,17.16
1.0,3.96,23.76
2.0,0.0,9.8
4.0,1.0,11.8
2.0,0.0,28.3
2.0,1.0,13.8
2.0,2.0,32.8
1.0,5.26,31.56
2.0,2.0,14.3
1.0,0.0,10.3
2.0,1.5,15.8
1.0,1.66,9.96
1.0,1.0,9.8
1.0,0.0,10.8
1.0,0.0,15.3
1.0,1.56,9.36
1.0,3.16,18.96
1.0,2.56,15.36
1.0,3.26,19.56
3.0,4.86,29.16
2.0,0.0,12.8
1.0,2.0,17.8
1.0,2.0,19.3
1.0,1.76,10.56
1.0,2.36,14.16
1.0,0.0,9.8
1.0,2.56,15.36
1.0,4.46,26.76
1.0,4.26,25.56
1.0,4.7,21.0
1.0,0.0,30.3
1.0,1.0,16.3
1.0,1.0,14.8
1.0,0.0,14.8
1.0,2.0,11.8
5.0,5.0,34.8
1.0,2.36,14.16
2.0,2.0,19.3
1.0,2.06,12.36
3.0,1.0,13.8
1.0,0.0,31.3
2.0,0.0,19.3
4.0,2.05,12.35
1.0,1.86,11.16
2.0,1.0,12.3
1.0,0.98,10.78
1.0,2.36,14.16
2.0,1.56,9.36
2.0,0.18,8.98
1.0,2.26,13.56
1.0,2.22,23.02
3.0,2.0,14.8
1.0,5.45,23.75
5.0,0.0,11.3
1.0,0.0,25.3
2.0,3.26,19.56
1.0,0.0,25.8
2.0,3.36,20.16
4.0,0.0,12.8
1.0,2.64,11.44
1.0,5.76,34.56
1.0,0.0,11.3
1.0,1.86,11.16
3.0,3.0,21.8
3.0,0.0,13.8
1.0,2.0,24.3
0.0,1.0,12.3
0.0,2.0,15.8
1.0,0.0,14.8
0.0,2.45,14.75
1.0,1.85,11.15
1.0,5.56,33.36
6.0,1.0,16.8
6.0,0.0,10.8
1.0,0.0,10.8
2.0,4.46,29.26
1.0,2.76,16.56
1.0,0.0,14.1
1.0,0.0,16.3
1.0,1.73,19.03
1.0,1.86,11.16
1.0,1.76,10.56
1.0,0.93,10.23
2.0,0.0,16.8
1.0,2.45,12.25
1.0,4.55,27.35
0.0,5.15,30.95
1.0,2.6,19.9
1.0,1.0,14.8
1.0,0.0,46.85
1.0,3.76,22.56
1.0,0.0,12.8
1.0,2.66,15.96
1.0,1.96,11.76
1.0,3.46,20.76
2.0,0.0,16.8
1.0,2.36,14.16
3.0,3.06,18.36
2.0,2.58,12.88
1.0,2.26,13.56
6.0,7.66,45.96
6.0,4.66,27.96
2.0,2.66,15.96
1.0,6.08,30.38
2.0,5.0,38.3
3.0,2.0,19.3
1.0,0.0,18.8
2.0,2.0,24.3
1.0,2.36,14.16
1.0,0.0,8.3
1.0,2.76,16.56
1.0,2.46,14.76
2.0,3.0,30.3
1.0,2.45,12.25
1.0,3.0,12.8
1.0,7.15,42.95
1.0,1.66,9.96
2.0,0.0,14.3
3.0,7.26,43.56
1.0,3.2,14.0
2.0,2.18,14.98
1.0,4.55,27.35
4.0,1.66,9.96
2.0,2.56,15.36
2.0,2.0,17.8
1.0,3.96,23.76
1.0,3.35,14.65
1.0,3.45,20.75
1.0,0.0,17.3
1.0,0.0,24.3
1.0,0.0,25.3
1.0,3.66,21.96
1.0,0.0,-3.8
1.0,0.0,3.8
1.0,0.0,3.3
1.0,0.0,16.3
1.0,3.36,20.16
1.0,3.46,20.76
1.0,1.66,9.96
1.0,4.55,27.35
1.0,0.0,9.3
1.0,3.56,21.36
1.0,1.76,10.56
2.0,1.0,19.8
1.0,5.45,27.25
1.0,1.13,12.43
1.0,2.34,10.14
1.0,1.68,18.48
1.0,1.86,11.16
1.0,0.0,16.8
1.0,0.0,30.3
0.0,0.0,12.8
1.0,2.06,12.36
1.0,2.58,12.88
1.0,0.0,10.3
2.0,2.76,16.56
1.0,1.86,11.16
1.0,1.0,19.3
1.0,1.0,13.3
1.0,4.29,18.59
1.0,1.96,11.76
1.0,0.0,9.3
1.0,0.0,17.8
1.0,4.16,24.96
2.0,12.0,43.3
1.0,2.76,16.56
1.0,0.0,11.8
1.0,2.26,13.56
1.0,3.86,23.16
1.0,0.0,16.8
1.0,0.0,16.3
2.0,4.66,27.96
1.0,0.0,11.3
1.0,0.0,16.8
2.0,2.16,12.96
1.0,0.0,21.8
1.0,0.0,7.8
1.0,2.06,12.36
1.0,1.0,11.3
1.0,1.66,9.96
1.0,3.06,18.36
1.0,0.0,18.8
3.0,2.56,15.36
1.0,3.16,18.96
1.0,0.0,21.3
1.0,0.0,12.3
1.0,1.0,11.8
1.0,1.0,9.3
1.0,1.0,9.8
1.0,1.76,10.56
2.0,0.0,10.3
2.0,0.0,24.8
3.0,0.0,6.3
1.0,2.46,14.76
1.0,3.16,18.96
2.0,3.06,18.36
5.0,3.24,14.04
5.0,10.0,19.3
1.0,3.66,21.96
1.0,0.04,3.84
2.0,0.0,30.3
1.0,5.95,35.75
1.0,0.0,-6.3
1.0,0.0,6.3
1.0,3.06,18.36
2.0,0.0,60.0
1.0,2.0,21.8
2.0,0.0,34.3
1.0,1.56,9.36
1.0,0.0,12.8
2.0,2.96,17.76
2.0,3.05,18.35
1.0,3.2,33.0
1.0,2.0,26.3
1.0,2.0,14.3
1.0,1.0,12.8
1.0,2.2,15.0
1.0,3.54,15.34
1.0,3.46,20.76
3.0,0.0,24.3
3.0,1.75,10.55
1.0,5.95,35.75
1.0,2.0,20.8
1.0,3.36,20.16
1.0,2.0,11.3
1.0,3.46,20.76
1.0,3.5,34.3
1.0,3.75,22.55
6.0,0.0,22.8
6.0,5.0,40.8
2.0,3.66,21.96
2.0,0.0,14.8
2.0,0.0,11.8
1.0,1.0,21.3
1.0,0.0,10.3
1.0,5.85,35.15
1.0,2.2,11.0
1.0,0.0,12.8
2.0,1.55,9.35
1.0,5.95,29.75
1.0,1.0,10.8
2.0,0.0,33.3
3.0,0.0,10.3
2.0,0.0,16.8
1.0,1.47,11.27
1.0,2.36,14.16
1.0,6.09,26.39
1.0,0.0,7.3
