passenger_count,tip_amount,total_amount
1.0,1.78,13.68
1.0,0.0,14.0
1.0,1.36,10.46
1.0,2.2,13.4
1.0,2.65,15.95
1.0,10.0,91.8
1.0,0.0,80.9
1.0,16.35,98.15
0.0,0.0,11.2
1.0,2.0,23.7
4.0,0.0,61.0
1.0,2.8,16.8
1.0,3.33,16.63
1.0,2.0,85.7
1.0,0.0,11.9
1.0,14.0,79.75
1.0,3.64,21.84
1.0,4.72,23.62
1.0,2.0,14.6
1.0,2.0,13.9
3.0,16.19,80.94
1.0,0.0,63.45
0.0,2.0,13.9
3.0,0.0,80.55
1.0,2.86,17.16
1.0,0.0,25.9
1.0,0.0,13.3
1.0,10.25,61.45
1.0,2.0,59.55
1.0,2.45,12.25
1.0,1.96,11.76
1.0,3.78,22.68
1.0,0.0,9.1
1.0,15.85,95.15
1.0,3.64,21.84
1.0,5.0,38.6
6.0,5.45,23.65
1.0,1.54,16.94
1.0,2.52,15.12
0.0,2.0,15.3
1.0,2.38,14.28
1.0,10.0,73.85
1.0,0.0,16.1
1.0,2.38,14.28
1.0,0.0,15.4
1.0,3.3,16.6
4.0,15.88,79.38
2.0,2.0,15.3
2.0,0.0,14.7
1.0,2.8,16.8
0.0,0.0,10.5
2.0,2.52,15.12
2.0,8.05,40.25
1.0,0.0,-22.4
1.0,0.0,22.4
1.0,0.0,14.7
1.0,3.9,23.5
1.0,0.0,9.1
1.0,1.5,16.2
1.0,0.0,12.2
1.0,4.0,18.7
1.0,3.08,18.48
1.0,0.0,18.2
1.0,0.0,7.3
1.0,2.44,14.64
1.0,2.44,14.64
1.0,16.0,25.8
1.0,1.0,22.7
1.0,3.5,17.5
1.0,0.0,14.0
1.0,2.94,17.64
1.0,0.0,49.0
1.0,4.28,21.38
1.0,0.0,31.5
1.0,0.0,4.5
1.0,24.58,147.48
3.0,0.0,14.7
4.0,0.0,14.7
1.0,2.8,16.8
1.0,0.0,37.25
1.0,7.35,36.75
2.0,0.0,75.75
1.0,0.0,10.5
1.0,2.65,15.95
1.0,2.35,14.25
1.0,0.0,18.35
1.0,1.5,10.6
1.0,1.6,14.9
1.0,4.0,19.4
1.0,3.15,15.75
1.0,2.94,17.64
2.0,16.11,96.66
1.0,6.64,39.84
1.0,0.0,47.05
1.0,0.0,10.5
1.0,2.0,15.3
1.0,2.02,12.12
2.0,9.17,55.02
1.0,0.0,13.3
1.0,2.0,46.8
1.0,3.0,19.1
5.0,5.74,34.44
1.0,10.84,66.29
1.0,0.0,64.85
1.0,2.1,12.6
1.0,1.0,18.5
1.0,0.0,14.0
1.0,0.0,11.2
1.0,3.04,23.34
1.0,1.68,18.48
1.0,3.64,21.84
1.0,2.0,16.7
1.0,2.24,13.44
1.0,12.24,74.69
1.0,0.0,11.2
1.0,0.0,18.2
1.0,0.0,75.25
3.0,2.8,16.8
1.0,1.4,15.4
1.0,2.65,15.95
1.0,0.0,18.2
1.0,0.0,28.0
1.0,0.0,11.9
2.0,3.5,21.0
1.0,11.69,70.14
1.0,20.14,101.94
1.0,3.1,29.0
1.0,0.0,40.0
1.0,0.0,21.0
1.0,4.0,31.3
1.0,10.0,90.65
1.0,2.98,14.88
1.0,0.0,14.7
1.0,0.0,23.1
1.0,0.0,9.4
1.0,0.0,16.1
1.0,0.0,17.5
4.0,0.0,81.8
1.0,2.0,13.9
1.0,0.0,21.15
2.0,1.0,12.9
2.0,2.2,13.4
2.0,2.35,14.25
1.0,0.0,13.3
1.0,8.0,55.0
1.0,2.38,14.28
1.0,2.52,15.12
2.0,12.2,74.45
1.0,0.0,10.5
1.0,0.0,12.6
1.0,10.0,68.95
2.0,5.5,30.0
1.0,0.0,71.55
1.0,0.0,14.7
1.0,1.0,32.5
3.0,8.0,88.55
1.0,24.55,122.7
1.0,0.0,37.25
1.0,0.0,16.1
1.0,2.0,16.7
1.0,6.0,29.1
1.0,2.72,16.32
4.0,0.0,11.9
1.0,3.64,21.84
1.0,1.1,13.0
1.0,5.1,31.85
1.0,0.0,31.0
1.0,0.0,29.0
1.0,0.0,80.55
1.0,0.0,14.7
1.0,0.0,8.7
1.0,0.0,21.0
5.0,1.1,13.0
4.0,0.0,29.4
1.0,1.96,11.76
1.0,0.0,11.2
1.0,0.0,9.1
1.0,0.0,56.55
2.0,12.08,92.63
2.0,0.0,80.55
1.0,2.0,14.2
1.0,2.52,15.12
