passenger_count,tip_amount,total_amount
2.0,0.0,13.8
3.0,2.56,15.36
1.0,0.0,13.3
1.0,3.0,18.3
1.0,1.66,9.96
1.0,2.46,14.76
1.0,0.0,14.3
1.0,2.75,16.55
1.0,2.3,10.1
2.0,4.46,26.76
1.0,2.36,14.16
1.0,3.0,13.3
1.0,3.26,19.56
2.0,0.0,13.3
2.0,3.2,16.0
2.0,0.0,17.8
2.0,2.0,10.8
3.0,0.0,6.3
1.0,5.46,32.76
1.0,0.0,15.3
1.0,2.79,12.09
1.0,1.56,9.36
1.0,0.0,19.8
1.0,2.16,12.96
1.0,2.56,15.36
2.0,12.37,75.47
1.0,2.49,10.79
2.0,2.06,12.36
2.0,1.56,9.36
2.0,5.66,33.96
1.0,0.0,4.55
1.0,15.8,78.9
4.0,3.33,16.63
2.0,5.45,41.8
1.0,0.0,63.1
1.0,20.0,81.85
1.0,2.0,10.3
4.0,2.16,12.96
1.0,0.0,5.8
1.0,13.82,69.12
1.0,2.46,14.76
1.0,2.36,14.16
0.0,1.02,7.82
1.0,3.26,19.56
2.0,10.0,71.85
2.0,0.0,9.8
1.0,2.45,14.75
1.0,3.95,23.75
4.0,0.0,19.3
1.0,1.96,11.76
2.0,12.62,75.72
1.0,0.0,38.6
1.0,3.26,19.56
3.0,2.86,17.16
0.0,3.05,18.35
0.0,1.85,11.15
0.0,0.0,13.3
1.0,2.37,18.17
1.0,3.36,20.16
0.0,0.0,24.3
0.0,5.0,50.8
1.0,0.0,21.3
2.0,3.05,18.35
2.0,2.08,22.88
2.0,0.0,25.55
1.0,3.35,14.65
3.0,1.75,10.55
1.0,5.55,33.35
3.0,7.37,44.22
1.0,2.96,17.76
1.0,3.24,14.04
1.0,3.76,22.56
1.0,2.58,12.88
2.0,2.66,15.96
1.0,0.0,7.8
2.0,1.2,11.0
3.0,1.96,11.76
1.0,5.06,30.36
3.0,0.0,24.8
1.0,3.86,23.16
2.0,0.0,17.8
2.0,0.0,9.3
3.0,1.0,9.3
3.0,5.49,23.79
1.0,2.0,60.85
2.0,2.95,17.75
1.0,0.0,19.8
1.0,11.2,48.5
1.0,1.66,9.96
2.0,3.06,18.36
4.0,2.94,12.74
2.0,3.16,18.96
1.0,1.5,13.3
1.0,1.0,9.8
2.0,1.5,12.3
1.0,0.0,20.3
1.0,0.0,10.8
3.0,1.66,9.96
2.0,1.96,11.76
1.0,2.56,15.36
1.0,4.85,24.15
1.0,2.0,11.8
1.0,2.25,13.55
1.0,6.67,40.02
0.0,1.85,11.15
1.0,0.0,18.8
1.0,10.0,66.55
1.0,4.55,22.85
1.0,0.0,28.8
1.0,2.0,14.3
1.0,0.0,7.8
1.0,0.0,7.3
1.0,0.0,23.3
1.0,8.2,41.0
2.0,2.86,17.16
1.0,6.57,40.67
1.0,0.0,6.8
1.0,0.0,10.3
1.0,3.35,20.15
1.0,2.65,15.95
1.0,10.0,71.85
1.0,2.0,10.8
1.0,0.0,9.3
1.0,10.0,71.85
1.0,2.45,12.25
2.0,0.93,10.23
2.0,0.0,14.3
3.0,2.0,15.3
1.0,12.37,74.22
2.0,4.2,21.0
1.0,9.55,47.85
2.0,11.3,67.85
1.0,2.5,19.8
1.0,1.66,14.46
1.0,5.0,47.35
1.0,0.78,8.58
1.0,1.76,10.56
1.0,7.26,43.56
1.0,0.0,10.3
2.0,2.49,10.79
2.0,1.0,8.8
1.0,1.96,11.76
1.0,2.33,11.63
1.0,2.76,16.56
2.0,18.51,111.06
1.0,2.36,14.16
1.0,1.75,10.55
3.0,2.25,13.55
2.0,7.2,36.0
1.0,0.0,4.3
1.0,2.96,17.76
1.0,2.06,12.36
2.0,12.37,75.47
1.0,12.1,72.7
5.0,2.26,13.56
5.0,0.0,16.3
2.0,0.0,9.3
1.0,1.25,9.55
1.0,2.25,13.55
1.0,2.75,16.55
5.0,0.0,23.05
5.0,12.37,74.22
1.0,9.27,56.87
1.0,2.46,14.76
1.0,5.0,27.8
1.0,0.0,7.3
1.0,2.36,14.16
1.0,5.36,33.41
0.0,2.48,27.28
0.0,0.0,11.8
1.0,0.93,10.23
1.0,8.52,51.12
0.0,5.0,43.6
0.0,0.0,43.85
1.0,1.2,8.0
1.0,2.55,15.35
1.0,0.0,26.8
2.0,0.0,17.55
1.0,0.0,11.3
2.0,1.0,13.8
2.0,0.0,11.3
1.0,12.37,75.47
1.0,2.56,15.36
1.0,8.82,52.92
1.0,0.0,11.3
1.0,1.96,11.76
1.0,5.49,23.79
1.0,0.0,29.05
1.0,2.86,17.16
2.0,0.0,13.3
2.0,1.5,13.8
2.0,0.0,11.8
2.0,0.0,17.8
