passenger_count,tip_amount,total_amount
2.0,12.87,77.22
1.0,0.0,8.8
1.0,0.0,13.3
1.0,2.96,17.76
1.0,2.36,14.16
1.0,1.66,9.96
1.0,5.7,28.5
1.0,2.0,12.8
1.0,3.46,20.76
1.0,0.0,9.3
1.0,0.0,17.8
1.0,9.09,46.69
1.0,1.55,11.85
2.0,0.0,17.3
1.0,3.25,19.55
1.0,0.0,27.3
1.0,0.0,9.3
1.0,11.06,67.61
1.0,0.0,23.8
1.0,0.0,11.3
1.0,3.0,25.8
1.0,1.0,8.8
1.0,3.08,15.38
1.0,0.71,15.01
1.0,12.62,75.72
2.0,9.96,61.01
1.0,7.06,43.61
1.0,2.06,12.36
1.0,2.36,14.16
2.0,0.0,9.3
1.0,0.0,7.8
1.0,7.29,31.59
1.0,0.0,29.8
1.0,7.0,30.3
2.0,15.46,77.31
1.0,12.32,73.92
2.0,1.33,14.63
1.0,1.24,9.54
1.0,0.0,9.3
1.0,1.29,5.59
1.0,0.0,55.3
1.0,0.08,60.68
2.0,5.95,29.75
1.0,0.0,30.05
1.0,0.0,18.0
1.0,0.0,56.55
1.0,13.82,70.37
2.0,8.67,53.27
1.0,6.76,40.56
1.0,0.0,60.3
1.0,4.1,17.9
1.0,3.15,18.95
1.0,0.0,22.3
1.0,9.37,57.47
1.0,3.36,20.16
1.0,4.66,27.96
6.0,0.0,9.8
6.0,0.0,18.3
1.0,2.0,23.8
2.0,5.16,30.96
0.0,2.0,13.8
0.0,2.75,16.55
2.0,13.16,78.96
1.0,3.86,23.16
1.0,0.83,9.13
1.0,2.36,14.16
2.0,1.76,10.56
1.0,0.0,28.55
1.0,0.0,8.8
1.0,0.0,13.3
1.0,6.56,40.61
2.0,0.0,8.3
2.0,0.0,14.8
2.0,0.0,15.3
1.0,0.0,13.8
1.0,0.0,5.8
1.0,0.0,5.8
1.0,0.0,5.8
1.0,0.0,39.8
1.0,11.57,70.67
2.0,12.37,75.47
1.0,0.0,19.3
2.0,12.78,55.38
1.0,11.87,72.47
1.0,2.26,13.56
1.0,11.27,68.87
1.0,0.0,14.55
1.0,8.65,56.7
1.0,0.0,12.3
1.0,0.0,50.85
1.0,0.0,10.3
1.0,1.13,12.43
1.0,1.0,12.3
1.0,0.0,8.3
1.0,2.79,12.09
1.0,0.0,75.8
1.0,4.76,28.56
1.0,8.97,55.07
1.0,20.56,123.36
1.0,15.78,78.88
1.0,3.06,18.36
2.0,0.0,8.3
2.0,5.45,23.75
1.0,0.0,9.3
1.0,1.0,18.3
1.0,0.0,37.0
1.0,2.93,22.48
1.0,4.75,28.55
1.0,0.0,9.3
1.0,0.0,20.8
1.0,2.45,10.75
1.0,0.0,17.8
1.0,2.05,12.35
2.0,2.8,14.1
1.0,3.0,22.3
2.0,11.86,72.41
1.0,12.37,75.47
1.0,0.1,61.95
1.0,0.0,38.8
4.0,0.0,-3.3
4.0,0.0,3.3
1.0,2.0,15.8
3.0,3.65,21.95
2.0,1.22,16.52
1.0,0.0,33.8
1.0,0.0,10.8
1.0,3.66,21.96
1.0,3.76,22.56
1.0,4.66,27.96
1.0,2.76,16.56
1.0,0.0,11.3
2.0,5.05,30.35
1.0,2.2,11.0
1.0,1.0,9.8
2.0,0.0,63.1
1.0,2.66,15.96
1.0,0.0,12.3
1.0,2.58,12.88
2.0,0.0,17.3
1.0,2.95,17.75
1.0,2.0,12.8
1.0,2.86,17.16
1.0,0.0,12.8
1.0,0.0,10.3
2.0,2.75,16.55
1.0,0.0,15.3
2.0,1.0,18.8
2.0,2.36,14.16
1.0,1.0,18.8
1.0,10.56,64.61
2.0,0.5,10.3
1.0,5.0,48.05
1.0,1.96,11.76
1.0,3.76,22.56
1.0,3.06,18.36
1.0,0.0,10.8
1.0,3.46,20.76
1.0,2.05,12.35
0.0,2.45,14.75
0.0,3.05,18.35
6.0,0.0,12.8
1.0,2.36,14.16
2.0,6.2,31.0
1.0,1.1,11.4
1.0,4.26,25.56
1.0,10.84,55.44
1.0,1.7,8.5
1.0,2.96,17.76
1.0,4.26,25.56
1.0,1.0,15.3
1.0,0.0,13.8
1.0,2.45,14.75
1.0,1.0,12.3
1.0,3.95,23.75
