passenger_count,tip_amount,total_amount
1.0,4.06,24.36
1.0,35.0,98.1
1.0,1.92,14.72
1.0,1.56,9.36
1.0,3.58,17.88
1.0,0.0,11.3
2.0,3.76,22.56
1.0,11.3,67.85
2.0,4.45,26.75
1.0,1.86,11.16
1.0,4.16,24.96
1.0,5.06,30.36
1.0,0.0,14.3
1.0,2.26,13.56
4.0,0.0,61.85
3.0,3.0,28.3
2.0,2.2,15.0
3.0,2.25,13.55
1.0,2.95,17.75
2.0,1.0,9.3
1.0,0.0,10.8
1.0,2.0,13.8
1.0,2.16,12.96
1.0,3.16,18.96
1.0,2.86,17.16
1.0,10.0,55.05
1.0,10.0,60.1
2.0,7.6,45.65
1.0,1.0,17.8
1.0,3.55,21.35
1.0,0.0,19.8
1.0,2.05,12.35
1.0,3.35,16.65
1.0,2.0,11.8
1.0,1.54,11.84
2.0,0.0,15.8
2.0,2.66,15.96
1.0,4.29,18.59
1.0,3.35,20.15
1.0,3.75,22.55
5.0,0.0,15.3
1.0,2.0,10.8
1.0,0.0,16.3
2.0,2.46,14.76
2.0,3.08,15.38
2.0,3.2,16.0
2.0,2.95,14.75
1.0,2.86,17.16
1.0,0.0,21.3
2.0,3.36,20.16
2.0,0.0,18.8
1.0,0.0,25.3
2.0,1.66,9.96
3.0,2.0,21.3
1.0,1.25,9.05
1.0,1.96,11.76
1.0,2.36,14.16
3.0,0.0,9.8
1.0,2.0,17.8
1.0,1.56,9.36
4.0,1.13,12.43
2.0,0.0,21.8
3.0,8.86,53.16
1.0,0.0,-3.8
1.0,0.0,3.8
2.0,11.06,67.61
1.0,3.76,22.56
1.0,1.0,8.3
1.0,2.0,11.8
1.0,2.5,27.3
1.0,0.0,56.05
1.0,2.36,14.16
1.0,8.47,50.82
1.0,2.0,17.8
1.0,3.25,19.55
6.0,1.77,13.57
6.0,0.0,14.3
6.0,4.66,27.96
1.0,4.66,27.96
1.0,0.0,21.3
1.0,2.26,13.56
1.0,2.26,-9.04
1.0,0.0,11.3
1.0,0.0,9.3
1.0,1.96,11.76
1.0,3.36,20.16
1.0,0.0,38.05
2.0,0.0,10.8
1.0,3.84,16.64
2.0,0.0,-10.8
2.0,0.0,10.8
1.0,2.26,13.56
2.0,2.06,12.36
1.0,2.26,13.56
3.0,0.0,12.3
2.0,0.0,19.8
2.0,1.56,9.36
2.0,1.0,13.3
2.0,1.85,11.15
1.0,2.0,16.8
1.0,2.96,17.76
1.0,0.0,19.8
2.0,2.3,15.1
1.0,3.46,20.76
1.0,2.33,11.63
1.0,3.7,18.5
1.0,0.0,16.8
1.0,3.06,18.36
1.0,2.0,10.8
2.0,3.75,22.55
2.0,12.62,75.72
1.0,3.16,18.96
1.0,2.0,16.8
1.0,13.86,83.16
1.0,11.71,59.81
1.0,2.26,13.56
1.0,2.37,18.17
2.0,12.6,75.7
2.0,2.55,12.85
0.0,2.3,11.6
0.0,0.0,30.3
2.0,6.96,41.76
1.0,0.0,20.3
1.0,0.0,9.8
1.0,0.0,15.3
1.0,3.86,23.16
1.0,11.36,74.46
1.0,10.0,19.8
1.0,3.0,19.8
1.0,4.66,27.96
1.0,30.0,306.55
4.0,3.95,19.75
2.0,3.36,20.16
1.0,10.09,51.69
1.0,2.8,23.6
3.0,0.0,12.3
3.0,0.0,-20.8
3.0,0.0,20.8
3.0,1.76,10.56
3.0,3.08,15.38
1.0,10.0,73.3
1.0,3.66,21.96
1.0,2.06,12.36
1.0,15.7,78.5
1.0,3.9,23.45
1.0,1.38,15.18
1.0,1.0,15.8
1.0,0.0,21.8
2.0,3.06,18.36
2.0,0.0,37.05
3.0,3.0,17.3
3.0,3.96,23.76
1.0,1.66,9.96
1.0,0.0,13.3
1.0,0.0,12.3
1.0,1.72,16.02
1.0,3.7,18.5
1.0,4.14,17.94
1.0,1.86,11.16
1.0,8.08,40.38
2.0,2.46,14.76
1.0,1.4,10.7
2.0,2.0,12.8
1.0,0.0,13.3
1.0,3.06,18.36
2.0,3.25,19.55
1.0,2.26,13.56
1.0,2.16,12.96
1.0,4.76,28.56
5.0,2.06,12.36
6.0,0.0,22.3
1.0,12.62,75.72
1.0,0.0,15.3
1.0,1.66,9.96
1.0,2.76,16.56
1.0,0.0,20.3
1.0,0.0,14.8
1.0,2.16,12.96
1.0,4.16,24.96
1.0,2.0,13.3
2.0,0.0,-24.3
2.0,0.0,24.3
2.0,2.0,29.85
1.0,2.0,12.3
1.0,2.7,13.5
1.0,1.96,11.76
1.0,4.75,28.55
1.0,3.42,26.22
1.0,1.0,24.8
2.0,3.0,34.3
1.0,2.96,17.76
1.0,5.86,35.16
1.0,0.0,8.8
1.0,0.0,16.8
1.0,0.0,11.8
1.0,0.0,11.8
1.0,0.0,15.8
1.0,3.36,20.16
1.0,5.06,30.36
1.0,3.09,13.39
1.0,0.0,16.8
1.0,5.16,30.96
1.0,4.26,25.56
3.0,2.66,15.96
1.0,3.76,22.56
3.0,2.86,17.16
0.0,2.45,14.75
1.0,0.0,32.35
1.0,3.0,17.3
2.0,0.0,13.8
0.0,6.26,37.56
1.0,3.96,23.76
1.0,0.0,15.3
1.0,2.0,18.3
2.0,0.0,30.8
1.0,2.05,12.35
3.0,12.6,75.7
1.0,12.0,75.1
1.0,0.0,18.3
1.0,0.0,17.8
1.0,3.0,25.3
1.0,0.0,17.3
1.0,4.16,24.96
1.0,2.0,13.8
4.0,0.0,33.8
1.0,3.36,20.16
1.0,5.26,31.56
3.0,2.75,16.55
2.0,1.0,24.3
2.0,0.0,12.8
3.0,0.0,15.8
1.0,2.45,12.25
5.0,2.06,12.36
5.0,2.0,13.8
5.0,2.2,11.0
5.0,0.0,25.8
1.0,0.0,14.8
1.0,2.76,16.56
1.0,0.0,14.3
1.0,2.26,13.56
1.0,1.86,11.16
2.0,4.86,29.16
2.0,2.66,15.96
2.0,1.03,11.33
2.0,0.0,11.3
1.0,0.0,18.3
1.0,1.95,11.75
1.0,2.0,15.8
1.0,11.06,67.61
3.0,0.0,10.3
4.0,3.54,15.34
5.0,2.56,15.36
2.0,0.0,8.3
2.0,3.26,19.56
3.0,3.96,23.76
3.0,0.0,13.8
1.0,0.0,11.8
1.0,1.3,15.1
1.0,0.0,15.8
1.0,5.32,26.62
1.0,2.26,13.56
1.0,4.56,27.36
1.0,2.26,13.56
1.0,3.95,19.75
2.0,3.26,20.81
2.0,1.76,10.56
2.0,6.36,38.16
1.0,0.0,10.3
1.0,3.76,22.56
2.0,2.36,14.16
1.0,6.0,40.3
1.0,3.0,21.8
4.0,0.0,17.3
1.0,1.0,10.3
2.0,0.0,24.8
1.0,0.07,50.87
1.0,3.95,19.75
1.0,0.0,10.3
1.0,2.95,14.75
1.0,2.0,14.8
3.0,1.46,8.76
1.0,6.58,32.88
2.0,2.0,9.8
1.0,2.0,15.3
2.0,0.0,39.8
2.0,5.0,17.3
0.0,1.75,10.55
0.0,0.0,15.8
2.0,3.75,22.55
2.0,1.0,12.8
1.0,4.0,29.3
1.0,3.56,21.36
1.0,1.86,11.16
1.0,4.16,24.96
2.0,3.86,23.16
1.0,6.7,33.5
1.0,0.0,6.8
2.0,3.56,21.36
1.0,5.08,27.38
3.0,8.66,51.96
1.0,1.0,14.3
1.0,4.0,12.3
1.0,2.95,17.75
1.0,0.0,8.3
2.0,3.72,28.52
0.0,2.05,12.35
0.0,0.0,11.8
0.0,0.0,15.3
0.0,1.0,9.8
0.0,2.9,12.7
2.0,4.16,24.96
1.0,0.0,29.8
1.0,6.32,31.62
1.0,1.56,9.36
1.0,3.56,21.36
1.0,2.06,12.36
1.0,5.36,32.16
1.0,14.6,87.65
2.0,0.0,13.3
3.0,4.06,24.36
1.0,0.0,13.3
1.0,2.46,14.76
1.0,0.0,10.3
3.0,1.0,10.8
2.0,0.0,9.3
2.0,6.71,40.26
1.0,7.66,47.21
1.0,0.0,13.85
2.0,7.1,42.7
1.0,0.0,10.8
1.0,3.46,20.76
2.0,2.7,13.5
2.0,2.14,16.44
2.0,2.75,16.55
2.0,4.86,29.16
1.0,2.12,13.92
1.0,4.76,28.56
1.0,4.5,29.8
2.0,2.0,22.3
2.0,0.0,8.8
2.0,0.0,11.8
1.0,2.05,12.35
2.0,3.15,18.95
2.0,5.7,28.5
1.0,1.47,11.27
1.0,0.0,8.3
2.0,0.0,9.3
4.0,4.58,22.88
1.0,3.56,21.36
1.0,8.21,49.26
1.0,3.76,22.56
2.0,2.16,12.96
2.0,1.66,9.96
3.0,1.0,10.3
2.0,2.66,15.96
1.0,1.5,15.8
2.0,4.1,26.9
1.0,0.0,16.8
1.0,0.0,26.8
2.0,3.65,21.95
2.0,3.3,16.6
1.0,4.86,30.41
1.0,3.5,29.3
1.0,1.0,20.8
5.0,2.46,14.76
5.0,3.06,18.36
1.0,1.0,15.3
1.0,2.36,14.16
4.0,5.34,23.14
1.0,2.06,12.36
1.0,0.0,9.3
1.0,0.0,12.8
1.0,6.06,36.36
2.0,0.0,12.3
1.0,1.96,11.76
1.0,2.94,12.74
1.0,1.5,13.3
2.0,3.76,22.56
1.0,2.56,15.36
3.0,4.46,26.76
1.0,6.5,28.3
3.0,3.35,14.65
5.0,2.56,15.36
5.0,3.36,20.16
5.0,1.5,10.8
1.0,0.0,8.8
1.0,12.35,74.2
2.0,0.0,6.3
2.0,2.46,14.76
2.0,2.06,12.36
1.0,4.0,15.3
3.0,2.36,14.16
2.0,5.95,29.75
1.0,2.22,24.52
1.0,2.46,14.76
1.0,1.0,10.3
1.0,4.4,33.7
2.0,2.8,14.1
3.0,1.76,10.56
1.0,5.45,23.75
0.0,0.0,9.8
1.0,5.75,34.55
5.0,0.0,10.8
5.0,4.76,28.56
5.0,0.0,13.8
1.0,4.36,26.16
2.0,0.0,21.3
2.0,2.75,21.05
1.0,6.97,43.07
1.0,9.24,40.04
1.0,12.6,75.7
2.0,6.0,27.3
4.0,0.0,23.3
1.0,6.67,40.02
1.0,0.0,7.3
2.0,2.35,14.15
1.0,0.0,27.8
1.0,1.0,25.8
1.0,2.76,16.56
1.0,2.0,16.3
1.0,1.66,9.96
1.0,1.5,28.3
2.0,3.36,20.16
1.0,3.0,12.8
2.0,0.0,10.8
1.0,0.0,8.3
1.0,2.45,12.25
1.0,3.46,20.76
3.0,4.76,28.56
2.0,1.86,11.16
1.0,3.0,20.8
1.0,6.7,33.5
2.0,1.8,25.1
4.0,5.26,31.56
1.0,4.66,27.96
2.0,10.0,67.1
1.0,0.0,18.8
0.0,0.0,11.8
2.0,4.14,17.94
1.0,2.2,15.0
2.0,5.76,34.56
2.0,4.66,27.96
2.0,3.0,18.8
1.0,0.0,18.8
1.0,0.0,29.8
1.0,1.56,9.36
1.0,0.0,9.8
1.0,4.06,24.36
1.0,1.96,11.76
1.0,2.0,12.3
2.0,3.46,20.76
2.0,0.0,8.3
1.0,4.26,25.56
1.0,2.7,13.5
2.0,3.04,23.34
1.0,7.1,42.7
2.0,4.85,29.15
1.0,1.0,16.8
1.0,0.0,16.8
1.0,1.2,15.0
1.0,6.77,41.87
2.0,4.58,22.88
2.0,2.86,17.16
0.0,3.95,19.75
0.0,5.25,31.55
1.0,5.06,30.36
1.0,2.0,20.8
1.0,4.56,27.36
1.0,1.96,11.76
2.0,3.39,16.94
2.0,15.78,78.88
1.0,2.66,15.96
3.0,2.46,14.76
2.0,9.7,48.5
1.0,5.0,17.3
1.0,6.75,40.55
1.0,7.57,45.42
2.0,8.95,44.75
2.0,0.0,17.3
2.0,2.16,12.96
1.0,2.36,14.16
1.0,3.0,12.3
1.0,2.86,17.16
1.0,4.66,27.96
2.0,0.0,11.3
1.0,2.0,24.8
2.0,12.37,75.47
1.0,2.45,12.25
2.0,0.0,25.8
1.0,4.5,31.8
2.0,0.0,9.8
1.0,7.0,47.05
3.0,1.5,14.3
3.0,0.0,9.3
4.0,3.26,19.56
3.0,1.0,12.3
1.0,3.06,18.36
1.0,2.0,17.3
1.0,3.26,19.56
1.0,2.16,12.96
2.0,2.06,12.36
2.0,0.0,9.3
5.0,0.0,16.3
5.0,5.82,29.12
1.0,11.36,74.46
1.0,2.26,13.56
1.0,2.56,15.36
2.0,3.16,18.96
2.0,11.13,48.23
1.0,3.24,14.04
1.0,2.76,16.56
1.0,2.86,17.16
1.0,0.0,20.3
1.0,9.2,55.25
1.0,0.0,17.9
1.0,3.24,14.04
1.0,2.55,15.85
1.0,2.26,13.56
1.0,2.75,16.55
1.0,2.25,13.55
1.0,2.76,16.56
1.0,4.26,25.56
1.0,0.0,8.8
1.0,0.0,19.3
1.0,1.0,11.3
1.0,2.36,14.16
1.0,8.2,49.25
2.0,1.7,13.0
1.0,9.77,58.62
4.0,0.0,7.8
4.0,2.26,13.56
1.0,3.95,23.75
1.0,3.85,23.15
1.0,2.45,14.75
1.0,1.0,13.3
1.0,2.26,13.56
1.0,2.06,12.36
1.0,0.0,75.9
1.0,1.0,18.8
1.0,0.0,23.8
3.0,3.82,19.12
1.0,5.06,30.36
1.0,0.0,52.6
1.0,3.05,15.35
1.0,3.16,18.96
1.0,2.56,15.36
1.0,1.7,12.0
1.0,2.26,13.56
1.0,2.46,14.76
1.0,1.0,9.3
1.0,1.84,14.14
2.0,2.16,12.96
2.0,2.46,14.76
2.0,2.0,23.8
2.0,4.26,26.81
1.0,2.85,17.15
1.0,2.05,12.35
1.0,4.39,30.19
1.0,12.37,75.47
1.0,2.08,10.38
1.0,3.76,22.56
1.0,2.7,13.5
1.0,2.66,15.96
1.0,3.65,21.95
1.0,2.65,15.95
1.0,2.0,11.8
3.0,0.0,63.1
1.0,1.56,9.36
1.0,1.4,10.7
1.0,0.0,24.3
1.0,2.86,17.16
1.0,2.76,16.56
1.0,2.45,14.75
2.0,0.0,15.8
1.0,0.0,26.8
1.0,3.46,20.76
1.0,0.0,41.8
1.0,10.0,23.8
1.0,2.2,25.0
1.0,2.0,11.8
1.0,4.06,24.36
1.0,5.19,22.49
1.0,9.4,56.45
1.0,14.84,75.44
1.0,0.0,19.8
1.0,2.0,8.3
1.0,0.0,11.8
3.0,4.28,28.08
2.0,6.66,39.96
1.0,1.86,11.16
2.0,1.76,10.56
1.0,1.77,13.57
1.0,0.0,27.3
1.0,2.0,10.3
1.0,2.96,17.76
1.0,2.56,15.36
2.0,0.0,13.8
3.0,0.0,11.8
2.0,0.0,16.8
2.0,2.0,25.3
1.0,4.86,29.16
1.0,1.96,11.76
1.0,3.0,15.8
1.0,1.86,11.16
3.0,1.85,11.15
1.0,4.0,16.8
1.0,2.55,15.35
1.0,1.0,12.3
2.0,2.0,11.8
2.0,3.87,29.67
1.0,2.56,15.36
1.0,0.0,17.3
1.0,1.76,10.56
4.0,0.0,9.8
1.0,2.56,15.36
1.0,0.93,10.23
1.0,6.26,37.56
2.0,12.37,75.47
1.0,2.0,18.3
1.0,5.64,24.44
1.0,0.0,8.8
1.0,0.0,27.3
2.0,4.16,24.96
1.0,2.19,9.49
1.0,3.16,18.96
2.0,4.92,37.72
4.0,1.5,11.8
1.0,4.5,36.8
1.0,2.56,15.36
1.0,1.84,14.14
1.0,2.36,14.16
1.0,3.16,18.96
1.0,0.0,13.3
2.0,3.0,39.3
2.0,1.8,11.6
3.0,4.56,27.36
1.0,0.0,16.8
1.0,3.46,20.76
1.0,1.0,15.3
1.0,1.48,16.28
1.0,2.75,16.55
1.0,1.96,11.76
1.0,3.08,15.38
1.0,1.0,15.8
1.0,2.0,18.3
1.0,1.7,15.0
1.0,0.0,14.8
4.0,2.0,16.3
2.0,1.5,14.3
3.0,2.0,11.8
2.0,1.86,11.16
4.0,6.46,38.76
2.0,1.73,19.03
1.0,2.26,13.56
1.0,0.0,7.3
1.0,2.35,14.15
1.0,4.65,27.95
1.0,1.96,11.76
1.0,4.26,25.56
1.0,1.0,18.3
1.0,4.44,19.24
1.0,3.46,20.76
1.0,2.0,23.8
3.0,0.0,11.3
2.0,3.06,18.36
2.0,2.46,14.76
1.0,1.55,9.35
1.0,3.0,20.8
2.0,3.0,21.05
1.0,5.93,45.48
4.0,0.66,13.96
1.0,12.37,75.47
1.0,2.0,13.3
2.0,0.0,19.3
1.0,5.49,23.79
1.0,1.55,9.35
2.0,3.2,14.0
1.0,2.25,13.55
2.0,3.65,15.95
1.0,1.5,9.8
2.0,4.45,26.75
1.0,1.4,10.7
1.0,0.0,17.8
1.0,2.07,15.87
