passenger_count,tip_amount,total_amount
1.0,3.16,18.96
1.0,3.72,22.32
1.0,3.16,18.96
1.0,4.14,24.84
1.0,2.88,17.28
1.0,2.46,14.76
1.0,4.42,26.52
1.0,1.0,26.6
1.0,0.0,24.9
1.0,6.9,41.6
1.0,3.5,34.0
1.0,17.11,102.66
2.0,0.0,26.3
2.0,0.0,14.4
3.0,4.14,24.84
2.0,3.86,23.16
2.0,4.95,21.45
2.0,2.0,17.1
1.0,1.89,14.49
1.0,3.42,17.12
2.0,4.42,26.52
1.0,5.5,27.6
1.0,1.5,13.1
2.0,0.0,14.4
1.0,0.0,16.5
1.0,2.74,16.44
1.0,0.0,19.3
1.0,3.44,20.64
1.0,3.16,18.96
1.0,3.3,19.8
1.0,5.35,26.75
1.0,4.7,28.2
1.0,3.5,31.9
1.0,3.85,23.15
1.0,2.68,20.58
1.0,15.21,77.31
1.0,18.45,80.0
1.0,2.85,17.25
1.0,5.15,25.85
1.0,3.85,23.15
1.0,0.0,10.5
1.0,0.0,27.7
1.0,2.0,18.5
1.0,3.4,20.6
1.0,3.02,18.12
2.0,1.55,14.55
1.0,3.58,21.48
1.0,4.0,24.0
1.0,2.7,29.7
1.0,4.56,27.36
1.0,6.0,19.7
1.0,4.84,29.04
1.0,2.0,19.9
1.0,4.7,28.2
2.0,17.11,103.91
1.0,6.65,39.95
1.0,0.0,26.3
1.0,0.0,13.7
1.0,2.0,14.3
1.0,6.0,26.0
1.0,7.5,45.0
1.0,3.72,22.32
1.0,0.0,13.0
1.0,0.0,20.0
2.0,2.0,59.9
2.0,6.38,38.28
2.0,5.4,32.4
1.0,2.74,16.44
1.0,4.98,29.88
1.0,3.42,17.12
3.0,5.68,34.08
1.0,4.12,20.62
6.0,2.0,21.3
5.0,0.0,34.7
5.0,5.0,53.0
1.0,3.55,21.45
1.0,4.56,27.36
1.0,4.0,24.7
1.0,2.0,23.4
1.0,4.25,25.65
1.0,6.38,38.28
2.0,3.72,22.32
1.0,3.6,18.0
1.0,3.44,20.64
1.0,2.0,15.7
1.0,4.98,29.88
1.0,3.58,21.48
1.0,2.79,21.39
1.0,4.1,24.8
2.0,6.1,36.6
1.0,0.0,35.4
1.0,0.0,15.1
1.0,4.83,24.13
5.0,0.0,19.3
2.0,2.74,16.44
1.0,3.72,22.32
1.0,3.0,26.5
1.0,0.0,26.3
1.0,4.8,24.1
3.0,15.9,95.6
1.0,1.6,27.9
1.0,2.04,12.24
3.0,2.5,29.5
1.0,5.8,34.9
1.0,0.0,16.5
1.0,2.46,14.76
1.0,2.32,13.92
1.0,0.02,15.82
1.0,0.0,40.3
2.0,3.6,18.0
1.0,6.22,31.12
1.0,3.58,21.48
1.0,0.0,13.7
1.0,1.5,25.0
1.0,4.56,27.36
1.0,1.3,15.0
1.0,4.84,29.04
1.0,4.28,25.68
1.0,2.88,17.28
1.0,2.6,15.6
1.0,4.14,24.84
2.0,7.36,44.16
2.0,2.6,15.6
1.0,0.0,17.9
2.0,0.0,84.3
1.0,3.0,22.3
1.0,3.86,23.16
1.0,4.42,26.52
1.0,2.0,16.4
1.0,4.95,29.85
2.0,0.0,20.7
2.0,5.4,32.4
1.0,2.18,13.08
1.0,1.0,14.7
1.0,4.98,29.88
1.0,5.12,30.72
1.0,6.38,38.28
1.0,2.88,17.28
1.0,11.35,68.1
1.0,2.0,22.0
1.0,3.3,19.8
1.0,16.86,101.16
2.0,3.58,21.48
2.0,3.58,21.48
2.0,4.12,20.62
2.0,5.0,38.3
1.0,5.12,30.72
2.0,5.26,31.56
1.0,4.3,21.5
1.0,2.88,17.28
1.0,2.5,26.7
1.0,0.0,48.7
1.0,2.0,36.7
1.0,5.4,32.4
3.0,0.0,25.6
2.0,1.8,16.2
3.0,3.16,18.96
1.0,1.95,14.95
1.0,3.72,22.32
1.0,0.0,16.5
1.0,3.0,18.1
1.0,5.5,33.2
0.0,5.25,31.55
1.0,4.0,40.8
1.0,10.0,61.75
1.0,3.58,21.48
2.0,2.88,17.28
1.0,3.44,20.64
1.0,0.0,21.4
1.0,3.42,17.12
1.0,0.0,18.6
1.0,1.0,30.1
1.0,2.6,15.6
1.0,10.78,65.93
1.0,4.47,34.27
1.0,3.0,27.9
1.0,4.83,24.13
1.0,0.0,22.8
1.0,5.5,33.2
1.0,3.55,21.45
1.0,3.69,15.99
1.0,2.45,14.75
1.0,4.7,28.2
1.0,4.25,25.65
1.0,2.47,16.17
1.0,0.0,17.9
1.0,3.02,18.12
1.0,3.47,38.17
1.0,0.0,24.9
1.0,2.0,26.5
1.0,2.0,19.9
1.0,0.0,13.7
1.0,7.36,44.16
1.0,5.1,30.7
2.0,1.5,20.1
1.0,4.0,24.0
2.0,0.0,19.3
1.0,2.6,15.6
2.0,3.15,18.95
1.0,5.0,25.0
1.0,6.0,30.2
3.0,4.4,26.5
1.0,0.4,40.0
1.0,3.86,23.16
1.0,2.74,16.44
1.0,1.5,16.6
1.0,0.0,22.1
1.0,5.4,32.4
1.0,0.0,60.05
1.0,5.37,23.27
1.0,3.44,20.64
1.0,1.9,17.0
1.0,4.3,25.7
1.0,5.25,31.55
1.0,0.0,15.1
1.0,2.26,17.36
1.0,15.0,75.15
1.0,1.0,16.1
1.0,0.0,22.8
1.0,6.38,38.28
2.0,4.56,27.36
1.0,2.6,15.6
1.0,1.3,15.0
2.0,0.0,13.0
2.0,3.72,22.32
1.0,4.28,25.68
1.0,3.16,18.96
1.0,3.72,22.32
2.0,6.24,37.44
1.0,2.5,21.8
1.0,3.02,18.12
2.0,3.72,22.32
1.0,2.0,18.5
1.0,4.56,27.36
1.0,2.56,28.16
1.0,4.14,24.84
1.0,2.7,30.4
1.0,2.6,15.6
1.0,1.0,15.4
2.0,1.5,15.9
1.0,14.19,61.49
3.0,17.11,103.91
1.0,0.0,20.7
1.0,2.88,17.28
1.0,2.0,37.4
3.0,3.95,19.75
1.0,3.58,21.48
1.0,5.12,30.72
2.0,0.0,44.8
1.0,4.7,28.2
1.0,0.0,16.8
1.0,3.08,15.38
1.0,4.7,28.2
1.0,0.0,17.2
1.0,12.16,72.96
1.0,2.74,16.44
1.0,4.7,28.2
1.0,5.0,25.0
0.0,0.0,8.0
2.0,3.86,23.16
2.0,6.66,39.96
1.0,3.84,29.44
1.0,7.08,42.48
1.0,8.94,38.74
1.0,0.0,13.7
1.0,6.9,41.6
1.0,2.52,15.12
1.0,3.58,21.48
1.0,4.42,26.52
2.0,6.8,40.8
2.0,5.79,25.09
1.0,2.1,20.0
1.0,3.44,20.64
2.0,4.28,25.68
2.0,0.0,13.7
3.0,4.42,26.52
1.0,0.0,18.6
1.0,5.68,34.08
1.0,0.0,27.0
1.0,3.02,18.12
1.0,0.0,14.4
2.0,0.0,17.2
2.0,10.5,37.5
1.0,7.1,42.75
1.0,3.0,18.1
1.0,0.0,18.6
6.0,0.0,14.7
6.0,2.0,13.6
1.0,3.72,22.32
1.0,3.4,20.6
1.0,2.0,38.8
1.0,2.74,16.44
1.0,4.0,24.0
1.0,5.08,42.58
1.0,3.08,18.48
1.0,3.16,18.96
1.0,3.2,19.0
1.0,5.68,34.08
2.0,5.15,22.35
1.0,2.5,32.3
1.0,7.9,47.5
1.0,0.0,13.7
1.0,2.37,18.17
1.0,3.0,27.2
1.0,3.16,18.96
1.0,5.0,22.9
1.0,0.0,24.2
1.0,1.0,13.3
1.0,0.88,21.58
1.0,3.02,18.12
1.0,4.42,26.52
1.0,4.98,29.88
1.0,6.1,36.6
1.0,3.16,18.96
1.0,2.88,17.28
1.0,1.0,16.8
1.0,2.6,15.6
1.0,5.12,30.72
1.0,23.18,139.08
1.0,4.84,29.04
1.0,2.0,17.1
1.0,3.0,18.1
1.0,0.0,57.1
1.0,3.15,18.95
1.0,0.0,22.8
1.0,4.95,21.45
1.0,1.0,16.8
2.0,4.98,29.88
1.0,8.31,36.01
1.0,3.3,19.8
1.0,4.28,25.68
2.0,2.68,20.58
1.0,3.72,22.32
1.0,2.88,17.28
1.0,4.56,27.36
1.0,5.54,33.24
1.0,0.0,49.6
1.0,2.6,15.6
4.0,0.0,86.8
1.0,3.0,25.1
1.0,4.11,17.81
1.0,4.7,28.2
1.0,3.5,24.9
1.0,0.04,22.84
1.0,3.9,16.9
1.0,4.0,31.7
1.0,2.6,15.6
1.0,2.32,13.92
1.0,3.44,20.64
1.0,4.42,26.52
3.0,4.42,26.52
