passenger_count,tip_amount,total_amount
1.0,14.35,87.35
1.0,0.0,14.7
1.0,3.78,22.68
1.0,7.2,44.45
1.0,6.43,49.28
1.0,16.11,97.91
1.0,3.92,23.52
1.0,2.0,60.25
1.0,4.26,25.56
1.0,0.0,12.6
1.0,2.02,13.22
1.0,2.38,14.28
1.0,0.0,11.2
1.0,5.0,80.05
1.0,1.25,15.25
1.0,7.0,23.1
1.0,3.36,20.16
1.0,2.0,19.5
1.0,5.25,26.25
1.0,3.08,18.48
1.0,4.34,26.04
1.0,0.0,51.95
1.0,24.54,106.34
2.0,14.8,90.05
4.0,0.0,40.05
1.0,1.0,12.9
1.0,20.1,100.65
1.0,3.0,19.1
1.0,6.0,87.8
1.0,3.35,16.65
1.0,2.94,17.64
1.0,1.5,13.4
1.0,1.3,16.0
2.0,4.0,85.8
1.0,3.36,14.56
1.0,0.0,23.1
1.0,0.0,20.0
1.0,0.0,22.0
1.0,2.5,17.2
1.0,3.22,19.32
1.0,4.34,26.04
1.0,0.0,50.65
1.0,3.7,22.2
1.0,1.0,15.7
0.0,0.0,8.4
1.0,0.0,17.5
1.0,1.0,10.1
1.0,2.35,14.25
1.0,2.0,16.0
1.0,1.5,14.8
1.0,0.0,17.5
1.0,3.5,21.0
1.0,6.3,37.8
1.0,2.1,12.6
1.0,0.0,18.2
1.0,2.1,12.6
1.0,4.62,27.72
1.0,2.0,13.9
1.0,0.0,25.2
1.0,20.1,100.65
2.0,2.1,12.6
1.0,0.0,15.4
2.0,0.0,11.9
1.0,2.52,15.12
1.0,3.78,22.68
1.0,3.75,16.35
1.0,0.0,-10.5
1.0,0.0,10.5
1.0,2.24,13.44
1.0,2.8,16.8
1.0,0.0,22.4
1.0,2.0,13.2
1.0,2.94,12.74
1.0,2.94,22.54
1.0,2.66,15.96
1.0,0.0,9.8
0.0,10.0,31.15
1.0,0.0,20.3
1.0,16.1,96.65
1.0,2.5,13.0
1.0,0.0,10.5
1.0,3.08,18.48
2.0,15.68,94.08
1.0,12.94,78.89
1.0,0.5,10.3
1.0,2.0,20.2
1.0,8.0,89.8
2.0,16.36,98.16
6.0,0.0,79.3
1.0,1.5,16.2
1.0,3.85,19.25
1.0,2.1,12.6
1.0,7.0,63.35
1.0,2.0,12.5
1.0,1.0,14.3
1.0,3.64,21.84
1.0,24.15,104.7
1.0,1.7,19.2
1.0,1.5,15.5
1.0,0.0,70.15
1.0,3.64,21.84
1.0,1.5,16.9
1.0,2.0,12.5
1.0,1.4,21.0
1.0,3.32,16.62
2.0,16.11,96.66
2.0,0.0,9.1
1.0,1.0,14.3
1.0,0.0,12.6
1.0,0.0,14.7
1.0,2.24,13.44
0.0,0.0,74.0
1.0,0.0,17.5
1.0,2.1,19.6
1.0,0.0,56.15
1.0,13.35,66.9
1.0,2.1,12.6
1.0,2.2,13.4
1.0,2.2,13.4
1.0,3.22,19.32
1.0,4.06,24.36
1.0,1.0,15.0
1.0,2.0,13.2
1.0,1.0,11.5
1.0,0.0,9.8
1.0,4.9,29.4
1.0,3.12,65.52
1.0,2.35,14.25
1.0,0.0,4.5
2.0,0.0,9.8
1.0,0.0,14.7
1.0,2.3,24.0
1.0,3.3,18.0
2.0,11.36,68.16
2.0,0.0,23.8
1.0,3.64,21.84
1.0,2.24,13.44
1.0,0.0,16.1
1.0,4.06,24.36
2.0,16.11,97.91
1.0,0.0,8.4
1.0,3.08,18.48
1.0,2.0,17.4
1.0,2.35,14.25
1.0,3.05,18.45
1.0,1.96,11.76
1.0,3.08,18.48
1.0,1.82,20.02
1.0,4.2,18.2
1.0,5.46,32.76
1.0,11.13,66.78
1.0,0.0,103.3
1.0,1.0,19.9
1.0,4.2,25.2
6.0,0.0,16.1
6.0,5.04,30.24
2.0,20.14,101.94
3.0,16.11,97.91
1.0,0.0,11.9
1.0,2.8,14.0
1.0,2.52,15.12
1.0,11.11,119.26
1.0,5.08,25.38
1.0,2.1,12.6
1.0,1.0,10.8
1.0,2.16,12.96
2.0,2.8,16.8
1.0,3.35,20.15
1.0,6.25,27.25
1.0,3.95,17.25
1.0,3.08,18.48
1.0,2.8,16.8
1.0,5.88,35.28
1.0,1.0,20.6
2.0,0.0,54.05
1.0,0.0,23.8
1.0,2.8,16.8
1.0,12.0,70.45
6.0,0.0,12.6
6.0,0.0,21.0
1.0,2.52,15.12
1.0,4.8,30.0
1.0,3.78,22.68
1.0,0.0,14.7
1.0,2.8,16.8
1.0,16.11,96.66
1.0,18.5,92.5
1.0,0.0,10.5
1.0,2.1,10.5
1.0,0.0,14.0
1.0,3.5,21.0
1.0,1.5,12.0
1.0,3.78,22.68
1.0,2.8,16.8
3.0,0.0,15.4
1.0,0.0,13.3
0.0,1.5,9.2
1.0,2.24,13.44
1.0,1.78,13.68
1.0,4.3,26.0
1.0,10.7,64.25
1.0,11.26,68.81
1.0,2.72,16.32
1.0,3.36,20.16
0.0,4.0,37.6
2.0,3.22,19.32
1.0,3.0,12.1
1.0,2.5,15.1
1.0,0.0,29.4
1.0,3.95,23.85
0.0,6.7,40.3
1.0,1.5,15.5
1.0,0.0,16.1
1.0,4.0,18.3
1.0,3.5,17.5
1.0,4.0,50.35
2.0,3.15,15.75
2.0,1.58,12.08
2.0,3.0,15.6
0.0,0.0,88.8
1.0,2.2,13.4
1.0,0.0,11.2
1.0,2.0,12.5
1.0,2.0,20.2
1.0,2.98,14.88
1.0,2.65,15.95
1.0,3.5,17.5
1.0,0.0,26.6
1.0,3.08,18.48
1.0,15.0,96.8
1.0,1.0,17.8
1.0,0.0,26.6
1.0,5.25,26.25
1.0,1.82,10.92
1.0,2.0,20.2
1.0,0.0,23.1
1.0,3.3,16.6
1.0,2.8,16.8
1.0,2.38,14.28
1.0,2.66,15.96
1.0,2.95,17.65
1.0,0.0,21.3
1.0,5.0,34.4
0.0,0.0,15.4
1.0,0.0,-47.75
1.0,0.0,47.75
1.0,4.6,20.0
2.0,0.0,14.0
1.0,0.0,15.4
1.0,0.0,10.8
4.0,0.0,14.0
1.0,2.8,14.0
2.0,2.38,14.28
1.0,2.0,18.8
1.0,4.4,19.1
1.0,9.65,48.3
1.0,4.3,26.0
1.0,2.0,16.0
1.0,1.0,9.4
1.0,2.28,11.38
1.0,3.0,22.6
1.0,3.78,22.68
1.0,0.0,14.0
1.0,0.0,10.5
1.0,0.0,16.1
1.0,0.0,11.9
1.0,3.78,22.68
3.0,3.5,21.0
1.0,0.0,43.55
1.0,1.0,27.6
1.0,15.64,67.79
1.0,0.0,26.6
2.0,0.0,62.65
1.0,0.0,11.9
1.0,5.18,31.08
1.0,2.25,13.45
1.0,1.0,22.0
1.0,40.0,348.85
1.0,8.0,60.15
2.0,0.0,11.2
1.0,18.8,94.05
1.0,2.66,15.96
1.0,12.39,74.34
1.0,3.75,22.65
1.0,0.0,41.05
1.0,2.0,19.5
1.0,5.0,57.75
1.0,1.0,10.8
1.0,0.0,21.0
1.0,0.0,55.65
1.0,8.46,50.76
