passenger_count,tip_amount,total_amount
1.0,1.82,10.92
2.0,1.0,10.8
1.0,2.94,22.54
1.0,0.0,14.0
1.0,3.5,21.0
1.0,1.0,14.3
1.0,3.14,18.84
2.0,2.66,15.96
1.0,4.34,26.04
0.0,5.04,30.24
0.0,2.0,20.2
1.0,4.48,26.88
1.0,6.44,38.64
0.0,7.75,33.65
0.0,2.8,16.8
1.0,8.0,88.55
0.0,1.5,11.3
0.0,7.1,42.8
1.0,4.2,21.0
1.0,4.0,27.8
1.0,6.72,40.32
1.0,2.17,23.87
1.0,4.9,24.5
1.0,6.72,40.32
1.0,0.0,61.6
0.0,15.96,95.76
1.0,3.5,24.5
1.0,6.72,40.32
2.0,2.5,15.1
1.0,8.05,40.25
1.0,0.0,17.5
1.0,2.24,13.44
4.0,0.0,27.3
1.0,10.0,202.35
2.0,4.2,25.2
2.0,4.2,25.2
2.0,0.0,11.2
1.0,0.0,18.2
2.0,20.1,100.65
1.0,12.81,78.61
1.0,12.25,75.25
1.0,3.36,20.16
1.0,1.0,14.3
2.0,2.24,13.44
1.0,1.96,11.76
1.0,2.52,15.12
1.0,0.0,8.0
1.0,1.82,10.92
1.0,2.24,13.44
1.0,0.0,11.9
2.0,0.0,11.2
1.0,2.8,16.8
1.0,2.0,11.8
1.0,2.52,15.12
1.0,0.0,11.9
2.0,7.98,34.58
2.0,0.0,11.2
1.0,4.2,25.2
1.0,4.0,17.3
1.0,0.0,16.7
6.0,2.38,14.28
6.0,0.0,9.8
6.0,4.06,24.36
1.0,0.0,37.8
2.0,1.0,12.9
1.0,0.0,16.1
2.0,0.0,60.2
1.0,6.05,26.35
2.0,3.6,21.8
2.0,10.0,188.05
3.0,14.76,90.31
1.0,0.0,23.8
1.0,4.6,27.7
1.0,2.24,13.44
1.0,1.54,9.24
1.0,0.0,9.8
1.0,2.38,14.28
1.0,4.62,27.72
1.0,2.0,15.3
2.0,5.55,27.95
1.0,3.6,21.8
1.0,0.0,14.7
1.0,7.17,35.87
1.0,3.65,18.35
2.0,0.0,18.9
2.0,6.25,31.45
2.0,2.1,12.6
3.0,3.85,19.25
1.0,0.0,-7.0
1.0,0.0,7.0
2.0,3.08,18.48
2.0,0.0,15.4
1.0,3.0,20.5
1.0,0.0,28.7
1.0,4.05,24.35
1.0,2.1,16.1
1.0,3.5,21.0
3.0,0.0,16.8
3.0,1.0,21.3
2.0,2.9,17.6
2.0,0.0,26.6
1.0,2.5,15.1
1.0,0.0,12.6
1.0,0.0,-19.6
1.0,0.0,19.6
1.0,16.46,98.76
1.0,0.0,21.0
1.0,5.0,37.2
1.0,20.55,102.85
1.0,5.04,30.24
1.0,2.0,18.1
1.0,13.52,67.62
2.0,3.92,23.52
1.0,3.0,27.5
2.0,3.36,20.16
2.0,3.5,21.0
2.0,7.14,42.84
1.0,1.0,12.9
1.0,2.62,20.12
1.0,1.96,21.56
2.0,3.64,21.84
1.0,1.0,10.1
1.0,0.0,13.3
1.0,3.0,14.2
1.0,2.0,11.1
1.0,4.5,26.9
1.0,2.8,16.8
3.0,3.15,15.75
2.0,16.11,98.41
1.0,22.21,133.26
1.0,3.0,24.0
1.0,0.0,11.2
1.0,2.0,32.1
1.0,3.0,32.4
1.0,1.96,11.76
2.0,2.0,11.8
1.0,2.0,13.2
1.0,0.0,10.8
1.0,15.15,90.9
1.0,2.94,22.54
1.0,4.48,26.88
1.0,0.0,14.0
1.0,0.0,32.9
2.0,0.0,9.1
2.0,5.6,33.6
2.0,3.18,34.93
3.0,5.08,25.38
2.0,3.33,16.63
1.0,0.0,76.5
1.0,2.52,15.12
1.0,3.64,21.84
