passenger_count,tip_amount,total_amount
2.0,3.92,19.62
2.0,2.72,16.32
1.0,9.24,46.19
1.0,0.26,13.16
1.0,3.28,19.68
1.0,3.84,23.04
1.0,6.0,42.0
5.0,0.0,22.7
1.0,6.2,31.0
1.0,1.72,13.22
1.0,3.0,18.0
1.0,4.4,26.4
1.0,5.25,31.45
1.0,1.0,12.5
1.0,3.98,23.88
1.0,3.84,23.04
1.0,6.36,38.16
1.0,1.0,20.2
1.0,2.7,17.7
1.0,4.8,28.9
5.0,8.88,80.13
1.0,12.7,64.75
2.0,3.92,19.62
2.0,6.0,28.7
2.0,4.25,25.55
0.0,3.4,20.5
1.0,2.58,15.48
1.0,1.0,16.7
1.0,5.0,36.8
3.0,2.15,12.95
1.0,0.0,9.4
2.0,6.22,37.32
1.0,3.28,19.68
1.0,2.0,28.2
1.0,2.16,12.96
1.0,2.88,14.38
1.0,4.68,28.08
1.0,0.0,23.0
1.0,0.0,18.5
1.0,1.0,19.5
1.0,10.0,69.95
1.0,3.56,21.36
1.0,4.96,29.76
1.0,6.72,33.62
1.0,1.0,12.5
1.0,2.72,16.32
1.0,5.0,86.8
1.0,3.45,14.95
2.0,4.26,25.56
1.0,8.3,41.5
1.0,0.0,19.9
1.0,3.42,20.52
1.0,2.0,12.3
1.0,7.96,47.76
1.0,3.0,15.2
1.0,1.5,17.9
1.0,5.0,20.0
1.0,1.0,13.9
1.0,2.16,12.96
1.0,2.72,16.32
1.0,2.44,14.64
1.0,0.0,-17.8
1.0,0.0,17.8
1.0,1.0,21.6
1.0,2.0,17.0
1.0,0.0,34.6
1.0,16.11,97.91
1.0,3.56,21.36
3.0,0.0,22.0
1.0,7.05,42.35
1.0,3.7,22.2
1.0,2.16,12.96
1.0,0.88,21.48
1.0,5.24,31.44
1.0,9.64,59.09
1.0,0.0,11.5
1.0,2.44,14.64
1.0,4.96,29.76
1.0,1.0,16.0
1.0,3.42,20.52
1.0,2.0,14.2
1.0,0.82,17.22
1.0,1.0,16.0
1.0,2.0,14.9
6.0,3.98,23.88
1.0,2.0,24.0
1.0,2.82,12.22
1.0,4.96,29.76
1.0,2.16,12.96
1.0,13.7,83.45
1.0,8.32,49.92
1.0,2.44,14.64
1.0,2.3,13.8
1.0,4.68,28.08
1.0,2.0,22.6
1.0,1.0,19.5
1.0,1.85,11.25
1.0,3.0,22.2
1.0,1.0,27.9
1.0,3.0,18.0
2.0,3.28,19.68
3.0,3.28,19.68
1.0,4.7,20.4
1.0,3.0,18.0
1.0,3.1,18.8
2.0,4.1,20.5
1.0,2.5,24.5
1.0,3.0,18.0
1.0,3.98,23.88
1.0,3.5,29.7
1.0,4.54,27.24
1.0,4.4,26.4
1.0,5.52,33.12
6.0,1.5,24.9
6.0,3.84,23.04
6.0,2.58,15.48
1.0,3.0,18.0
1.0,16.11,97.91
1.0,2.58,15.48
1.0,6.08,36.48
1.0,0.0,15.7
1.0,2.02,12.12
1.0,3.7,22.2
1.0,3.0,26.4
1.0,11.02,66.12
1.0,2.3,13.8
2.0,2.72,16.32
1.0,2.58,15.48
1.0,3.72,28.52
1.0,0.0,33.9
4.0,5.1,30.6
1.0,4.54,27.24
1.0,3.5,19.2
1.0,2.86,17.16
1.0,1.5,20.0
2.0,1.0,16.0
3.0,1.97,18.37
1.0,3.28,19.68
1.0,1.0,16.7
1.0,3.0,18.0
1.0,2.44,14.64
1.0,0.0,19.9
1.0,4.1,20.5
1.0,6.0,64.8
1.0,2.52,12.62
1.0,13.53,58.63
1.0,0.0,17.1
1.0,2.44,14.64
1.0,2.0,41.5
1.0,2.86,17.16
1.0,2.86,17.16
1.0,2.58,15.48
1.0,5.0,35.4
1.0,0.0,17.8
1.0,1.0,18.8
1.0,1.0,16.7
1.0,7.06,42.36
1.0,2.0,17.7
1.0,2.88,14.38
1.0,2.58,15.48
1.0,2.44,14.64
1.0,2.86,17.16
1.0,3.0,23.6
2.0,11.59,69.54
1.0,0.0,9.7
1.0,3.4,17.0
1.0,0.0,13.6
2.0,2.0,21.9
1.0,10.91,54.56
1.0,2.32,15.22
1.0,7.2,43.2
1.0,2.5,25.9
1.0,4.1,20.5
1.0,1.5,18.6
1.0,10.0,65.8
4.0,0.0,12.2
2.0,2.14,16.44
1.0,3.84,23.04
2.0,0.0,12.9
1.0,1.0,16.0
1.0,3.4,17.0
2.0,1.0,13.2
1.0,3.4,20.5
1.0,2.16,12.96
1.0,5.1,30.6
1.0,3.0,18.0
4.0,2.86,17.16
1.0,0.0,-13.6
1.0,0.0,13.6
1.0,2.86,17.16
2.0,4.98,24.88
2.0,7.2,43.2
1.0,0.0,12.2
2.0,2.0,24.0
1.0,2.58,15.48
1.0,3.0,18.0
1.0,5.72,43.82
3.0,2.58,15.48
1.0,6.38,31.88
3.0,4.4,26.4
1.0,3.7,25.0
1.0,1.75,16.75
1.0,1.5,13.0
1.0,2.7,16.3
2.0,2.15,12.95
2.0,3.4,17.0
0.0,2.0,22.6
1.0,2.5,15.0
1.0,3.0,19.7
1.0,3.2,19.2
2.0,5.1,30.6
2.0,7.76,46.56
1.0,13.43,81.83
1.0,0.0,20.6
1.0,16.0,24.0
1.0,2.86,17.16
2.0,2.58,15.48
1.0,0.0,13.6
1.0,4.68,28.08
1.0,4.4,26.4
1.0,2.88,22.08
1.0,1.0,14.6
0.0,2.85,17.15
0.0,5.0,16.5
0.0,3.0,18.0
0.0,1.0,13.2
1.0,1.0,11.8
1.0,4.71,20.41
2.0,0.0,25.5
2.0,2.85,17.15
1.0,3.4,20.5
1.0,0.0,91.0
1.0,0.0,12.9
1.0,9.58,57.48
1.0,5.45,32.75
1.0,2.65,15.95
1.0,5.45,32.75
1.0,11.73,70.38
2.0,3.26,22.46
1.0,2.86,17.16
1.0,2.72,16.32
1.0,4.04,25.49
1.0,16.36,98.16
1.0,0.0,12.2
1.0,0.0,29.0
1.0,0.0,14.3
1.0,2.3,13.8
1.0,8.3,41.5
1.0,1.5,16.5
1.0,4.25,25.55
2.0,2.7,16.3
1.0,4.68,28.08
1.0,3.98,23.88
1.0,0.0,13.6
1.0,3.93,19.63
1.0,2.55,15.45
1.0,1.0,19.5
1.0,11.12,66.72
2.0,0.0,14.6
1.0,3.0,18.0
1.0,2.45,14.65
1.0,0.0,17.1
1.0,3.95,19.65
1.0,4.69,32.29
1.0,4.26,25.56
1.0,2.86,17.16
1.0,0.0,19.2
1.0,1.94,14.84
1.0,1.5,41.7
1.0,4.26,25.56
2.0,0.0,22.0
1.0,14.65,87.9
1.0,9.02,54.12
1.0,0.0,55.05
1.0,4.12,24.72
1.0,3.98,23.88
1.0,2.0,19.1
1.0,2.02,12.12
1.0,16.11,97.91
1.0,3.95,23.85
2.0,1.43,15.73
1.0,3.0,25.7
1.0,8.04,48.24
1.0,2.3,13.8
1.0,10.19,61.14
1.0,1.0,21.6
1.0,0.0,10.8
1.0,2.72,16.32
1.0,3.56,21.36
2.0,2.0,23.3
1.0,2.0,21.9
1.0,5.24,31.44
1.0,3.28,19.68
1.0,6.64,39.84
1.0,3.0,22.9
1.0,5.24,31.44
1.0,5.0,56.6
1.0,3.0,13.1
1.0,2.7,16.3
2.0,0.0,17.1
1.0,2.0,13.5
1.0,3.28,19.68
1.0,3.98,23.88
1.0,2.72,16.32
1.0,5.94,35.64
4.0,1.29,14.19
1.0,2.0,21.2
1.0,4.12,24.72
1.0,0.0,26.2
1.0,3.56,21.36
1.0,6.64,39.84
1.0,1.57,17.27
1.0,3.14,18.84
1.0,6.36,38.16
2.0,3.42,20.52
1.0,3.0,18.0
2.0,2.3,13.8
2.0,2.0,34.5
1.0,5.66,33.96
1.0,4.4,26.4
1.0,3.0,33.4
1.0,4.54,27.24
2.0,10.0,91.8
1.0,2.86,17.16
1.0,2.44,14.64
1.0,2.16,12.96
1.0,3.84,23.04
1.0,5.0,83.95
1.0,6.9,41.5
1.0,3.4,20.5
2.0,5.8,34.8
1.0,10.0,72.05
1.0,2.58,15.48
1.0,1.5,13.7
1.0,2.0,18.4
1.0,2.3,13.8
0.0,3.0,23.6
1.0,2.78,21.28
2.0,1.0,13.9
2.0,0.0,15.7
2.0,2.86,17.16
2.0,0.0,29.95
1.0,0.0,16.4
1.0,1.0,18.8
1.0,4.54,27.24
1.0,2.0,20.5
6.0,3.7,22.2
1.0,2.16,12.96
1.0,1.0,16.0
1.0,4.1,20.5
1.0,0.0,27.6
1.0,2.5,23.8
1.0,0.0,31.8
1.0,1.0,16.0
1.0,9.3,55.8
1.0,4.12,24.72
1.0,6.38,31.88
1.0,1.0,18.1
1.0,3.0,18.0
1.0,0.0,16.4
1.0,5.1,30.6
1.0,2.72,16.32
1.0,4.96,29.76
1.0,2.7,16.3
1.0,2.0,12.1
1.0,0.0,33.9
1.0,6.6,28.6
1.0,2.0,18.4
1.0,1.0,27.9
2.0,3.98,23.88
1.0,4.28,21.38
1.0,5.24,31.44
1.0,4.26,25.56
1.0,3.56,21.36
1.0,2.86,17.16
1.0,1.0,18.8
1.0,2.0,28.9
1.0,2.72,16.32
1.0,3.58,17.88
1.0,4.71,20.41
1.0,3.66,15.86
1.0,2.3,13.8
1.0,3.0,28.5
1.0,3.55,21.35
1.0,9.65,48.45
1.0,5.0,41.7
1.0,0.0,13.6
1.0,0.0,12.2
1.0,3.45,14.95
1.0,2.6,15.5
1.0,1.0,14.6
1.0,4.8,24.0
1.0,3.98,23.88
1.0,3.0,15.2
1.0,2.15,12.95
0.0,0.0,17.1
1.0,2.0,14.9
1.0,0.0,15.0
2.0,5.52,33.12
1.0,3.0,56.0
1.0,5.66,33.96
5.0,3.0,25.7
5.0,2.86,17.16
1.0,2.44,14.64
1.0,3.84,23.04
1.0,3.75,18.75
1.0,3.7,22.2
1.0,0.0,12.2
1.0,5.8,34.8
3.0,3.0,18.0
3.0,3.14,18.84
1.0,6.86,41.16
1.0,0.0,11.5
1.0,2.55,15.45
2.0,4.4,26.4
1.0,2.55,15.45
1.0,0.0,11.5
1.0,5.0,42.4
1.0,2.72,16.32
1.0,4.0,29.5
1.0,3.14,18.84
1.0,1.0,11.8
1.0,0.0,49.55
1.0,3.14,18.84
1.0,6.5,39.0
1.0,2.0,26.8
1.0,5.1,30.6
1.0,3.84,23.04
1.0,3.4,17.0
1.0,2.85,17.15
1.0,4.5,27.2
1.0,10.0,76.35
1.0,3.28,19.68
1.0,5.83,34.98
1.0,3.4,20.5
1.0,2.5,25.2
2.0,2.58,15.48
1.0,6.64,39.84
2.0,0.0,6.75
4.0,22.0,110.0
1.0,4.6,23.1
1.0,3.65,15.85
1.0,4.12,24.72
1.0,1.0,23.0
1.0,2.4,37.0
1.0,3.7,22.2
1.0,4.4,26.4
1.0,3.14,18.84
1.0,0.0,14.3
2.0,5.34,23.14
1.0,20.0,39.9
1.0,13.95,69.75
1.0,2.44,14.64
1.0,1.0,12.5
1.0,1.0,14.6
1.0,4.7,20.4
1.0,3.25,19.65
1.0,2.0,12.8
1.0,0.0,17.1
1.0,4.97,24.87
1.0,5.0,69.7
1.0,3.82,29.32
1.0,1.92,21.12
1.0,1.5,22.8
0.0,3.85,16.75
0.0,2.55,15.45
0.0,3.4,20.5
1.0,10.26,45.71
1.0,2.3,13.8
1.0,4.5,19.5
1.0,0.0,14.3
1.0,2.44,14.64
1.0,5.8,34.8
4.0,0.0,15.7
4.0,0.0,14.3
3.0,4.82,28.92
2.0,9.71,58.26
2.0,5.97,25.87
1.0,3.56,21.36
1.0,5.0,80.25
1.0,0.0,16.4
1.0,1.0,20.9
1.0,2.0,20.5
2.0,0.0,24.1
1.0,3.56,21.36
1.0,4.26,25.56
1.0,10.93,54.63
1.0,4.54,27.24
1.0,0.0,29.0
1.0,3.0,29.9
1.0,0.0,24.1
1.0,2.16,12.96
1.0,0.0,38.1
1.0,0.0,32.5
1.0,3.28,19.68
1.0,0.0,16.4
1.0,3.4,20.5
1.0,0.0,19.9
1.0,0.0,13.6
1.0,6.18,26.78
1.0,4.75,23.95
1.0,1.0,22.3
1.0,4.34,28.44
1.0,6.03,30.13
1.0,7.25,36.25
1.0,10.6,63.6
1.0,4.12,24.72
1.0,3.98,23.88
1.0,2.3,13.8
1.0,16.11,97.91
1.0,0.0,41.85
1.0,4.54,27.24
1.0,4.28,21.38
2.0,2.02,12.12
2.0,2.72,16.32
2.0,0.0,14.3
