passenger_count,tip_amount,total_amount
3.0,2.7,16.3
1.0,3.84,23.04
1.0,5.0,33.3
1.0,5.24,31.44
1.0,2.72,16.32
1.0,0.0,12.2
4.0,0.0,75.25
1.0,0.0,13.6
1.0,2.85,17.15
3.0,2.3,13.8
4.0,0.0,29.3
2.0,0.0,9.7
1.0,0.0,11.8
1.0,0.0,26.2
2.0,3.14,18.84
2.0,3.98,23.88
2.0,0.0,-8.7
2.0,0.0,8.7
4.0,3.75,18.75
3.0,4.26,25.56
1.0,5.94,35.64
1.0,0.0,31.1
1.0,9.22,55.32
1.0,2.44,14.64
1.0,1.0,10.4
1.0,3.56,21.36
4.0,5.0,20.7
1.0,6.22,37.32
1.0,3.9,19.6
1.0,0.0,11.5
1.0,0.02,13.62
2.0,0.0,48.6
1.0,2.0,28.9
1.0,2.0,33.1
1.0,4.12,24.72
1.0,2.0,19.8
3.0,5.1,30.6
1.0,3.55,21.35
2.0,10.0,89.3
2.0,1.0,16.0
1.0,4.46,28.01
4.0,14.8,90.05
1.0,3.0,18.0
2.0,5.0,19.3
2.0,2.44,14.64
1.0,0.0,12.9
3.0,4.96,29.76
1.0,1.0,12.5
1.0,1.0,16.0
2.0,0.0,16.4
1.0,0.0,103.5
1.0,0.0,15.7
1.0,6.05,36.45
2.0,3.25,19.65
1.0,4.25,25.55
1.0,2.6,15.5
1.0,2.15,12.95
1.0,3.15,18.85
1.0,1.0,15.3
1.0,2.16,12.96
1.0,3.14,18.84
1.0,0.0,49.55
1.0,1.83,14.03
1.0,0.0,15.7
1.0,2.86,17.16
1.0,0.0,18.5
0.0,1.52,31.92
1.0,3.7,22.2
3.0,0.0,34.6
1.0,3.0,18.0
2.0,3.98,23.88
1.0,2.3,13.8
1.0,1.0,13.9
1.0,0.0,26.9
5.0,3.0,18.0
5.0,2.44,14.64
1.0,3.0,35.5
1.0,5.34,23.14
1.0,2.44,14.64
1.0,4.26,25.56
1.0,0.0,18.6
1.0,3.28,19.68
1.0,1.5,16.5
1.0,0.0,12.9
1.0,2.16,12.96
1.0,2.0,18.4
1.0,14.79,64.09
2.0,7.48,44.88
1.0,2.0,22.6
1.0,2.44,14.64
1.0,2.0,13.5
1.0,2.3,13.8
1.0,0.0,16.4
1.0,2.72,16.32
1.0,0.0,14.3
1.0,0.0,20.6
1.0,3.0,18.0
1.0,3.0,25.7
1.0,2.58,15.48
1.0,1.0,20.2
1.0,3.42,20.52
1.0,0.0,23.4
1.0,3.4,21.2
1.0,1.0,23.7
1.0,0.02,11.52
1.0,2.88,14.38
1.0,4.92,21.32
1.0,2.02,12.12
1.0,3.58,17.88
2.0,4.26,25.56
2.0,2.16,12.96
1.0,2.27,24.97
2.0,4.96,29.76
3.0,2.86,17.16
1.0,1.36,14.96
1.0,10.8,65.0
2.0,3.14,18.84
1.0,0.0,13.6
2.0,0.0,16.4
1.0,0.0,79.3
1.0,2.44,14.64
1.0,2.86,17.16
1.0,3.0,18.0
1.0,0.0,15.0
4.0,3.56,21.36
1.0,2.2,22.8
1.0,2.55,15.45
2.0,1.74,10.44
1.0,0.0,18.5
1.0,2.0,15.6
1.0,2.0,28.9
1.0,0.0,11.5
1.0,2.52,12.62
1.0,5.0,49.4
1.0,2.16,12.96
1.0,0.0,-8.0
1.0,0.0,8.0
1.0,3.7,22.2
1.0,3.56,21.36
2.0,2.2,24.2
2.0,2.72,16.32
1.0,2.72,16.32
1.0,3.98,23.88
1.0,2.72,16.32
1.0,2.0,50.75
1.0,6.6,39.8
1.0,2.0,8.2
1.0,4.82,28.92
1.0,3.7,22.2
2.0,2.72,16.32
2.0,1.0,15.3
1.0,3.98,23.88
1.0,2.3,13.8
1.0,2.3,13.8
1.0,5.24,31.44
3.0,4.82,28.92
2.0,2.44,14.64
1.0,2.86,17.16
1.0,1.0,14.6
1.0,3.0,65.85
1.0,2.02,12.12
6.0,0.0,12.9
2.0,0.0,-91.0
2.0,0.0,91.0
1.0,2.72,16.32
1.0,1.0,23.7
1.0,3.0,18.0
2.0,3.08,20.18
6.0,0.0,12.9
6.0,5.1,30.6
1.0,5.15,25.75
1.0,2.44,14.64
2.0,2.0,28.9
1.0,2.0,17.7
2.0,0.0,26.9
2.0,2.0,32.4
5.0,3.4,17.0
1.0,2.0,13.5
2.0,2.0,11.4
1.0,0.0,16.4
1.0,15.0,121.15
5.0,0.0,19.9
1.0,3.14,18.84
1.0,5.24,31.44
3.0,2.16,12.96
1.0,9.72,58.32
1.0,0.0,12.9
1.0,1.0,12.5
1.0,2.45,14.65
1.0,0.0,41.6
2.0,16.11,97.91
1.0,0.0,29.7
1.0,2.36,18.06
2.0,2.55,15.45
1.0,0.0,12.2
1.0,3.0,11.7
1.0,0.0,5.5
1.0,1.0,11.8
1.0,0.0,43.7
2.0,4.0,28.95
4.0,2.28,9.88
3.0,3.84,23.04
1.0,2.3,13.8
1.0,7.6,38.0
2.0,1.4,15.0
1.0,3.62,27.72
5.0,3.56,21.36
5.0,1.43,15.73
1.0,1.0,15.3
1.0,0.0,12.2
1.0,0.0,40.9
1.0,18.19,90.94
1.0,0.0,13.6
1.0,3.0,18.0
1.0,0.0,16.4
1.0,3.15,18.85
1.0,0.0,19.9
0.0,0.0,13.6
1.0,2.3,13.8
3.0,3.1,18.8
2.0,2.7,16.3
1.0,0.0,21.3
1.0,7.76,46.56
1.0,4.54,27.24
