passenger_count,tip_amount,total_amount
0.0,3.5,17.5
2.0,16.11,97.91
1.0,2.0,22.3
1.0,0.0,8.0
1.0,0.0,34.45
1.0,10.0,78.25
1.0,10.0,74.6
1.0,2.38,14.28
1.0,0.0,16.1
1.0,0.0,13.3
1.0,3.36,20.16
1.0,6.12,30.62
1.0,0.0,35.85
1.0,3.22,19.32
1.0,8.0,82.0
1.0,4.06,24.36
1.0,1.82,10.92
1.0,0.0,16.1
5.0,2.24,13.44
5.0,3.5,21.0
5.0,6.51,28.21
1.0,0.0,11.9
1.0,3.22,19.32
2.0,0.0,37.8
1.0,5.88,35.28
1.0,4.34,26.04
1.0,5.46,32.76
4.0,0.0,80.55
1.0,1.58,12.08
1.0,0.0,15.4
1.0,4.34,26.04
0.0,2.1,12.6
0.0,6.11,66.66
3.0,0.0,19.05
3.0,16.36,98.16
2.0,0.0,10.5
1.0,3.22,19.32
1.0,4.06,24.36
1.0,2.52,15.12
1.0,1.47,11.27
1.0,3.0,14.9
1.0,7.44,81.84
1.0,0.0,24.5
3.0,0.0,81.8
1.0,2.24,13.44
1.0,0.0,9.8
1.0,0.0,21.0
1.0,1.3,16.0
1.0,0.0,11.9
1.0,0.0,10.5
2.0,6.15,36.95
1.0,2.0,17.4
4.0,2.9,17.6
1.0,1.0,26.2
1.0,1.0,26.9
1.0,1.11,18.61
1.0,1.0,17.1
1.0,5.6,33.6
1.0,0.0,22.4
1.0,0.0,17.5
1.0,2.1,12.6
1.0,0.0,10.5
1.0,0.0,13.3
1.0,0.0,21.0
1.0,3.32,16.62
1.0,1.0,17.1
2.0,0.0,11.2
1.0,3.92,23.52
1.0,5.0,58.4
1.0,1.68,18.48
1.0,10.77,64.62
2.0,0.0,23.8
1.0,4.48,26.88
1.0,0.0,75.25
2.0,1.5,20.4
1.0,0.0,24.5
1.0,16.11,96.66
4.0,0.0,91.3
1.0,0.0,14.7
3.0,1.0,15.0
3.0,0.0,9.1
2.0,5.45,32.75
1.0,0.0,11.9
1.0,7.98,47.88
1.0,0.0,12.6
1.0,3.0,21.2
3.0,1.0,22.0
2.0,1.0,19.9
1.0,0.0,9.8
1.0,2.9,17.6
1.0,0.0,32.35
2.0,16.11,97.91
1.0,1.82,10.92
1.0,0.0,81.8
1.0,2.52,15.12
4.0,0.0,11.2
2.0,2.66,15.96
1.0,5.0,16.9
1.0,0.0,17.5
1.0,0.0,36.4
1.0,5.0,21.8
1.0,2.38,14.28
1.0,2.38,14.28
1.0,18.5,92.5
2.0,10.0,69.75
2.0,0.0,13.3
2.0,5.95,29.75
2.0,0.0,15.4
2.0,3.22,19.32
1.0,0.0,16.1
1.0,14.8,90.05
1.0,3.1,15.7
1.0,3.0,22.6
1.0,0.0,-8.0
1.0,0.0,8.0
1.0,0.0,115.45
1.0,2.38,14.28
1.0,0.0,14.0
1.0,3.78,22.68
4.0,0.0,106.5
1.0,4.06,24.36
1.0,9.57,57.42
1.0,5.04,21.84
1.0,0.0,14.7
1.0,14.96,74.81
4.0,0.0,20.3
1.0,0.0,13.3
2.0,16.11,97.91
1.0,7.0,42.15
1.0,0.0,108.25
1.0,9.63,59.03
1.0,5.0,86.8
1.0,0.0,9.1
1.0,4.9,29.4
1.0,3.22,19.32
2.0,10.55,63.3
1.0,3.57,27.37
1.0,2.38,14.28
1.0,2.8,14.0
2.0,0.0,81.8
1.0,0.0,10.5
1.0,2.0,12.5
3.0,0.0,16.8
1.0,0.0,80.0
2.0,5.74,34.44
1.0,0.0,21.0
1.0,11.37,68.22
1.0,3.0,24.3
2.0,0.0,32.2
1.0,0.0,80.55
1.0,15.05,90.3
1.0,1.5,20.4
1.0,12.11,72.66
2.0,4.9,29.4
1.0,2.38,14.28
1.0,16.11,96.66
1.0,0.0,16.8
1.0,2.24,13.44
1.0,2.5,15.1
1.0,1.0,16.4
1.0,3.1,18.5
1.0,2.0,12.5
1.0,7.84,47.04
3.0,2.38,14.28
1.0,2.84,21.74
1.0,1.96,11.76
1.0,2.52,15.12
1.0,3.5,21.0
2.0,3.75,22.65
1.0,2.84,21.74
1.0,0.0,10.5
1.0,1.0,11.5
1.0,0.0,18.9
1.0,5.46,23.66
1.0,0.0,16.8
2.0,2.8,14.0
2.0,2.0,19.5
1.0,3.33,16.63
1.0,3.9,22.8
1.0,0.0,9.8
2.0,3.36,25.76
2.0,10.0,64.1
4.0,3.05,18.45
1.0,3.55,15.45
1.0,5.88,25.48
1.0,4.0,31.3
1.0,1.96,11.76
1.0,0.0,16.8
1.0,3.0,28.9
1.0,4.2,21.0
1.0,1.7,15.0
1.0,2.24,13.44
2.0,4.38,21.88
1.0,7.55,45.35
1.0,12.25,74.75
1.0,2.9,17.6
1.0,0.0,9.8
1.0,3.08,18.48
1.0,0.0,17.5
1.0,0.0,27.7
5.0,14.75,73.75
1.0,10.95,65.7
3.0,6.47,32.37
1.0,3.67,18.37
1.0,3.1,13.6
1.0,2.8,16.8
1.0,0.0,16.7
1.0,0.0,16.7
1.0,0.0,51.7
1.0,0.0,74.0
1.0,0.0,14.3
1.0,2.8,16.8
1.0,0.0,9.8
1.0,7.77,33.67
1.0,0.0,18.2
1.0,2.66,15.96
