passenger_count,tip_amount,total_amount
1.0,0.0,79.8
1.0,13.14,80.59
1.0,2.88,17.28
2.0,4.12,24.72
1.0,9.53,47.63
1.0,3.56,21.36
1.0,0.0,82.85
1.0,3.0,44.95
1.0,7.97,39.87
1.0,2.72,16.32
1.0,3.42,20.52
1.0,0.0,14.4
1.0,12.17,73.02
1.0,3.0,18.0
1.0,4.82,28.92
2.0,7.0,42.3
1.0,3.65,15.85
1.0,0.0,75.75
1.0,16.08,98.23
1.0,3.95,23.85
2.0,1.0,10.4
1.0,4.45,22.25
1.0,0.0,12.2
1.0,16.34,98.04
1.0,9.12,39.52
1.0,0.0,10.1
2.0,3.4,20.5
1.0,6.0,69.95
1.0,0.0,12.9
1.0,0.0,15.7
1.0,1.5,18.6
1.0,6.64,39.84
1.0,3.28,19.68
1.0,2.0,14.9
2.0,11.47,70.57
1.0,4.26,25.56
1.0,1.0,12.5
1.0,1.88,11.28
1.0,6.6,28.6
1.0,2.3,13.8
1.0,0.0,13.6
1.0,5.1,30.6
1.0,0.0,82.3
1.0,3.84,23.04
1.0,0.0,12.2
1.0,2.78,21.28
1.0,0.0,20.6
1.0,2.58,15.48
1.0,2.82,12.22
1.0,3.98,23.88
2.0,2.74,16.44
1.0,1.0,18.9
1.0,0.0,15.7
4.0,0.0,22.7
4.0,0.0,18.5
2.0,0.0,19.9
1.0,1.6,18.0
1.0,10.33,61.98
5.0,2.58,15.48
5.0,0.0,14.3
1.0,0.0,18.6
1.0,2.58,15.48
1.0,5.94,35.64
2.0,0.0,-15.3
2.0,0.0,15.3
1.0,3.28,19.68
1.0,2.72,16.32
1.0,3.0,18.0
1.0,1.0,13.2
1.0,2.44,14.64
1.0,2.16,12.96
1.0,0.0,43.3
4.0,2.44,14.64
2.0,0.0,9.4
1.0,0.0,-15.7
1.0,0.0,15.7
1.0,2.44,14.64
1.0,1.71,18.81
1.0,4.1,24.7
1.0,3.8,23.0
2.0,7.15,69.0
2.0,0.0,16.4
1.0,3.0,18.0
2.0,2.0,15.6
1.0,24.2,104.95
1.0,2.88,17.28
1.0,4.54,27.24
3.0,2.0,15.2
0.0,2.0,12.1
1.0,1.0,18.1
1.0,1.36,14.96
1.0,5.24,31.44
1.0,3.14,18.84
1.0,1.43,15.73
2.0,4.1,24.7
1.0,3.4,20.5
1.0,3.28,19.68
2.0,0.0,14.3
3.0,3.98,23.88
1.0,2.58,15.48
2.0,0.0,19.2
1.0,6.36,38.16
1.0,6.36,38.16
1.0,10.7,64.2
1.0,19.86,119.16
1.0,3.0,48.8
1.0,4.4,26.4
6.0,6.38,31.88
6.0,2.0,26.8
2.0,6.94,41.64
1.0,4.4,26.4
1.0,2.58,15.48
1.0,3.0,18.0
1.0,3.56,21.36
1.0,2.44,14.64
1.0,3.92,19.62
1.0,2.0,20.5
1.0,3.1,18.8
1.0,1.0,14.6
1.0,0.0,8.7
2.0,2.55,15.45
2.0,2.0,29.6
1.0,0.0,12.2
1.0,2.58,15.48
1.0,2.72,16.32
1.0,2.32,13.92
1.0,4.0,18.3
1.0,0.0,46.05
1.0,3.66,15.86
1.0,5.94,35.64
1.0,4.54,27.24
2.0,16.11,98.41
2.0,2.72,16.32
2.0,1.0,14.6
1.0,2.86,17.16
1.0,3.55,21.35
1.0,2.15,12.95
2.0,2.0,23.3
2.0,1.0,12.5
2.0,3.4,17.0
1.0,6.08,36.48
2.0,10.0,94.05
1.0,8.3,41.5
3.0,3.84,23.04
1.0,0.0,102.45
1.0,8.0,30.0
1.0,2.85,17.15
1.0,2.6,15.5
1.0,4.1,24.7
1.0,2.3,13.8
1.0,2.44,14.64
1.0,3.56,21.36
1.0,11.33,69.73
1.0,3.75,18.75
1.0,3.56,21.36
1.0,2.98,22.88
1.0,3.56,21.36
1.0,0.0,12.9
1.0,4.36,33.41
1.0,0.0,27.55
