passenger_count,tip_amount,total_amount
2.0,0.0,27.0
2.0,3.58,21.48
1.0,3.86,23.16
1.0,3.16,18.96
1.0,3.86,23.16
1.0,6.8,40.8
1.0,5.0,43.2
2.0,3.1,23.8
1.0,0.0,20.7
1.0,4.42,26.52
1.0,0.0,17.9
1.0,3.16,18.96
1.0,2.85,17.25
1.0,5.4,32.4
2.0,3.0,27.2
3.0,4.42,26.52
2.0,0.0,24.2
2.0,2.0,19.2
1.0,4.7,28.2
1.0,0.0,87.3
1.0,1.0,24.5
1.0,0.0,16.5
1.0,0.0,19.3
1.0,4.7,28.2
1.0,0.0,13.0
1.0,3.19,35.09
1.0,4.56,27.36
1.0,3.5,29.8
1.0,3.16,18.96
1.0,3.76,25.86
2.0,3.85,23.15
2.0,0.0,20.0
1.0,3.0,18.1
1.0,1.0,34.3
0.0,0.0,41.0
0.0,4.4,26.5
1.0,3.6,21.5
1.0,3.3,19.8
1.0,2.45,14.75
1.0,0.0,12.3
1.0,2.6,15.6
1.0,2.45,14.75
1.0,0.0,27.0
1.0,5.1,30.7
1.0,2.32,13.92
1.0,11.01,55.06
1.0,2.46,14.76
1.0,6.94,41.64
1.0,1.0,16.8
1.0,4.84,29.04
1.0,3.3,19.8
1.0,2.08,15.78
1.0,2.46,14.76
1.0,5.26,31.56
6.0,0.0,87.3
1.0,2.6,15.6
2.0,7.0,77.7
2.0,0.0,26.3
1.0,2.6,15.6
3.0,0.0,35.4
1.0,0.0,30.5
1.0,4.14,24.84
1.0,3.72,22.32
1.0,0.0,17.2
2.0,5.54,33.24
3.0,5.54,33.24
2.0,2.79,21.39
1.0,4.84,29.04
1.0,2.33,20.23
1.0,0.0,18.6
1.0,13.8,82.8
1.0,1.0,16.8
1.0,2.0,26.9
1.0,2.6,15.6
1.0,3.02,18.12
1.0,4.14,24.84
1.0,3.0,32.8
1.0,3.58,21.48
3.0,1.01,26.61
1.0,1.65,18.15
1.0,2.5,26.7
1.0,5.1,30.7
1.0,4.47,22.37
1.0,0.0,15.8
1.0,4.84,29.04
2.0,5.54,33.24
2.0,4.95,21.45
1.0,2.6,15.6
1.0,2.3,25.8
1.0,5.7,28.5
1.0,0.87,11.77
3.0,3.0,37.0
1.0,4.42,26.52
1.0,5.0,28.5
1.0,5.49,35.99
1.0,0.0,38.9
2.0,0.0,101.0
1.0,4.98,29.88
1.0,3.86,23.16
1.0,3.16,18.96
1.0,3.0,25.1
1.0,1.0,17.5
1.0,3.85,23.15
1.0,3.42,26.22
1.0,1.09,11.99
2.0,0.0,27.0
1.0,4.42,26.52
1.0,0.0,25.6
1.0,0.0,19.3
1.0,1.08,20.38
2.0,0.0,13.0
2.0,2.26,17.36
2.0,4.56,27.36
1.0,5.54,33.24
1.0,5.35,26.75
1.0,2.74,16.44
1.0,0.0,24.2
1.0,2.88,17.28
1.0,3.16,18.96
1.0,0.0,17.9
1.0,5.26,31.56
2.0,6.66,39.96
1.0,10.74,64.44
1.0,7.78,46.68
1.0,2.88,17.28
1.0,4.56,27.36
1.0,3.02,18.12
2.0,2.0,33.9
1.0,3.44,20.64
4.0,0.0,37.5
1.0,0.0,7.0
2.0,1.0,18.9
2.0,0.0,34.7
1.0,4.8,29.0
1.0,3.4,20.6
1.0,6.55,32.85
1.0,3.02,18.12
1.0,3.3,19.8
1.0,0.0,20.7
2.0,0.0,20.7
1.0,2.84,18.64
1.0,4.65,23.25
1.0,6.8,40.8
1.0,0.0,13.7
1.0,1.5,19.4
1.0,3.69,15.99
1.0,3.84,29.44
1.0,1.0,16.1
1.0,3.58,21.48
1.0,9.72,48.62
1.0,21.39,106.94
2.0,15.8,96.55
1.0,1.0,16.1
1.0,3.72,22.32
1.0,1.65,18.15
1.0,2.32,13.92
1.0,5.0,37.6
1.0,7.47,32.37
1.0,1.0,23.8
1.0,3.86,23.16
1.0,0.0,17.9
1.0,3.58,21.48
2.0,0.0,87.3
1.0,0.0,13.7
1.0,3.0,38.4
1.0,1.24,26.14
1.0,3.3,19.8
1.0,3.44,20.64
1.0,0.0,20.65
1.0,7.25,36.35
1.0,19.23,83.33
1.0,3.02,18.12
1.0,3.02,18.12
1.0,4.0,24.0
1.0,3.44,20.64
1.0,7.26,31.46
1.0,2.48,18.98
1.0,6.4,38.3
1.0,2.45,14.75
1.0,3.02,18.12
1.0,9.74,58.44
1.0,2.0,19.2
1.0,8.45,50.85
1.0,5.96,35.76
1.0,3.72,22.32
1.0,6.25,37.5
1.0,4.55,27.35
1.0,2.0,16.4
1.0,2.6,15.6
1.0,5.4,32.4
1.0,0.0,16.5
1.0,3.15,13.65
2.0,2.74,16.44
1.0,2.5,23.9
1.0,5.26,31.56
1.0,4.84,29.04
1.0,2.32,13.92
1.0,5.54,33.24
2.0,1.8,30.9
2.0,3.16,18.96
1.0,3.02,18.12
1.0,18.08,78.33
1.0,4.28,25.68
1.0,3.58,21.48
1.0,5.0,39.0
1.0,0.0,-21.0
1.0,0.0,21.0
1.0,8.34,50.04
1.0,11.7,70.15
1.0,0.0,15.1
1.0,3.94,30.24
1.0,2.0,36.0
2.0,4.42,26.52
1.0,2.0,19.2
1.0,0.0,11.6
1.0,4.0,39.4
1.0,3.75,18.85
1.0,6.9,34.6
2.0,4.28,25.68
3.0,2.5,28.1
1.0,3.58,21.48
1.0,2.6,15.6
1.0,0.0,18.6
1.0,0.0,14.4
2.0,3.63,27.83
2.0,2.6,15.6
4.0,2.74,16.44
1.0,5.0,38.3
1.0,6.5,39.1
1.0,2.0,18.5
1.0,4.0,38.0
1.0,5.8,34.9
1.0,1.6,17.0
1.0,5.68,34.08
2.0,4.84,29.04
2.0,0.0,12.3
2.0,3.7,22.3
1.0,3.3,19.8
1.0,5.12,30.72
1.0,7.07,50.87
1.0,0.0,18.6
1.0,2.5,20.0
1.0,7.0,42.0
1.0,3.58,21.48
1.0,3.95,19.75
1.0,12.33,75.73
4.0,4.84,29.04
2.0,1.0,25.9
1.0,4.55,27.35
1.0,5.0,37.6
1.0,1.05,11.55
1.0,1.37,15.07
1.0,0.0,13.0
1.0,3.27,14.17
1.0,3.72,22.32
1.0,4.14,24.84
1.0,2.6,15.6
3.0,2.0,20.6
1.0,0.0,-9.1
1.0,0.0,9.1
1.0,0.0,9.8
1.0,5.0,25.0
1.0,5.82,34.92
1.0,6.8,40.8
1.0,4.98,29.88
1.0,4.56,27.36
1.0,3.02,18.12
1.0,3.4,20.6
0.0,4.55,27.35
0.0,10.85,65.15
1.0,0.0,15.1
1.0,4.5,22.4
1.0,4.3,25.7
1.0,0.0,34.7
1.0,2.07,22.77
1.0,3.0,27.9
1.0,2.46,14.76
2.0,4.98,29.88
1.0,3.44,20.64
1.0,2.88,17.28
1.0,10.26,44.46
2.0,1.79,19.69
1.0,3.02,18.12
2.0,9.9,49.5
1.0,2.0,17.8
1.0,3.3,19.8
2.0,0.0,14.4
1.0,3.3,19.8
1.0,3.72,22.32
1.0,0.0,18.2
1.0,5.12,30.72
1.0,3.3,19.8
1.0,0.0,18.6
1.0,12.68,76.08
1.0,5.88,29.38
1.0,4.12,20.62
1.0,21.85,109.15
1.0,3.0,22.3
1.0,2.0,17.1
2.0,3.3,19.8
6.0,0.0,15.1
6.0,6.1,36.6
1.0,0.0,13.0
1.0,3.86,23.16
2.0,1.0,31.5
2.0,3.1,23.8
2.0,2.32,13.92
2.0,3.58,21.48
2.0,0.0,21.4
1.0,0.0,13.0
1.0,4.28,25.68
1.0,2.0,15.0
1.0,4.28,25.68
1.0,3.02,18.12
1.0,8.11,48.66
6.0,3.0,29.3
6.0,3.16,18.96
1.0,17.11,104.41
1.0,6.95,34.65
1.0,0.0,21.4
2.0,2.6,15.6
6.0,0.0,27.7
6.0,0.0,38.9
1.0,3.3,19.8
2.0,0.0,13.0
1.0,1.79,19.69
1.0,4.0,38.0
1.0,1.5,19.4
1.0,4.0,35.9
1.0,0.0,78.25
1.0,9.6,57.6
1.0,2.46,14.76
1.0,4.7,28.2
3.0,6.66,39.96
0.0,2.25,15.25
0.0,2.3,13.9
1.0,5.96,35.76
1.0,20.07,86.97
2.0,0.0,41.7
1.0,3.5,29.1
4.0,0.0,62.7
1.0,1.81,37.91
1.0,4.99,32.69
1.0,2.88,17.28
1.0,1.58,17.38
1.0,6.71,40.26
1.0,3.4,20.6
2.0,0.0,17.2
1.0,5.0,70.85
1.0,8.9,53.4
1.0,13.31,81.61
1.0,3.02,18.12
1.0,3.44,20.64
1.0,4.3,21.5
1.0,9.75,58.5
1.0,4.28,25.68
1.0,0.0,16.5
3.0,0.0,43.75
1.0,5.95,35.75
2.0,2.26,17.36
1.0,2.6,27.5
2.0,3.44,20.64
1.0,12.0,60.0
1.0,1.58,17.38
1.0,4.56,27.36
1.0,3.42,17.12
2.0,7.92,47.52
2.0,2.88,17.28
1.0,4.14,24.84
1.0,5.0,50.5
1.0,2.74,16.44
1.0,0.0,20.0
2.0,7.36,44.16
2.0,5.4,32.4
1.0,1.0,15.4
1.0,0.0,36.8
1.0,21.82,109.12
1.0,2.0,17.1
1.0,0.0,-11.6
1.0,0.0,11.6
1.0,4.28,25.68
2.0,6.1,36.6
1.0,4.1,24.8
1.0,3.55,21.45
1.0,0.0,15.1
1.0,2.5,25.3
1.0,7.5,45.0
1.0,2.0,33.9
1.0,3.48,15.08
1.0,26.91,161.46
1.0,6.8,40.8
1.0,2.0,18.5
1.0,4.82,24.12
1.0,8.85,44.25
1.0,6.66,39.96
1.0,3.6,21.5
2.0,2.88,17.28
1.0,2.88,17.28
1.0,3.7,22.3
1.0,3.35,21.95
1.0,1.5,25.7
1.0,0.0,20.7
1.0,4.98,29.88
1.0,6.21,26.91
1.0,8.06,48.36
1.0,2.88,17.28
1.0,2.0,22.7
1.0,5.0,47.4
1.0,5.31,40.71
1.0,3.44,20.64
1.0,8.49,50.94
1.0,0.0,36.8
1.0,4.0,13.8
1.0,6.38,38.28
1.0,4.0,28.2
1.0,4.28,25.68
2.0,5.0,38.6
3.0,4.0,24.0
2.0,7.64,45.84
1.0,1.0,15.4
1.0,4.05,31.05
2.0,17.11,102.66
1.0,9.99,43.29
1.0,8.94,38.74
2.0,1.9,24.0
1.0,1.0,20.3
1.0,0.0,24.9
1.0,8.65,52.0
1.0,5.0,36.9
5.0,0.0,27.0
5.0,5.12,30.72
1.0,0.0,22.1
1.0,7.1,35.5
2.0,0.0,15.8
2.0,1.0,12.6
2.0,4.14,24.84
1.0,2.0,20.6
1.0,0.0,15.8
1.0,6.0,54.7
1.0,0.0,23.5
1.0,2.79,21.39
1.0,5.37,23.27
2.0,21.39,108.69
1.0,3.3,19.8
1.0,2.46,14.76
3.0,0.0,16.5
1.0,0.0,16.5
1.0,0.0,15.1
1.0,4.0,24.0
2.0,10.95,54.75
2.0,1.65,18.15
1.0,1.11,24.61
1.0,5.82,34.92
2.0,4.05,31.05
1.0,0.0,15.2
2.0,2.85,17.25
1.0,0.0,16.5
1.0,2.0,33.9
1.0,3.55,21.45
1.0,4.45,22.35
1.0,5.4,32.4
0.0,6.1,36.6
0.0,4.0,44.3
3.0,0.0,18.6
1.0,3.4,20.6
1.0,4.56,27.36
1.0,0.0,22.8
1.0,6.0,26.0
1.0,4.0,24.0
1.0,0.0,13.7
2.0,4.42,26.52
1.0,5.68,34.08
1.0,2.0,21.3
2.0,4.98,29.88
2.0,5.1,39.1
2.0,2.5,26.7
1.0,7.35,44.15
1.0,3.58,21.48
