passenger_count,tip_amount,total_amount
2.0,0.64,13.54
2.0,3.28,19.68
1.0,0.0,14.3
1.0,3.84,23.04
1.0,0.96,20.16
3.0,3.98,23.88
1.0,2.34,25.74
1.0,2.44,14.64
1.0,0.0,-9.4
1.0,0.0,9.4
1.0,7.2,43.2
1.0,0.0,29.7
1.0,6.02,30.12
1.0,17.6,105.6
1.0,0.0,18.5
1.0,5.66,33.96
1.0,3.28,19.68
2.0,1.0,12.5
1.0,3.23,16.13
1.0,4.8,24.0
2.0,16.11,98.41
2.0,16.78,100.68
1.0,3.0,27.8
4.0,0.0,15.0
1.0,3.0,24.3
1.0,0.0,10.1
1.0,2.0,16.3
1.0,4.96,29.76
1.0,3.25,19.65
1.0,0.0,15.0
1.0,3.7,22.2
1.0,12.0,94.3
1.0,2.0,27.5
1.0,0.0,40.2
1.0,0.0,31.1
1.0,1.0,26.5
1.0,3.8,23.0
1.0,8.0,48.2
2.0,2.86,17.16
2.0,2.4,14.6
2.0,2.7,16.3
1.0,3.55,21.35
0.0,0.0,8.7
0.0,16.3,81.65
1.0,0.0,12.9
1.0,0.0,17.8
4.0,2.57,19.67
2.0,1.85,11.25
2.0,4.5,27.2
2.0,3.9,19.6
1.0,2.0,25.4
4.0,2.16,12.96
4.0,4.68,28.08
1.0,11.8,70.85
3.0,0.0,75.75
1.0,1.78,19.58
1.0,1.8,21.0
2.0,0.0,82.3
1.0,3.0,18.0
1.0,0.0,12.9
1.0,0.0,11.5
1.0,0.0,15.0
1.0,0.0,20.6
1.0,3.7,22.2
1.0,3.0,20.1
4.0,0.0,18.5
4.0,1.15,12.65
1.0,0.0,16.4
2.0,1.0,16.0
1.0,0.0,15.7
1.0,7.51,57.56
1.0,0.0,82.3
1.0,0.0,68.2
1.0,3.98,23.88
1.0,8.79,52.74
1.0,0.0,33.9
1.0,1.59,33.39
1.0,0.0,24.1
1.0,0.0,12.2
1.0,2.0,12.8
2.0,0.0,12.2
1.0,3.22,16.12
2.0,2.0,24.7
1.0,1.0,18.1
1.0,2.0,24.7
1.0,0.0,21.3
2.0,4.96,29.76
1.0,3.0,18.0
2.0,0.0,18.5
1.0,3.28,19.68
1.0,0.0,17.1
1.0,3.0,18.0
1.0,6.78,40.68
2.0,4.32,25.92
2.0,3.48,20.88
3.0,0.0,12.5
0.0,5.3,26.6
0.0,7.55,45.45
2.0,0.0,16.4
1.0,3.0,18.0
2.0,1.0,19.5
2.0,0.0,80.55
1.0,2.02,12.12
1.0,3.84,23.04
2.0,0.0,29.0
2.0,2.58,15.48
1.0,6.0,55.15
1.0,0.0,17.4
1.0,0.0,19.5
1.0,2.04,15.64
2.0,4.26,25.56
1.0,3.7,22.2
1.0,5.7,28.4
1.0,24.7,148.2
4.0,4.26,25.56
1.0,4.54,27.24
1.0,3.5,33.95
2.0,11.97,91.77
1.0,11.47,70.57
1.0,5.38,34.03
1.0,3.42,20.52
1.0,4.68,28.08
2.0,2.72,16.32
2.0,2.3,13.8
2.0,1.5,16.5
2.0,2.86,17.16
2.0,7.34,44.04
2.0,0.0,12.2
3.0,1.5,15.1
1.0,2.0,16.3
1.0,2.0,21.2
1.0,3.25,19.65
1.0,10.4,52.0
2.0,4.96,29.76
1.0,8.6,51.6
1.0,5.52,33.12
1.0,8.46,50.76
2.0,4.8,28.9
1.0,9.01,54.06
1.0,0.0,11.5
1.0,3.05,15.25
1.0,9.4,56.6
1.0,0.0,10.1
2.0,5.9,35.6
3.0,1.0,13.2
2.0,4.54,27.24
1.0,4.54,27.24
2.0,4.95,24.85
3.0,1.0,29.3
1.0,0.0,19.9
1.0,3.05,15.25
1.0,7.0,43.65
2.0,3.25,19.65
2.0,4.4,26.4
1.0,3.0,18.0
1.0,2.86,17.16
1.0,0.0,25.5
1.0,3.14,18.84
1.0,3.4,17.0
4.0,2.4,14.6
1.0,5.0,62.0
1.0,0.0,75.75
1.0,10.0,144.3
1.0,9.02,54.12
2.0,5.0,80.75
4.0,0.0,11.5
1.0,3.0,18.0
4.0,4.65,28.05
1.0,4.1,20.5
3.0,0.0,19.2
1.0,3.14,18.84
4.0,4.92,21.32
1.0,3.75,18.75
1.0,2.3,13.8
1.0,0.0,29.0
2.0,0.0,7.6
1.0,5.0,36.8
1.0,2.88,14.38
1.0,3.42,20.52
1.0,0.0,12.9
2.0,2.0,26.1
1.0,3.25,19.65
1.0,6.5,39.0
2.0,3.0,18.0
2.0,0.0,8.0
3.0,6.38,31.88
1.0,3.4,17.0
1.0,0.0,28.3
1.0,0.0,12.2
1.0,1.5,23.5
1.0,3.0,31.3
1.0,2.0,12.8
1.0,3.0,18.0
1.0,1.0,11.4
1.0,2.85,17.15
2.0,0.0,13.6
1.0,2.3,13.8
0.0,3.4,20.5
1.0,3.0,18.0
2.0,2.5,21.0
2.0,5.52,33.12
2.0,4.54,27.24
2.0,0.0,18.5
1.0,0.0,28.6
1.0,0.0,71.0
1.0,4.0,70.05
1.0,0.0,10.4
2.0,4.25,25.55
1.0,3.84,23.04
1.0,8.0,60.35
2.0,7.48,44.88
2.0,6.78,40.68
1.0,0.0,12.2
2.0,4.7,28.1
1.0,2.6,15.5
1.0,0.0,26.9
1.0,0.0,17.1
2.0,0.0,26.9
2.0,0.0,35.7
2.0,5.52,33.12
1.0,7.05,42.35
1.0,9.2,46.15
3.0,8.45,52.45
1.0,3.42,20.52
1.0,2.72,16.32
1.0,0.0,-13.6
1.0,0.0,13.6
1.0,2.44,14.64
2.0,3.28,19.68
2.0,3.0,18.0
2.0,4.12,24.72
3.0,3.08,21.58
1.0,10.55,45.85
1.0,3.0,18.0
1.0,2.58,15.48
1.0,0.0,22.7
1.0,5.1,30.6
2.0,0.0,-47.9
2.0,0.0,47.9
2.0,3.7,22.2
1.0,2.08,31.78
2.0,10.33,61.98
1.0,3.0,18.0
2.0,0.0,42.55
1.0,4.82,28.92
1.0,3.28,19.68
2.0,3.84,23.04
1.0,0.0,12.2
1.0,1.0,15.3
1.0,1.0,15.3
1.0,0.0,38.35
1.0,3.96,25.96
1.0,0.0,10.8
2.0,4.26,25.56
1.0,2.0,12.8
1.0,2.98,22.88
1.0,1.0,9.3
1.0,16.11,98.41
1.0,16.18,80.88
1.0,5.0,73.85
1.0,3.84,23.04
1.0,3.7,22.2
1.0,0.0,57.0
1.0,1.88,11.28
1.0,2.0,15.6
1.0,2.72,16.32
1.0,1.5,15.8
1.0,3.84,23.04
1.0,0.0,16.4
1.0,1.0,31.4
1.0,2.0,24.0
2.0,0.0,22.0
2.0,3.98,23.88
3.0,2.0,19.1
1.0,3.84,23.04
1.0,3.7,22.2
1.0,5.66,33.96
1.0,3.7,22.2
1.0,1.82,14.02
1.0,12.1,72.6
1.0,6.64,39.84
1.0,11.73,70.38
1.0,3.56,21.36
2.0,2.3,13.8
1.0,0.0,12.9
2.0,2.7,16.3
1.0,0.0,13.6
1.0,3.6,17.9
1.0,5.0,29.8
1.0,0.0,28.3
1.0,0.0,10.1
1.0,2.0,21.9
1.0,2.58,15.48
1.0,3.56,21.36
1.0,4.4,26.4
1.0,4.1,24.7
1.0,0.0,18.5
1.0,1.0,11.1
3.0,5.15,25.75
3.0,1.0,18.1
3.0,1.0,23.7
2.0,4.46,34.16
0.0,0.0,16.4
0.0,3.0,24.3
1.0,5.0,67.6
1.0,1.0,36.3
1.0,5.0,40.3
4.0,2.7,16.3
2.0,7.2,43.2
3.0,3.7,22.2
2.0,3.98,23.88
2.0,3.84,23.04
1.0,3.28,19.68
1.0,4.12,24.72
2.0,3.56,21.36
1.0,4.12,24.72
1.0,0.0,15.7
1.0,0.0,20.6
2.0,3.98,23.88
3.0,0.0,-17.8
3.0,0.0,17.8
1.0,3.28,19.68
2.0,5.24,31.44
1.0,3.84,23.04
1.0,8.0,70.6
1.0,7.05,42.35
1.0,3.4,20.5
2.0,14.8,90.55
2.0,4.4,26.4
1.0,4.4,26.4
2.0,2.7,16.3
1.0,3.84,23.04
1.0,0.01,19.21
1.0,5.0,31.2
1.0,0.0,15.7
1.0,0.0,11.5
1.0,0.0,17.8
2.0,0.0,22.0
