passenger_count,tip_amount,total_amount
3.0,2.8,14.0
2.0,2.24,13.44
1.0,3.5,21.0
1.0,4.2,25.2
1.0,2.94,17.64
1.0,4.62,27.72
1.0,16.11,97.91
1.0,0.0,-15.55
1.0,0.0,15.55
2.0,0.0,-80.55
2.0,0.0,80.55
1.0,2.0,11.8
1.0,0.0,25.2
1.0,0.0,42.3
1.0,0.0,12.6
1.0,1.08,16.48
1.0,4.0,15.9
1.0,10.0,89.3
1.0,2.35,14.25
1.0,0.0,17.5
2.0,6.0,36.1
1.0,0.0,18.9
1.0,0.0,26.6
1.0,7.85,47.3
1.0,3.36,20.16
1.0,2.38,14.28
1.0,3.22,19.32
1.0,2.8,14.0
1.0,4.2,18.2
1.0,5.25,26.25
1.0,0.0,21.0
1.0,2.8,14.0
1.0,0.7,14.0
1.0,0.0,19.6
1.0,0.0,11.2
1.0,2.35,14.25
2.0,0.0,26.6
3.0,3.05,18.45
3.0,0.0,10.5
2.0,3.0,14.9
3.0,0.0,28.7
3.0,14.73,88.38
3.0,4.4,26.4
1.0,2.0,20.2
1.0,3.5,21.0
2.0,0.0,18.2
1.0,3.0,17.0
1.0,3.85,19.25
1.0,0.0,11.9
3.0,0.0,30.8
1.0,3.78,22.68
2.0,5.3,31.9
1.0,5.7,34.4
3.0,16.11,97.91
1.0,16.36,98.16
1.0,0.0,34.5
1.0,0.0,68.1
1.0,1.0,28.3
1.0,2.38,14.28
1.0,3.36,20.16
1.0,4.96,29.76
1.0,13.18,79.08
1.0,3.1,18.5
1.0,4.12,24.72
2.0,0.0,16.8
1.0,3.22,19.32
1.0,2.1,12.6
2.0,0.0,81.8
1.0,2.0,12.5
1.0,5.6,33.6
1.0,0.0,16.1
2.0,2.94,17.64
2.0,2.52,15.12
2.0,1.0,19.9
1.0,0.0,44.1
1.0,2.45,12.25
2.0,4.0,85.8
2.0,12.35,74.1
1.0,0.0,25.9
1.0,0.0,26.05
1.0,0.0,75.25
1.0,0.0,17.5
1.0,0.0,23.1
1.0,0.0,14.0
1.0,2.0,23.7
3.0,0.0,81.8
1.0,0.0,14.7
1.0,4.06,24.36
1.0,2.0,20.9
1.0,0.0,18.2
1.0,2.0,21.6
1.0,10.26,61.56
1.0,0.0,18.9
1.0,2.0,38.4
3.0,4.35,21.85
2.0,3.2,19.3
1.0,3.36,20.16
1.0,0.0,17.5
3.0,2.2,13.4
2.0,2.52,15.12
1.0,3.36,20.16
1.0,3.08,18.48
1.0,4.06,24.36
1.0,0.0,10.5
1.0,1.4,15.4
1.0,0.0,11.9
2.0,16.11,96.66
1.0,0.0,10.1
1.0,1.96,11.76
1.0,0.0,14.7
1.0,1.74,10.44
2.0,5.1,25.4
1.0,5.05,30.25
1.0,0.0,13.3
5.0,4.55,22.75
5.0,0.0,11.9
1.0,0.0,18.2
1.0,3.15,24.15
0.0,0.0,59.05
2.0,9.2,91.0
2.0,0.0,21.0
2.0,16.35,98.15
1.0,0.0,12.2
1.0,0.0,18.9
2.0,6.0,61.5
1.0,2.0,17.4
2.0,2.94,17.64
1.0,2.38,14.28
1.0,0.0,11.2
1.0,5.18,31.08
1.0,5.18,31.08
1.0,0.0,8.4
2.0,0.0,12.6
1.0,1.0,17.8
5.0,5.5,27.5
1.0,4.34,26.04
1.0,4.9,29.4
2.0,3.0,29.6
1.0,2.1,12.6
1.0,2.66,15.96
1.0,3.08,18.48
1.0,7.14,42.84
1.0,3.36,20.16
1.0,2.0,16.0
3.0,2.38,14.28
2.0,26.99,163.19
2.0,0.0,11.9
1.0,2.9,19.0
5.0,0.0,11.9
5.0,3.15,13.65
1.0,0.0,18.9
1.0,3.22,19.32
1.0,1.1,10.2
1.0,0.0,-9.8
1.0,0.0,9.8
1.0,1.2,11.7
1.0,1.47,16.17
2.0,0.0,10.5
1.0,3.08,18.48
1.0,5.85,35.25
0.0,0.0,7.0
0.0,0.0,80.55
1.0,4.56,28.61
1.0,0.0,23.8
1.0,3.36,20.16
1.0,2.66,15.96
1.0,2.24,13.44
1.0,1.0,36.0
5.0,4.9,29.4
4.0,7.56,45.36
1.0,0.0,16.8
1.0,2.94,17.64
1.0,0.0,12.6
1.0,4.76,28.56
1.0,4.6,27.7
1.0,1.19,11.99
1.0,2.95,17.65
1.0,0.0,21.0
1.0,4.54,29.74
1.0,4.06,24.36
1.0,0.0,11.9
1.0,3.78,22.68
1.0,5.32,31.92
1.0,2.52,27.72
1.0,0.0,17.5
1.0,3.08,18.48
1.0,5.25,26.25
1.0,5.0,45.6
2.0,0.0,81.8
1.0,13.5,81.05
1.0,2.0,16.0
1.0,1.33,14.63
2.0,3.78,22.68
1.0,1.0,19.2
2.0,2.94,17.64
1.0,2.66,15.96
1.0,2.52,19.32
1.0,4.48,26.88
1.0,4.2,18.2
1.0,3.92,23.52
1.0,3.15,13.65
3.0,12.11,72.66
2.0,0.0,21.7
1.0,5.45,23.65
0.0,3.6,21.8
3.0,1.0,13.6
1.0,6.45,32.35
1.0,4.06,24.36
1.0,1.36,10.46
1.0,5.0,37.9
4.0,0.0,8.7
5.0,2.0,19.5
5.0,10.99,65.94
2.0,0.0,38.1
1.0,3.08,18.48
1.0,2.0,11.1
1.0,0.0,62.55
1.0,6.0,72.65
1.0,27.0,162.0
1.0,3.5,21.0
1.0,0.0,15.4
2.0,0.0,17.5
1.0,0.0,132.3
2.0,3.5,17.5
1.0,14.0,103.25
2.0,1.47,11.27
2.0,0.0,11.2
1.0,3.75,22.65
1.0,1.0,15.0
2.0,3.75,22.65
0.0,1.95,11.75
0.0,3.2,19.3
1.0,2.0,18.1
1.0,0.0,7.7
1.0,0.0,41.3
2.0,0.0,4.5
2.0,5.0,65.3
1.0,1.0,13.6
1.0,1.82,20.02
2.0,2.0,12.5
1.0,3.92,23.52
2.0,2.1,12.6
2.0,2.5,15.1
1.0,1.0,10.8
1.0,2.0,16.0
1.0,3.5,21.0
1.0,2.7,13.5
1.0,2.1,12.6
2.0,10.0,90.55
1.0,0.0,18.9
2.0,0.0,25.9
2.0,6.3,37.8
4.0,0.0,15.4
1.0,0.0,9.8
1.0,8.12,48.72
0.0,0.0,22.4
0.0,0.0,18.2
2.0,2.0,54.65
1.0,4.62,27.72
1.0,5.25,22.75
1.0,2.8,16.8
1.0,2.24,13.44
1.0,0.0,14.0
1.0,2.0,19.5
2.0,3.22,19.32
1.0,2.44,22.74
1.0,0.0,8.4
1.0,0.0,19.6
2.0,0.0,10.5
1.0,6.6,39.5
2.0,12.25,74.75
1.0,2.9,17.6
1.0,4.06,24.36
1.0,2.52,15.12
2.0,2.52,15.12
1.0,6.09,26.39
1.0,2.8,16.8
1.0,4.48,26.88
1.0,1.5,12.0
1.0,0.0,16.8
1.0,2.1,12.6
1.0,2.8,16.8
1.0,2.5,18.6
1.0,0.2,15.6
1.0,3.75,22.65
1.0,2.9,12.7
1.0,3.92,23.52
