passenger_count,tip_amount,total_amount
1.0,3.7,22.2
1.0,4.54,27.24
1.0,2.86,17.16
1.0,0.0,22.0
3.0,2.3,13.8
1.0,2.0,20.5
2.0,5.0,86.8
1.0,3.7,22.2
1.0,0.0,12.9
1.0,7.06,42.36
1.0,2.36,18.06
1.0,3.0,18.0
1.0,0.0,22.7
1.0,0.0,31.8
1.0,3.84,23.04
1.0,0.0,12.2
1.0,5.8,34.8
1.0,9.3,55.8
1.0,0.0,18.5
2.0,0.0,35.3
1.0,6.0,40.6
2.0,2.4,14.6
2.0,4.96,29.76
1.0,1.0,16.7
1.0,0.0,-104.0
1.0,0.0,104.0
5.0,0.0,24.8
5.0,0.0,11.5
1.0,2.58,15.48
1.0,1.0,11.8
1.0,8.74,52.44
1.0,0.0,16.4
1.0,5.0,36.1
2.0,0.0,31.4
1.0,6.38,31.88
1.0,5.66,33.96
1.0,6.35,38.15
1.0,1.9,15.5
1.0,5.76,24.96
1.0,2.82,12.22
1.0,1.0,15.3
1.0,4.26,25.56
1.0,3.84,23.04
1.0,3.42,20.52
1.0,20.0,46.9
1.0,0.0,44.4
2.0,2.0,18.4
1.0,3.56,21.36
1.0,0.0,22.0
1.0,3.24,14.04
2.0,2.44,14.64
1.0,2.58,15.48
3.0,3.23,16.13
1.0,3.0,26.4
1.0,7.62,45.72
1.0,7.06,42.36
1.0,5.67,28.37
1.0,4.0,33.7
1.0,0.0,24.1
1.0,1.0,15.6
1.0,3.98,23.88
1.0,4.82,28.92
1.0,0.0,47.9
1.0,3.84,23.04
1.0,4.95,29.75
1.0,0.0,45.35
1.0,0.0,33.2
5.0,2.3,13.8
5.0,2.0,23.3
1.0,3.45,14.95
2.0,1.5,17.2
2.0,2.58,15.48
1.0,1.0,19.5
1.0,0.0,19.2
1.0,0.02,18.52
2.0,16.11,96.66
1.0,0.0,15.7
1.0,2.02,12.12
1.0,3.28,19.68
1.0,3.7,22.2
1.0,4.96,29.76
3.0,2.02,12.12
1.0,0.0,18.5
2.0,0.0,18.5
3.0,1.0,14.6
2.0,1.0,17.4
1.0,3.42,20.52
1.0,3.14,18.84
1.0,3.05,15.25
1.0,5.8,34.8
1.0,3.28,19.68
1.0,4.96,29.76
1.0,2.85,14.35
1.0,1.0,25.1
1.0,4.82,28.92
1.0,5.1,30.6
1.0,2.0,15.6
2.0,2.16,12.96
2.0,5.0,49.4
1.0,0.0,13.6
1.0,2.72,16.32
1.0,0.0,15.7
4.0,2.0,30.5
1.0,1.0,12.5
1.0,3.03,13.13
1.0,1.0,11.8
1.0,3.0,18.0
1.0,2.86,17.16
1.0,4.4,26.4
1.0,13.32,57.72
1.0,3.0,18.0
1.0,2.44,14.64
1.0,0.0,19.9
2.0,2.44,14.64
1.0,3.56,21.36
1.0,0.0,10.8
1.0,3.14,18.84
2.0,0.1,17.9
1.0,2.0,14.9
1.0,0.0,-63.15
1.0,0.0,63.15
3.0,8.04,48.24
1.0,2.0,33.1
4.0,0.0,10.1
1.0,2.0,20.5
2.0,5.94,35.64
1.0,0.0,12.2
1.0,0.0,18.8
4.0,3.7,22.2
1.0,0.0,31.1
3.0,0.0,-35.1
3.0,0.0,35.1
1.0,5.68,28.38
1.0,5.0,50.25
1.0,3.0,18.0
3.0,4.16,45.76
4.0,5.85,29.25
1.0,2.44,14.64
1.0,2.86,17.16
1.0,3.4,17.0
1.0,5.38,32.28
1.0,4.12,24.72
1.0,0.0,14.3
1.0,0.0,43.7
1.0,3.0,19.4
1.0,1.74,10.44
1.0,2.16,12.96
1.0,0.0,17.8
1.0,0.0,12.9
1.0,3.56,21.36
1.0,9.86,59.16
1.0,0.0,-8.0
1.0,0.0,8.0
1.0,0.0,21.3
1.0,0.0,10.8
2.0,4.45,22.25
2.0,2.0,22.6
1.0,6.75,40.65
2.0,0.0,25.5
5.0,1.66,9.96
1.0,5.38,32.28
1.0,6.08,36.48
1.0,3.15,18.85
1.0,1.1,20.3
1.0,0.0,74.75
1.0,6.55,28.55
1.0,6.36,38.16
1.0,2.0,17.0
2.0,4.54,27.24
2.0,8.04,48.24
3.0,1.85,11.25
1.0,2.7,16.3
1.0,5.38,32.28
2.0,4.32,25.92
2.0,4.68,28.08
1.0,7.95,39.75
3.0,0.0,15.0
3.0,0.0,15.0
3.0,5.1,30.6
1.0,2.44,14.64
2.0,5.8,34.8
2.0,4.5,27.2
2.0,1.0,20.2
2.0,5.94,35.64
1.0,0.0,-8.0
1.0,0.0,8.0
1.0,0.0,22.0
1.0,7.9,47.4
1.0,0.0,71.5
1.0,1.25,13.45
1.0,4.12,24.72
1.0,3.7,25.0
2.0,1.0,23.7
1.0,0.0,9.4
2.0,0.0,27.6
1.0,6.36,38.16
1.0,2.0,16.3
1.0,0.0,16.4
1.0,2.0,17.0
1.0,3.0,20.8
1.0,6.08,36.48
1.0,2.16,12.96
1.0,4.82,28.92
1.0,5.55,24.05
1.0,1.0,17.4
1.0,4.5,19.5
1.0,3.07,20.17
1.0,10.0,25.0
2.0,3.56,21.36
1.0,6.08,36.48
1.0,9.72,58.32
1.0,5.2,27.9
1.0,3.56,21.36
1.0,2.58,15.48
1.0,2.5,21.7
1.0,2.0,33.8
1.0,1.0,14.2
1.0,0.0,16.0
1.0,3.0,18.0
3.0,2.3,13.8
1.0,9.44,56.64
3.0,0.0,19.2
3.0,3.56,21.36
3.0,1.0,15.3
1.0,2.0,23.3
1.0,4.1,24.7
1.0,1.0,23.7
1.0,2.0,26.1
2.0,0.0,10.1
1.0,3.0,18.0
1.0,0.0,12.9
2.0,2.3,13.8
1.0,2.7,16.3
1.0,2.3,13.8
1.0,3.28,19.68
1.0,0.0,-26.2
1.0,0.0,26.2
1.0,2.16,12.96
1.0,0.0,28.3
1.0,3.42,20.52
1.0,7.9,47.4
3.0,1.0,20.2
1.0,3.7,22.2
1.0,2.72,16.32
1.0,5.0,60.15
1.0,2.72,16.32
1.0,0.0,18.5
3.0,7.62,45.72
1.0,5.5,24.0
1.0,0.0,26.9
2.0,1.0,22.3
2.0,0.0,38.1
1.0,2.44,14.64
1.0,0.0,-8.0
1.0,0.0,8.0
1.0,3.15,18.85
1.0,1.0,26.5
4.0,1.0,20.9
1.0,3.81,41.91
2.0,0.0,12.9
1.0,10.0,34.5
1.0,0.0,42.3
1.0,0.0,-26.9
1.0,0.0,26.9
1.0,3.28,19.68
3.0,2.86,17.16
1.0,3.0,18.0
2.0,2.72,16.32
1.0,9.77,58.62
4.0,0.0,15.0
2.0,0.0,11.5
2.0,5.52,33.12
1.0,4.9,21.3
1.0,0.0,9.0
3.0,7.55,37.95
2.0,6.78,40.68
2.0,3.0,36.9
