passenger_count,tip_amount,total_amount
1.0,4.14,24.84
1.0,15.35,76.65
2.0,0.0,12.3
1.0,4.7,28.2
1.0,2.0,14.3
1.0,3.6,21.5
1.0,0.0,14.4
1.0,3.3,19.8
1.0,4.0,24.0
1.0,0.0,24.9
1.0,4.0,24.0
1.0,1.0,13.3
1.0,3.16,18.96
1.0,0.0,79.0
1.0,0.0,18.6
1.0,1.0,18.2
1.0,3.16,18.96
1.0,0.0,13.7
1.0,0.0,-15.8
1.0,0.0,15.8
1.0,6.75,33.75
1.0,0.0,11.9
1.0,4.84,29.04
1.0,3.72,22.32
2.0,3.44,20.64
1.0,3.72,22.32
2.0,2.74,16.44
1.0,7.64,45.84
1.0,1.5,26.4
1.0,2.46,14.76
1.0,0.0,17.9
1.0,0.75,15.85
1.0,8.34,50.04
1.0,2.88,17.28
1.0,1.0,32.2
1.0,6.38,38.28
1.0,1.5,15.2
1.0,0.0,12.3
2.0,5.68,34.08
2.0,4.0,24.0
1.0,3.72,22.32
1.0,1.5,22.9
3.0,5.8,34.9
1.0,0.0,20.0
1.0,0.0,11.6
1.0,4.8,29.0
1.0,2.26,17.36
6.0,7.8,39.0
1.0,4.0,23.3
2.0,8.3,36.0
2.0,0.0,13.7
1.0,12.33,73.98
1.0,11.65,58.25
1.0,2.88,17.28
2.0,0.0,29.8
1.0,4.0,29.6
1.0,0.0,48.0
4.0,2.16,16.56
1.0,3.48,15.08
1.0,2.74,16.44
1.0,0.0,21.4
1.0,1.95,14.95
1.0,1.0,28.7
1.0,1.1,22.5
1.0,3.58,21.48
2.0,1.0,15.4
2.0,2.21,24.31
1.0,3.3,19.8
1.0,3.44,20.64
1.0,2.0,26.2
1.0,3.44,20.64
1.0,4.28,25.68
1.0,0.0,40.3
3.0,4.0,51.3
1.0,4.47,22.37
2.0,4.56,27.36
1.0,3.02,18.12
1.0,5.88,29.38
1.0,2.88,17.28
1.0,5.88,29.38
1.0,2.74,16.44
1.0,4.0,24.0
1.0,5.82,34.92
1.0,0.0,13.7
1.0,3.0,25.8
1.0,4.14,24.84
1.0,1.0,17.5
1.0,5.54,33.24
1.0,3.02,18.12
1.0,3.58,21.48
1.0,2.18,13.08
2.0,11.98,71.88
1.0,3.16,18.96
1.0,3.6,18.0
1.0,5.35,26.75
1.0,3.02,18.12
1.0,2.0,19.9
1.0,6.4,38.3
1.0,0.0,62.65
2.0,5.84,44.74
2.0,8.2,49.2
1.0,2.45,14.75
2.0,0.0,13.7
2.0,0.0,87.3
1.0,6.75,33.75
1.0,0.0,15.1
1.0,3.52,27.02
2.0,3.3,19.8
1.0,2.6,15.6
3.0,3.73,28.63
1.0,3.3,19.8
1.0,3.16,18.96
1.0,2.0,19.9
1.0,5.26,31.56
1.0,11.27,69.37
1.0,1.51,16.61
1.0,4.0,24.0
1.0,4.28,25.68
1.0,5.1,30.7
1.0,0.0,22.1
1.0,5.96,35.76
1.0,3.72,22.32
2.0,3.0,27.2
1.0,4.83,24.13
1.0,0.0,57.55
1.0,3.0,22.3
2.0,10.1,72.9
1.0,4.28,25.68
1.0,1.0,16.1
1.0,4.14,24.84
1.0,3.02,18.12
1.0,0.0,20.7
1.0,2.88,17.28
1.0,3.02,18.12
1.0,0.0,18.6
1.0,0.0,8.75
0.0,21.8,109.1
1.0,3.21,24.61
1.0,4.0,39.4
1.0,2.65,15.95
1.0,1.7,21.0
1.0,4.84,29.04
1.0,7.78,46.68
2.0,0.0,24.2
1.0,2.74,16.44
2.0,4.14,24.84
1.0,4.7,28.2
1.0,4.47,22.37
1.0,3.04,20.94
1.0,2.74,16.44
1.0,0.0,20.0
1.0,0.0,16.7
1.0,17.1,102.65
0.0,0.0,15.8
0.0,4.4,26.5
1.0,4.14,24.84
1.0,0.0,32.6
1.0,0.0,26.3
1.0,3.02,18.12
1.0,0.0,15.8
1.0,5.68,34.08
1.0,3.3,19.8
1.0,3.44,20.64
1.0,3.72,22.32
1.0,5.0,74.0
1.0,0.0,16.5
1.0,1.5,24.3
1.0,4.42,26.52
2.0,4.74,20.54
2.0,3.58,21.48
1.0,0.0,23.5
1.0,3.0,23.7
1.0,2.0,20.6
2.0,1.0,16.8
3.0,0.0,29.1
1.0,0.0,17.2
1.0,6.02,36.12
2.0,6.1,36.6
0.0,3.0,26.5
1.0,10.02,60.12
1.0,4.14,24.84
1.0,1.0,15.7
1.0,4.65,23.25
2.0,6.0,42.8
1.0,2.0,20.6
1.0,1.95,14.95
1.0,2.0,24.8
1.0,6.24,37.44
1.0,8.94,38.74
1.0,7.45,37.25
1.0,1.0,17.5
1.0,0.0,17.9
1.0,3.3,19.8
1.0,3.0,32.1
1.0,2.74,16.44
3.0,4.42,26.52
1.0,2.16,16.56
1.0,3.86,23.16
1.0,12.25,73.5
2.0,3.44,20.64
1.0,1.0,14.7
1.0,4.48,22.38
1.0,0.0,27.0
1.0,4.14,24.84
1.0,3.0,18.1
1.0,0.0,17.9
1.0,1.74,13.34
1.0,5.26,31.56
1.0,8.62,51.72
1.0,5.4,32.4
1.0,4.7,28.2
1.0,4.98,29.88
1.0,4.14,24.84
1.0,4.14,24.84
1.0,4.55,27.35
1.0,1.0,16.1
1.0,3.0,21.6
1.0,3.0,18.1
2.0,8.9,53.4
1.0,3.58,21.48
1.0,6.22,31.12
2.0,1.0,21.0
1.0,10.07,50.37
3.0,30.0,117.3
1.0,4.28,25.68
1.0,5.42,41.52
1.0,4.0,24.0
1.0,2.04,12.24
1.0,3.95,19.75
1.0,3.44,20.64
2.0,17.11,102.66
1.0,3.0,25.1
1.0,4.83,24.13
1.0,4.68,35.88
1.0,3.58,21.48
1.0,3.25,16.25
1.0,9.18,55.08
1.0,3.72,22.32
1.0,3.86,23.16
1.0,0.0,31.2
1.0,0.0,23.45
2.0,4.4,26.5
1.0,3.0,18.1
1.0,3.85,23.15
3.0,0.0,19.3
1.0,1.1,19.0
1.0,9.5,49.8
1.0,3.44,20.64
1.0,2.0,24.1
1.0,0.0,7.7
1.0,0.0,13.0
1.0,2.0,24.8
1.0,3.0,47.5
1.0,3.86,23.16
1.0,3.05,15.35
1.0,4.28,25.68
1.0,5.0,35.5
1.0,2.0,22.0
2.0,5.0,92.3
1.0,3.15,18.95
1.0,2.94,17.64
1.0,1.86,20.46
3.0,21.39,108.69
1.0,2.5,21.8
1.0,5.37,23.27
1.0,5.0,30.6
1.0,4.4,26.5
1.0,3.3,19.8
1.0,1.0,22.4
1.0,4.14,24.84
1.0,0.0,14.0
1.0,0.0,22.1
1.0,2.14,23.54
1.0,0.0,17.9
1.0,4.7,28.2
1.0,0.0,12.3
1.0,3.6,18.0
1.0,17.34,88.44
1.0,3.4,20.6
1.0,4.4,26.5
3.0,0.0,21.4
1.0,4.6,40.0
1.0,4.98,29.88
1.0,5.68,34.08
1.0,4.28,25.68
1.0,5.1,30.7
2.0,3.85,23.15
1.0,4.0,24.0
1.0,4.98,29.88
1.0,2.7,16.4
1.0,2.0,15.7
1.0,1.5,18.0
1.0,5.8,34.9
1.0,6.9,41.6
1.0,2.88,17.28
1.0,0.0,12.3
1.0,3.58,21.48
2.0,4.98,29.88
2.0,3.72,22.32
2.0,3.25,16.25
1.0,3.58,21.48
1.0,0.0,20.7
1.0,2.77,30.47
2.0,3.15,18.95
1.0,1.64,15.34
1.0,1.84,14.14
2.0,4.7,28.2
1.0,0.5,18.4
1.0,4.14,24.84
1.0,3.3,19.8
1.0,4.0,20.5
1.0,3.02,18.12
2.0,3.25,16.25
1.0,0.0,9.8
1.0,4.1,17.8
2.0,0.0,22.8
1.0,4.14,24.84
1.0,3.44,20.64
1.0,2.26,17.36
1.0,3.44,20.64
1.0,3.95,19.75
1.0,3.3,19.8
1.0,6.2,37.4
1.0,4.0,24.0
1.0,3.0,28.6
1.0,5.5,33.2
1.0,3.02,18.12
1.0,2.74,16.44
1.0,2.88,17.28
1.0,3.72,22.32
1.0,4.83,24.13
1.0,5.53,27.63
2.0,4.14,24.84
2.0,1.44,15.84
1.0,6.0,63.05
1.0,5.82,34.92
1.0,2.79,21.39
1.0,5.68,34.08
1.0,2.9,14.5
2.0,2.74,16.44
1.0,4.0,24.0
1.0,0.0,17.9
1.0,1.0,13.3
1.0,0.0,15.8
1.0,2.0,28.3
1.0,3.72,22.32
1.0,3.58,21.48
3.0,4.42,26.52
1.0,3.0,20.2
1.0,2.0,22.7
1.0,4.28,25.68
1.0,4.55,27.35
1.0,4.4,26.5
2.0,4.14,24.84
6.0,7.05,30.55
6.0,3.0,25.8
2.0,7.05,42.45
1.0,3.44,20.64
2.0,3.3,19.8
1.0,2.58,19.78
1.0,7.36,44.16
1.0,5.84,44.74
1.0,0.0,31.9
1.0,3.3,19.8
1.0,2.0,20.6
1.0,3.8,18.9
6.0,10.0,69.55
1.0,17.11,104.41
2.0,10.24,63.19
1.0,0.0,22.1
1.0,2.0,20.6
1.0,0.0,29.1
1.0,3.4,20.4
1.0,0.0,17.0
1.0,0.0,13.7
1.0,2.58,19.78
1.0,6.1,36.6
1.0,0.0,22.8
2.0,0.0,29.1
1.0,0.0,21.4
0.0,4.4,26.5
1.0,2.26,17.36
1.0,17.11,102.66
1.0,0.0,15.8
1.0,0.0,16.5
5.0,6.1,36.6
4.0,9.6,57.6
1.0,2.5,23.9
1.0,11.7,70.2
3.0,7.8,39.0
1.0,2.6,15.6
1.0,4.14,24.84
1.0,0.0,16.5
1.0,6.8,29.6
1.0,0.0,38.15
1.0,0.0,17.2
2.0,3.55,21.45
2.0,0.0,19.3
1.0,17.11,104.41
1.0,4.84,29.04
1.0,2.3,13.9
1.0,5.15,25.85
1.0,0.0,17.2
1.0,3.02,18.12
1.0,0.0,15.1
1.0,6.24,37.44
2.0,4.5,28.0
2.0,5.0,34.8
2.0,4.11,17.81
2.0,5.4,32.4
2.0,0.0,87.3
1.0,1.5,16.6
1.0,2.5,28.1
1.0,0.0,69.15
1.0,0.0,-7.0
1.0,0.0,7.0
1.0,8.84,54.79
1.0,2.5,22.5
1.0,5.68,34.08
2.0,3.55,21.45
2.0,4.0,28.2
1.0,1.6,18.1
2.0,0.0,13.0
1.0,3.3,19.8
1.0,17.11,102.66
1.0,10.44,62.64
1.0,6.66,39.96
1.0,4.42,26.52
1.0,6.2,26.9
1.0,5.55,33.25
1.0,2.0,38.1
2.0,0.0,17.9
1.0,4.28,25.68
1.0,0.0,20.7
1.0,0.0,23.5
1.0,5.82,34.92
1.0,0.0,19.3
1.0,4.84,29.04
1.0,1.5,22.2
2.0,11.98,71.88
1.0,1.0,23.8
1.0,3.44,20.64
1.0,11.07,68.17
1.0,5.18,25.88
1.0,4.14,24.84
1.0,2.0,17.8
1.0,0.0,13.0
1.0,0.0,13.0
2.0,16.24,97.44
1.0,5.54,33.24
1.0,2.0,22.0
1.0,3.0,19.5
1.0,4.56,27.36
1.0,5.37,23.27
1.0,0.0,16.5
1.0,1.5,27.8
1.0,4.1,20.6
2.0,2.0,15.7
1.0,3.3,19.8
1.0,0.0,13.0
2.0,3.3,19.8
1.0,2.6,15.6
1.0,2.0,30.4
1.0,2.88,17.28
5.0,1.0,13.3
5.0,0.0,15.1
5.0,0.0,13.7
5.0,4.82,24.12
1.0,2.0,19.9
2.0,4.28,25.68
1.0,2.9,22.2
1.0,3.44,20.64
1.0,3.3,19.8
1.0,5.12,30.72
1.0,0.0,18.6
2.0,0.0,13.7
2.0,2.74,16.44
1.0,4.14,24.84
1.0,0.0,-11.6
1.0,0.0,11.6
1.0,3.15,18.95
1.0,0.0,23.5
2.0,1.0,29.4
1.0,0.0,26.3
4.0,0.0,18.6
2.0,0.0,23.5
4.0,3.3,19.8
1.0,3.55,21.45
2.0,11.6,69.75
1.0,0.0,9.5
1.0,0.0,14.4
1.0,2.84,31.24
1.0,5.4,32.4
2.0,5.5,27.6
1.0,1.0,17.5
2.0,4.55,27.35
1.0,4.95,29.85
1.0,2.0,23.4
1.0,22.81,136.86
1.0,3.02,18.12
1.0,3.44,20.64
1.0,6.66,39.96
0.0,8.0,58.2
1.0,0.0,20.0
1.0,4.0,24.0
1.0,3.58,21.48
1.0,2.32,13.92
1.0,3.02,18.12
2.0,3.16,18.96
1.0,5.7,28.5
1.0,4.14,24.84
2.0,4.56,27.36
1.0,2.5,21.8
2.0,1.37,15.07
1.0,4.28,25.68
1.0,3.15,18.95
1.0,5.8,34.9
1.0,2.8,22.1
1.0,3.95,19.75
3.0,3.0,30.0
1.0,2.0,18.5
1.0,1.0,16.8
3.0,2.46,14.76
1.0,4.84,29.04
1.0,3.58,21.48
1.0,6.57,50.37
1.0,1.2,16.3
1.0,3.0,27.2
3.0,3.3,19.8
4.0,7.36,44.16
1.0,0.0,46.0
1.0,16.15,96.9
4.0,0.0,19.3
3.0,4.98,29.88
1.0,4.56,27.36
1.0,2.68,20.58
1.0,6.24,37.44
1.0,3.3,19.8
1.0,5.26,31.56
1.0,0.0,9.5
1.0,4.0,24.0
2.0,0.0,72.45
0.0,7.0,41.7
1.0,5.0,51.6
2.0,3.0,48.2
1.0,2.95,17.65
3.0,2.6,15.6
1.0,21.01,126.06
1.0,5.55,33.25
1.0,4.78,36.68
1.0,0.0,18.6
1.0,0.0,15.8
1.0,17.46,104.76
1.0,2.79,21.39
1.0,4.11,17.81
1.0,2.0,22.7
1.0,6.0,43.5
1.0,21.16,105.81
1.0,2.0,17.1
1.0,2.58,19.78
1.0,2.46,14.76
1.0,2.0,25.5
1.0,2.0,17.8
3.0,3.58,21.48
1.0,4.55,27.35
2.0,4.0,24.7
1.0,3.44,20.64
2.0,2.0,15.7
1.0,7.68,33.28
1.0,4.7,28.2
