passenger_count,tip_amount,total_amount
1.0,0.0,9.8
1.0,2.1,12.6
1.0,1.0,10.1
1.0,3.22,19.32
0.0,3.0,24.7
0.0,1.0,9.4
0.0,1.0,17.8
2.0,2.1,12.6
4.0,0.0,28.7
1.0,1.0,12.9
2.0,20.14,102.44
1.0,1.0,12.9
1.0,3.67,18.37
1.0,5.05,30.25
1.0,2.0,11.8
1.0,1.0,10.1
1.0,2.1,12.6
1.0,2.8,16.8
1.0,1.0,13.6
1.0,7.0,42.0
2.0,2.0,20.2
1.0,3.92,23.52
1.0,2.94,17.64
1.0,3.15,13.65
1.0,1.0,16.4
1.0,2.24,13.44
1.0,2.38,14.28
1.0,4.06,24.36
1.0,0.0,14.65
0.0,2.0,18.1
0.0,1.0,13.6
0.0,0.0,11.9
0.0,1.89,14.49
1.0,4.8,20.9
1.0,2.94,17.64
4.0,3.22,19.32
1.0,1.68,12.88
1.0,2.1,12.6
1.0,2.0,12.5
1.0,1.0,11.5
1.0,1.0,10.1
1.0,0.0,27.3
1.0,0.0,24.0
1.0,10.9,65.45
1.0,4.38,21.88
1.0,15.0,118.85
1.0,2.38,14.28
1.0,4.75,28.55
1.0,1.95,11.75
1.0,2.42,18.52
1.0,4.75,28.55
1.0,0.0,11.9
1.0,4.9,29.4
1.0,3.92,23.52
1.0,0.0,54.0
1.0,0.0,61.55
0.0,10.25,61.7
1.0,2.5,14.4
0.0,5.0,35.1
1.0,0.0,17.5
1.0,12.95,77.7
1.0,2.66,15.96
1.0,1.0,16.4
1.0,3.22,19.32
1.0,5.46,23.66
1.0,0.0,18.9
1.0,1.0,10.1
1.0,1.0,15.0
1.0,0.0,11.2
1.0,2.0,16.0
1.0,3.4,22.3
1.0,2.65,15.95
1.0,2.25,13.45
1.0,13.68,70.13
1.0,0.0,31.0
1.0,1.0,12.2
2.0,3.92,23.52
1.0,3.0,8.2
1.0,4.05,24.35
1.0,2.94,22.54
1.0,0.0,22.4
1.0,3.5,21.0
1.0,3.2,19.3
1.0,4.76,28.56
1.0,10.92,65.52
2.0,1.96,11.76
2.0,3.08,18.48
1.0,1.0,53.15
1.0,9.1,54.6
1.0,5.04,30.24
1.0,4.48,26.88
2.0,0.0,8.4
1.0,3.5,21.0
1.0,13.75,82.7
1.0,2.0,12.5
1.0,3.05,18.45
1.0,1.65,10.05
1.0,3.3,16.6
2.0,2.35,14.25
2.0,1.96,11.76
2.0,0.0,11.2
2.0,3.0,16.3
1.0,20.14,100.69
1.0,3.5,21.0
1.0,2.0,25.1
1.0,2.38,14.28
2.0,1.5,13.4
1.0,20.0,74.25
3.0,2.98,14.88
3.0,2.1,12.6
3.0,4.62,20.02
3.0,4.0,29.9
1.0,3.1,18.5
1.0,2.95,17.65
2.0,2.98,14.88
1.0,10.0,64.25
2.0,2.0,21.6
1.0,3.15,15.75
1.0,0.0,7.3
1.0,1.5,12.7
1.0,2.35,14.25
1.0,0.0,20.3
1.0,5.15,31.05
1.0,20.45,122.7
2.0,3.5,17.5
1.0,2.35,14.25
1.0,3.5,17.5
1.0,2.8,16.8
1.0,3.33,16.63
2.0,3.0,23.3
1.0,4.72,23.62
1.0,2.5,15.1
1.0,0.0,9.1
1.0,0.78,11.98
1.0,0.0,11.9
1.0,2.31,17.71
1.0,3.22,19.32
1.0,7.47,44.82
1.0,2.1,12.6
1.0,2.0,19.5
2.0,2.38,14.28
1.0,5.95,29.75
1.0,1.0,14.3
1.0,0.0,9.8
1.0,0.0,37.1
1.0,2.38,14.28
1.0,0.0,26.6
1.0,5.04,30.24
1.0,2.5,15.1
1.0,0.0,18.9
1.0,0.0,20.3
1.0,0.0,11.2
1.0,3.08,18.48
1.0,2.5,27.0
1.0,4.62,27.72
1.0,2.0,11.8
1.0,3.08,18.48
1.0,2.1,12.6
1.0,9.0,68.15
6.0,4.34,26.04
1.0,4.03,20.13
2.0,2.52,15.12
1.0,2.94,17.64
1.0,2.87,31.57
3.0,3.36,14.56
3.0,3.92,23.52
1.0,16.03,96.18
1.0,3.36,20.16
1.0,15.47,79.12
1.0,2.38,14.28
1.0,2.94,17.64
1.0,4.2,18.2
1.0,10.55,63.3
1.0,0.0,57.8
1.0,2.0,17.4
1.0,2.0,17.4
3.0,1.96,11.76
4.0,0.0,9.8
4.0,5.74,34.44
1.0,3.26,24.96
1.0,3.5,21.0
1.0,5.6,33.6
1.0,0.0,20.3
1.0,0.0,24.5
1.0,0.0,17.5
2.0,4.76,28.56
2.0,0.0,16.1
2.0,3.92,23.52
1.0,6.7,40.3
1.0,2.38,14.28
1.0,4.5,26.9
1.0,3.08,18.48
1.0,3.64,21.84
1.0,0.8,12.0
1.0,2.52,15.12
1.0,0.0,9.8
1.0,2.5,20.0
1.0,3.78,22.68
1.0,6.3,31.5
1.0,2.1,12.6
1.0,0.0,12.6
1.0,5.0,35.1
1.0,3.0,32.4
1.0,2.0,16.0
6.0,3.84,23.04
1.0,2.8,16.8
1.0,5.67,24.57
1.0,2.66,15.96
2.0,2.0,14.6
2.0,3.36,20.16
2.0,5.04,30.24
1.0,4.34,26.04
3.0,3.64,21.84
1.0,0.0,8.4
1.0,1.0,26.9
1.0,3.5,21.0
1.0,4.72,23.62
1.0,9.31,55.86
1.0,20.14,100.69
1.0,0.0,14.0
1.0,2.66,15.96
1.0,0.0,10.5
1.0,3.36,20.16
1.0,1.58,12.08
1.0,4.0,16.6
1.0,11.69,70.14
1.0,0.0,11.2
1.0,0.0,13.3
5.0,0.0,15.4
5.0,2.98,14.88
1.0,0.0,64.9
1.0,1.0,12.2
1.0,1.5,17.6
5.0,5.0,17.6
5.0,1.5,16.2
6.0,0.0,12.6
1.0,2.0,13.2
1.0,12.87,55.77
1.0,4.2,25.2
1.0,2.0,16.0
1.0,2.52,15.12
1.0,3.36,20.16
1.0,2.8,16.8
1.0,3.05,18.45
1.0,0.0,10.5
1.0,0.0,26.6
1.0,3.0,12.8
1.0,8.14,62.39
1.0,3.64,21.84
1.0,1.58,12.08
1.0,0.0,9.8
1.0,5.88,25.48
1.0,1.0,17.8
1.0,3.65,21.85
1.0,3.35,16.65
1.0,0.0,18.2
1.0,7.56,45.36
1.0,1.82,10.92
1.0,1.0,13.6
1.0,3.78,16.38
1.0,2.8,16.8
6.0,5.74,34.44
1.0,1.0,17.1
1.0,5.42,27.12
1.0,2.1,12.6
1.0,0.0,96.85
1.0,3.57,39.27
3.0,19.23,115.38
1.0,0.0,21.75
1.0,0.0,60.95
2.0,0.0,79.15
1.0,4.06,24.36
1.0,2.8,16.8
1.0,1.0,12.9
1.0,2.0,17.4
1.0,13.72,70.37
1.0,2.8,16.8
1.0,2.38,14.28
1.0,4.34,26.04
1.0,1.0,11.5
1.0,3.5,21.0
1.0,0.0,65.75
1.0,1.0,15.7
1.0,2.8,14.0
1.0,2.66,15.96
1.0,3.2,19.3
1.0,4.2,25.2
1.0,0.0,17.0
1.0,2.66,15.96
3.0,0.0,80.55
1.0,2.0,19.5
1.0,0.0,15.4
1.0,1.95,11.75
1.0,2.8,16.8
1.0,5.04,30.24
1.0,0.0,31.5
1.0,0.0,25.2
1.0,1.26,13.86
1.0,3.36,20.16
1.0,1.96,11.76
1.0,0.0,21.0
1.0,7.0,42.0
1.0,1.0,19.2
1.0,4.06,24.36
1.0,1.0,13.6
1.0,2.8,16.8
1.0,3.08,18.48
1.0,1.89,20.79
1.0,0.0,60.55
1.0,3.57,27.37
1.0,1.8,10.9
1.0,2.0,26.5
1.0,8.12,48.72
1.0,11.55,69.3
1.0,2.38,14.28
1.0,12.25,73.5
1.0,2.52,15.12
1.0,0.0,28.0
1.0,3.78,22.68
1.0,1.82,10.92
1.0,3.22,19.32
1.0,10.0,69.15
1.0,0.0,35.25
1.0,2.66,15.96
1.0,2.0,20.9
1.0,0.98,10.78
1.0,7.7,46.2
1.0,4.48,26.88
1.0,6.08,38.23
3.0,7.0,87.55
1.0,2.52,15.12
1.0,3.92,23.52
1.0,7.0,35.0
1.0,3.99,17.29
1.0,3.08,18.48
1.0,0.0,23.0
1.0,1.5,17.6
1.0,0.0,11.2
1.0,4.0,32.0
1.0,3.22,19.32
1.0,3.78,22.68
1.0,9.03,39.13
1.0,0.0,12.6
1.0,3.92,23.52
1.0,1.96,11.76
1.0,3.64,21.84
1.0,1.0,20.6
1.0,0.0,21.0
1.0,2.94,17.64
1.0,0.0,15.4
1.0,5.74,34.44
1.0,9.88,61.03
1.0,3.2,19.3
1.0,5.0,31.0
5.0,13.82,69.12
5.0,2.5,27.7
6.0,0.0,36.35
1.0,2.94,17.64
1.0,7.0,47.6
1.0,3.78,22.68
1.0,2.24,13.44
1.0,3.05,18.45
1.0,19.51,97.56
1.0,5.95,29.75
1.0,0.0,9.8
1.0,1.0,16.4
1.0,2.1,12.6
1.0,1.96,11.76
1.0,12.25,73.5
1.0,0.0,69.25
1.0,2.94,12.74
1.0,6.58,39.48
1.0,3.5,21.0
1.0,0.0,11.9
1.0,3.22,19.32
1.0,0.0,80.55
4.0,5.0,87.3
1.0,4.06,24.36
1.0,1.0,17.1
1.0,1.0,9.4
1.0,2.1,12.6
1.0,3.75,22.65
1.0,3.1,15.7
1.0,5.88,25.48
1.0,2.38,14.28
1.0,0.0,54.55
1.0,2.5,18.6
0.0,2.0,17.4
2.0,16.45,98.75
1.0,3.85,19.25
1.0,5.3,31.9
1.0,4.2,25.2
1.0,20.14,102.44
1.0,2.1,12.6
1.0,1.89,14.49
1.0,2.0,17.4
1.0,10.1,86.65
1.0,16.45,98.75
2.0,16.11,98.41
1.0,6.58,39.48
1.0,1.82,10.92
1.0,2.94,17.64
1.0,1.0,12.9
1.0,3.1,18.5
1.0,2.25,13.45
1.0,3.0,28.2
1.0,4.35,21.85
1.0,0.0,6.6
1.0,0.0,22.4
1.0,4.62,20.02
1.0,2.38,14.28
1.0,4.76,28.56
1.0,4.34,26.04
1.0,3.28,19.68
1.0,3.64,21.84
1.0,0.0,60.2
1.0,1.5,14.1
1.0,5.6,28.0
1.0,2.1,12.6
2.0,0.0,33.55
1.0,0.0,23.4
1.0,2.5,15.1
1.0,3.2,19.3
6.0,16.11,96.66
2.0,12.81,76.86
2.0,2.52,15.12
1.0,4.2,25.2
1.0,0.0,23.0
1.0,0.0,21.0
1.0,3.15,15.75
1.0,2.1,12.6
5.0,3.08,18.48
1.0,2.52,15.82
1.0,1.0,15.7
1.0,0.0,27.0
1.0,0.0,4.5
6.0,0.0,25.9
1.0,3.5,17.5
1.0,2.1,16.1
1.0,1.96,11.76
1.0,4.2,21.0
1.0,1.89,14.49
1.0,3.0,13.5
1.0,4.0,12.0
1.0,4.9,29.4
1.0,0.0,48.95
1.0,1.96,11.76
1.0,1.1,13.0
1.0,2.0,19.5
1.0,3.5,21.0
1.0,3.22,19.32
1.0,10.35,62.1
1.0,2.01,30.71
2.0,1.68,12.88
2.0,2.42,18.52
1.0,2.38,14.28
1.0,3.08,18.48
3.0,11.83,70.98
1.0,16.11,96.66
1.0,3.57,15.47
6.0,3.22,19.32
6.0,3.22,19.32
1.0,6.0,67.95
1.0,0.0,23.0
1.0,4.9,29.4
3.0,2.0,27.9
1.0,1.0,15.7
1.0,5.32,31.92
1.0,0.0,11.2
1.0,2.8,16.8
1.0,3.36,20.16
3.0,15.83,94.98
3.0,5.88,35.28
3.0,4.2,25.2
1.0,2.52,19.32
1.0,1.36,10.46
1.0,2.8,28.0
6.0,1.0,6.9
6.0,1.82,20.02
2.0,16.11,98.41
1.0,5.0,22.5
1.0,0.0,30.0
1.0,2.8,16.8
1.0,3.22,19.32
1.0,1.96,11.76
1.0,2.0,18.8
1.0,2.2,13.4
1.0,4.2,21.0
2.0,0.0,13.3
1.0,3.5,21.0
1.0,2.24,13.44
1.0,0.0,8.4
1.0,1.5,19.0
1.0,2.42,18.52
