passenger_count,tip_amount,total_amount
1.0,3.08,18.48
2.0,3.5,21.0
1.0,2.24,13.44
1.0,12.46,74.76
1.0,2.65,13.15
1.0,2.66,15.96
1.0,3.23,17.93
1.0,2.0,18.1
1.0,0.0,14.0
1.0,2.98,14.88
1.0,10.01,60.06
1.0,20.1,100.65
4.0,15.14,75.69
1.0,1.5,26.7
1.0,2.66,15.96
1.0,3.5,21.0
1.0,0.0,58.4
1.0,0.0,17.5
1.0,2.0,13.2
1.0,8.68,52.08
1.0,2.27,11.37
1.0,0.0,22.35
2.0,0.0,15.7
1.0,0.0,13.3
1.0,3.0,16.3
3.0,1.78,13.68
1.0,10.92,65.52
3.0,1.33,14.63
3.0,2.94,17.64
4.0,10.0,78.95
1.0,11.62,69.72
2.0,11.83,70.98
1.0,3.85,19.25
1.0,0.0,19.6
2.0,2.1,12.6
1.0,1.96,11.76
1.0,7.28,43.68
1.0,0.0,18.2
1.0,9.31,57.61
1.0,2.0,21.6
1.0,0.0,32.15
1.0,2.52,15.12
1.0,3.08,18.48
1.0,2.0,25.1
1.0,3.08,18.48
1.0,2.24,13.44
1.0,4.38,21.88
1.0,4.9,24.5
1.0,3.78,22.68
1.0,2.5,20.7
2.0,0.0,15.4
2.0,2.0,22.3
4.0,0.0,12.6
1.0,2.5,15.1
3.0,0.0,14.0
2.0,3.92,23.52
1.0,0.0,10.8
2.0,1.85,11.25
1.0,2.0,21.6
2.0,0.0,14.0
3.0,2.24,13.44
2.0,0.0,16.1
1.0,1.8,13.0
1.0,3.67,18.37
1.0,2.0,15.3
1.0,2.0,14.6
1.0,4.76,28.56
2.0,2.27,14.87
1.0,4.3,33.0
2.0,9.24,55.44
1.0,10.7,93.0
2.0,3.78,22.68
2.0,11.69,71.89
1.0,3.64,21.84
3.0,21.47,128.82
1.0,4.34,26.04
1.0,3.0,24.0
1.0,3.8,16.4
1.0,5.9,35.3
1.0,1.0,15.0
2.0,3.15,15.75
2.0,0.0,16.1
1.0,15.0,95.55
2.0,10.0,66.0
1.0,0.0,11.2
1.0,12.08,92.63
1.0,3.88,29.78
1.0,2.94,17.64
1.0,0.0,55.05
1.0,0.0,21.0
1.0,15.82,80.87
1.0,1.89,14.49
1.0,0.0,14.0
1.0,0.0,12.6
1.0,16.11,96.66
1.0,0.0,9.1
1.0,2.0,15.3
1.0,2.8,14.0
1.0,4.2,25.2
1.0,6.15,36.95
2.0,2.0,67.45
2.0,3.08,18.48
2.0,2.0,13.9
1.0,3.78,22.68
1.0,0.0,13.3
2.0,5.0,31.6
1.0,2.8,16.8
1.0,2.0,16.0
3.0,0.0,139.5
1.0,0.0,16.1
2.0,1.0,14.3
2.0,3.97,23.82
1.0,3.64,21.84
1.0,2.94,17.64
1.0,1.0,10.8
1.0,3.5,21.0
1.0,0.0,14.7
1.0,2.94,17.64
1.0,1.12,12.32
2.0,0.0,13.6
2.0,0.0,13.3
1.0,2.95,17.65
1.0,1.0,14.3
1.0,2.8,16.8
1.0,0.0,12.6
2.0,0.0,16.1
2.0,2.94,12.74
3.0,3.36,20.16
1.0,2.38,14.28
1.0,3.5,21.0
3.0,0.0,10.5
1.0,2.52,15.12
2.0,0.0,12.6
1.0,14.07,86.17
2.0,0.0,16.1
1.0,8.87,53.22
6.0,0.0,56.0
1.0,1.78,13.68
1.0,4.76,28.56
1.0,2.38,14.28
2.0,2.38,14.28
1.0,2.8,16.8
2.0,0.0,11.9
1.0,2.0,10.4
1.0,5.88,35.28
1.0,24.16,106.46
1.0,4.9,29.4
3.0,3.68,18.38
1.0,2.0,13.2
3.0,9.96,59.76
1.0,2.2,16.9
1.0,2.0,34.2
1.0,2.86,17.16
4.0,10.0,81.5
5.0,2.0,23.0
1.0,3.05,51.0
1.0,12.0,87.75
2.0,1.12,12.32
1.0,2.4,18.5
1.0,2.73,20.93
1.0,0.0,27.3
1.0,16.46,98.76
1.0,1.82,10.92
1.0,0.0,20.3
1.0,2.0,16.0
1.0,1.0,12.2
1.0,0.0,9.1
1.0,0.0,18.2
1.0,1.8,10.9
1.0,2.52,19.32
1.0,2.38,14.28
1.0,2.62,20.12
1.0,0.0,14.7
1.0,2.17,23.87
1.0,0.0,-11.9
1.0,0.0,11.9
1.0,2.0,49.35
2.0,20.62,103.12
1.0,2.5,20.0
1.0,3.6,21.8
5.0,0.0,24.5
5.0,3.85,19.25
1.0,2.62,13.12
1.0,5.6,33.6
1.0,5.32,31.92
2.0,2.8,14.0
1.0,15.15,90.9
0.0,1.0,12.2
1.0,5.0,43.5
1.0,5.46,60.06
1.0,2.95,14.85
2.0,0.0,14.0
1.0,2.1,12.6
1.0,2.1,12.6
1.0,3.5,21.0
1.0,2.1,12.6
2.0,0.0,93.15
1.0,1.95,11.75
1.0,0.0,19.6
1.0,2.1,12.6
2.0,0.0,12.6
1.0,4.7,60.0
1.0,2.94,17.64
1.0,1.27,19.47
2.0,0.0,22.4
2.0,8.73,52.38
1.0,7.75,33.65
1.0,3.5,21.0
1.0,3.1,15.7
1.0,0.0,10.5
2.0,1.0,10.8
1.0,0.0,11.9
1.0,2.0,25.1
1.0,0.0,19.65
1.0,4.62,20.02
1.0,2.45,12.25
1.0,0.0,12.6
1.0,2.1,12.6
1.0,0.0,9.8
1.0,3.0,12.8
1.0,2.1,12.6
1.0,0.0,20.3
1.0,1.57,21.17
1.0,4.34,26.04
1.0,0.0,16.1
2.0,5.0,85.55
1.0,3.5,21.0
1.0,2.95,17.65
2.0,0.0,11.2
1.0,7.84,47.04
1.0,3.68,28.18
1.0,2.0,23.0
1.0,7.4,44.5
1.0,5.7,36.5
2.0,0.0,21.0
1.0,2.24,13.44
1.0,2.1,12.6
1.0,0.0,18.9
2.0,3.0,17.7
1.0,2.8,16.8
4.0,4.75,28.55
2.0,20.0,102.3
2.0,3.2,19.3
5.0,3.35,20.15
3.0,4.0,29.9
1.0,0.0,22.4
2.0,10.5,63.0
2.0,5.0,88.3
2.0,2.0,14.6
2.0,0.0,13.3
2.0,0.0,14.7
0.0,0.0,21.7
0.0,0.0,16.1
0.0,2.2,16.9
2.0,2.0,16.0
1.0,0.0,9.1
2.0,0.0,12.2
2.0,2.9,17.6
2.0,2.75,13.95
0.0,3.85,19.25
1.0,0.0,18.9
4.0,1.0,20.6
1.0,5.52,34.87
1.0,3.9,23.5
2.0,2.9,17.6
2.0,2.5,15.1
1.0,2.2,26.0
1.0,1.0,18.5
1.0,4.3,26.0
1.0,4.62,20.02
1.0,1.95,11.75
2.0,0.0,10.5
2.0,5.0,64.75
1.0,13.74,70.44
2.0,3.08,18.48
1.0,2.1,12.6
4.0,11.8,70.95
1.0,16.11,96.66
2.0,2.52,27.72
1.0,0.0,87.0
2.0,48.62,293.47
2.0,10.49,62.94
1.0,13.39,68.69
1.0,16.46,98.76
1.0,2.25,13.45
3.0,2.65,13.15
1.0,2.5,15.1
1.0,3.57,27.37
1.0,3.0,14.9
4.0,11.41,70.21
4.0,0.0,11.2
1.0,10.0,90.55
1.0,16.11,98.41
1.0,3.64,21.84
1.0,3.5,21.0
1.0,16.11,98.41
2.0,0.0,76.5
1.0,2.0,20.2
1.0,2.24,13.44
1.0,2.5,17.2
1.0,4.5,22.7
2.0,2.2,13.4
2.0,0.0,13.3
1.0,3.64,21.84
1.0,3.42,20.52
1.0,0.0,19.6
1.0,1.0,12.9
3.0,0.0,21.7
4.0,5.0,14.1
2.0,16.11,96.66
1.0,0.0,14.0
1.0,5.08,25.38
4.0,4.2,25.2
1.0,0.0,71.0
4.0,0.0,14.7
3.0,0.0,9.1
2.0,4.05,24.35
1.0,5.0,21.1
1.0,10.01,61.81
1.0,16.46,98.76
1.0,0.0,-12.0
1.0,0.0,12.0
1.0,0.0,25.95
1.0,1.0,10.1
1.0,11.6,69.65
2.0,16.11,98.41
0.0,2.8,16.8
0.0,0.0,11.2
2.0,0.0,53.2
1.0,2.8,14.0
1.0,11.38,56.88
1.0,16.11,98.41
1.0,2.0,19.5
1.0,4.34,26.04
1.0,9.24,70.84
1.0,14.55,87.3
1.0,3.08,18.48
1.0,6.5,38.0
1.0,18.5,92.5
1.0,2.52,15.12
2.0,0.0,9.8
1.0,1.0,15.0
2.0,7.15,54.8
0.0,2.6,13.1
1.0,2.0,17.4
2.0,0.0,13.3
2.0,3.36,20.16
1.0,4.06,24.36
1.0,12.04,72.24
1.0,4.2,25.2
1.0,2.8,16.8
1.0,3.9,23.5
1.0,3.92,23.52
2.0,11.97,73.57
4.0,14.79,73.94
1.0,0.0,11.2
1.0,0.0,16.8
3.0,0.0,35.7
2.0,5.88,35.28
1.0,13.82,69.12
3.0,1.5,11.3
4.0,3.04,23.34
1.0,0.0,48.95
1.0,2.73,20.93
1.0,2.02,18.82
1.0,19.9,99.7
1.0,9.17,56.77
1.0,12.26,61.31
2.0,4.48,26.88
1.0,1.0,12.9
2.0,10.0,38.7
1.0,2.0,18.1
1.0,2.8,16.8
1.0,2.0,14.6
4.0,0.0,9.8
1.0,3.08,18.48
1.0,2.24,13.44
1.0,0.0,14.7
1.0,3.78,22.68
1.0,3.08,18.48
1.0,1.96,11.76
1.0,3.04,23.34
1.0,2.1,12.6
1.0,2.45,12.25
1.0,8.71,43.56
2.0,0.0,18.2
1.0,0.0,12.6
1.0,2.24,13.44
1.0,0.0,16.8
1.0,0.0,10.5
1.0,0.0,-11.9
1.0,0.0,11.9
2.0,1.0,9.4
3.0,1.0,18.5
1.0,2.35,14.25
1.0,1.8,10.9
1.0,0.0,12.6
1.0,1.0,-70.4
1.0,0.0,71.4
3.0,0.0,-11.2
3.0,0.0,11.2
2.0,2.24,13.44
3.0,0.0,-74.0
3.0,0.0,74.0
3.0,3.92,23.52
1.0,3.36,20.16
5.0,1.0,12.9
5.0,2.0,20.2
1.0,4.62,27.72
1.0,35.0,42.0
1.0,3.0,21.2
1.0,0.0,23.1
1.0,0.0,14.7
1.0,4.9,29.4
1.0,0.0,38.5
3.0,1.0,12.9
2.0,8.5,51.2
1.0,1.61,17.71
1.0,10.0,85.75
2.0,0.0,40.55
0.0,1.8,10.9
1.0,16.1,96.65
1.0,2.66,15.96
2.0,0.0,15.4
6.0,3.0,12.8
2.0,10.0,92.3
2.0,0.0,45.1
1.0,2.52,15.12
1.0,0.0,26.6
1.0,5.95,29.75
2.0,6.3,37.8
3.0,2.65,15.95
2.0,3.3,16.6
1.0,15.61,93.66
1.0,0.0,15.0
1.0,5.0,28.4
3.0,0.0,16.1
2.0,3.08,18.48
1.0,1.19,13.09
1.0,0.0,9.1
1.0,2.1,12.6
1.0,4.2,25.2
1.0,2.8,16.8
1.0,3.0,24.0
2.0,2.0,13.2
2.0,1.96,11.76
1.0,0.0,57.75
2.0,1.96,11.76
1.0,0.0,11.9
1.0,0.0,9.8
2.0,5.88,35.28
4.0,2.52,15.12
2.0,0.0,12.6
1.0,3.78,22.68
1.0,0.0,12.6
1.0,2.0,20.2
1.0,1.58,12.08
1.0,0.0,11.2
2.0,0.0,12.6
1.0,1.96,11.76
1.0,2.0,16.7
1.0,2.39,15.69
1.0,3.92,23.52
1.0,0.0,19.6
2.0,1.0,10.1
1.0,3.68,18.38
1.0,4.9,29.4
2.0,0.0,15.4
1.0,1.2,13.1
1.0,3.33,16.63
1.0,0.0,21.7
1.0,16.11,96.66
3.0,0.0,82.3
1.0,1.58,12.08
1.0,2.24,13.44
0.0,3.0,10.0
0.0,0.0,18.2
1.0,13.72,70.37
1.0,1.8,13.0
2.0,1.0,14.3
1.0,5.74,34.44
3.0,20.33,121.98
4.0,5.67,24.57
1.0,3.5,17.5
1.0,3.36,20.16
1.0,0.0,65.15
1.0,0.0,75.1
3.0,1.0,15.7
2.0,0.0,10.5
3.0,1.96,11.76
4.0,3.64,21.84
1.0,4.2,21.0
2.0,2.2,16.9
1.0,1.0,12.2
1.0,2.66,15.96
1.0,0.0,33.6
2.0,3.0,24.7
1.0,0.0,77.35
1.0,6.38,40.03
1.0,2.38,14.28
1.0,1.82,10.92
