passenger_count,tip_amount,total_amount
2.0,2.0,18.1
2.0,2.1,12.6
1.0,3.92,23.52
1.0,2.38,14.28
1.0,1.0,17.8
1.0,2.66,15.96
1.0,4.6,20.0
1.0,1.0,17.1
1.0,2.9,17.6
1.0,10.0,89.3
1.0,5.46,23.66
1.0,8.19,35.49
1.0,0.0,9.8
1.0,1.5,12.0
1.0,2.66,15.96
1.0,4.06,24.36
1.0,2.5,15.1
1.0,1.0,11.5
1.0,2.5,34.0
1.0,3.5,21.0
1.0,3.78,22.68
1.0,0.0,22.0
1.0,3.5,21.0
1.0,3.22,19.32
1.0,2.0,18.1
1.0,0.0,12.6
1.0,2.2,16.9
0.0,8.54,51.24
0.0,5.85,25.45
1.0,2.52,15.12
1.0,3.71,40.81
1.0,2.2,13.4
0.0,2.2,13.4
1.0,16.6,99.6
1.0,0.0,36.55
1.0,2.8,16.8
1.0,3.08,18.48
1.0,0.0,9.8
1.0,1.68,10.08
1.0,5.0,67.3
1.0,4.34,26.04
1.0,2.17,23.87
1.0,7.84,47.04
2.0,0.0,18.2
1.0,0.0,44.8
1.0,1.5,19.0
1.0,2.9,17.6
1.0,0.0,10.1
1.0,2.52,27.72
1.0,0.0,25.2
1.0,2.65,15.95
1.0,4.34,26.04
1.0,7.0,35.0
1.0,4.62,27.72
1.0,3.15,15.75
1.0,2.24,13.44
6.0,2.8,14.0
2.0,1.46,8.76
2.0,4.06,24.36
1.0,0.0,56.25
1.0,4.06,24.36
1.0,0.0,36.4
1.0,0.0,11.9
1.0,2.52,15.12
1.0,4.2,32.2
1.0,0.0,10.8
1.0,0.0,15.4
1.0,2.45,12.25
1.0,2.1,16.1
1.0,3.92,23.52
1.0,0.0,14.7
1.0,1.89,14.49
1.0,1.0,15.0
1.0,2.0,23.7
1.0,1.0,35.3
1.0,2.0,18.8
2.0,1.96,11.76
1.0,0.0,9.1
2.0,5.04,30.24
1.0,7.64,47.09
1.0,3.64,21.84
1.0,1.68,12.88
1.0,2.24,13.44
1.0,1.96,11.76
1.0,1.0,12.2
1.0,16.11,97.91
1.0,3.08,18.48
1.0,1.0,12.2
2.0,12.0,91.3
1.0,2.0,13.2
1.0,1.0,11.5
1.0,2.38,14.28
1.0,6.72,40.32
1.0,5.88,35.28
1.0,3.0,23.3
1.0,1.96,11.76
1.0,6.09,26.39
1.0,0.0,35.0
1.0,0.0,-29.55
1.0,0.0,29.55
1.0,3.0,32.4
1.0,3.2,19.3
1.0,4.0,30.6
1.0,4.6,20.0
1.0,0.0,54.95
1.0,15.61,94.91
2.0,2.8,16.8
2.0,1.42,21.72
2.0,2.0,17.4
1.0,3.05,18.45
1.0,2.6,13.1
4.0,13.51,82.31
1.0,3.5,21.0
1.0,0.0,14.0
1.0,4.6,27.7
1.0,0.0,11.9
1.0,1.47,11.27
1.0,0.0,20.3
1.0,3.36,14.56
1.0,2.66,15.96
1.0,2.38,14.28
1.0,0.0,24.5
1.0,2.8,16.8
1.0,1.34,18.14
1.0,2.8,14.0
1.0,2.8,16.8
1.0,7.17,35.87
1.0,0.0,7.3
1.0,0.0,7.3
1.0,0.0,9.8
1.0,3.92,23.52
1.0,0.0,33.05
1.0,0.0,95.35
1.0,0.0,71.55
1.0,0.0,13.3
1.0,1.0,16.4
1.0,0.01,57.66
1.0,10.12,43.87
2.0,0.0,22.4
1.0,16.44,99.89
1.0,17.25,110.0
1.0,0.0,-4.5
1.0,0.0,4.5
1.0,2.8,14.0
1.0,0.0,16.8
1.0,2.66,15.96
1.0,2.0,13.2
1.0,16.36,98.16
1.0,0.0,81.8
1.0,0.0,32.9
1.0,3.64,21.84
2.0,4.35,21.85
1.0,4.3,26.0
1.0,2.8,16.8
1.0,0.0,47.55
1.0,0.0,90.7
1.0,3.0,34.5
1.0,4.2,25.2
1.0,2.66,15.96
1.0,0.0,74.0
1.0,12.95,77.7
1.0,2.94,17.64
1.0,2.0,15.3
1.0,1.5,14.8
1.0,3.5,21.0
1.0,3.0,19.8
1.0,2.1,12.6
1.0,1.0,15.0
1.0,0.0,16.8
1.0,3.67,18.37
1.0,0.0,-9.8
1.0,0.0,9.8
0.0,1.0,13.6
0.0,2.0,15.3
2.0,1.01,11.11
1.0,2.8,16.8
3.0,1.0,10.8
3.0,0.0,90.45
1.0,4.2,21.0
1.0,2.0,22.3
1.0,2.0,34.2
1.0,2.38,14.28
1.0,3.78,16.38
1.0,2.38,14.28
1.0,5.46,32.76
1.0,10.0,69.7
1.0,0.0,35.0
1.0,3.36,20.16
1.0,2.8,16.8
1.0,1.5,19.7
1.0,11.24,67.44
2.0,1.96,11.76
1.0,4.9,29.4
1.0,3.1,18.5
1.0,0.0,14.7
1.0,2.0,20.2
2.0,0.0,81.8
1.0,2.52,15.12
1.0,0.0,-18.2
1.0,0.0,18.2
1.0,2.0,20.2
1.0,0.0,53.5
1.0,1.19,13.09
1.0,3.33,16.63
1.0,0.0,12.6
6.0,0.0,79.3
1.0,1.0,14.3
1.0,1.46,8.76
1.0,3.99,30.59
2.0,2.94,17.64
1.0,0.0,81.8
1.0,4.71,20.41
1.0,20.14,101.94
1.0,16.11,97.91
0.0,4.9,29.4
0.0,2.95,14.85
1.0,9.2,55.4
1.0,0.0,30.25
1.0,3.22,19.32
1.0,4.9,29.4
1.0,2.0,15.3
1.0,1.33,14.63
1.0,0.0,68.15
1.0,6.86,41.16
1.0,2.5,15.1
1.0,7.14,30.94
2.0,3.36,14.56
3.0,2.52,15.12
1.0,4.72,23.62
1.0,2.2,13.4
1.0,2.42,18.52
1.0,1.0,7.6
1.0,3.6,21.8
2.0,3.5,21.0
1.0,3.3,32.0
1.0,1.3,14.6
2.0,2.8,16.8
1.0,3.78,22.68
1.0,0.0,32.9
1.0,1.0,13.6
1.0,6.3,80.0
1.0,0.0,108.75
1.0,1.5,17.6
1.0,1.47,16.17
1.0,1.0,12.2
1.0,6.16,36.96
1.0,1.93,18.03
1.0,0.0,37.25
1.0,35.0,67.5
1.0,0.0,10.1
2.0,2.0,10.0
1.0,0.0,39.35
1.0,19.6,84.95
1.0,4.62,27.72
1.0,2.0,15.3
1.0,2.94,17.64
2.0,4.03,20.13
1.0,3.78,22.68
1.0,0.0,16.1
1.0,3.0,24.0
1.0,2.52,19.32
1.0,2.95,17.65
1.0,2.4,14.3
5.0,15.86,95.16
1.0,0.0,21.0
0.0,3.36,20.16
1.0,4.0,20.8
1.0,0.0,9.1
1.0,2.73,20.93
1.0,1.07,12.97
1.0,2.0,15.3
1.0,1.0,19.9
1.0,4.0,31.3
1.0,1.0,17.1
1.0,2.24,13.44
1.0,2.66,15.96
1.0,16.11,96.66
1.0,2.15,12.95
1.0,4.1,20.5
0.0,2.0,23.3
1.0,1.33,14.63
1.0,3.08,18.48
1.0,5.0,42.8
3.0,0.0,14.7
1.0,0.0,26.75
1.0,16.1,96.65
1.0,0.0,11.2
1.0,2.38,14.28
1.0,2.9,12.7
1.0,0.0,15.4
1.0,4.2,25.2
1.0,2.24,13.44
1.0,3.0,18.4
1.0,1.0,12.9
1.0,2.0,23.0
