passenger_count,tip_amount,total_amount
1.0,2.0,17.4
1.0,2.94,12.74
2.0,9.57,57.42
1.0,2.45,12.25
1.0,3.64,21.84
1.0,23.4,101.45
2.0,2.98,14.88
2.0,4.48,26.88
1.0,4.4,19.1
1.0,11.61,69.66
1.0,9.3,57.55
1.0,2.65,15.95
1.0,2.38,14.28
1.0,8.0,64.7
1.0,3.85,19.25
1.0,5.46,23.66
1.0,1.96,11.76
1.0,2.1,12.6
1.0,0.0,9.1
4.0,0.0,16.8
1.0,0.0,14.7
1.0,16.11,96.66
1.0,1.0,15.0
1.0,0.0,11.2
1.0,1.68,10.08
1.0,3.5,21.0
1.0,1.47,11.27
4.0,2.0,20.2
1.0,2.38,14.28
1.0,4.0,20.8
1.0,2.0,19.5
2.0,16.46,98.76
1.0,2.38,14.28
1.0,0.0,9.8
1.0,11.9,71.4
1.0,10.85,65.1
1.0,4.06,24.36
1.0,2.52,15.12
1.0,12.25,73.5
1.0,14.1,62.85
1.0,0.0,102.4
1.0,3.15,13.65
2.0,2.8,14.0
2.0,0.0,17.5
2.0,2.0,25.1
1.0,0.0,18.9
2.0,15.0,97.3
1.0,1.68,10.08
1.0,2.0,11.1
2.0,0.0,12.6
4.0,0.0,29.4
3.0,3.08,18.48
1.0,2.1,12.6
1.0,6.16,36.96
1.0,3.36,20.16
2.0,0.0,4.5
2.0,0.0,8.4
2.0,0.0,83.3
0.0,1.0,27.6
0.0,7.3,36.7
6.0,0.0,11.9
2.0,2.65,15.95
1.0,5.0,51.2
1.0,12.95,77.7
1.0,3.36,20.16
1.0,2.94,12.74
1.0,3.64,21.84
1.0,2.5,15.1
1.0,0.0,16.1
1.0,1.4,14.0
1.0,1.3,16.0
2.0,0.0,79.8
1.0,5.0,62.7
1.0,1.0,19.2
1.0,9.12,40.62
1.0,8.0,57.7
0.0,0.0,56.7
1.0,2.52,15.12
1.0,1.4,8.4
1.0,0.0,12.6
1.0,8.5,67.07
1.0,0.0,9.1
1.0,3.78,41.58
1.0,3.22,19.32
2.0,0.0,82.3
1.0,4.34,26.04
1.0,1.96,11.76
1.0,12.69,76.14
1.0,3.0,34.5
3.0,4.06,24.36
3.0,6.52,40.87
1.0,4.06,24.36
1.0,2.94,17.64
3.0,14.3,87.55
1.0,16.11,98.41
1.0,2.38,14.28
1.0,5.6,28.0
2.0,1.82,10.92
1.0,0.0,-29.4
1.0,0.0,29.4
1.0,15.0,95.55
1.0,4.76,28.56
4.0,10.0,95.5
3.0,3.5,21.0
1.0,2.0,15.3
1.0,3.05,18.45
4.0,0.0,16.8
1.0,0.0,51.1
1.0,0.0,37.0
1.0,14.91,91.21
1.0,2.52,16.52
4.0,5.04,30.24
1.0,2.52,15.12
1.0,2.8,16.8
1.0,10.83,64.98
1.0,6.3,37.8
4.0,0.0,11.2
1.0,0.0,11.9
1.0,2.0,13.2
2.0,2.0,16.7
2.0,2.94,17.64
2.0,3.5,21.0
1.0,20.55,102.85
1.0,0.0,16.8
6.0,2.39,15.69
6.0,5.6,33.6
1.0,3.67,18.37
1.0,0.0,23.1
1.0,2.94,17.64
1.0,10.0,92.3
1.0,2.02,12.12
4.0,0.0,16.1
1.0,3.57,27.37
1.0,9.93,59.58
1.0,0.0,32.95
1.0,10.01,60.06
1.0,3.64,21.84
1.0,8.4,50.4
2.0,11.48,68.88
2.0,2.94,17.64
3.0,2.8,16.8
3.0,0.0,14.0
1.0,3.36,20.16
2.0,16.65,99.9
1.0,0.0,14.7
1.0,5.0,60.3
1.0,3.68,18.38
1.0,0.0,13.3
1.0,0.0,55.3
1.0,3.33,16.63
1.0,10.0,92.3
1.0,2.66,15.96
2.0,5.32,31.92
2.0,4.76,28.56
1.0,3.22,19.32
1.0,2.52,15.12
1.0,2.38,14.28
1.0,0.0,21.7
1.0,0.0,21.7
1.0,3.2,19.3
2.0,2.94,17.64
1.0,1.2,11.0
1.0,3.08,18.48
1.0,4.34,26.04
1.0,0.0,23.8
1.0,2.62,20.12
1.0,0.0,19.6
1.0,3.85,19.25
1.0,0.0,61.9
1.0,0.0,70.0
1.0,3.22,19.32
1.0,2.94,17.64
2.0,0.0,18.9
1.0,2.0,11.8
