passenger_count,tip_amount,total_amount
4.0,14.8,88.8
1.0,7.62,45.72
1.0,3.14,18.84
1.0,0.0,18.5
1.0,0.0,290.0
1.0,1.0,13.9
1.0,10.0,60.0
3.0,1.0,20.2
2.0,2.44,14.64
2.0,0.0,22.0
1.0,2.86,17.16
3.0,0.0,59.85
1.0,10.0,85.75
1.0,3.56,21.36
1.0,6.5,39.0
1.0,6.0,106.35
1.0,0.0,15.0
1.0,1.0,20.9
1.0,4.4,26.4
3.0,4.26,25.56
1.0,0.0,15.7
1.0,2.0,13.5
1.0,3.0,23.6
3.0,0.0,24.8
1.0,4.8,28.9
1.0,15.15,90.9
1.0,0.0,44.35
1.0,4.12,24.72
1.0,0.0,20.6
1.0,2.58,15.48
1.0,0.0,22.75
1.0,4.68,28.08
1.0,6.55,32.75
1.0,14.8,90.55
1.0,2.44,14.64
2.0,1.11,12.61
1.0,10.33,61.98
1.0,2.16,12.96
1.0,5.24,31.44
2.0,4.4,26.4
1.0,11.61,71.41
1.0,0.0,27.55
1.0,6.52,49.97
1.0,2.0,16.3
1.0,2.02,12.12
1.0,3.58,17.88
1.0,7.58,83.33
1.0,1.0,21.6
2.0,2.8,30.35
5.0,4.21,27.61
5.0,2.44,14.64
5.0,3.14,18.84
1.0,3.7,22.2
1.0,4.54,27.24
1.0,2.5,30.1
1.0,4.5,27.2
1.0,10.19,61.14
1.0,1.5,19.3
1.0,1.0,23.0
1.0,6.64,39.84
1.0,10.15,61.1
1.0,2.85,17.15
1.0,3.56,21.36
1.0,1.5,13.7
1.0,2.58,15.48
2.0,5.0,55.0
1.0,4.12,24.72
1.0,1.2,13.7
1.0,0.0,16.0
1.0,5.3,31.8
1.0,0.0,15.0
1.0,3.4,20.5
1.0,3.1,18.8
1.0,4.5,27.2
1.0,0.0,53.5
1.0,0.0,16.4
2.0,0.0,29.7
1.0,10.0,65.6
1.0,5.8,34.8
1.0,0.0,15.7
1.0,2.0,14.2
0.0,0.0,19.2
0.0,1.0,24.4
0.0,1.0,21.6
1.0,3.05,15.25
1.0,7.9,47.45
1.0,3.0,18.0
1.0,0.0,14.3
1.0,2.45,14.65
1.0,4.4,26.4
1.0,2.57,16.87
2.0,0.0,11.5
2.0,2.72,16.32
2.0,3.28,19.68
1.0,3.0,18.0
1.0,2.0,25.4
2.0,3.4,20.5
1.0,3.1,18.8
2.0,0.0,98.25
1.0,2.7,16.3
3.0,0.0,29.7
1.0,8.0,58.25
1.0,4.82,28.92
2.0,4.12,24.72
2.0,3.14,18.84
1.0,3.28,19.68
1.0,16.46,98.76
1.0,0.0,82.3
2.0,5.94,35.64
1.0,1.0,11.1
2.0,3.95,23.85
3.0,10.76,64.56
1.0,5.97,25.87
1.0,0.0,39.5
1.0,24.02,145.87
1.0,10.02,107.57
1.0,0.0,34.0
1.0,2.0,21.9
1.0,0.0,11.5
1.0,7.08,54.28
1.0,2.0,20.5
1.0,4.82,28.92
1.0,14.8,90.55
1.0,5.55,24.05
5.0,1.5,15.8
5.0,2.3,13.8
5.0,3.42,20.52
2.0,15.61,93.66
1.0,2.44,14.64
1.0,2.16,12.96
1.0,0.0,49.25
1.0,15.0,116.05
2.0,14.8,90.55
1.0,3.84,23.04
1.0,1.59,33.39
1.0,16.11,98.41
1.0,5.0,55.05
1.0,11.36,58.56
0.0,0.0,15.0
2.0,0.0,12.9
1.0,2.7,46.4
1.0,3.0,25.0
1.0,0.0,10.1
