passenger_count,tip_amount,total_amount
1.0,0.0,21.0
1.0,2.0,23.0
1.0,2.1,12.6
1.0,3.92,23.52
1.0,2.52,15.12
1.0,2.94,17.64
1.0,5.74,34.44
1.0,4.9,24.5
1.0,3.36,20.16
1.0,0.0,54.55
1.0,0.5,17.3
1.0,2.52,15.12
1.0,2.27,11.37
1.0,3.67,18.37
3.0,2.0,13.9
1.0,2.59,28.49
1.0,0.0,19.6
1.0,0.0,10.5
1.0,4.4,19.1
1.0,4.2,25.2
1.0,1.96,11.76
4.0,2.52,15.12
1.0,3.15,15.75
1.0,2.8,14.0
1.0,2.0,13.9
1.0,3.92,23.52
1.0,4.72,23.62
1.0,3.9,23.5
1.0,2.65,15.95
1.0,3.2,19.3
1.0,8.12,48.72
2.0,11.38,56.88
1.0,0.0,16.25
1.0,16.1,96.65
1.0,3.68,18.38
1.0,2.0,18.8
1.0,2.0,15.3
1.0,0.0,12.6
1.0,2.52,15.12
1.0,2.66,15.96
1.0,2.38,14.28
6.0,2.5,27.0
1.0,3.2,19.3
1.0,3.0,16.3
1.0,0.0,23.1
1.0,2.94,32.34
1.0,5.88,35.28
4.0,0.0,14.7
1.0,0.0,16.8
4.0,0.0,36.4
1.0,0.0,14.7
1.0,3.08,18.48
1.0,2.44,22.74
1.0,0.0,50.55
1.0,0.0,14.7
1.0,2.24,13.44
1.0,4.2,25.2
1.0,3.22,19.32
1.0,5.25,26.25
2.0,3.78,22.68
3.0,2.66,15.96
2.0,0.0,16.1
1.0,0.0,21.7
1.0,1.12,12.32
1.0,2.8,16.8
1.0,0.0,12.6
1.0,3.08,18.48
2.0,2.24,13.44
1.0,2.38,14.28
1.0,0.0,52.05
1.0,0.0,10.1
1.0,4.82,28.92
1.0,3.1,15.7
1.0,3.1,15.7
1.0,3.5,23.8
1.0,0.0,58.3
1.0,6.44,38.64
1.0,4.9,29.4
1.0,0.0,14.7
1.0,4.6,27.7
1.0,2.0,25.8
1.0,0.0,20.3
1.0,3.35,20.15
1.0,2.1,10.5
2.0,0.0,10.5
1.0,0.0,17.5
1.0,0.0,54.15
1.0,0.0,24.5
1.0,0.0,19.6
1.0,2.8,16.8
1.0,1.0,34.6
1.0,4.9,29.4
1.0,2.66,15.96
2.0,2.02,12.12
1.0,1.96,11.76
2.0,6.93,30.03
2.0,2.0,10.4
1.0,1.8,10.9
2.0,0.0,25.2
1.0,1.68,12.88
1.0,0.0,15.4
1.0,1.96,11.76
1.0,2.0,20.2
1.0,2.66,15.96
1.0,0.0,54.15
1.0,2.52,15.12
1.0,6.25,27.25
1.0,2.0,14.6
1.0,2.8,16.8
1.0,2.38,14.28
1.0,6.3,37.8
1.0,0.0,24.5
5.0,0.0,16.8
5.0,4.48,26.88
3.0,0.0,34.3
1.0,0.0,15.4
1.0,3.78,22.68
1.0,0.0,11.2
1.0,7.56,45.36
1.0,2.84,21.74
2.0,4.41,19.11
1.0,0.0,16.8
1.0,2.0,19.5
2.0,5.0,21.8
1.0,0.0,14.0
1.0,3.08,18.48
1.0,3.57,15.47
1.0,3.15,15.75
1.0,2.2,13.4
1.0,4.06,24.36
1.0,2.38,14.28
1.0,0.63,13.23
1.0,3.64,21.84
1.0,1.75,19.25
1.0,4.0,36.9
1.0,0.0,15.4
1.0,0.0,16.25
2.0,2.52,15.12
1.0,3.36,20.16
1.0,2.98,14.88
