passenger_count,tip_amount,total_amount
1.0,3.05,18.45
1.0,3.85,19.25
2.0,0.0,14.0
1.0,7.0,59.05
1.0,0.0,18.9
2.0,16.11,98.41
0.0,2.77,18.17
0.0,0.0,14.0
1.0,5.05,25.35
1.0,3.5,21.0
1.0,10.37,44.92
1.0,0.0,23.1
1.0,2.0,12.5
1.0,4.62,27.72
1.0,3.5,16.1
2.0,3.05,18.45
1.0,0.0,16.8
2.0,2.65,15.95
1.0,4.02,20.12
1.0,7.0,42.0
1.0,11.76,70.56
1.0,0.01,14.71
1.0,3.08,18.48
1.0,2.94,17.64
1.0,8.4,50.4
5.0,6.65,33.25
5.0,0.0,103.85
1.0,16.11,98.41
1.0,3.64,21.84
1.0,7.89,47.34
1.0,3.78,22.68
1.0,3.36,20.16
2.0,0.0,-82.3
2.0,0.0,82.3
1.0,29.15,175.1
1.0,3.36,20.16
2.0,2.42,18.52
1.0,0.0,37.05
1.0,3.92,23.52
3.0,2.0,13.2
1.0,2.66,15.96
1.0,0.0,23.1
1.0,2.52,15.12
1.0,0.02,18.92
1.0,2.24,13.44
1.0,0.0,33.6
1.0,0.0,79.8
1.0,2.66,15.96
2.0,7.56,45.36
2.0,4.9,24.5
1.0,10.7,64.2
1.0,0.0,36.4
1.0,16.58,101.23
2.0,1.0,26.25
1.0,4.0,59.75
1.0,2.0,16.0
1.0,5.46,23.66
6.0,5.0,14.1
1.0,9.59,59.29
3.0,0.0,-82.3
3.0,0.0,82.3
1.0,10.5,63.0
1.0,3.0,31.0
2.0,0.0,21.7
1.0,0.0,23.8
2.0,2.66,15.96
1.0,5.36,41.06
3.0,5.88,35.28
1.0,2.8,16.8
1.0,3.78,16.38
1.0,2.08,16.78
3.0,2.0,27.9
2.0,0.0,80.55
1.0,3.22,19.32
3.0,2.0,16.0
1.0,1.37,10.47
2.0,1.0,13.6
1.0,2.65,15.95
1.0,1.0,11.8
1.0,10.99,67.69
1.0,3.22,19.32
1.0,0.0,35.7
1.0,3.0,14.9
1.0,2.22,19.02
1.0,3.5,21.0
1.0,0.0,8.4
1.0,16.11,98.41
1.0,20.15,120.9
1.0,3.32,16.62
1.0,3.92,23.52
1.0,2.8,16.8
6.0,1.05,11.55
1.0,0.0,13.3
2.0,4.9,24.5
1.0,9.89,59.34
1.0,16.1,96.65
2.0,38.72,232.32
1.0,20.14,102.44
5.0,3.02,19.82
1.0,0.0,21.0
1.0,0.0,11.9
1.0,4.0,18.0
1.0,2.66,15.96
1.0,3.22,19.32
1.0,3.15,15.75
1.0,0.0,115.75
1.0,11.34,68.04
4.0,16.0,97.75
2.0,2.24,13.44
3.0,3.08,18.48
1.0,2.2,16.9
1.0,1.54,16.94
5.0,8.96,53.76
1.0,4.06,24.36
1.0,0.0,9.1
1.0,1.0,11.5
1.0,2.1,12.6
2.0,2.24,13.44
2.0,2.38,14.28
