passenger_count,tip_amount,total_amount
2.0,0.0,-81.8
2.0,0.0,81.8
1.0,4.2,21.0
1.0,3.5,17.5
2.0,2.24,13.44
1.0,4.0,26.4
1.0,3.22,19.32
1.0,13.65,59.15
6.0,13.76,82.56
1.0,1.8,10.9
1.0,3.2,19.3
1.0,2.8,16.8
1.0,2.98,14.88
1.0,0.0,13.3
1.0,4.0,30.6
2.0,4.48,26.88
1.0,5.46,32.76
2.0,2.66,15.96
1.0,1.89,14.49
1.0,0.0,21.0
1.0,0.0,9.1
1.0,4.06,24.36
1.0,2.52,15.12
1.0,2.52,15.12
1.0,5.74,34.44
3.0,2.8,16.8
1.0,2.35,14.25
1.0,2.66,15.96
1.0,0.0,7.7
1.0,10.1,60.7
2.0,3.0,14.9
1.0,2.94,17.64
1.0,0.0,18.2
1.0,2.24,13.44
1.0,0.0,15.4
1.0,1.36,10.46
1.0,0.0,11.9
1.0,2.31,17.71
1.0,2.52,15.12
2.0,1.47,16.17
1.0,1.89,14.49
1.0,5.0,20.4
1.0,10.0,26.1
1.0,2.0,30.0
1.0,16.11,97.91
2.0,16.36,98.16
2.0,1.95,11.75
1.0,2.2,13.4
2.0,10.21,51.06
1.0,5.95,29.75
1.0,3.0,15.6
2.0,2.52,15.12
1.0,1.0,19.2
1.0,5.65,33.9
1.0,0.0,11.9
1.0,3.64,21.84
1.0,2.52,15.12
1.0,3.22,19.32
1.0,2.8,16.8
1.0,2.66,15.96
2.0,0.0,81.8
1.0,0.0,81.8
2.0,2.8,16.8
1.0,3.0,25.4
1.0,0.0,23.8
1.0,1.0,10.1
1.0,10.0,28.9
1.0,2.66,15.96
1.0,2.94,17.64
1.0,1.0,30.4
1.0,2.0,21.6
1.0,0.0,-18.9
1.0,0.0,18.9
1.0,12.62,75.72
6.0,2.73,11.83
6.0,0.0,36.4
1.0,0.0,18.2
2.0,3.0,21.2
1.0,3.22,19.32
1.0,2.8,16.8
1.0,5.0,28.1
1.0,16.36,81.81
1.0,5.45,32.75
1.0,0.0,14.7
1.0,0.0,12.6
1.0,4.48,26.88
1.0,2.0,23.0
1.0,1.0,66.05
1.0,2.0,13.2
6.0,7.14,30.94
6.0,4.0,22.9
4.0,16.11,96.66
